id,created_at,text
1261318392910352400,Fri May 15 15:31:53 +0000 2020,RT @MacFarlaneNews: Thousands of cars are on campus at Montgomery County (Md)’s Bohrer Park for a food donation handout that opens at 12p.…
1261317669996892200,Fri May 15 15:29:01 +0000 2020,@conncarroll Not just the rich. Child tax credit gets massive boost, etc., another round of stimulus payments, etc.
1261317282757836800,Fri May 15 15:27:29 +0000 2020,Net deficit impact of the tax provisions is an $883 billion hit to federal coffers over a decade.
1261316693483311000,Fri May 15 15:25:08 +0000 2020,Some enormous tax cuts in Pelosi’s package as scored by JCT.
1261305949412831200,Fri May 15 14:42:26 +0000 2020,RT @TylerFogarty7: 1/2: Total #COVID19 Hospitalizations in Maryland decreased 2.73% (three day streak of decreases) even though ICU beds we…
1261303053476679700,Fri May 15 14:30:56 +0000 2020,RT @albamonica: Ivanka Trump wore a face mask at Coastal Sunbelt Produce in Laurel, MD on a visit to highlight USDA's $19 Billion Coronavir…
1261301642030448600,Fri May 15 14:25:19 +0000 2020,RT @JakeSherman: A group of Republican lawmakers are huddled face to face, maybe a foot or two from each other in the corner of the House c…
1261299279064371200,Fri May 15 14:15:56 +0000 2020,RT @AndySlater: NEW: Casino in Hialeah, Florida tests their updated poker tables. https://t.co/VEQ6XuJZAO
1261288790603202600,Fri May 15 13:34:15 +0000 2020,Forecast high today in DC: 86
1261281528853790700,Fri May 15 13:05:24 +0000 2020,RT @MariaDeCotis: Breaking news: Governor Cuomo learns communication skills from daughter Mariah. https://t.co/t3WhXx6lAV
1261279882190958600,Fri May 15 12:58:52 +0000 2020,RT @philklotzbach: Disturbance near southern tip of Florida is currently given 80% chance of tropical or subtropical development in next 48…
1261278953244893200,Fri May 15 12:55:10 +0000 2020,@sgremminger A zillion factors at play, for sure. But the very early use of masks I find very interesting. That's f… https://t.co/gG6EODuV5F
1261278423084867600,Fri May 15 12:53:04 +0000 2020,There are several US states with stats similar to Slovenia.  Deaths per capita are very similar to Maine.   Only pr… https://t.co/iEK63cl414
1261276644393787400,Fri May 15 12:46:00 +0000 2020,Slovenia, a country of about 2 million people, was the birthplace of @FLOTUS
1261276365153882000,Fri May 15 12:44:53 +0000 2020,Slovenia was one of the first countries to mandate the use of masks.
1261275922201743400,Fri May 15 12:43:07 +0000 2020,Slovenia! https://t.co/KigL4OFmRd
1261105039655010300,Fri May 15 01:24:06 +0000 2020,And, yes, I’ve seen an assortment of senators cough into their hands in last few weeks, and cringe every time.
1261103442040361000,Fri May 15 01:17:45 +0000 2020,@hotelkeys @DemFromCT Yes he is
1261103146174161000,Fri May 15 01:16:34 +0000 2020,@jordainc That’s ... not so good. Though wearing a mask inside is even more important.
1261102271619829800,Fri May 15 01:13:06 +0000 2020,The only thing I could think about while reading this story is how almost every senator takes off their mask before… https://t.co/cbDe0y2akm
1261101531417501700,Fri May 15 01:10:09 +0000 2020,My brother is an ER nurse on a COVID floor. You do not want to end up there. You don’t want a friend or loved one o… https://t.co/tpfEU5rv2a
1261099261816721400,Fri May 15 01:01:08 +0000 2020,Wearing a mask is a trivial inconvenience that just *might* save the life of someone you know and care about. And h… https://t.co/cZjVNTgE5n
1261097005557964800,Fri May 15 00:52:10 +0000 2020,RT @PaulaReidCBS: 🚨 FDA issues alert over COVID19 test used inside White House - warns of false negatives. I took this test today before I…
1261094904807260200,Fri May 15 00:43:49 +0000 2020,RT @KevinVesey: I'll probably never forget what happened today. I was insulted. I was berated. I was practically chased by people who refus…
1261070234011807700,Thu May 14 23:05:47 +0000 2020,@NormOrnstein @NormEisen Loeffler’s case appears very different.
1261050566588928000,Thu May 14 21:47:38 +0000 2020,RT @business: Senate passes Uighur human-rights bill in latest shot at China https://t.co/fTNxJPENT5
1261050331762434000,Thu May 14 21:46:42 +0000 2020,I’m told the Senate Intel final report has already been written and is going through final editing.
1261049923283411000,Thu May 14 21:45:05 +0000 2020,@NickTimiraos @elerianm @markets What Nick said
1261049634849505300,Thu May 14 21:43:56 +0000 2020,CARES 2: Nobody Knows What It Will Be Boogaloo
1261048882030657500,Thu May 14 21:40:57 +0000 2020,@ericawerner I will die on this hill with you
1261040245623136300,Thu May 14 21:06:38 +0000 2020,@newsbabe1530 Sorry
1261038549417197600,Thu May 14 20:59:53 +0000 2020,RT @NOgnanovich: #Unemployment benefits in #CARESAct too generous, @JohnCornyn suggests and calls it a ``mistake" by House Democrats to try…
1261035576033239000,Thu May 14 20:48:04 +0000 2020,! https://t.co/KIotykaCQ8
