id,created_at,text
1199718668076224500,Wed Nov 27 15:56:34 +0000 2019,J'ai eu le plaisir d'être sur scène aux côtés de @Coldplay la semaine dernière pour le lancement de leur nouvel alb… https://t.co/H9sbu2VOD0
1187669015445069800,Fri Oct 25 09:55:33 +0000 2019,Très honoré d'avoir été invité sur le nouvel album de @coldplay  https://t.co/7RNAgxvNE1
989817515747479600,Fri Apr 27 10:44:20 +0000 2018,Mon nouveau morceau, "Défiler", bande originale de la capsule 5 Mosaert et de notre premier défilé, est sorti. Pour… https://t.co/f6RbiXdYvA
674636202864214000,Wed Dec 09 17:06:19 +0000 2015,After 209 shows, my team and I are glad to be able to offer you the video of the √ live. Thanks to everyone. https://t.co/YUKKCwcg4N
674636075592208400,Wed Dec 09 17:05:49 +0000 2015,Après 209 dates mon équipe et moi-même sommes heureux de pouvoir vous proposer la captation du √ live. Merci à tous. https://t.co/YUKKCwcg4N
669529462636208100,Wed Nov 25 14:53:57 +0000 2015,https://t.co/m67LWfxNsK
648938055475269600,Tue Sep 29 19:11:03 +0000 2015,It's wedding-@TIME! https://t.co/QrQocsJIqr
644811608699576300,Fri Sep 18 09:54:02 +0000 2015,Merci @thefader, thanks Seattle.. next round is on me! https://t.co/0pfNKZMf41 http://t.co/MvLvaGu6Mg
639471306241654800,Thu Sep 03 16:13:34 +0000 2015,Well I tried, but thx @pitchfork and see you all @ @TheGarden !  https://t.co/YyCg5czAKV
628876971498438700,Wed Aug 05 10:35:28 +0000 2015,RT @RollingStone: Janelle Monae will join Belgian star Stromae at his Madison Square Garden show http://t.co/cCqU6wF51G
628562597986594800,Tue Aug 04 13:46:16 +0000 2015,I'll be back in september! Very proud to share this with @JanelleMonae, @Jidenna and @freedomfrymusic ! http://t.co/x360mmDfLI
608308551438749700,Tue Jun 09 16:23:55 +0000 2015,Merci 🙏 @Handsome_Habibi for this new remix of "Carmen" - Check it out : http://t.co/YeirdECWSm
598209062266888200,Tue May 12 19:32:09 +0000 2015,Hey America, you can watch me on @JimmyKimmelLive – Tonight on ABC!#KIMMEL http://t.co/34P3UmUdf3
594145320281452500,Fri May 01 14:24:17 +0000 2015,@tydollasign Niiiice to meet you!
594143063020277800,Fri May 01 14:15:19 +0000 2015,@OmarSy Souvenirs souvenirs, thanks again sir..
591640174519550000,Fri Apr 24 16:29:44 +0000 2015,@madeon Merci! :)
589067292778070000,Fri Apr 17 14:06:01 +0000 2015,Enfin voici les dates de la tournée subsaharienne africaine ! http://t.co/51JOKjGAlL
587300308155375600,Sun Apr 12 17:04:39 +0000 2015,See you all @RevoltTV April 16th ! http://t.co/uHY60LYmug
583314262325624800,Wed Apr 01 17:05:32 +0000 2015,#Carmen http://t.co/cvJPyZ4OSG
582923096476237800,Tue Mar 31 15:11:11 +0000 2015,Fun in Backstage 😂😂 #MyBird #BestBuddyEver #AlwaysGotMyBack #Inseparable  http://t.co/QBsPQlyGLz
582612477973798900,Mon Mar 30 18:36:53 +0000 2015,Quick Workout  #Beast #AuTop #GetFitOrDieTrying #PerfectBody #OopsAlmostNaked #BeauGarsEnSlip #Caliente  http://t.co/QBsPQlyGLz
582605084711891000,Mon Mar 30 18:07:31 +0000 2015,Hello you! Going to be answering YOUR questions for @Vevo! Ask me anything with the hashtag #VEVOAskReply
582232247220199400,Sun Mar 29 17:25:59 +0000 2015,&lt;3 &lt;3 &lt;3 #Fashionista #PantouflesDeLuxe #NannaWintour  #Sapologie http://t.co/QBsPQlyGLz
581906691853303800,Sat Mar 28 19:52:21 +0000 2015,Chilling with @Madonna :) http://t.co/QBsPQlyGLz
581512610840985600,Fri Mar 27 17:46:25 +0000 2015,Champaaaaagne ! http://t.co/39rXazb5O6
581142331602149400,Thu Mar 26 17:15:03 +0000 2015,Bon appétit ! http://t.co/39rXazb5O6
580783998701572100,Wed Mar 25 17:31:10 +0000 2015,New car, new life ! https://t.co/xB6PSRIlY7
580417831134732300,Tue Mar 24 17:16:09 +0000 2015,Craaaazy week @sxsw and @back2blackfest ! https://t.co/zd92NxkOBX
580052671287132200,Mon Mar 23 17:05:08 +0000 2015,Finally on @instagram!!! https://t.co/zd92NxkOBX
574919173240913900,Mon Mar 09 13:06:27 +0000 2015,Merci @RollingStone !  http://t.co/hiFcoKJpHO
570287384463585300,Tue Feb 24 18:21:22 +0000 2015,Hey SXSW! Rendez-vous at the #SpotifyHouse on March 15th... http://t.co/ejEuZHSUS5
552564777160298500,Tue Jan 06 20:38:03 +0000 2015,See you in three months Coachella ! http://t.co/MkFipAQWfU
541957630697410560,Mon Dec 08 14:09:02 +0000 2014,You can find here the first dates of the north american tour in 2015...the rest will follow :-) http://t.co/NNdU5QD7bC
541951543780835300,Mon Dec 08 13:44:51 +0000 2014,Hi NYC! It´s an honor to perform on October 1st at the legendary @TheGarden! Tickets go on sale this Friday at 10AM EST.
535561408843640800,Thu Nov 20 22:32:44 +0000 2014,Thank you for this beautifull compliment @MrProbz
535561247388082200,Thu Nov 20 22:32:06 +0000 2014,RT @MrProbz: @Stromae Livest and most creative show I've ever seen.. #inspired
524613119688343550,Tue Oct 21 17:28:09 +0000 2014,"Merci @lordemusic,@PUSHA_T,@HAIMtheband,@QtipTheAbstract pour Meltdown sur la bande originale inspirée de Hungergames Mokingjay part 1."
521218389080285200,Sun Oct 12 08:38:42 +0000 2014,Thank you for the cover @PTXofficial and nice to meet you...
519961001262075900,Wed Oct 08 21:22:17 +0000 2014,Merci à votre famille et à vous Monsieur @JohnnySjh
519444367862681600,Tue Oct 07 11:09:22 +0000 2014,Thank you sir @samsmithworld !
519441965524725760,Tue Oct 07 10:59:50 +0000 2014,Thank you for coming and for the tweets Madame @lordemusic and Monsieur @diplo !
517256073561260000,Wed Oct 01 10:13:52 +0000 2014,"Je ne comprenais pas jusqu'à ce que j'aille chez eux, Merci Pierre &amp; Gilles. Sacrés "Numéro"s. http://t.co/2MptarTN9K
515195020572626940,Thu Sep 25 17:43:59 +0000 2014,Merci ! RT @TIME: Watch Belgian superstar @Stromae decode his biggest music videos: http://t.co/9kzUTfq1g1 http://t.co/vIVcXChRck
514802995369111550,Wed Sep 24 15:46:13 +0000 2014,A family video recorded on a Sunday afternoon..! #avecesaria http://t.co/cx6s0HeQwt
514802839517167600,Wed Sep 24 15:45:36 +0000 2014,Une petite vidéo de famille enregistrée un dimanche après-midi..! #avecesaria http://t.co/cx6s0HeQwt
493899697267179500,Mon Jul 28 23:23:58 +0000 2014,2048! http://t.co/x1Q18zZwCI
484775951386292200,Thu Jul 03 19:09:28 +0000 2014,"Check out my photos from my Orléans show on @papermagazine!" http://t.co/DMu4QYKLDP
483910818602692600,Tue Jul 01 09:51:44 +0000 2014,#2048 http://t.co/bg39I65DYr
480883589597626400,Mon Jun 23 01:22:36 +0000 2014,@jeromejarre LET'S DO IT.
478915434113425400,Tue Jun 17 15:01:51 +0000 2014,Here is the video for « ta fête »… Enjoy! #TaFete http://t.co/76B5Xkxr4r
478915411346751500,Tue Jun 17 15:01:46 +0000 2014,Voici le clip « ta fête »… Bon visionnage ! #TaFete http://t.co/76B5Xkxr4r
478711990664560640,Tue Jun 17 01:33:27 +0000 2014,RT @LateNightSeth: International phenom @Stromae makes his US TV debut tonight on #LNSM! http://t.co/O3nrza8yLo
477876349714321400,Sat Jun 14 18:12:54 +0000 2014,Dear Seth Meyers,Thanks for the invite ! Ladies and gentlemens,see you on Monday June 16th @LateNightSeth !
461879075662229500,Thu May 01 14:45:27 +0000 2014,See you soon New York ! http://t.co/4KW8JDVbb8 http://t.co/mYZjez8QEF
458574433540931600,Tue Apr 22 11:53:59 +0000 2014,merci ! RT @gillespeterson : My video interview with the talented Belgian rapper/songwiter @Stromae at @brownswood. http://t.co/vBhtqTrXxR
452133296408109060,Fri Apr 04 17:19:12 +0000 2014,What an honor to be remixed by @VitoAeroplane ! http://t.co/gLQBa1oOCi
452133265114431500,Fri Apr 04 17:19:05 +0000 2014,Quel honneur de se faire remixer par @VitoAeroplane ! http://t.co/gLQBa1oOCi
448758613188673540,Wed Mar 26 09:49:25 +0000 2014,Rédacteur en chef ? Pour qui je me prends ?... cc @lesinrocks http://t.co/NgdlkJ7hCk http://t.co/NuBBhFofhF
445594791653695500,Mon Mar 17 16:17:31 +0000 2014,My video for 'ta fête' won’t be before late April, but until then enjoy lesson 28 #TaFete http://t.co/dEgtqklSzt
445594764466212860,Mon Mar 17 16:17:25 +0000 2014,Le clip de 'ta fête' n'arrive que fin avril mais en attendant voici la leçon 28 #TaFete http://t.co/dEgtqklSzt
437405202153738240,Sun Feb 23 01:55:01 +0000 2014,Grazie Mille @fabfazio @SanremoRai
437321436664172540,Sat Feb 22 20:22:10 +0000 2014,Thanks Koko, here is Henry Schofield the director of "tous les mêmes"...stasera canterò a Sanremo, grazie @fabfazio http://t.co/BB3nfMMWeM
435902368090423300,Tue Feb 18 22:23:17 +0000 2014,Thanks Berlin(Astra)! Here is the guy who played me first in Germany... @passion78 @ninetoes78 http://t.co/uHMi28StPR
432367463368753150,Sun Feb 09 04:16:50 +0000 2014,Acht Mia's, het is een beetje te veel van het goeie...Vlaanderen, ik ben jullie héél dankbaar! Gros kiss... http://t.co/93URYE0wul
430641297892716540,Tue Feb 04 09:57:41 +0000 2014,Very happy to guest at the #sanremo2014 final night on the 22nd, see you there @fabfazio !
413739244562022400,Thu Dec 19 18:34:57 +0000 2013,Merci à tous pour vos votes et merci à l'équipe! (Mosaert &amp; Island France) http://t.co/ouxjAAFp6R
413307943761616900,Wed Dec 18 14:01:07 +0000 2013,Here is the music video for #TousLesMêmes http://t.co/GW29TQVmvQ
413307920818769900,Wed Dec 18 14:01:01 +0000 2013,Voici enfin le clip de #TousLesMêmes http://t.co/GW29TQVmvQ
411106640172036100,Thu Dec 12 12:13:55 +0000 2013,#bercy http://t.co/hm1EZovnDy
402499640643563500,Mon Nov 18 18:12:47 +0000 2013,RT @antoinedecaune1: La love story entre @Stromae et #Lgj ...On continue? Moi, je suis pour...
401401548829249540,Fri Nov 15 17:29:21 +0000 2013,Rendez vous tout à l'heure sur @legrandjournal de @canalplus pour vous présenter ma moitié ! @antoinedecaune1
400644061771485200,Wed Nov 13 15:19:22 +0000 2013,Nouvelles dates de tournée / New tour dates http://t.co/Z4TcpemEnr
398816554366009340,Fri Nov 08 14:17:30 +0000 2013,Le 15 novembre je vous présente ma moitié dans Le @GrdJournal sur @canalplus --&gt; http://t.co/dV15GeTtK2
397368615181115400,Mon Nov 04 14:23:55 +0000 2013,Je compte sur vous pour la dernière ligne droite http://t.co/oTLTffy0oc
395559611098353660,Wed Oct 30 14:35:35 +0000 2013,European Tour http://t.co/r7cOCu6B0M
392667815167029250,Tue Oct 22 15:04:37 +0000 2013,J'ai la chance d être pré-nominé aux NMA 2014. Puis-je compter sur vous pour votre soutien ? http://t.co/vgO5RwKzds
391170261640560640,Fri Oct 18 11:53:52 +0000 2013,Merci ! @ElleBelgique @ElleBelgie http://t.co/0E8Y2nn0Sv
388749441638756350,Fri Oct 11 19:34:24 +0000 2013,En effet, vous êtes formidables ! Quelle fierté d’être votre compatriote @hazardeden10  Pays de Galles on va te faire #tafête !
388744803514470400,Fri Oct 11 19:15:58 +0000 2013,En effet, vous êtes formidables ! Quelle fierté d’être votre compatriote @VincentKompany  Pays de Galles on va te faire #tafête !
386512710315548700,Sat Oct 05 15:26:25 +0000 2013,Montréalaise, montréalais merci d'avoir été si nombreux place des arts...#Stromaemtl #PDA @UMFQUEBEC @stminfo @EricSalvail @louis_delisle
385811631743057900,Thu Oct 03 17:00:35 +0000 2013,I've created a playlist of some of my favorite tracks. Check it out on @SpotifyUSA ! http://t.co/Ov9IFMVnR8
385715529664565250,Thu Oct 03 10:38:43 +0000 2013,Montréal on a rendez-vs ensemble Vendredi suivez les indices &amp; venez me retrouver @umfquebec @ericsalvail #stromaemtl http://t.co/NoP51qxURu
385103394169319400,Tue Oct 01 18:06:18 +0000 2013,The new website is online. Have a look at it and my first Zénith tour... My international tour is coming soon! http://t.co/xJdGH8cnzy
385103346278748160,Tue Oct 01 18:06:07 +0000 2013,Le nouveau site est en ligne. Passez y faire un tour, ma première tournée des Zénith y est tracée... http://t.co/xJdGH8cnzy
384951021442576400,Tue Oct 01 08:00:50 +0000 2013,I've been lucky enough to have him work on my album, I'm now honored he'll be the opening act of my tour @thomasazier http://t.co/8m3jgHCcd2
384950994305421300,Tue Oct 01 08:00:43 +0000 2013,J'ai eu la chance de pouvoir travailler avec lui sur mon album je suis honoré qu'il fasse mes 1è parties @thomasazier http://t.co/8m3jgHCcd2
