id,created_at,text
1260464667400552400,Wed May 13 06:59:29 +0000 2020,Calling home!! https://t.co/EWnmp5tnzt
1259735273497215000,Mon May 11 06:41:08 +0000 2020,@whatdotcd SAME
1259616251225112600,Sun May 10 22:48:11 +0000 2020,Anna May Wong and the cut away scenes of people at home reacting to the win of Archie and Cammile. https://t.co/Cp5X4mmhpW
1259615716338094000,Sun May 10 22:46:03 +0000 2020,SHE WON!! @LauraHarrier #HollywoodNetflix https://t.co/5oGJgBzjYL
1259614068001763300,Sun May 10 22:39:30 +0000 2020,MAGICAL #HollywoodNetflix https://t.co/o7C68JHpI1
1259612667322327000,Sun May 10 22:33:57 +0000 2020,Those were the days!! https://t.co/K1VSZiHgjl
1259611993041825800,Sun May 10 22:31:16 +0000 2020,OSCARS!  #HollywoodNetflix https://t.co/xDqeM1eLvb
1259610888408928300,Sun May 10 22:26:52 +0000 2020,FINALE 🎬 #HollywoodNetflix https://t.co/QhsM2Hy794
1259609769326698500,Sun May 10 22:22:26 +0000 2020,THE QUEEN!! #HollywoodNetflix
1259609374844043300,Sun May 10 22:20:52 +0000 2020,I couldn’t keep a straight face hearing David’s super slide into frame behind me. #HollywoodNetflix
1259608309742440400,Sun May 10 22:16:38 +0000 2020,Sex and Pie @houseofpies1967 #HollywoodNetflix @DylanMcDermott and @HollandTaylor
1259607457527021600,Sun May 10 22:13:14 +0000 2020,We’re multi tasking! #HollywoodNetflix
1259592641437548500,Sun May 10 21:14:22 +0000 2020,Join us for the after party at 3.45 PST 🥳 https://t.co/dfI7QIdTnK
1259193587192848400,Sat May 09 18:48:40 +0000 2020,RT @corenswet: This Mothers’ Day, give the gift of #HollywoodNetflix  The epic and heartwarming to-good-to-be-true finale: “A Hollywood End…
1259189575051645000,Sat May 09 18:32:43 +0000 2020,Kind words Ava ❤️ https://t.co/UY3dizWjhv
1258601293163053000,Fri May 08 03:35:06 +0000 2020,RT @corenswet: Thanks for joining us! Tune on Sunday for the finale!! #HollywoodNetflix #MomsLoveHollywood @DarrenCriss @jrmypope @jake_pic…
1258601233792696300,Fri May 08 03:34:52 +0000 2020,STAY EXCELLENT!! https://t.co/UvI4iIo71j
1258577666724130800,Fri May 08 02:01:13 +0000 2020,RT @DarrenCriss: Well that's it folks! That's the last episode! They burned the movie! Our gang lost! BYE #HollywoodNetflix
1258573245277593600,Fri May 08 01:43:39 +0000 2020,NOT THE FILM!!! #HollywoodNetflix https://t.co/fdbRCstcH3
1258572693516849200,Fri May 08 01:41:27 +0000 2020,Randy for the win! #HollywoodNetflix
1258572127445241900,Fri May 08 01:39:12 +0000 2020,Mayple syrup. And if I’m feeling disgusting peanut butter. 😬 https://t.co/chjq4w0Xi3
1258571806362923000,Fri May 08 01:37:56 +0000 2020,Claire is so rude to Gertie lol #HollywoodNetflix
1258571109441527800,Fri May 08 01:35:10 +0000 2020,ACE IS BACK. Dun dun dun. #HollywoodNetflix https://t.co/Mz758UNUWH
