id,created_at,text
1260502109461590000,Wed May 13 09:28:16 +0000 2020,He wasn't abusing me. I get hundreds of abuses everyday in my mentions and I stopped bothering about those long bac… https://t.co/U6hpkYvFqm
1260497461816299500,Wed May 13 09:09:48 +0000 2020,RT @Dizazster: Deva Raja Indra on Airavata having 33-heads, Thailand https://t.co/jHDETom63E
1260496614315229200,Wed May 13 09:06:26 +0000 2020,@Dizazster More virat morality mongers in the mentions. They are all drunkards and degenerates. And they have the g… https://t.co/3Mjv4mBgmD
1260492092595372000,Wed May 13 08:48:28 +0000 2020,@Dizazster They are the worst of the lot.  Zero knowledge, zero contribution. Out of their miserable lives, they th… https://t.co/frAHmEFkOR
1260488395610034200,Wed May 13 08:33:46 +0000 2020,It is very easy to lecture and judge others.  To practice what you preach is the harder part.  Often, people who ju… https://t.co/y6hl9ovBfK
1260306397972975600,Tue May 12 20:30:35 +0000 2020,@prashant_2404 @TarekFatah I retweet anything  I find  interesting. Even if I disagree with it. BTW, since when did… https://t.co/0uRS0iinD3
1260305787345186800,Tue May 12 20:28:09 +0000 2020,@vikas4peeps @TarekFatah I am rude to anyone who deserves it. I am a good judge of people's character and I trust m… https://t.co/FieVmdfN3m
1260303803758207000,Tue May 12 20:20:16 +0000 2020,Just reiterating. Although I disagree with him on many issues , I respect @tarekfatah.   I request people to not re… https://t.co/JI0avF117k
1260234399737458700,Tue May 12 15:44:29 +0000 2020,Source: Fathnama-I-Chittor, March 1568 (translated by Ishtiaq Ahmed Zilli), Proceedings of the Indian History Congr… https://t.co/vL8qCbm96z
1260185036201980000,Tue May 12 12:28:20 +0000 2020,Source of the quote is "Fathnama I Chittor "issued by Akbar in 1568 after he invaded Chittor an conducted gεnocide… https://t.co/onk1WMcpkd
1260182321816195000,Tue May 12 12:17:33 +0000 2020,"Allah gave me task of destroying wicked Hindu kafirs..  At his command, I performed Jihαd destroying places of Hin… https://t.co/oEpJp4dnzS
1260158912864518100,Tue May 12 10:44:32 +0000 2020,RT @Vyasonmukh: It is to be remembered -  People who are mute spectators today are responsible for tomorrow's situation ... Especially good…
1260150831719960600,Tue May 12 10:12:25 +0000 2020,Article calls Akbar "Emperor of India". Akbar didn't even rule 50% of land that comes under today's "India"  During… https://t.co/SWapsxy2bx
1259878429358358500,Mon May 11 16:09:59 +0000 2020,NONSENSE.  Tughlaq DEBASED currency. He replaced Gold &amp; Silver coins with copper/brass as token currency.  Tughlaq'… https://t.co/PtzCCJ8P4r
1259783988564000800,Mon May 11 09:54:43 +0000 2020,Sher Ali first served the British colonial officer Major Hugh James.  He served Major Taylor who brutally suppresse… https://t.co/JnjgsaKKGk
1259772773024448500,Mon May 11 09:10:09 +0000 2020,Sher Ali was freedom fighter?  Ha ha!  FAKE!  Sher Ali SERVED in British army and killεd Indian freedom fighters in… https://t.co/ApyWuzmGg1
1259525335231545300,Sun May 10 16:46:55 +0000 2020,But I understand from your thread that you longer wish to "mount any defence" to your claim. I must then say that t… https://t.co/xbMv9cCCEm
