id,created_at,text
1245055558778065000,Tue Mar 31 18:29:11 +0000 2020,RT @CertifiedBckts: 🚨 New episode with @T_HardJR 🚨  ☑️ 3:20 - Playing on the night the NBA shutdown ☑️ 21:19 - @luka7doncic's fave TV show…
1240322390695063600,Wed Mar 18 17:01:16 +0000 2020,RT @HistoryJumpman: Since there’s no NBA right now, here’s some non-NBA Michael Jordan highlights 📺 #JumpmanHistory https://t.co/LmDGgKM2np
1221529612938895400,Sun Jan 26 20:25:29 +0000 2020,RIP to an ICON!!!🙏🏾 Just devastating
1208488270453063700,Sat Dec 21 20:43:50 +0000 2019,I’ve had partners all my life, everything can’t be done with one person, you need help! @realtors expertise helped… https://t.co/Y28YlzXdx2
1208321212595789800,Sat Dec 21 09:40:01 +0000 2019,RT @famouslos32: Tim JR was going crazy 🤦🏾‍♂️ Straight Splikaks https://t.co/fZTnUAK0Jq
1208268605315592200,Sat Dec 21 06:10:58 +0000 2019,RT @uninterrupted: How do you find the perfect real estate space for your business in a new city? @dallasmavs guard @T_HardJr teamed up wit…
1203527894791868400,Sun Dec 08 04:13:05 +0000 2019,RT @TamaraJolee: Last one! Even though the @dallasmavs play early tomorrow, they didn’t mind spending hours with the kids. This squad is fu…
1192369285072597000,Thu Nov 07 09:12:45 +0000 2019,RT @mavsfirepatrol: .@T_HardJR’s salute to the troops on Seats for Soldiers Night: Jordan 10 in ‘Woodland Camo’ https://t.co/Pi2m1sOSBn
1189659982452707300,Wed Oct 30 21:46:57 +0000 2019,RT @ESPNNBA: Dirk Nowitzki got a street named after him by the Mavs arena today 🙌  (via @luka7doncic) https://t.co/KfMxKAKiZ6
1139410399478992900,Fri Jun 14 05:53:03 +0000 2019,Damn Prayers up for both KD and now Klay!! 🙏🏾 Never want to see it happen in sports, but MAD RESPECT to them both for laying it all out 💯
1138289143535022100,Tue Jun 11 03:37:34 +0000 2019,He would call that foul lol
1127748861244657700,Mon May 13 01:34:15 +0000 2019,Yoooooo ARE U KIDDING ME!!!! Lol
1120917798950252500,Wed Apr 24 05:10:03 +0000 2019,😲😲😲 that’s just different Dame!!!
1120917430329589800,Wed Apr 24 05:08:35 +0000 2019,RT @JustJMo: Please take 10 seconds and cast your vote for center of the year in @BasketballCL! Appreciate all your support! 🙏🏾 https://t.c…
1120915856794452000,Wed Apr 24 05:02:20 +0000 2019,😲
1111663176653824000,Fri Mar 29 16:15:29 +0000 2019,https://t.co/ESq2XNeQBw
1110404731363577900,Tue Mar 26 04:54:52 +0000 2019,Prayers up for Nurkic.. 🙏🏾
1097316391366115300,Mon Feb 18 02:06:29 +0000 2019,Dat dude Dirk!!!!
1081727207343415300,Sun Jan 06 01:40:38 +0000 2019,Omg his ankle #DALvsSEA
1071152743413375000,Fri Dec 07 21:21:29 +0000 2018,Surprised a fan and helped him find the perfect @Levi for his J’s 🔥🔥 https://t.co/64l6genl2w
1062197949957062700,Tue Nov 13 04:18:20 +0000 2018,Prayers up for my brother C Luv!!! @CarisLeVert hate to see this happen to a hardworking, passionate individual!!
1060436531717066800,Thu Nov 08 07:39:05 +0000 2018,RT @umichbball: Hey @JohnBeilein ... Congrats on No. 8⃣0⃣0⃣   #GoBlue 〽️🏀 https://t.co/vgb3DatYoZ
1051212773399629800,Sat Oct 13 20:47:10 +0000 2018,#GoBlue 〽️
1043607125317111800,Sat Sep 22 21:05:02 +0000 2018,Y’all go show some love to my pops @HardawaySr
1012369112822091800,Thu Jun 28 16:16:20 +0000 2018,I'll never forget the night I was drafted by the New York Knicks. Thanks @PlayersTribune and @BudweiserUSA for lett… https://t.co/aSUxPQVs0C
1009983158522171400,Fri Jun 22 02:15:24 +0000 2018,@moritz_weasley welcome to the NBA my fellow WOLVERINE #GoBlue 〽️
1009956235591012400,Fri Jun 22 00:28:25 +0000 2018,@KevKnox Time to work kid!! Let’s Get It
1009954106646126600,Fri Jun 22 00:19:57 +0000 2018,Here We Go!!!
997240950446547000,Thu May 17 22:22:25 +0000 2018,RT @TheNBPA: ITS OFFICIAL❗️Our next ⭐️ to appear at this year’s NBPA Summer Basketball Camp is none other than @T_HardJR! Don’t forget the…
992162335593844700,Thu May 03 22:01:48 +0000 2018,TAKE THAT FOR DATA #KnicksWay
990096092699222000,Sat Apr 28 05:11:18 +0000 2018,How is that not a foul lol??
989319841692766200,Thu Apr 26 01:46:45 +0000 2018,Damn same play against the Orlando Magic in the ECF yrs ago...
981715518456520700,Thu Apr 05 02:09:53 +0000 2018,RT @TheUndefeated: It's #NBAJam day, so we had to get some of our favorites to sit down and talk about one of the most iconic games ever. W…
981003676796862500,Tue Apr 03 03:01:17 +0000 2018,If that was @TreyBurke they would’ve called a foul on that clean block
980236980511477800,Sun Apr 01 00:14:42 +0000 2018,GAME. BLOUSES. 〽️ #GoBlue
977744409260429300,Sun Mar 25 03:10:07 +0000 2018,WE’RE BAAAAAAACKKKK #GoBlue
977740430635929600,Sun Mar 25 02:54:18 +0000 2018,🙏🏾
977715668815614000,Sun Mar 25 01:15:55 +0000 2018,Terrible call
977580563371561000,Sat Mar 24 16:19:03 +0000 2018,This tournament is insane! Who do you have winning it all? #SUBWAYpartner  https://t.co/Iw4QKViRUs
976979881287352300,Fri Mar 23 00:32:09 +0000 2018,FACTS https://t.co/F4HvCVvUZm
976974637040095200,Fri Mar 23 00:11:19 +0000 2018,RUN THEM OUT THE GYM
976972860559380500,Fri Mar 23 00:04:15 +0000 2018,For THREEEEEEEEEEE 〽️👌🏾 #GoBlue
975226080184471600,Sun Mar 18 04:23:10 +0000 2018,@JordanPoole_2 what you call bruh?? GAME BLOUSES lol
975225779205308400,Sun Mar 18 04:21:59 +0000 2018,DAMNNNNN #GoBlue #MarchMadness
975225545540689900,Sun Mar 18 04:21:03 +0000 2018,HAILLLLLLLL YEAAAAAAAA #goblue
961091770380640300,Wed Feb 07 04:18:28 +0000 2018,Damn!!! Get Well soon @kporzee . Praying on a speedy recovery
952260231572025300,Sat Jan 13 19:25:06 +0000 2018,HAIL YEAAAAAAA 〽️
950593251639210000,Tue Jan 09 05:01:07 +0000 2018,😮
950213124426264600,Mon Jan 08 03:50:37 +0000 2018,Big Win #KnicksWay
946483134685687800,Thu Dec 28 20:48:58 +0000 2017,GAMEDAY #KnicksWay LETS GET IT‼️
946169616677654500,Thu Dec 28 00:03:10 +0000 2017,Enes Kanter #NBAVote
946169445130653700,Thu Dec 28 00:02:29 +0000 2017,Kristaps Porzingis #NBAVote
940791614129295400,Wed Dec 13 03:52:54 +0000 2017,RT @umichbball: Oh what is this ... Fab 🖐 Ray Jackson is in the HOUSE!  #GoBlue 〽️🏀 #Legend #BaggyShorts https://t.co/5LN1gucdgJ
931240887404855300,Thu Nov 16 19:21:43 +0000 2017,🛫🇨🇦
931240739215953900,Thu Nov 16 19:21:08 +0000 2017,Thanks https://t.co/ZnORdD55RB for holding me down with the iPhone 8!!!!
925513838035963900,Wed Nov 01 00:04:28 +0000 2017,RT @Enes_Kanter: My thoughts,prayers to the victims &amp; families of the #Manhattan attack Stay strong and safe our beloved city New York  Ter…
920457624491118600,Wed Oct 18 01:12:53 +0000 2017,#PrayforGordonHayward
920444844790644700,Wed Oct 18 00:22:06 +0000 2017,DAMN 🙌🏾🙏🏾
918197679116771300,Wed Oct 11 19:32:40 +0000 2017,〽️😈 https://t.co/DyFW9ibyOb
916731999959834600,Sat Oct 07 18:28:35 +0000 2017,#BeatState
916114873922261000,Fri Oct 06 01:36:21 +0000 2017,RT @Enes_Kanter: My Brothers #KnicksFamily https://t.co/UfXyF7ICTJ
914568895188619300,Sun Oct 01 19:13:11 +0000 2017,#KnicksWay
908524969994457100,Fri Sep 15 02:56:47 +0000 2017,#TBT to a fun time last week. Here's my favorite Note8 doodle. Thanks @TMobile + @SamsungMobileUS for having me. https://t.co/UWgpANlbHi
905847540091932700,Thu Sep 07 17:37:38 +0000 2017,Hey NYC! Join me TONIGHT at the @Tmobile store in Times Square and check out the new @SamsungMobileUS Note8… https://t.co/PwJB8dMsrD
905209460146176000,Tue Sep 05 23:22:07 +0000 2017,Ann Arbor see you this weekend!!! #GoBlue 〽️
904053284410941400,Sat Sep 02 18:47:54 +0000 2017,Go Blue 〽️ https://t.co/oEbmy2yC4w
895159929119670300,Wed Aug 09 05:48:53 +0000 2017,RT @DwyaneWade: The lil bro @t_hardjr and I getting that work in a week ago in LA! #nextgeneration https://t.co/09niSSAGEb
894069210682449900,Sun Aug 06 05:34:45 +0000 2017,RT @umichbaseball: Rated THE BEST. https://t.co/WxRmSLpvYG
892845251542499300,Wed Aug 02 20:31:10 +0000 2017,#GoBlue https://t.co/6UCffp4Q1G
891373591274545200,Sat Jul 29 19:03:19 +0000 2017,RT @RealDealBeal23: How can somebody who don't play basketball tell you how to play basketball ? 🙃🤦🏽‍♂️
882279137280491500,Tue Jul 04 16:45:12 +0000 2017,Nothing wrong with working on the mechanics!! https://t.co/fPG4zpNnaa
880678162199400400,Fri Jun 30 06:43:30 +0000 2017,🔥🔥🔥 https://t.co/6DIen5TlkM
880642507419385900,Fri Jun 30 04:21:49 +0000 2017,New Hova 🔥🔥
878416569264558100,Sat Jun 24 00:56:44 +0000 2017,RT @danielpatrick_: Great meeting you today @t_hardjr!   #danielpatrick #timhardawayjr #nba #nbafashion @ Los… https://t.co/A0wzTOzlEV
878066747013611500,Fri Jun 23 01:46:40 +0000 2017,@Lanky_Smoove welcome young fella #GoBlue
877954676162838500,Thu Jun 22 18:21:21 +0000 2017,Dreams become reality tonight. Embrace the journey fellas!! #NBAdraft2017
876901283826761700,Mon Jun 19 20:35:32 +0000 2017,RT @ATLHawks: We see you @fearthefro95! https://t.co/ubXaY43Khz
