id,created_at,text
838057563295907800,Sat Mar 04 16:04:28 +0000 2017,RT @iFixit: Our Nintendo Switch Teardown: https://t.co/e7uPEe0YR1 https://t.co/3MaOwLpwMg
833507660066496500,Mon Feb 20 02:44:46 +0000 2017,RT @iFixit: Lance Ulanoff from @mashable thinks you’re too stupid to fix your own phone. We don't: https://t.co/Mvl57jgVWQ https://t.co/hZ4…
832811207622942700,Sat Feb 18 04:37:19 +0000 2017,RT @JuliaBluff: "They said that doing this would make it very easy for hackers to relocate to Nebraska." https://t.co/juRP1p8vBy via @mothe…
832737929378164700,Fri Feb 17 23:46:08 +0000 2017,RT @cvneutron: The "Ridiculous" Reasons to Support Right to Repair | iFixit https://t.co/iOMaJjOfH3
829769198695964700,Thu Feb 09 19:09:27 +0000 2017,RT @iFixit: Just keep swimming: https://t.co/Xh74Qrl69N https://t.co/5pOZV4xXet
811242974751309800,Tue Dec 20 16:12:52 +0000 2016,Those Apple AirPods X-rays... 👀 https://t.co/GgdEQdxOZj
811030243540549600,Tue Dec 20 02:07:32 +0000 2016,It's almost like flying millions of people around in tin cans as cheaply as possible is complicated 🤔leave the airline employees alone ya'll
808746020016255000,Tue Dec 13 18:50:51 +0000 2016,RT @iFixit: The 20 Best Instagram Repair Photos From 2016: https://t.co/mmQo9tb2sA https://t.co/L2UEUbWbl0
808416787146543100,Mon Dec 12 21:02:36 +0000 2016,Fancy drone! DJI Mavic Pro Quadcopter https://t.co/NRZE7A04D3
807233099578810400,Fri Dec 09 14:39:03 +0000 2016,The camera roll of someone who manages multiple repair related Instagram accounts (Pictures of friends and loved on… https://t.co/1fE3pwxXfM
805985770745917400,Tue Dec 06 04:02:36 +0000 2016,@antoine_leblond have you tried turning the litter off and back on again?
805968963582627800,Tue Dec 06 02:55:49 +0000 2016,Ready to become a superhero who beats people who litter with a large rake. Just in case you were wondering.
804730715245948900,Fri Dec 02 16:55:28 +0000 2016,RT @iFixit: One of our users is battling a fungus inside his MacBook screen! Maximum nope. https://t.co/uUmGmgUE2q https://t.co/8feISDKckd
803668401574944800,Tue Nov 29 18:34:13 +0000 2016,From a 1945 Navy manual on tools. https://t.co/smUCQ2Tlo4
802231345443287000,Fri Nov 25 19:23:52 +0000 2016,The Holiday Hole: marketing play of the year brought to us by the true Internet heroes at @CAH… https://t.co/joXoPDEHFY
801071099106598900,Tue Nov 22 14:33:27 +0000 2016,Bam! Our $20 Essential Electronics Toolkit. If you were looking for a sign this is it: fix your shit. https://t.co/op7FKPr7H6
800911559178367000,Tue Nov 22 03:59:30 +0000 2016,@LinusTech @dbrandSkins download the Nyan Cat Touch Bar app. So good it'll make you forget the laptop is a wet napkin for at least 8 seconds
800910818879545300,Tue Nov 22 03:56:34 +0000 2016,@scotttherobot I don't know what I'm looking at but it's the greatest thing I've ever seen
800805230581403600,Mon Nov 21 20:56:59 +0000 2016,The "I played video games all weekend" hangover also becomes harder to bounce back from as you get older.
799631676011749400,Fri Nov 18 15:13:42 +0000 2016,That awkward moment when Apple mislabels their own chip. (We found a TI chip there, not an Apple T1) https://t.co/9f7KIkV4nc
798931524540170200,Wed Nov 16 16:51:33 +0000 2016,@pld73 glad to help 😉
798929439266439200,Wed Nov 16 16:43:16 +0000 2016,The current Touch Bar and non Touch Bar MacBook Pros are two entirely different machines: https://t.co/sD3NTkm6Y8
798900854577213400,Wed Nov 16 14:49:41 +0000 2016,@JonyIveParody you'd solder yourself to the logic board with everything else if Apple would let you
798897842873987100,Wed Nov 16 14:37:43 +0000 2016,@RossmannGroup Apple's hardware is weak and the repairability dismal but lots of people don't focus on those aspects when buying ¯\_(ツ)_/¯
798895827288670200,Wed Nov 16 14:29:42 +0000 2016,@RossmannGroup it does look like an angry little gremlin to me. "I'm a shitty laptop but you're gonna buy me anyway! 😾"
798891811666202600,Wed Nov 16 14:13:45 +0000 2016,The new MacBook Pro: Apple sacrificed a lot of stuff a good laptop needs to bring you the Touch Bar https://t.co/izjmWDe1Ql
798629381421744100,Tue Nov 15 20:50:57 +0000 2016,The new MacBook Touch Bar is burdened with glorious purpose https://t.co/bepdQlwib1
797990321195880400,Mon Nov 14 02:31:33 +0000 2016,Remember when phones were too thick to fall between the seat and the center console of your car? That was nice.
797881996542259200,Sun Nov 13 19:21:06 +0000 2016,We drove 2 hours and almost got some Snapchat Spectacles for @iFixit but we struck out https://t.co/1cDpR1AvlA
797138397168955400,Fri Nov 11 18:06:18 +0000 2016,@ZacksJerryRig achievement obtained 🏆
794916827390279700,Sat Nov 05 14:58:35 +0000 2016,Man hacks Alexa into singing fish robot, terror ensues: https://t.co/d0wqnvogOd https://t.co/B3FYqhTSO9
778727008696053800,Wed Sep 21 22:46:01 +0000 2016,The iPhone 7 looks great in black https://t.co/cLcuSvkwa5
778030010049232900,Tue Sep 20 00:36:24 +0000 2016,@chowspecial we didn't try the headphones but we did use the port to charge it underwater - worked just fine
778009124571271200,Mon Sep 19 23:13:24 +0000 2016,Last week I treated an iPhone 7 to a long soak in our fish tank: https://t.co/Ui3Nd8QFEI https://t.co/dTgViuFyXZ
777219142323728400,Sat Sep 17 18:54:18 +0000 2016,@ZacksJerryRig "I saw this guy on YouTube scratching them! With a box cutter! I was so upset." - Apple employee when I picked up some phones
777213482437582800,Sat Sep 17 18:31:48 +0000 2016,It was a wild teardown ride but so worth it: the iPhones 7 https://t.co/gMBtxxvBx7
774367945182937100,Fri Sep 09 22:04:39 +0000 2016,@RossmannGroup you'll have to pry the gold iPhone out of my cold dead hands. Keep your friends close and your enemies closer.
774103400455639000,Fri Sep 09 04:33:27 +0000 2016,I'll get over the headphone jack thing eventually but I just wanna enjoy being butthurt for a little while longer
768301687257772000,Wed Aug 24 04:19:31 +0000 2016,The harmonica is wildly underrated
