id,created_at,text
1259806790834950100,Mon May 11 11:25:19 +0000 2020,RT @TheScreenPatti: Abhinav is away from his father in the lockdown and wants to do anything and everything. But will his father let that h…
1259756009108750300,Mon May 11 08:03:32 +0000 2020,Happy "Appreciate Your Mother Every Day You Are Alive Not Just One Arbitrary Day" Day
1259493759416512500,Sun May 10 14:41:27 +0000 2020,Chandrachur Singh in Josh (2000) https://t.co/ynOnXh8fre
1259470680485175300,Sun May 10 13:09:44 +0000 2020,@UudBilawManus A modern take on the old classic "Ode to my Father's Donkey," I presume?
1259409229074493400,Sun May 10 09:05:33 +0000 2020,More proof that we are just stupid apes deluding ourselves that we are intelligent. https://t.co/1plRz1GoSA
1259208497918390300,Sat May 09 19:47:55 +0000 2020,Alif Laila. https://t.co/epJ3Pab44c
1259208102072598500,Sat May 09 19:46:21 +0000 2020,Kaisi wahiyaat baat kar rahe ho? 16 saal ke naujawaan ko 40 saal ka bata rahe ho? https://t.co/H7OhaF8sG1
1258730477483167700,Fri May 08 12:08:26 +0000 2020,Uncle, please sit. https://t.co/QT29aHeXn0
1258728917457940500,Fri May 08 12:02:14 +0000 2020,@neerjadeodhar @gundekibhabhi Yeah...@Rekhta has two online courses for the language and the script. Was already fa… https://t.co/37rkJKKmC4
1258726789200961500,Fri May 08 11:53:47 +0000 2020,@neerjadeodhar @gundekibhabhi Learnt how to read Urdu rasm-ul-khat... wouldn't yet use the word 'mastered'  though
1258643103768023000,Fri May 08 06:21:15 +0000 2020,"Let our civilization take its firm stand upon its basis of social co-operation and not upon that of economic explo… https://t.co/Sl9IXLn40U
1258311919225704400,Thu May 07 08:25:14 +0000 2020,Thoda thoda kya kar rahe ho yaaro? Seedhe slavery reintroduce hi kar do! https://t.co/sN1Ixz9AGn
1257976552618430500,Wed May 06 10:12:36 +0000 2020,Punjabiyaan di shaan vakhri... https://t.co/6Vdh40z9Ov
1257956841105117200,Wed May 06 08:54:17 +0000 2020,@gundekibhabhi Wo behen thi isliye 😬
1257954044993327000,Wed May 06 08:43:10 +0000 2020,@gundekibhabhi They left the most interesting part out...she was married to two of them.
1257626996663820300,Tue May 05 11:03:36 +0000 2020,Hate to be that guy, but both of these are wrong... https://t.co/PMO58TKwEa
1257596471815344000,Tue May 05 09:02:18 +0000 2020,Internet Explorer pe dekh rahe ho kya data? https://t.co/9eKkeGv17L
1257409558735192000,Mon May 04 20:39:34 +0000 2020,You just want attention... https://t.co/fm5rZjBDfS
1257289586977407000,Mon May 04 12:42:51 +0000 2020,But facts are not facts... https://t.co/EZ3wFJcIDU
1257049967996416000,Sun May 03 20:50:41 +0000 2020,May the farce be with you... Wait, that doesn't sound right. Or does it? #MayThe4th
1255738868986343400,Thu Apr 30 06:00:51 +0000 2020,Kya umar, kya sama, kya zamana tha... Goodbye Rishi Kapoor.
1255156536042647600,Tue Apr 28 15:26:52 +0000 2020,@gundekibhabhi That's not acting.
1254756924626591700,Mon Apr 27 12:58:57 +0000 2020,Dost dost na raha... https://t.co/SPnAI7ZnRa
1254718705734475800,Mon Apr 27 10:27:05 +0000 2020,I plan to win at least one Oscar and a Grammy next year... https://t.co/EENa37riKz
1254683577859612700,Mon Apr 27 08:07:30 +0000 2020,Maths pe dhyaan nahi diya tha bachpan mein? https://t.co/SXbX2rwUnn
1254443802854666200,Sun Apr 26 16:14:43 +0000 2020,RT @newspaperwallah: Now imagine you don't follow cricket and you come across this headline https://t.co/WBltJUHgAq
1253713544605917200,Fri Apr 24 15:52:56 +0000 2020,Cosmo kuch bhi bole usko jhooth hi maan lena chahiye... https://t.co/ZqOfXdagec
1253640342898765800,Fri Apr 24 11:02:03 +0000 2020,Taking 'thali bajana/diya jalana' to a whole new level! https://t.co/TLHaM9lzXj
1253253199084961800,Thu Apr 23 09:23:41 +0000 2020,RT @misterpiyush: Gonna tell my kids this guy created Flowcharts. #Officeoffice https://t.co/s13LRX6ZRc
1253243617520619500,Thu Apr 23 08:45:37 +0000 2020,#UnpopularOpinion Ajooba is a far better film than Baahubali (both parts!)
1252994332879175700,Wed Apr 22 16:15:03 +0000 2020,So, you wrote Tom Sawyer? That don't impress me much... https://t.co/dSZ0e0SpDF
1252557930353787000,Tue Apr 21 11:20:56 +0000 2020,Turns out The Joker was an apt nickname for this guy... https://t.co/T7JriYkJPr
1252543853904658400,Tue Apr 21 10:25:00 +0000 2020,It's actually a dark comedy. https://t.co/k02emcJH6x
1252522544051007500,Tue Apr 21 09:00:19 +0000 2020,RT @loveofcinemasf8: 1995 belongs to Rangeela https://t.co/9Zb8KxQ6M4
