id,created_at,text
1259635474962026500,Mon May 11 00:04:34 +0000 2020,RT @bungdan: @TheRickWilson I think some people I might have known in high school routinely gathered in half-built houses to smoke marijuan…
1259634896391340000,Mon May 11 00:02:16 +0000 2020,RT @tim_fargo: @TheRickWilson In the late 80s I ended up having a great chat with a developer who walked in on my having an "unauthorized t…
1259634869224775700,Mon May 11 00:02:10 +0000 2020,RT @JmMlSd: @TheRickWilson It's irrelevant to the murderous ambush into which the three white supremacists herded #AhmaudArbery.  And ask y…
1259634798676586500,Mon May 11 00:01:53 +0000 2020,RT @Temuchin7: @TheRickWilson They must have known you were *just about* to be arrested and sent to Gitmo!  Any. Moment. Now.
1259634760894288000,Mon May 11 00:01:44 +0000 2020,RT @JonathanRamen: @MelissaJPeltier @TheRickWilson Earned a tetanus booster that way at 7. Still worth it. A pool without water and filled…
1259634747535511600,Mon May 11 00:01:41 +0000 2020,RT @MelissaJPeltier: @TheRickWilson Used to do this all the time as a kid in the 70’s (without bike helmet too!).  Construction sites were…
1259634735602598000,Mon May 11 00:01:38 +0000 2020,RT @robwoodyard1: @TheRickWilson Grew up in a new suburb &amp; walking around houses under construction was a fundamental part of my childhood.
1259634722151583700,Mon May 11 00:01:35 +0000 2020,RT @stevebiffle: @rinsana @janemarielynch @kathygriffin @TheRickWilson @profkeithdevlin I will join the chorus. I have done this on many oc…
1259634699254841300,Mon May 11 00:01:29 +0000 2020,RT @rinsana: @janemarielynch @kathygriffin @TheRickWilson @profkeithdevlin Same
1259634679415783400,Mon May 11 00:01:25 +0000 2020,RT @janemarielynch: @kathygriffin @TheRickWilson @profkeithdevlin Ditto.
1259634671639507000,Mon May 11 00:01:23 +0000 2020,RT @kathygriffin: @TheRickWilson @profkeithdevlin I have too.
1259634653113319400,Mon May 11 00:01:18 +0000 2020,RT @nancytoby: @TheRickWilson Yes! People like it less when you go inside their newly-constructed house when they're at home.
1259634603071078400,Mon May 11 00:01:06 +0000 2020,Call me crazy but it seems like that might be a factor. https://t.co/UGD5yLZ9EO
1259634499064860700,Mon May 11 00:00:42 +0000 2020,RT @formikessake: @NYinLA2121 @TheRickWilson My house was the third built in my development.  I literally walked through every house on my…
1259634473349582800,Mon May 11 00:00:35 +0000 2020,RT @NYinLA2121: @TheRickWilson I can count 10-12 houses within 2 miles from my home where I have done this and guess what, I am here tweeti…
1259608444203647000,Sun May 10 22:17:10 +0000 2020,53 Years Ago Today: Beginning of The Real “Six Million Dollar Man”, The M2-F2 Crash. https://t.co/UuWRpLNHKK
1259601364444905500,Sun May 10 21:49:02 +0000 2020,How is this not ratioed to hell? https://t.co/urfaFrWF1g
1259600707583447000,Sun May 10 21:46:25 +0000 2020,The insufferable retweeting the imbecilic. https://t.co/95Gt4MEdTY
1259589073871782000,Sun May 10 21:00:11 +0000 2020,RT @JonahDispatch: Checking out a construction site totally proves a dude should be chased down with a pick up truck and shot? Is that what…
1259574883622752300,Sun May 10 20:03:48 +0000 2020,Donald Trump struggles with inanimate objects, words longer than four letters, and could be easily defeated in a ba… https://t.co/sUQL2y8wMb
1259570193912737800,Sun May 10 19:45:10 +0000 2020,RT @kurtbardella: Violence against people of color like #AhmaudArbery &amp; racism directed at people who look like I do has been fueled by the…
1259570170609221600,Sun May 10 19:45:05 +0000 2020,RT @AndyOstroy: .@realDonaldTrump has rage tweeted about 100 times today. Good thing we don't have an "emotional" woman president... #Trump
1259570157543923700,Sun May 10 19:45:01 +0000 2020,RT @waltshaub: FLUORIDE! https://t.co/eI7VXQt6Nq
1259570146017972200,Sun May 10 19:44:59 +0000 2020,RT @RadioFreeTom: Snorkel! Albuquerque!
1259570117941362700,Sun May 10 19:44:52 +0000 2020,RT @hilaryluros: I’ll take, “Things She Never Said to Him” for $100, Alex. https://t.co/iiELaMKWb6
1259570081287278600,Sun May 10 19:44:43 +0000 2020,RT @WalshFreedom: You do realize that @realDonaldTrump has no fucking idea how many Americans have died, don’t you?
1259570000974790700,Sun May 10 19:44:24 +0000 2020,DEMENTIA! https://t.co/amS2dUWvDE
1259569641996931000,Sun May 10 19:42:58 +0000 2020,RT @SouthPoint1000: I just made a contribution to @ProjectLincoln the Republican operatives who are doing some of the best work in taking o…
