id,created_at,text
1240091464001978400,Wed Mar 18 01:43:39 +0000 2020,I'll be sharing my thoughts on building #MVPs at the #PLLConf 2020 today at 11:30am SGT. Join the session online he… https://t.co/58f2XfkD7f
1236976286863519700,Mon Mar 09 11:25:03 +0000 2020,@GrabSG It has been over 48 hours since I reported an issue that my top up is not reflecting in my Grab Pay balance… https://t.co/WoqZkOa5ad
1211899762170949600,Tue Dec 31 06:39:53 +0000 2019,RT @TheSwamy: Microsoft has gone from ~225BILLION to 1.2TRILLION under @satyanadella leadership in about 6 years - a stock that hadn't move…
1194217954474225700,Tue Nov 12 11:38:42 +0000 2019,@AmazonHelp Do you have a timeline on when you can let me know the quantity limit after reviewing it internally?
1194025857402097700,Mon Nov 11 22:55:22 +0000 2019,@AmazonHelp Thanks for the generic response. I'm not interested in your internal feedback process. I'm interested i… https://t.co/Q5ZXDRelqy
1193837489472983000,Mon Nov 11 10:26:52 +0000 2019,@amazonIN How is a customer supposed to know the limits on order quantity? Shouldn't this be specified on the produ… https://t.co/4QnCRKKIDH
1183014117180706800,Sat Oct 12 13:38:39 +0000 2019,RT @deepigoyal: This is the best possible validation for restaurants, that Gold benefits their businesses and expands the size of the indus…
1160000298502373400,Sat Aug 10 01:29:57 +0000 2019,@LagoonBintan Are the resort activities open (paid, of course) for guests who are NOT staying at the hotel?
1121347572675690500,Thu Apr 25 09:37:49 +0000 2019,@VodafoneIN #VodafoneIdea #HappyToRepeat
1121345999761313800,Thu Apr 25 09:31:34 +0000 2019,@VodafoneIN @VodafoneIN You guys make me laugh and cry at the same time. When I say "Don't call", your team respond… https://t.co/IzpaN6Owra
1121224571477053400,Thu Apr 25 01:29:03 +0000 2019,So, @VodafoneIN automatically activated an International Roaming plan for me without my consent and simply refuse t… https://t.co/TXj9mTd7Gd
1115978698690138100,Wed Apr 10 14:03:50 +0000 2019,RT @basrur: Super excited about @redbullindia partnering with @oklistenin where 1 artist every month gets free global music distribution &amp;…
1114924303647043600,Sun Apr 07 16:14:02 +0000 2019,@McDonalds Yes, I'll skip the plastic straw. But please don't ask me to give up the disposable glass, plastic lid,… https://t.co/j3dQ3EoWed
1114021617611362300,Fri Apr 05 04:27:05 +0000 2019,@ankursaxena04 @deepigoyal All Zomato table reservations are without incentives.
1112890677044494300,Tue Apr 02 01:33:08 +0000 2019,@VodafoneIN I had raised a complaint regarding incorrect roaming charges on my bill but haven't received a satisfac… https://t.co/XVUzqh8ZDy
1112275423260401700,Sun Mar 31 08:48:20 +0000 2019,@GrabSG Waiting for a response to my rewards issue for almost a week now.
1108656653879017500,Thu Mar 21 09:08:38 +0000 2019,RT @deepigoyal: We know that food safety is very important for you. From now onwards, you'll see more and more food deliveries being made i…
1102250135642226700,Sun Mar 03 16:51:25 +0000 2019,RT @warikoo: This is unreal! Remarkable https://t.co/Po5VRnDJGa
1102071579809263600,Sun Mar 03 05:01:54 +0000 2019,@JioSaavn Why am I being forced to create a premium account to listen to songs? I can cancel later but you're betti… https://t.co/sM2EP9zLaP
1100780571108638700,Wed Feb 27 15:31:54 +0000 2019,RT @ZomatoIN: Zomato Gold just got cooler!  Introducing POWERPACKS ⚡– benefits that never expire!  Whether you are new to the party or a so…
1100780510375116800,Wed Feb 27 15:31:39 +0000 2019,RT @adityamohanty_: Powerpacks is great, the starter pack is absolute value for money, even for a single visit. Will definitely enable more…
1100656777744416800,Wed Feb 27 07:19:59 +0000 2019,RT @vj0109: We're hiring for a Product lead to build and run our business product at Luno from the ground up. Awesome opportunity if you ar…
1100282906671337500,Tue Feb 26 06:34:21 +0000 2019,RT @deepigoyal: In our ongoing fight against paid/fake reviews, we are involving our users to ensure that the neutrality of our platform is…
1100282874618495000,Tue Feb 26 06:34:14 +0000 2019,RT @deepigoyal: 10.5 million diners booked tables online via Zomato in 2018. We are seeing a major shift in user behavior and remain bullis…
1094289786871767000,Sat Feb 09 17:39:50 +0000 2019,@INSEADAlumni SPSD
1094288282274345000,Sat Feb 09 17:33:52 +0000 2019,@rehanyarkhan I think the advantage lies in leveraging their base as suppliers/ sellers and last mile (O2O play), n… https://t.co/EQkhjvdPUl
1091687425389281300,Sat Feb 02 13:18:59 +0000 2019,@rajeshsawhney Though people are ordering in more often, this graph is very misleading because of 3 reasons: 1. The… https://t.co/PYlNKfCNdO
1091686086580097000,Sat Feb 02 13:13:40 +0000 2019,RT @ZomatoIN: You're always at your prime. https://t.co/tJiFFspI35
1086897026779041800,Sun Jan 20 08:03:39 +0000 2019,RT @deepigoyal: Delhi folks, today is the grand finale of @ZomalandIN in your city. Make sure you are there to experience the carnival. 🎡…
1085761626513526800,Thu Jan 17 04:51:58 +0000 2019,RT @deepigoyal: Delhi folks, Zomaland debuts in your city this weekend. Make sure you are there to witness the grandest food and entertainm…
1079797227151941600,Mon Dec 31 17:51:35 +0000 2018,RT @pratikpoddar: 1) Looking for a branding / marketing co-founder of an exciting early stage commerce opportunity.  2) Looking for a ops c…
1076057582559682600,Fri Dec 21 10:11:34 +0000 2018,RT @elegantlywasted: Important update about preventing biased reviews on Zomato : https://t.co/GnOYEVQQSX
1075973121671393300,Fri Dec 21 04:35:57 +0000 2018,@GoogleIndia This looks weird. Indians don't use words like gas stations, cashpoints and pharmacies. https://t.co/Y3YKnCL3JP
1073620386888278000,Fri Dec 14 16:47:01 +0000 2018,@AmazonHelp Any specific reason why you display the rating only for popular titles and not all titles?
1073619770853990400,Fri Dec 14 16:44:34 +0000 2018,@AmazonHelp Thanks. Just checked. Seems like it's gotten added recently.
1073577313814634500,Fri Dec 14 13:55:52 +0000 2018,RT @sreeraman: Thread. For honest tax payers only. https://t.co/iOyMTTfVAb
1073576585612222500,Fri Dec 14 13:52:58 +0000 2018,@PrimeVideoIN Would it be too hard to add an @IMDb rating on your catalogue?
1072352032043032600,Tue Dec 11 04:47:02 +0000 2018,Great read on #productmanagement The Modern Day Good /Bad Product Manager by @hemal https://t.co/1VQXyoIHNT
1068026714624671700,Thu Nov 29 06:19:46 +0000 2018,RT @deepigoyal: Super excited to announce the arrival of India’s grandest food and entertainment carnival. 🎡  Say hello to Zomaland. And st…
1067610618432286700,Wed Nov 28 02:46:21 +0000 2018,@rehanyarkhan I agree that they're trying to maximize revenue from the time-conscious flyer but if the objective is… https://t.co/PUb1xHWbYY
1066376434824998900,Sat Nov 24 17:02:09 +0000 2018,RT @Zishaan: Check out Rajiv Singh in his well-researched story for Forbes on how Toppr is penetrating into tier-2 Indian cities with its o…
1060840597181874200,Fri Nov 09 10:24:42 +0000 2018,RT @forbes_india: #CoverStory | How food tech major @Zomato is making an audacious bid to transform itself into a farm-to-fork company: htt…
1060420298149900300,Thu Nov 08 06:34:35 +0000 2018,Well done, Delhiites! https://t.co/VrcZbzxvMj via @ndtv
1060405625631526900,Thu Nov 08 05:36:17 +0000 2018,@VolvoAutoIndia What's the point of talking down on your potential customers? You could've won more hearts with a s… https://t.co/ksiYHtGOv6
1060370037998059500,Thu Nov 08 03:14:52 +0000 2018,@InitiativeQ sounds interesting. If you want to register &amp; earn Q as a currency, use my invite. No sign up charges,… https://t.co/WjUbP4yUSD
1060042460561326100,Wed Nov 07 05:33:11 +0000 2018,Wow! Felt like I did some time travel today. Ordered from @swiggy_in and they called back after an hour, informing… https://t.co/cX4YcZrqej
1056862830820057100,Mon Oct 29 10:58:29 +0000 2018,RT @deepigoyal: Introducing our latest app update on iOS. This is a must-read for those who appreciate Design and Product as much as we do:…
1050236816601829400,Thu Oct 11 04:09:04 +0000 2018,RT @deepigoyal: Introducing Zomato Pickup. You can now order food on our app with the added flexibility of going and picking it up yourself…
1048813141327532000,Sun Oct 07 05:51:53 +0000 2018,RT @Zomato: Order away, India! 😋🍴🎉 #NoCookingSunday https://t.co/RuXFTaDMk8
1048649250832339000,Sat Oct 06 19:00:39 +0000 2018,RT @sajithpai: Comparing the ratio of ecommerce to food deliveries in China v India - China ecom orders 130m/day vs food deliveries 34m (or…
