id,created_at,text
1259768821302333400,Mon May 11 08:54:27 +0000 2020,RT @WatchTheBreaks: Who out there LOVES Topps Project 2020 &amp; wants to win this Ichiro by JK5?  RT &amp; Follow to enter to win!   #Collect #The…
1259748893501395000,Mon May 11 07:35:15 +0000 2020,RT @TwinsJake: OK let’s give something cool away for 2000 Followers. Probably a week or so away at this rate. I’m giving away Topps #Projec…
1259682792528580600,Mon May 11 03:12:36 +0000 2020,RT @GravelyMowers: #HappyMothersDay RETWEET for a chance to win these awesome #MothersDayGiveaway items! 🎉 (We will randomly choose a winne…
1259682205829402600,Mon May 11 03:10:16 +0000 2020,RT @bringer_of_heat: Giveaway time! In honor of all the amazing card collectors in the hobby! Must Like, Follow and Retweet to be entered t…
1259602528121032700,Sun May 10 21:53:39 +0000 2020,@1of1cardshop @Tua @Thacker_T @RobertCassius
1259602303784452000,Sun May 10 21:52:46 +0000 2020,@rocktober19 @RobertCassius
1259602272000106500,Sun May 10 21:52:38 +0000 2020,RT @rocktober19: 🚨GIVEAWAY ALERT 🚨: Mother’s Day special giveaway. Game-used,  cracked, autographed Ian Stewart baseball bat. JSA cert. To…
1259602121730805800,Sun May 10 21:52:02 +0000 2020,RT @OriginalFunko: RT &amp; follow @OriginalFunko for the chance to win a Funko Shop exclusive 10-inch gold Indiana Jones Pop! https://t.co/8Eq…
1259601974372315100,Sun May 10 21:51:27 +0000 2020,@DekesSports @Thacker_T
1259601905464082400,Sun May 10 21:51:11 +0000 2020,RT @DekesSports: Happy #MothersDay! Doing something a little different for today's giveaway..  The prize is $25 PayPal to make a purchase f…
1259601246417232000,Sun May 10 21:48:34 +0000 2020,RT @CentertonCards: Giveaway time! Watch the video below for directions. Basics as always, Like, Follow, and RT for your chance to win a fu…
1259392345440751600,Sun May 10 07:58:28 +0000 2020,RT @BWeiss2330: OK Nation! As we move past the 2020 NFL Draft, I wanted to put out another giveaway! This time it is a Darren Waller @darre…
1259236377356644400,Sat May 09 21:38:42 +0000 2020,RT @UBcards: Hey crew can you help fill this 2 BOX XR FOOTBALL BREAK?? Want to get this sold out so we can order more fun stuff for next ti…
1259235368811073500,Sat May 09 21:34:42 +0000 2020,RT @StrokerAceKid: If I get a thumbs up from @TylerReddick I’ll giveaway 1 of these autographed die casts! Please RT https://t.co/YtXtMbTku7
1259235295343640600,Sat May 09 21:34:24 +0000 2020,RT @CardPurchaser: GIVEAWAY ALERT! Project 2020 Mike Trout #35 by Andrew Thiele giveaway!!  To enter: -Follow @CardPurchaser  -Retweet and…
1259233456971800600,Sat May 09 21:27:06 +0000 2020,RT @CherryTreeCardz: Let's do another giveaway...  If I get to 500 followers by 5/11 I'll give away a Topps 2018 rookie image variation pac…
1259233298162876400,Sat May 09 21:26:28 +0000 2020,RT @GeekVibesNation: Follow @GeekVibesNation and Retweet for a chance to win a Digital HD code for #SonicMovie   “Watch SONIC THE HEDGEHOG…
1259228583882625000,Sat May 09 21:07:44 +0000 2020,@WaltDisneyCo Is there any idea as to when we will be getting the refunds for our annual pass payments that we requested?
1259227323376771000,Sat May 09 21:02:43 +0000 2020,@DisneyParks Is there any idea as to when we will be getting the refunds for our annual pass payments that we requested?
1259227168732831700,Sat May 09 21:02:06 +0000 2020,@WaltDisneyWorld Is there any idea as to when we will be getting the refunds for our annual pass payments that we requested?
1259226798262452200,Sat May 09 21:00:38 +0000 2020,@WDWGuestService Is there any idea as to when we will be getting the refunds for our annual pass payments that we requested?
1259193046052339700,Sat May 09 18:46:31 +0000 2020,RT @StrokerAceKid: If I get the thumbs up from @DanielHemric I’ll giveaway this @southpointlv autographed die cast ! Please RT @NASCAR fans…
