id,created_at,text
1260691507167858700,Wed May 13 22:00:52 +0000 2020,@nickkokonas @tock @TheGiftTheatre When we get thru this nightmare, come be our guest. If I answer your question pu… https://t.co/zJZfgZ85Ul
1260682533408292900,Wed May 13 21:25:12 +0000 2020,@nickkokonas @tock @TheGiftTheatre gotcha. we have about 45 seats total. most intimate union theatre in America. wi… https://t.co/yIdUFvkyfg
1260681428326588400,Wed May 13 21:20:49 +0000 2020,@nickkokonas @tock Nick, would @tock work for theatre ticketing? @TheGiftTheatre is rethinking our web experience f… https://t.co/85oVrmhXSy
1260679635202977800,Wed May 13 21:13:41 +0000 2020,RT @jilly_peppa: @mindykaling I adore you! So glad you are creating worlds like @neverhaveiever on @netflix. Tho you also have a responsibi…
1260668535187091500,Wed May 13 20:29:35 +0000 2020,🤣🤣🤣🤣 https://t.co/z0Kai14yXu
1259917043253612500,Mon May 11 18:43:25 +0000 2020,Very cool @JoannaStern @WSJ video piece on contact tracing, location sharing, &amp; our brave new (necessary) world to… https://t.co/Rr1TVTsioK
1259723050741891000,Mon May 11 05:52:34 +0000 2020,@AtilS A wooden one, if you zoom in, evidently.
1259454979531853800,Sun May 10 12:07:21 +0000 2020,Behold: among them, not one dick bigger than a pinkie. https://t.co/fHzJCJaC2m
1259186206354612200,Sat May 09 18:19:20 +0000 2020,. @TheGiftTheatre ensemble member @MartiLyons is making something cool. Support by sharing or kicking in if you can… https://t.co/e4E1gNdciY
1258560037892612000,Fri May 08 00:51:10 +0000 2020,Current mood. https://t.co/eNXoOIofGr
1257996339704737800,Wed May 06 11:31:14 +0000 2020,@DonmarWarehouse Short answer: yes. ♿️❤️
1257705724559360000,Tue May 05 16:16:26 +0000 2020,. @TheGiftTheatre. Your home. Summer.  #PRN https://t.co/z6Sdx7SVZN
1257644815287795700,Tue May 05 12:14:24 +0000 2020,Congrats to @colsonwhitehead on your 2nd #Pulitzer. Your "The Intuitionist" inspired me to write; I haven't stopped… https://t.co/u52wkWCyUG
1255867944527179800,Thu Apr 30 14:33:45 +0000 2020,My pal Zoe @pwordpedia is up for @TheWebbyAwards! Zoe saw a lack of quality info online about the human body &amp; crea… https://t.co/prq1Y3RQ3v
1255670486496940000,Thu Apr 30 01:29:07 +0000 2020,@susannahb @briankoppelman 😂😂
1255610210510614500,Wed Apr 29 21:29:36 +0000 2020,@susannahb @briankoppelman soon. :)
1255552051318263800,Wed Apr 29 17:38:30 +0000 2020,@CAVandy @briankoppelman We do our best. 😬😂
1255489557442822100,Wed Apr 29 13:30:11 +0000 2020,About to sit down &amp; write, but had to report for #TheRoyale roll call first. @briankoppelman https://t.co/HOaWYvMxyn
1254881475671056400,Mon Apr 27 21:13:53 +0000 2020,And @realDonaldTrump in his upcoming "briefing" will be like: "We have the best Aliens. Truly fantastic people. Wel… https://t.co/fPPkUnFFy3
1254749257900478500,Mon Apr 27 12:28:29 +0000 2020,@briankoppelman Happy birthday, dude.
1253543654351949800,Fri Apr 24 04:37:51 +0000 2020,@realDonaldTrump Go to bed, you fucking idiot liar clown.
1253468522409312300,Thu Apr 23 23:39:18 +0000 2020,RT @deedee_k: Anyone have live performances they've witnessed that still stick with them? Can be theatre performance, concert, whatever.…
1253461036314890200,Thu Apr 23 23:09:33 +0000 2020,@deedee_k Hey, thanks so much!
1253214976342458400,Thu Apr 23 06:51:48 +0000 2020,@jfreewright Correct.
1253214743541747700,Thu Apr 23 06:50:53 +0000 2020,@WardellJClark Amen.
1253214605150748700,Thu Apr 23 06:50:20 +0000 2020,@dan_aho Wait until you read my next episode.
1252649722285826000,Tue Apr 21 17:25:41 +0000 2020,RT @RealTerryKinney: You can’t make these responses up. He is beyond any parody now. https://t.co/lzYIU6rKRy
1251277452594368500,Fri Apr 17 22:32:46 +0000 2020,https://t.co/ZftGDUI03n https://t.co/MkUZShHlDU
1251271435068362800,Fri Apr 17 22:08:52 +0000 2020,RT @JeffRightNoww: Real Aliens Be Like 👽 https://t.co/JZzBNCCzhH
1251191346855100400,Fri Apr 17 16:50:37 +0000 2020,@CNNPolitics No shit.
1250982328211509200,Fri Apr 17 03:00:03 +0000 2020,RT @susannahb: Your move, @artsmarketing, @smartyfiles, @4seasonstheatre, @thorntonmpt. Your move. @geffenplayhouse https://t.co/spbBCcUiAN
1250925841791451100,Thu Apr 16 23:15:36 +0000 2020,RT @robertloerzel: Brian Dennehy had his cantankerous moments. (Or was this part of his method?) These are some notes I took from the Chica…
1250843047522447400,Thu Apr 16 17:46:36 +0000 2020,RT @ChrisJonesTrib: Brian Dennehy, a giant of Chicago and America’s stages, and the screen, is dead at 81 https://t.co/STZC8Cmv9n
1250659873420910600,Thu Apr 16 05:38:44 +0000 2020,@Devs_FXonHulu @hulu @FXNetworks I humbly submit myself for S2. @Nick_Offerman @AtilS ♿️❤️
1250659430548594700,Thu Apr 16 05:36:59 +0000 2020,@marjhalperin Ironic $5 bill.
1250559107372810200,Wed Apr 15 22:58:20 +0000 2020,@girlsreallyrule @TheRedLineCBS
1250067354786173000,Tue Apr 14 14:24:17 +0000 2020,RT @StephanieKelton: In a sane world, the government would deliver a small 📦 to every person in America. Each month: face masks, gloves, a…
1249839256840872000,Mon Apr 13 23:17:54 +0000 2020,RT @VuesInterieure: So good to see this extract (the peripheral vision) from "The Pillowman" @TheGiftTheatre : Investigators Tupolski (Cyd…
1249723784749371400,Mon Apr 13 15:39:03 +0000 2020,@JWhitePubRadio Have you considered reporting him to H. aaRRRRff? (Thank you, I'll see myself out now.)
1249429508295233500,Sun Apr 12 20:09:42 +0000 2020,Thanks! Nearly 22,000 Americans are now dead from #COVID19 which you called a hoax. Many of us are stuck inside &amp; u… https://t.co/3zuI4AidTP
1249345088368578600,Sun Apr 12 14:34:15 +0000 2020,Required Reading. "The ‘Red Dawn’ Emails: 8 Key Exchanges on the Faltering Response to the Coronavirus"… https://t.co/zC5w68ECsv
1249329422039232500,Sun Apr 12 13:32:00 +0000 2020,RT @nachosarah: sorry to break this to you but if you go to church today you’re not a christian
1249096069696405500,Sat Apr 11 22:04:44 +0000 2020,@DPasquesi @AmericanTheatre @ActorsTheaterNY Fun non-joke story. Gregory trained with Jerzy Grotowski in the Polish… https://t.co/1QO8HwVLTW
1249065846753972200,Sat Apr 11 20:04:39 +0000 2020,RT @AliVelshi: An examination reveals Trump was warned about the potential for a pandemic but that internal divisions, lack of planning &amp; h…
1249053235945656300,Sat Apr 11 19:14:32 +0000 2020,@AmericanTheatre @ActorsTheaterNY @DPasquesi great photo of you.
1248748346333896700,Fri Apr 10 23:03:01 +0000 2020,RT @MrAndrewCotter: Some sports are slower. More about the strategy. https://t.co/JMBaGJ1tSd
1248717197595246600,Fri Apr 10 20:59:14 +0000 2020,@Vangsness @ericasbreamcast @SaraIsaacson @ClffChmbrln @ImCConner @adambusch @Dannystrong @liza_weil @adelsteinPaul… https://t.co/LBcmRobCrd
1248711325129244700,Fri Apr 10 20:35:54 +0000 2020,RT @histoftech: The @musicboxtheatre isn’t completely closed—you can watch their current films in their virtual screening room online! Proc…
1248377395611971600,Thu Apr 09 22:28:59 +0000 2020,@BrendaLWood1970 of course.
1248377365010342000,Thu Apr 09 22:28:52 +0000 2020,@bregsley always room at my table for you.
1248342288314622000,Thu Apr 09 20:09:29 +0000 2020,You know, this might be an unpopular opinion, but I think this dude may be completely fucking nuts. https://t.co/PUYB2esZBw
1248248917143113700,Thu Apr 09 13:58:27 +0000 2020,@Tiffboone your work was fucking incredible. my wife &amp; I watched it dumbfounded, giddy, awed. it wasn't just mimicr… https://t.co/2nynqbmPup
1247256599867031600,Mon Apr 06 20:15:20 +0000 2020,RT @FrankBruni: In his predecessors I could sense the beating of a heart and see the glimmer of a soul. In Trump I can’t. My column &gt;&gt;&gt; htt…
1247234843596984300,Mon Apr 06 18:48:53 +0000 2020,@UsmanAlly he's such a fucking ghoul.
1247000960699957200,Mon Apr 06 03:19:31 +0000 2020,@briankoppelman @pzizzo https://t.co/20HwuuXD3i
1246993060262817800,Mon Apr 06 02:48:08 +0000 2020,@AmyBrenneman @ASCpas Love ya, Amy. ♿️❤️
1246933259872862200,Sun Apr 05 22:50:30 +0000 2020,One of the most contemptible little cretins to have ever lived. Obsessed with sex, gays, etc....Like most perverted… https://t.co/7XUUkSBFAo
1246878860114899000,Sun Apr 05 19:14:20 +0000 2020,RT @robertloerzel: Queen Elizabeth speaks: "Better days will return. We will be with our friends again. We will be with our families again.…
1246812228889739300,Sun Apr 05 14:49:34 +0000 2020,@briankoppelman Happy Sunday. And how dare ye mis-spell #TheRoyale? ♿️😂 https://t.co/ZYj8mymgLc
1246799201364783000,Sun Apr 05 13:57:48 +0000 2020,RT @maureendowd: Do you feel better with Jared's "Slim Suit crowd" at the helm?  https://t.co/lN0n2iHeiB
1246647574553071600,Sun Apr 05 03:55:18 +0000 2020,RT @therealmikaelaw: I am donating 20% of what redbubble charges you (so my cut) to Feed Our Flock! They are providing meals to underprivil…
1246612011091460000,Sun Apr 05 01:33:59 +0000 2020,@dan_aho And that's our man on the realist beat, Dan Aho. Stacy, Rick? Back to you in the studio.
1246540531339067400,Sat Apr 04 20:49:56 +0000 2020,@MatthewACherry Wait whut
1246533586058125300,Sat Apr 04 20:22:21 +0000 2020,@RescriptedOrg Boxing, reading, writing, &amp; drinking wine.
1246531104854720500,Sat Apr 04 20:12:29 +0000 2020,@Devs_FXonHulu this show is exemplary and I would like to be in S2.
1246521615061483500,Sat Apr 04 19:34:46 +0000 2020,@iamanubhatt @chicagosmayor right back atcha. https://t.co/qYnSGSCZ1a
1246472967414075400,Sat Apr 04 16:21:28 +0000 2020,#PSA @chicagosmayor #StayHomeSaveLives #FlattenTheCurveChi https://t.co/zJLmslJwnm
1246156648231682000,Fri Apr 03 19:24:32 +0000 2020,@harpercreates thanks for the follow, man. keep up the great work.
1246103003846848500,Fri Apr 03 15:51:22 +0000 2020,@IsaacDSnyder Hey man long time listener first time caller. I think we're all auditioning for survivor right now.
1246081935023186000,Fri Apr 03 14:27:39 +0000 2020,@davidaxelrod David, I may be mistaken, but I think the technical term is Planet Fuckhead.
1245966780524355600,Fri Apr 03 06:50:04 +0000 2020,@zdenardi Mmm hmm
1245895017417277400,Fri Apr 03 02:04:54 +0000 2020,@nickkokonas His essay on the state fair is also hilarious.
1245867551701094400,Fri Apr 03 00:15:46 +0000 2020,RT @nickkokonas: Bankers are now saying that they do not have, &amp; therefore cannot process, PPP applications tomorrow. If true, I'd expect m…
1245840634621186000,Thu Apr 02 22:28:48 +0000 2020,Politics aside, Jared's looking pretty good for having passed away last week. https://t.co/mZacGofMY0
1245813343866232800,Thu Apr 02 20:40:21 +0000 2020,@tomverica @Station19 @KimRaver @JasonWGeorge @shondaland huh. I DON'T REMEMBER BEING ON THAT EPISODE, TOM 🤣
1245810799978963000,Thu Apr 02 20:30:15 +0000 2020,@KBQWrites literally just did this. but ate too much and now have the PB jitters. I ate the PB to quell the fear, b… https://t.co/DyBMr07iPS
1245799211108630500,Thu Apr 02 19:44:12 +0000 2020,@ArianMoayed yep. @BarackObama has him beat, as usual.
1245796379538133000,Thu Apr 02 19:32:57 +0000 2020,He's also gonna be #1 in the category of presidents who are responsible for citizens dying unnecessarily. I don't k… https://t.co/rz4Iw7Tbfw
1245725352745480200,Thu Apr 02 14:50:43 +0000 2020,RT @PostOpinions: First, we need a consistent nationwide approach to shutting down, @BillGates writes.  "Despite urging from public health…
1245444862582890500,Wed Apr 01 20:16:09 +0000 2020,@patrickwine Hi there. What's your recommendation for best wine club? Hope you're staying well. xo from Chicago.
