id,created_at,text
1259662258189320200,Mon May 11 01:51:00 +0000 2020,RT @wonderofscience: Amazing images of Auroras from space. https://t.co/4iNcUv1G9Q
1259662061375819800,Mon May 11 01:50:13 +0000 2020,RT @thecherryghoul: Y’all want to talk about blueprint https://t.co/GLD1LJcbVc
1259661852767854600,Mon May 11 01:49:23 +0000 2020,RT @YaraShahidi: Hate to flex... but I mean look at my mama 💞💞 https://t.co/Xi1HgUxUsH
1259661811722354700,Mon May 11 01:49:13 +0000 2020,RT @elizabethxix: I can’t wait to bring a child into this world one day with the person I love. I know it’s going to be such a beautiful mo…
1259652350601580500,Mon May 11 01:11:38 +0000 2020,RT @OrgPhysics: Astronomy view https://t.co/xrL0blKHhI
1259652279243849700,Mon May 11 01:11:21 +0000 2020,RT @landpsychology: The Bee Hummingbird. The tiniest bird species on the planet. https://t.co/fxEb5vO6ww
1259652123450650600,Mon May 11 01:10:44 +0000 2020,RT @MAstronomers: Meteors or space debris near Galicia, #Spain. (28.04.2020). https://t.co/GfHstrsT7v
1259595572597665800,Sun May 10 21:26:01 +0000 2020,RT @mbo_mayor: these days women want weddings than husbands. 🚶🏽‍♂️
1259595511725789200,Sun May 10 21:25:46 +0000 2020,RT @Longevity_Dan: Dear LOL... Thanks for being there when I have nothing else to say.😜 https://t.co/xbrNzfBtKO
1259594515821756400,Sun May 10 21:21:49 +0000 2020,RT @wjxt4: Make your appointments now! 💇 Barbershops and salons can reopen Monday. https://t.co/mzrxnCT6ke
1259593857777500200,Sun May 10 21:19:12 +0000 2020,RT @Essence: Tina Knowles Lawson and her daughter @Beyonce also teamed up to create the #IDIDMYPART campaign to bring awareness to the Unit…
1259593652646621200,Sun May 10 21:18:23 +0000 2020,RT @songsandsamples: thread on classic Kanye samples (1/5)  https://t.co/S0Cp942Vv0
1259593376716001300,Sun May 10 21:17:17 +0000 2020,RT @blackgirldating: ARE YOU KIDDING ME??!   ALL OF THE ANTIQUARANTINE PROTESTS WHICH WERE ACTUALLY A VIOLATION OF STATE MANDATES AND NOTHI…
1259593243173453800,Sun May 10 21:16:45 +0000 2020,RT @stuepperson: “I remember my mother's prayers and they have always followed me. They have clung to me all my life.” Abraham Lincoln #Hap…
1259592822933635000,Sun May 10 21:15:05 +0000 2020,RT @OrgPhysics: https://t.co/osbW7H6rQf
