id,created_at,text
1258784044264894500,Fri May 08 15:41:17 +0000 2020,RT @wolfblitzer: My first day at @CNN was 30 years ago today: May 8, 1990. I was CNN’s Pentagon Correspondent. A few months later, it was O…
1258491981057142800,Thu May 07 20:20:44 +0000 2020,75,054 people have died from Coronavirus in the U.S.  -- via @JohnsHopkins
1257706842479833000,Tue May 05 16:20:52 +0000 2020,In non-Corona news...  A 5-year-old boy was pulled over in Utah on his way to California to try to buy a Lamborghini https://t.co/Va5WCdBa6H
1256221690184503300,Fri May 01 13:59:25 +0000 2020,White House economic advisor Larry  Kudlow on the 30-million Americans who filed for unemployment since mid-March:… https://t.co/wHPujqjsnf
1256219701014933500,Fri May 01 13:51:30 +0000 2020,RT @kylieatwood: Noteworthy: The WHO - who had teams on the ground in Wuhan and China in late January - is not currently involved in the st…
1256209177665515500,Fri May 01 13:09:41 +0000 2020,States warned against leapfrogging on coronavirus reopening guidelines... "you could get away with that, but you ar… https://t.co/rrHPwYz50D
1253701876891160600,Fri Apr 24 15:06:34 +0000 2020,@kristindonnelly Your place for lunch...
1250122142240440300,Tue Apr 14 18:01:59 +0000 2020,‘Such a simple thing to do': Why positioning Covid-19 patients on their stomachs can save lives https://t.co/Sd0ik5AptO
1249711932480925700,Mon Apr 13 14:51:57 +0000 2020,Trump has been "fretting about Fauci for a while," a source close to the White House tells @Acosta.
1249693118624129000,Mon Apr 13 13:37:12 +0000 2020,Sailor aboard USS Theodore Roosevelt dies of coronavirus https://t.co/W8pkBil6uI
1248387402168545300,Thu Apr 09 23:08:45 +0000 2020,RT @CNNSitRoom: San Francisco Mayor London Breed on what her city and California are doing right to curb the impact of the coronavirus: “We…
1247546391586656300,Tue Apr 07 15:26:52 +0000 2020,RT @OmarJimenez: In the middle of the coronavirus pandemic, THIS is the line for in person voting as the polls open for Election Day in Wis…
1247149784097570800,Mon Apr 06 13:10:54 +0000 2020,"I'm a social scientist." https://t.co/CWwdD6yF1w
1246153016912294000,Fri Apr 03 19:10:06 +0000 2020,RT @wolfblitzer: Dr. Anthony Fauci says the coronavirus pandemic is "going to get worse, much worse, before it gets better." I'll discuss w…
1246151709316931600,Fri Apr 03 19:04:54 +0000 2020,The White House will give rapid Covid-19 tests to anyone who will come in close proximity to President Donald Trump… https://t.co/u8vJqKM8Tc
1245686863962218500,Thu Apr 02 12:17:46 +0000 2020,Experts tell White House coronavirus can spread through talking or even just breathing https://t.co/NnCcIX6Nui
1245661060570341400,Thu Apr 02 10:35:14 +0000 2020,More than 1 million N95 masks were stuck in China—until a plan that brought them to the U.S. on the New England Pat… https://t.co/D9IrDKOvw7
1245536743346094000,Thu Apr 02 02:21:15 +0000 2020,Spring breakers from UT Austin who ignored public health advice test positive for coronavirus  https://t.co/qhKyVU0sEB
1245164070531203000,Wed Apr 01 01:40:23 +0000 2020,RT @wolfblitzer: I’ll interview @VP @Mike_Pence tomorrow morning live on @CNN at 11:30 AM ET. As you know, he’s in charge of the White Hous…
1244979709567471600,Tue Mar 31 13:27:48 +0000 2020,New York coronovirus: Central Park and NY harbor are now home to makeshift hospitals - CNN https://t.co/DhVhOysxmC
1243559333851529200,Fri Mar 27 15:23:44 +0000 2020,It appears both @Johnkerry and @RealDonaldTrump have mutual feelings about @RepThomasMassie today... https://t.co/Nla97floMj
1243533202964217900,Fri Mar 27 13:39:53 +0000 2020,UK Prime Minister Boris Johnson last met with Queen Elizabeth II on March 11, Buckingham Palace https://t.co/rmGdyVlE25
1243531719736770600,Fri Mar 27 13:34:00 +0000 2020,RT @gelles: 45 doctors who tested positive for coronavirus have died in Italy, the Italian Association of Doctors said Friday.   Since the…
1243273003854712800,Thu Mar 26 20:25:57 +0000 2020,RT @wolfblitzer: I suspect President @realDonaldTrump will be asked at the White House Coronavirus Task Force briefing to explain his new p…
