id,created_at,text
1259610649266655200,Sun May 10 22:25:55 +0000 2020,RT @JenniferJJacobs: BREAKING scoop: Vice President Mike Pence is self-isolating away from the White House after an aide was diagnosed with…
1259216051998523400,Sat May 09 20:17:56 +0000 2020,RT @hunterw: https://t.co/BcqUX2n9IL
1259120994620526600,Sat May 09 14:00:13 +0000 2020,CDC Director Robert Redfield finally released a statement on the reporting surrounding allegedly shelved reopening… https://t.co/xCcJv1U5MR
1259114584968921000,Sat May 09 13:34:44 +0000 2020,RT @yashar: A king!
1258900756012372000,Fri May 08 23:25:04 +0000 2020,RT @samstein: SCOOP from @swin24 — Team Trump is contemplating holding campaign rallies at drive-in theaters  https://t.co/Z0g8eH8Hzu
1258830308939571200,Fri May 08 18:45:08 +0000 2020,RT @ddale8: Trump says that the fact a Pence staffer tested negative for a long time but now tested positive shows "the whole concept of te…
1258826690681344000,Fri May 08 18:30:45 +0000 2020,NEW: POTUS just announced Katie Miller, VP Mike Pence’s press secretary, tested positive for coronavirus
1258821293245444000,Fri May 08 18:09:18 +0000 2020,@Johnny_Joey @greg_price11 @yashar rekt
1258815258413719600,Fri May 08 17:45:19 +0000 2020,RT @yashar: Incredible facial hair situation here https://t.co/PYhgdlS3BM
1258807284068749300,Fri May 08 17:13:38 +0000 2020,RT @meridithmcgraw: Per @robcrilly, the pool traveling with the VP, "A VP member of staff tested positive for coronavirus this morning afte…
1258802476007993300,Fri May 08 16:54:32 +0000 2020,RT @CHueyBurns: Great question from @ZekeJMiller, about how everyday Americans could even feel safe about reopening when staffers at the Wh…
1258802457200689200,Fri May 08 16:54:27 +0000 2020,RT @carlquintanilla: (Reuters) - The White House will not consider any further stimulus legislation this month as it eyes  the economic imp…
1258759324815495200,Fri May 08 14:03:04 +0000 2020,RT @TheStalwart: OMG. The fastest growing sector of the labor market was employment at central banks https://t.co/ZNNIq95Dng https://t.co/n…
1258758487905099800,Fri May 08 13:59:44 +0000 2020,RT @Jordanfabian: In the latest and greatest sign the stock market =/= the economy, the Dow is up more than 300 points after the worst U.S.…
1258758433697927200,Fri May 08 13:59:31 +0000 2020,@RealOmeedMalik PLUS: — Deep dive on Larry Fink and BlackRock — Is the soaring national debt actually a good thing?… https://t.co/g3BAUTvysK
1258757471717462000,Fri May 08 13:55:42 +0000 2020,WALL STREET MEETS WASHINGTON EP 6 — @RealOmeedMalik and I explore how coronavirus is taking the conservative financ… https://t.co/oz6kXnhrFM
1258733553786945500,Fri May 08 12:20:40 +0000 2020,RT @EamonJavers: President Trump says on Fox this morning, “I learned a lot from Richard Nixon.” Says the lesson he has learned of history…
1258731261025226800,Fri May 08 12:11:33 +0000 2020,RT @alleniverson: We talkin about practicing social distancing!!! #StayHome #StaySafe https://t.co/wJZjQU5I7V
1258731129328283600,Fri May 08 12:11:01 +0000 2020,RT @TheStalwart: S&amp;P futures surging again ahead of what's going to be the worst jobs report of all time https://t.co/cVZWgeG4Yx https://t.…
1258730960562131000,Fri May 08 12:10:21 +0000 2020,RT @fran_chambers: Trump administration officials are meeting today to review information about the disproportionate spread of COVID-19 in…
1258498876367081500,Thu May 07 20:48:08 +0000 2020,RT @NOgnanovich: NEWS:  The Senate confirmed Brett #Giroir to be Representative of the US on the Executive Board of the  @WHO.  Giroir was…
1258498716325027800,Thu May 07 20:47:30 +0000 2020,RT @kathrynw5: Culture comes from the top https://t.co/BQxiusH62k
1258498663829115000,Thu May 07 20:47:17 +0000 2020,RT @esaagar: Yes, this latest one is her first on-camera interview *since Biden responded” https://t.co/pnOZO60Pi9
1258488567153791000,Thu May 07 20:07:10 +0000 2020,POTUS follows a short prayer from First Lady Melanie Trump, notes it’s the 2 year anniversary of her Be Best campai… https://t.co/AUkGUTp2ZF
1258487757942468600,Thu May 07 20:03:57 +0000 2020,RT @PaulaReidCBS: BREAKING: @realDonaldTrump will be getting a full report on shooting death of Ahmaud Arbery tonight. Says he has not seen…
1258486696213127200,Thu May 07 19:59:44 +0000 2020,RT @PeteButtigieg: New video has added to the gut-wrenching story of the killing of #AhmaudArbery in Georgia. This case cries out for justi…
1258485582659027000,Thu May 07 19:55:19 +0000 2020,VP Mike Pence takes the podium at WH’s National Day of Prayer ceremony https://t.co/tvGwJWzKKp
1258484716078076000,Thu May 07 19:51:52 +0000 2020,RT @megynkelly: MK EXCLUSIVE: #TaraReade responds to #JoeBiden; calls for him to drop out https://t.co/jxHAUYaWVU
1258482304114217000,Thu May 07 19:42:17 +0000 2020,RT @KellyO: "My heart goes out to the parents and the loved ones of the young gentleman. I will be getting a full report this evening."  Th…
