id,created_at,text
1260255359970627600,Tue May 12 17:07:46 +0000 2020,😳 https://t.co/YwKsGALAoM
1259675818592108500,Mon May 11 02:44:53 +0000 2020,Happy Mother’s Day! &lt;3
1258875245802320000,Fri May 08 21:43:42 +0000 2020,@predslover 🙏🏻❤️
1258872538458779600,Fri May 08 21:32:56 +0000 2020,🙏🏻 https://t.co/FI4OYFu88w
1258227972697231400,Thu May 07 02:51:40 +0000 2020,@TheWHL @_SoySauce_ @victoriaroyals 😍
1258088482448085000,Wed May 06 17:37:23 +0000 2020,@Kayvanmd Did Carol Baskin kill her husband?
1257791757103685600,Tue May 05 21:58:18 +0000 2020,🥺😩 https://t.co/npoaFveitf
1257779363568730000,Tue May 05 21:09:03 +0000 2020,RT @MarinersOfMaine: Quarantime goes live in 10 minutes!  5-5:30: @MikaelRobidoux  5:30-6: @TyRonning7   They'll take your questions on the…
1257770062338916400,Tue May 05 20:32:05 +0000 2020,RT @MarinersOfMaine: Get your questions ready for @MikaelRobidoux and @TyRonning7!  They'll be live on Quarantime with @keeleymike tonight…
1257549965842210800,Tue May 05 05:57:30 +0000 2020,😨😱 https://t.co/ys7jrBH0pK
1257502271664869400,Tue May 05 02:47:59 +0000 2020,@canucks181 😬
1257502055825989600,Tue May 05 02:47:08 +0000 2020,May the 4th be with u #StarWarsDay ..... I have yet to see Star Wars😩🤦🏼
1257353185439727600,Mon May 04 16:55:34 +0000 2020,RT @MarinersOfMaine: This week on "Quarantime" with @keeleymike:  TUES: @MikaelRobidoux &amp; @TyRonning7  THURS: @marcocrevier &amp; @fbrass31   Q…
1256753508205944800,Sun May 03 01:12:40 +0000 2020,:P https://t.co/HyJIjTJtwV
1255186626944221200,Tue Apr 28 17:26:26 +0000 2020,4,4,4 https://t.co/KkMGEtJ6hf
1255182432359202800,Tue Apr 28 17:09:46 +0000 2020,👌🏽🔥😩 https://t.co/zno44pMY3b
1254192093347459000,Sat Apr 25 23:34:31 +0000 2020,RT @brookwardtsn: Old Time Hockey https://t.co/pyQbc639mQ
1253456281429401600,Thu Apr 23 22:50:40 +0000 2020,Damn boiiiii!!! You is fire 🔥 https://t.co/syBY1cEN4z
1253455328626131000,Thu Apr 23 22:46:53 +0000 2020,RT @captaintommoore: My goodness, how gracious of you @theweeknd  Benji tells me you're rather talented and very popular! What a kind gestu…
1253446438077390800,Thu Apr 23 22:11:33 +0000 2020,LETS GOOOOO!!!!!! https://t.co/MWNCWqOqF4
1253365089605841000,Thu Apr 23 16:48:18 +0000 2020,RT @MarinersOfMaine: 🏆We've announced our 2019-20 End of Season Awards!🏆  Community Leader: @TWallin_10  Most Improved Player: @TyRonning7…
1252828072140669000,Wed Apr 22 05:14:23 +0000 2020,RT @SteveMartinToGo: Night owl banjo. https://t.co/4B6HeeljIl
1252076880942923800,Mon Apr 20 03:29:25 +0000 2020,RT @SportsCenter: "So I thought to myself, 'Well I guess I got to bail Michael [Jordan] out again.'"  Steve Kerr's version of his game-winn…
1251980821461794800,Sun Apr 19 21:07:43 +0000 2020,@isaaczale new new
1251294582148436000,Fri Apr 17 23:40:50 +0000 2020,@Brnjac Nastyyyyyy 😷
1250241992283455500,Wed Apr 15 01:58:13 +0000 2020,@ASHOKA_KDM Damnnnn 🔥
1249379350438269000,Sun Apr 12 16:50:24 +0000 2020,Happy Easter 🐣🐰💐
1249006573659160600,Sat Apr 11 16:09:07 +0000 2020,My deepest sympathies go out to you and your family.   RIP Colby 🙏🏻 https://t.co/36xrEAp1gV
1248015393005777000,Wed Apr 08 22:30:31 +0000 2020,Lol @CliffRonning7 Kung fu kick https://t.co/TYlrZyvWYp
1247965144514084900,Wed Apr 08 19:10:51 +0000 2020,RT @WolfPackAHL: Keep looking up.. that’s the secret of life. -Snoopy  #WednesdayWisdom https://t.co/1IlVOWSVrm
1247245699021803500,Mon Apr 06 19:32:02 +0000 2020,#HumboldtStrong 💚💛
1246578270495060000,Sat Apr 04 23:19:54 +0000 2020,I’ve never seen half of these!!! Wow super cool 😎 thank you for the support. 🙏🏻 https://t.co/NJaPmUxszg
1245575813761659000,Thu Apr 02 04:56:30 +0000 2020,RT @KingRyanG: Keep your eye on it https://t.co/v6jZuTAHa4
1243361270155423700,Fri Mar 27 02:16:41 +0000 2020,RT @CliffRonning7: We all support those that are on the front lines! @canucksalumni @canucks  #covid19 #FrontLineHeroes @NHL https://t.co/P…
1242493076737671200,Tue Mar 24 16:46:48 +0000 2020,@JohnMayer 😂 https://t.co/wulvDmsAXJ
1242280507146006500,Tue Mar 24 02:42:08 +0000 2020,@Brnjac Nasty 🔥👍🏼
1242220924499153000,Mon Mar 23 22:45:22 +0000 2020,I hope everyone is safe and healthy during this pandemic.  Keeping the spirits up my Grandma gave me a little visit… https://t.co/mrCTKqvzK7
