id,created_at,text
1260067473761751000,Tue May 12 04:41:11 +0000 2020,@CediDagger Agreed! He should do it more often
1260059048801702000,Tue May 12 04:07:42 +0000 2020,@Deeneaux_ He’s superrrrr new at it. I have to keep reminding him to speak lol I wish y’all could see his authentic raging self lol
1260055836044525600,Tue May 12 03:54:56 +0000 2020,If you want to see Jud’s super aggressive alter ego while he loses at Apex, watch him live stream now 😂 it’s his fi… https://t.co/8xvzzUTYE3
1257819636428689400,Tue May 05 23:49:05 +0000 2020,@gracemburke Omg grace lmao
1257819180604293000,Tue May 05 23:47:16 +0000 2020,@UrAvgConsumer @tldtoday @MKBHD And anything else that will get me off that gimbal 😩😩😩   Taking suggestions
1257039448673575000,Sun May 03 20:08:53 +0000 2020,@MMA_Guy_ @UrAvgConsumer Anytime!
1257039366733607000,Sun May 03 20:08:34 +0000 2020,@MMA_Guy_ @UrAvgConsumer I tested like 30+ grays sooo if you have any questions lmk lol
1257039169152520200,Sun May 03 20:07:47 +0000 2020,@MMA_Guy_ @UrAvgConsumer Hey! If you’re talking about the family room and kitchen, then it’s this color right here… https://t.co/gScNeBif69
1255474372871143400,Wed Apr 29 12:29:50 +0000 2020,@KevinKenson Lol @UrAvgConsumer changed it to Japanese. He couldn’t take the voice acting anymore 😂
1255176418956370000,Tue Apr 28 16:45:52 +0000 2020,@CKidTech @saradietschy @UrAvgConsumer Thank you! Too kind of you 🤗
1255176073790337000,Tue Apr 28 16:44:30 +0000 2020,@CKidTech @saradietschy @UrAvgConsumer Honestly I had so much fun that I kind of want to move studios just to be closer to @saradietschy 👀
1254944514810282000,Tue Apr 28 01:24:22 +0000 2020,@Jon4Lakers Thank youuu 🤗
1254933658395463700,Tue Apr 28 00:41:14 +0000 2020,@Jon4Lakers Let us know if this works!
1254870774411866000,Mon Apr 27 20:31:21 +0000 2020,@UrAvgConsumer Look at all of these cuties. Best thread everrr
1254835408250298400,Mon Apr 27 18:10:49 +0000 2020,@UrAvgConsumer Uh uh don’t have her out here like this. Brush her!
1254141825402785800,Sat Apr 25 20:14:46 +0000 2020,@TheAdrienneElle @UrAvgConsumer Hands down the best thing there lol he better had given it to me 😡
1252402661158084600,Tue Apr 21 01:03:57 +0000 2020,Our first time on a podcast! 🙌🏾 @saradietschy was the best host. We seriously had so much fun just chatting about e… https://t.co/3tvaKW3pd7
1241887623444037600,Mon Mar 23 00:40:57 +0000 2020,@austinnotduncan It’s lit. Go join
1236986047889842200,Mon Mar 09 12:03:50 +0000 2020,@austinnotduncan No you didn’t
1233543167963738000,Sat Feb 29 00:03:04 +0000 2020,@GeekMidz67 @UrAvgConsumer Thank youuu 😘
1229798863776747500,Tue Feb 18 16:04:32 +0000 2020,@Sweet_n_Feisty @UrAvgConsumer @microcenter Yeahhhhhh 💪🏾
1227643207183487000,Wed Feb 12 17:18:43 +0000 2020,RT @UrAvgConsumer: Wanna compete to spend $1000 in @microcenter against yours truly on 2/18?   @UrAvgGF is moving a little slower these day…
1227642455891333000,Wed Feb 12 17:15:44 +0000 2020,@UrAvgConsumer @microcenter Who is going to make #teamArie proud? 😭
1227350972705493000,Tue Feb 11 21:57:29 +0000 2020,@austinnotduncan @MKBHD @UrAvgConsumer 😍😍😍
1227312166996467700,Tue Feb 11 19:23:17 +0000 2020,RT @UrAvgConsumer: It’s finally time!!   Galaxy S20 vs S20 ULTRA Hands On! - What's the Difference? https://t.co/2ytb9Im21p #SamsungGalaxy…
1223774054122999800,Sun Feb 02 01:04:05 +0000 2020,@robertoblake @SpankieV @techme0ut @ToshPointFroEat @TechnicallyTee @UrAvgConsumer @D4Darious @MKBHD @Vyyyper… https://t.co/VswR51BCQX
1220797723680444400,Fri Jan 24 19:57:13 +0000 2020,@OfficialGamesky Sweeeeeeeeeet congrats!!! #vrooom
1218610906537414700,Sat Jan 18 19:07:35 +0000 2020,@Sweet_n_Feisty @UrAvgConsumer Haha we will now! Thank you love 💕
1218602305794130000,Sat Jan 18 18:33:24 +0000 2020,@curiousjoi You just changed my life https://t.co/vB2ESGNayh
1218601970652500000,Sat Jan 18 18:32:04 +0000 2020,@curiousjoi STOP IT. Rly? *runs to google* 🏃🏽‍♀️💨
1218601343620829200,Sat Jan 18 18:29:35 +0000 2020,For my next birthday all I want is to go somewhere and play with a ton of puppies for like an hour. That’s my dream. That’s all.
1218402091456053200,Sat Jan 18 05:17:50 +0000 2020,@LEGIQN @UrAvgConsumer 😂😂😂😂 now who can argue with that logic
1218401157267083300,Sat Jan 18 05:14:07 +0000 2020,@UrAvgConsumer @LEGIQN One person won $10k, the other will spend far more than that. Who is actually winning? 🤔
1216910170204377000,Tue Jan 14 02:29:28 +0000 2020,@MKBHD @UrAvgConsumer Thank you! 🥰
1212556500419465200,Thu Jan 02 02:09:32 +0000 2020,@TechNinjaSpeaks Lol I’ve been sooo MIA lately
1212530272434098200,Thu Jan 02 00:25:19 +0000 2020,Every year we take (and give our guys) a muchhhhh needed break during the holidays.   But there’s something about t… https://t.co/rOtOB0uXm8
1211461783187275800,Mon Dec 30 01:39:31 +0000 2019,@Vyyyper Unfortunately not - we’ve got family coming over 😩
1211424218212130800,Sun Dec 29 23:10:15 +0000 2019,@Vyyyper And I don’t think you wear makeup so you should be alright lol
1211423634646024200,Sun Dec 29 23:07:56 +0000 2019,@Vyyyper The white case was my worst enemy last year. It got sooooo dirty so quickly lol
1210955050660638700,Sat Dec 28 16:05:57 +0000 2019,@austinnotduncan @UrAvgConsumer Unapologetic! I love it 😈
1209598198458863600,Tue Dec 24 22:14:18 +0000 2019,@UrAvgConsumer @_terrywarfield Merry Christmas!! 👏🏾
1208014163508899800,Fri Dec 20 13:19:55 +0000 2019,@Vyyyper Thank youuuuuuu 💕
1208014002820931600,Fri Dec 20 13:19:16 +0000 2019,@SuperSaf @UrAvgConsumer Thanks Saf! ☺️
1207881982220406800,Fri Dec 20 04:34:40 +0000 2019,@austinnotduncan @UrAvgConsumer I’m so happy someone finally recognizes my hardships. Thanks Austin 😭
1207881733984727000,Fri Dec 20 04:33:41 +0000 2019,@Dave2D Thank you Dave!! 🤗
1207855746731446300,Fri Dec 20 02:50:25 +0000 2019,@SuperSaf @Tesla Look at you! Congrats!!
1207855129258602500,Fri Dec 20 02:47:58 +0000 2019,@UrAvgConsumer Thanks so much boo thang &amp; thanks everyone else. Totally feeling the love 🥰🥰🥰
1207855030742720500,Fri Dec 20 02:47:34 +0000 2019,@NBTJacklyn Hey hey! Thank ya!
1207854907312820200,Fri Dec 20 02:47:05 +0000 2019,@AndyManganelli @UrAvgConsumer Thanks Andrew!!
1207854857081761800,Fri Dec 20 02:46:53 +0000 2019,@saradietschy @UrAvgConsumer Thanks Sara! I had far too much fun and far too little work to do 😂
1207854716190900200,Fri Dec 20 02:46:19 +0000 2019,@reneritchie @UrAvgConsumer Thanks Rene!!
1207854630404796400,Fri Dec 20 02:45:59 +0000 2019,@DetroitBORG @UrAvgConsumer Mike! Thank youuu
1207854563165909000,Fri Dec 20 02:45:43 +0000 2019,@_terrywarfield @UrAvgConsumer Thanks so much 🤗
1207854451152826400,Fri Dec 20 02:45:16 +0000 2019,@jeffrubenstein @UrAvgConsumer Thank you Jeff!!
1207854380759818200,Fri Dec 20 02:44:59 +0000 2019,@kustoo @UrAvgConsumer Thank you!! 😭
1207339690971582500,Wed Dec 18 16:39:48 +0000 2019,There needs to be a word even bigger than milestone but until I find it, congrats to @MKBHD for reaching a MAJOR MI… https://t.co/jnaCrI3S02
1205620491970592800,Fri Dec 13 22:48:19 +0000 2019,@AndyManganelli Beautiful!! Who’s the photographer?
1205581426046984200,Fri Dec 13 20:13:05 +0000 2019,@tldtoday Like a plain old person
1205580585504260000,Fri Dec 13 20:09:44 +0000 2019,@tldtoday Your new avi 😂😂😂😂😂😂
1205017248919892000,Thu Dec 12 06:51:14 +0000 2019,@reneritchie @theMrMobile @Vyyyper @MKBHD @ijustine @JamesRath @jon_prosser @UnboxTherapy @UrAvgConsumer… https://t.co/9HNmhn7HAU
1202296096141303800,Wed Dec 04 18:38:21 +0000 2019,@TechNinjaSpeaks @UrAvgConsumer 😍😍😍
1202296025882517500,Wed Dec 04 18:38:04 +0000 2019,@TechNinjaSpeaks @UrAvgConsumer You know what I meant! 👶🏽
1202295599929942000,Wed Dec 04 18:36:23 +0000 2019,@TechNinjaSpeaks @UrAvgConsumer Bring 👶🏾
1202293619417325600,Wed Dec 04 18:28:31 +0000 2019,@UrAvgConsumer 🙋🏾‍♀️
1201831922013540400,Tue Dec 03 11:53:53 +0000 2019,@MKBHD Happy birthday, Marques! Now make this pic your new avi so we can see chaos ensue 😂😂😂
1198719773628129300,Sun Nov 24 21:47:19 +0000 2019,RT @xxnike0629xx: @UrAvgGF @UrAvgConsumer @UrAvgConsumer @UrAvgGF Intro was 🔥🔥 https://t.co/uH4MuiQUNK
1198691496628805600,Sun Nov 24 19:54:58 +0000 2019,@superscientific I got hypeee seeing the final edit. Our guy J has skills 👌🏾
1198681637812396000,Sun Nov 24 19:15:47 +0000 2019,The team did SUCH a good job on this one 🤤 You know Jud had to show out for Gundam lol.   Even if you just watch th… https://t.co/KIXwxCoFAz
1198539512151982000,Sun Nov 24 09:51:02 +0000 2019,@AndyManganelli Beautiful! Congrats!!!
1196503972066025500,Mon Nov 18 19:02:31 +0000 2019,@Naturerosa_rs Honestly when I watch her, I can just tell she’s on another level. Once she decided trains were the… https://t.co/No05npLrIF
