id,created_at,text
1259424300467212300,Sun May 10 10:05:26 +0000 2020,@john_lichfield Loved your Politico piece by the way. (On the complainers).
1259423787956818000,Sun May 10 10:03:24 +0000 2020,@john_lichfield Fair point. I think I tweeted on a new  low last weekend.
1259421602606985200,Sun May 10 09:54:43 +0000 2020,How will small businesses survive?@davidkeo on sellers of books, cheese and more - Parisian bookseller on edge as r… https://t.co/zo3nq6xgGf
1259412330309390300,Sun May 10 09:17:52 +0000 2020,Excellent analysis of Europe's coronavirus contact tracing dilemma - How Europe splintered over contact tracing app… https://t.co/CCfAKykT3m
1259259493009035300,Sat May 09 23:10:33 +0000 2020,@john_lichfield Unfortunately,  the truth is that numbers always seems to be lower at weekends, followed by surge o… https://t.co/YpncC0oneF
1259015411015790600,Sat May 09 07:00:40 +0000 2020,India’s lockdown puts squeeze on mango harvest https://t.co/GHVBPyEtBN via @financialtimes
1259015261325332500,Sat May 09 07:00:04 +0000 2020,US and China: edging towards a new type of cold war? https://t.co/4sW0SFz1GT via @financialtimes
1258793678459539500,Fri May 08 16:19:34 +0000 2020,UK draws up plans to bypass strike-prone port of Calais https://t.co/imHSAATvCv via @financialtimes
1258753268685189000,Fri May 08 13:39:00 +0000 2020,Lagarde urges eurozone to launch joint fiscal stimulus https://t.co/zEDjm0dJR9 via @financialtimes
1258752693436375000,Fri May 08 13:36:43 +0000 2020,Spain’s deputy PM calls for EU to step up or risk extinction  https://t.co/T9EH2eWB8k via @financialtimes
1258681766979743700,Fri May 08 08:54:53 +0000 2020,Coronavirus: France’s ‘strange defeat’ – POLITICO https://t.co/NgIKl7GJuH
1258628304162164700,Fri May 08 05:22:26 +0000 2020,EU increases pressure on Britain over Irish Sea customs border https://t.co/5sF02F2Upq via @financialtimes
1258627322422407200,Fri May 08 05:18:32 +0000 2020,Architect of Sweden’s no-lockdown strategy insists it will pay off https://t.co/3a3I8O9qhO via @financialtimes
1258405484429795300,Thu May 07 14:37:02 +0000 2020,France plans to relax lockdown from next week https://t.co/wfoW5JgDPd via @financialtimes
1258383294263185400,Thu May 07 13:08:51 +0000 2020,I'm tweeting true news about fake news tweeting: Twitter failing to curb misinformation ‘superspreaders’, report wa… https://t.co/PXhQoHdjwm
1258364396151152600,Thu May 07 11:53:45 +0000 2020,China’s Covid-19 QR code surveillance state https://t.co/LqNxWp2wBy via @financialtimes
