id,created_at,text
1259770877563908000,Mon May 11 09:02:37 +0000 2020,❤️🔒 https://t.co/ORijcyv7vX
1259412358528557000,Sun May 10 09:17:59 +0000 2020,👍🌟 https://t.co/VTXcSAilLb
1259351691595378700,Sun May 10 05:16:55 +0000 2020,Thank u @ufc. That was amazing. This ppv ruled #ufc249
1259255551222931500,Sat May 09 22:54:53 +0000 2020,#UFC249  ohhhhhh yeaaaaah I cant sleep https://t.co/RtLlUYH1lR
1259164233519911000,Sat May 09 16:52:02 +0000 2020,#NewProfilePic https://t.co/eJ9ahXl26J
1259164146446200800,Sat May 09 16:51:41 +0000 2020,RT @AnilDeshmukhNCP: Maharashtra Police has stood by citizens thro' calamities, attacks &amp; disasters. Today as they lead the war on Corona o…
1258359608952778800,Thu May 07 11:34:44 +0000 2020,The news about the #VizagGasLeak is heartbreaking prayers and strength 🙏
1258003419068985300,Wed May 06 11:59:22 +0000 2020,😀 glad to knw this dialogue has travelled all the way to israel sending love and positivity 🙏 #Abcd2 https://t.co/5dFr2DgdrQ
1257986424504062000,Wed May 06 10:51:50 +0000 2020,That’s amazing thank u 🙏 https://t.co/2boTFhhdSy
1257673679330136000,Tue May 05 14:09:06 +0000 2020,Here we go #milesurmeratumhara danced on this with 150 dancers from @shiamakofficial  company from 5 countries   https://t.co/lbfBrtvjEI
1257648212753563600,Tue May 05 12:27:54 +0000 2020,Hope this is true https://t.co/Dh1bkkP8wo
1257258855811211300,Mon May 04 10:40:44 +0000 2020,Huge shout out to all of you, for your generosity! Please let’s continue supporting the war against Covid-19. Click… https://t.co/MuUVgazO1u
1257025921770381300,Sun May 03 19:15:08 +0000 2020,#IForIndia is an amazing initiative by @karanjohar  and #zoyaakhtar bringing everyone together and raising a huge s… https://t.co/b3FC6CF2Zt
1256892012135018500,Sun May 03 10:23:02 +0000 2020,#IndianArmy in tough times like this our army is fighting to protect our nation from terrorist. My heartfelt condol… https://t.co/mvrtQDBMaM
1256522252993958000,Sat May 02 09:53:44 +0000 2020,Really enjoyed watching #neverhaveievernetflix @mindykaling  loved #devi and the entire gang. Loved the soundtrack as well
1256493096398778400,Sat May 02 07:57:53 +0000 2020,Wishing the people’s champ and fellow Tauren @TheRock a very happy birthday.
1256196143039553500,Fri May 01 12:17:54 +0000 2020,#IFORINDIA, the concert for our times. 3rd May, 7:30pm IST. Watch it LIVE worldwide on  Facebook. 100% of proceeds… https://t.co/smR9UBhdB3
1255760643220594700,Thu Apr 30 07:27:22 +0000 2020,I was just in awe facing him in a scene. Sid and me would always discuss that we shouldn’t mess up our lines. He wa… https://t.co/JP03zelpLx
1255752659954364400,Thu Apr 30 06:55:39 +0000 2020,💔 https://t.co/G5PyguUGjo
1255591534902169600,Wed Apr 29 20:15:24 +0000 2020,💙  माझ हीरो https://t.co/ITWaWPVzO3
1254035620697010200,Sat Apr 25 13:12:45 +0000 2020,Thank u kapil sending u and the family lots of love https://t.co/9ERt3uwVEd
