id,created_at,text
1258561374310903800,Fri May 08 00:56:29 +0000 2020,Sounds like a very thoughtful plan! Cheers to you both... https://t.co/AKG14kkFM4
1258561210703741000,Fri May 08 00:55:50 +0000 2020,Sending you positive work vibes! https://t.co/ffVr9YOjU8
1258561040394027000,Fri May 08 00:55:09 +0000 2020,I can hardly imagine what that is like! 🙏🏽 sending you comforting thoughts. https://t.co/boPkvivaG0
1258560621638869000,Fri May 08 00:53:29 +0000 2020,Stay safe and enjoy that roast! https://t.co/sIYf0Cbt1W
1258560510238179300,Fri May 08 00:53:03 +0000 2020,Happy Birthday and Mother’s Day to the both of you! https://t.co/1BlLxOCFcU
1258560368156143600,Fri May 08 00:52:29 +0000 2020,I’m looking forward to watching Becoming too! Have you read the book? https://t.co/4HyVWQv0Cc
1258560192670621700,Fri May 08 00:51:47 +0000 2020,Aye! What ingredients do you add to your boil? https://t.co/y1T9r6PaoJ
1258559991247601700,Fri May 08 00:50:59 +0000 2020,Yum! Sounds delicious! https://t.co/0gxRtNFddG
1258453233757941800,Thu May 07 17:46:46 +0000 2020,Friends, Mother’s Day is this weekend. What do you have planned?   We usually take #mamacoco to brunch but this year, it’s #corona time ...
1257702567166894000,Tue May 05 16:03:53 +0000 2020,Friends, Join me &amp; my sister @DrCindyMDuke on Wednesday (tomorrow) at 1pm pacific time on insta live with the CEO o… https://t.co/uAOXZiSDUT
1257692663827947500,Tue May 05 15:24:32 +0000 2020,RT @brownboyart: @Winston_Duke Word! Hell of a job! You’ve come a long way since #PersonOfInterest days.....can’t wait to see what’s next f…
1257692625177440300,Tue May 05 15:24:23 +0000 2020,It’s in my list but I got caught up working on a couple projects.  Give me till the weekend. https://t.co/1gNo7ciEjZ
1257692128286662700,Tue May 05 15:22:24 +0000 2020,Ah! Yes. @nbcsvu was my TV debut and a really big deal for me!   Cheers! https://t.co/tE8mo34dv2
1257532356262424600,Tue May 05 04:47:32 +0000 2020,RT @Ahnubis_: @Winston_Duke is an actual legend as Hawk in spenser confidential 😂🤣👌🏿
1257532238129815600,Tue May 05 04:47:04 +0000 2020,Yessir! The one and only!  #winstonduke https://t.co/q8Pzg56kLV
1257531985230049300,Tue May 05 04:46:03 +0000 2020,🙏🏽🙏🏽🙏🏽 That casting truly changed my life!  #jabaritribe #mcu #wakandaforever #BlackPanther https://t.co/Q47zAgaAIF
1256735128094601200,Sat May 02 23:59:38 +0000 2020,Rest in power Mr Irrfan Khan...your legacy as an incredible artiste will always  be remembered... the world over! T… https://t.co/le1r3zn6ML
1256711527140167700,Sat May 02 22:25:51 +0000 2020,Have fun with it, Bro! https://t.co/wzURez14q4
1256711023286907000,Sat May 02 22:23:51 +0000 2020,Nice! https://t.co/cBcQu0mCis
1256522581059895300,Sat May 02 09:55:03 +0000 2020,Looking good, Doc .@DrCindyMDuke!  #family #siblings https://t.co/NpzKqbetlo
1256506918295629800,Sat May 02 08:52:48 +0000 2020,It is an absolute honor to help highlight .@UnitedWay’s good and much needed work, during this very challenging tim… https://t.co/EVLo0zfXQK
