id,created_at,text
1259940700725973000,Mon May 11 20:17:26 +0000 2020,RT @ben_rosen: michael jordan was the ultimate competitor https://t.co/PPoEW485H5
1259726289134485500,Mon May 11 06:05:26 +0000 2020,RT @Rachel__Nichols: This passage. I mean... https://t.co/WGw57oUUVE
1259695643792035800,Mon May 11 04:03:40 +0000 2020,RT @60Minutes: Peter Daszak is a British-born American PhD who’s spent a career discovering dangerous viruses in wildlife, especially bats.…
1259659261958779000,Mon May 11 01:39:06 +0000 2020,People can argue all day about Lebron  vs Jordan as to who’s the GOAT, but what can be compared is the stardom and… https://t.co/ZcRcvEtj4f
1259656935130849300,Mon May 11 01:29:51 +0000 2020,RT @chicagobulls: This never gets old. https://t.co/7JbUKyUCIZ
1259656815937065000,Mon May 11 01:29:22 +0000 2020,@AaronSuplizio My wife and I watch it together :) I guess I’m the 1%
1259337130104352800,Sun May 10 04:19:03 +0000 2020,https://t.co/iuMwWBN77Q
1259122259135873000,Sat May 09 14:05:14 +0000 2020,@shopnicekicks You guys out? Page never went live for me.
1256784096505680000,Sun May 03 03:14:13 +0000 2020,RT @AchmatX: Both pictures are from today. One is from the park in Harlem, the other is from the park in West Village. Guess which neighbor…
1256580840739332000,Sat May 02 13:46:33 +0000 2020,RT @clientsfh: A reader submitted this image of some very excellent design rates: https://t.co/FR83lG243c
1255274150949802000,Tue Apr 28 23:14:14 +0000 2020,RT @philosophrob: "They got money for wars but can't feed the poor."  – Tupac Shakur
1255147428182757400,Tue Apr 28 14:50:41 +0000 2020,@gustojunk Good to know. I’m gonna try that today! Thanks Gustavo!
1255146572737740800,Tue Apr 28 14:47:17 +0000 2020,@gustojunk Def over a year
1255143824457777200,Tue Apr 28 14:36:21 +0000 2020,@gustojunk It’s not a powerhouse computer, but how the heck is a 6-7 Mac feel faster than this? I even removed all the bloat!
1255143570551398400,Tue Apr 28 14:35:21 +0000 2020,@gustojunk Just yesterday.  This never happens on a Mac  for me. https://t.co/MWSanAL9O2
1255139717005209600,Tue Apr 28 14:20:02 +0000 2020,I honestly don’t know how people choose to use Windows. Every laptop I’ve ever encountered feels like its 5-10 year… https://t.co/eC5AJCY8nQ
1254880326477701000,Mon Apr 27 21:09:19 +0000 2020,@instagram for some reason you think my website is spam. I’ve notified you many times it is not. Can I get some help please?
1254129149460934700,Sat Apr 25 19:24:24 +0000 2020,RT @profgalloway: "That's the sad part" https://t.co/zKo2MZoUIq
1253478572993335300,Fri Apr 24 00:19:14 +0000 2020,This is true. I knew something was off. https://t.co/YX71GQGz8C
1253476471131172900,Fri Apr 24 00:10:53 +0000 2020,Honestly. No. https://t.co/RbtAjDBL4Y
1253175180127400000,Thu Apr 23 04:13:40 +0000 2020,RT @MarisaKabas: Air this as a national TV ad. https://t.co/umJKqN11RM
1253173717061922800,Thu Apr 23 04:07:51 +0000 2020,RT @bencasnocha: BREAKING: People in their 20's with no kids say that working from home is the future
1253140541362978800,Thu Apr 23 01:56:01 +0000 2020,Can you imagine Howard Hughs during a time like this?   https://t.co/H07KLApgrJ
1253112525341593600,Thu Apr 23 00:04:42 +0000 2020,RT @_SJPeace_: LMAO   I love the internet 😂🤣 https://t.co/yiOh4kuqzz
1253109354254876700,Wed Apr 22 23:52:06 +0000 2020,RT @MjsGoat: The art of footwork 🎨 https://t.co/ePXhDa9ndH
1252806206348882000,Wed Apr 22 03:47:30 +0000 2020,Laker fans give me no choice but to dislike them. https://t.co/D5VgMuX23z
1252804411140653000,Wed Apr 22 03:40:22 +0000 2020,RT @Yamiche: Some context on Pres Trump's comments about Harvard giving back money.   The school has faced criticism for taking nearly $9 m…
1252707240609366000,Tue Apr 21 21:14:14 +0000 2020,@mattbirchler I returned my pros for the exact same reason.
1252707083234865200,Tue Apr 21 21:13:37 +0000 2020,@jcenters 😂
1252400345575129000,Tue Apr 21 00:54:45 +0000 2020,@AaronSuplizio This doesn’t bode well for companies like Tesla imo.
1252041028850208800,Mon Apr 20 01:06:57 +0000 2020,RT @byDavidGardner: What if I told you: You can like both LeBron James and Michael Jordan as basketball players
1252028088340189200,Mon Apr 20 00:15:32 +0000 2020,RT @murrminks: On-court photography from this era has always blown me away. I spend a lot of time looking at old Michael Jordan shots.   I’…
1251973580968980500,Sun Apr 19 20:38:56 +0000 2020,@EldakdokyHazem https://t.co/UbK501kx0c
1251902808074236000,Sun Apr 19 15:57:43 +0000 2020,RT @ValaAfshar: The fighting toughness of Liguria, Italy 🇮🇹 https://t.co/DdD0NHtWf5
1251902346109448200,Sun Apr 19 15:55:53 +0000 2020,RT @FredTJoseph: Just to be clear.   If Black men went to the state capitol, or anywhere like this — they would be dead. The media would ju…
1251724571725586400,Sun Apr 19 04:09:28 +0000 2020,I, XI, XII https://t.co/rPDvgVp42J
1250818780810236000,Thu Apr 16 16:10:11 +0000 2020,RT @BillGates: Halting funding for the World Health Organization during a world health crisis is as dangerous as it sounds. Their work is s…
1250813024144748500,Thu Apr 16 15:47:18 +0000 2020,I have this Logitech Keyboard case for 9.7 iPad Pro. Make me an offer. I have no need for it anymore. https://t.co/FabM1B0RIL
1250580823662715000,Thu Apr 16 00:24:37 +0000 2020,RT @willwelch: Kanye West for the May issue of @GQMagazine. Photos by Tyler Mitchell. Profile by me. Full cover story here: https://t.co/Ag…
1250079102142304300,Tue Apr 14 15:10:57 +0000 2020,RT @VancityReynolds: Hey, @USPS and everyone working there, thanks for all you do.
1250078163985502200,Tue Apr 14 15:07:14 +0000 2020,RT @BecksWelker: No one:  Kawhi Leonard in Game 7: https://t.co/NxlNH8UEwG
1249842282590699500,Mon Apr 13 23:29:55 +0000 2020,RT @coopercooperco: Comforting to know that even when the world is in the grips of a pandemic, Ticketmaster remains committed to being just…
1249841149684019200,Mon Apr 13 23:25:25 +0000 2020,@myusuf3 I haven’t seen Devs but man, \W/ is amazing.
1249839394342621200,Mon Apr 13 23:18:27 +0000 2020,Before chamfer. After chamfer. https://t.co/mWD3YwukSk
1249567123694731300,Mon Apr 13 05:16:32 +0000 2020,RT @FOSAdam: Some interesting nuggets from @benyt’s story on how Disney is handling the COVID-19 pandemic.   - Iger is back running the com…
1249523424638058500,Mon Apr 13 02:22:54 +0000 2020,@jcenters Yes!
1249500270834286600,Mon Apr 13 00:50:53 +0000 2020,@panzer @ChefSteps @OoniHQ Tip*
1249500130530607000,Mon Apr 13 00:50:20 +0000 2020,@panzer @ChefSteps @OoniHQ Too: don’t add butter or oil to the bag. It diluted the flavor a bit.
1249498067155312600,Mon Apr 13 00:42:08 +0000 2020,RT @fjamie013: https://t.co/ZJeRRb8dnE
1249430142063001600,Sun Apr 12 20:12:13 +0000 2020,This is insulting to Chris Tucker https://t.co/vQkS4lrfST
1249213773161742300,Sun Apr 12 05:52:27 +0000 2020,@NCGardening Wow!
1248835522664870000,Sat Apr 11 04:49:25 +0000 2020,RT @TheHoopCentral: That time Stephen A. Smith lost his mind when Max said Blake Griffin was better than Melo😂 https://t.co/Grc3doQM5b
1248818289586790400,Sat Apr 11 03:40:56 +0000 2020,RT @KyleJayRoy: Sandler by a landslide. Happy Gilmore or The Waterboy alone beat Ferrell’s movies. https://t.co/X4C7iKKsf1
1248782702867673000,Sat Apr 11 01:19:32 +0000 2020,Notice that In n Out is not on here. That’s how bad they are. https://t.co/kdotpt3whf
