id,created_at,text
1261061134695698400,Thu May 14 22:29:38 +0000 2020,@G_Russo1 Thank you so much for reading and sharing!
1260995321963982800,Thu May 14 18:08:07 +0000 2020,@cpamzhang @esquire @chelseabieker @Frances_H_Cha @suemonkkidd @writerjalvarez Thank you so much! The book is such a delight 🤗
1260957056842059800,Thu May 14 15:36:04 +0000 2020,@jilnotjill @MorganLibrary!
1260905739792629800,Thu May 14 12:12:09 +0000 2020,@Meggyf @esquire Thanks so much for reading!
1260905113541062700,Thu May 14 12:09:40 +0000 2020,Need something new to read? I rounded up my favorite books of spring at @esquire, featuring new titles by… https://t.co/JkuGCEiUmE
1260662925116792800,Wed May 13 20:07:17 +0000 2020,@justindeanlee @esquire Thank you so much for reading!
1260662779805122600,Wed May 13 20:06:43 +0000 2020,@tripleblip @rkambury @esquire Thank you so much! You're too kind.
1260662427768799200,Wed May 13 20:05:19 +0000 2020,@stevesarner @esquire @Bookshop_Org @TheBookSellerGV @PrologueBkshop Thank you so much for reading and sharing!
1260658644040876000,Wed May 13 19:50:17 +0000 2020,@rachelatwork @esquire @BincFoundation Thank you so much!
1260641969904238600,Wed May 13 18:44:01 +0000 2020,@RVoronaCote @esquire Thank you so much!
1260639596276310000,Wed May 13 18:34:35 +0000 2020,@miriamparker Thank you so much for reading and sharing!
1260639517507272700,Wed May 13 18:34:17 +0000 2020,@Rainesford Thank you so much for reading and sharing 🤗!
1260639133606822000,Wed May 13 18:32:45 +0000 2020,@elizarosenberry @esquire @frumpenberg Thank you so much!
1260639096583737300,Wed May 13 18:32:36 +0000 2020,@elenawonders @jeannakadlec @esquire Thank you so much!
1260639009904169000,Wed May 13 18:32:16 +0000 2020,@carlawaslike @esquire Thank you so much, Carla!
1260638963204792300,Wed May 13 18:32:05 +0000 2020,@DanSmetanka @esquire Thank you so much!
1260638932024295400,Wed May 13 18:31:57 +0000 2020,@CamillePerri @esquire Thank you so much, Camille!
1260638887485022200,Wed May 13 18:31:46 +0000 2020,@jonmsweeney Thank you so much for reading!
1260638773349617700,Wed May 13 18:31:19 +0000 2020,@manadurphy @frumpenberg Thank you so much for reading!
1260638712532263000,Wed May 13 18:31:05 +0000 2020,@BookDreamsPod Thank you so much for reading!
