id,created_at,text
1256993273450823700,Sun May 03 17:05:24 +0000 2020,Top 5 underrated rappers....?
1249892376790864000,Tue Apr 14 02:48:59 +0000 2020,👀 https://t.co/lXVFEryVqk
1246112985728376800,Fri Apr 03 16:31:02 +0000 2020,#FlashbackFriday https://t.co/IwIMV4QgyA
1246108454110081000,Fri Apr 03 16:13:01 +0000 2020,Still one of my favorite songs... 🙏🏾 https://t.co/I1OouPdMAZ
1245001564869267500,Tue Mar 31 14:54:38 +0000 2020,🐐 https://t.co/2W3PaVPOQJ
1241062639150805000,Fri Mar 20 18:02:45 +0000 2020,Happy Bday to my bro @JCrossover I know you at the crib watching MJ highlights. Lol
1221591466272809000,Mon Jan 27 00:31:16 +0000 2020,Hard to put what you meant to so many people into words. I will miss a great person on and off the court. You alway… https://t.co/Ouqc5j5UeY
1199533021248012300,Wed Nov 27 03:38:53 +0000 2019,Make sure y’all go see @queenandslim !!! It’s opens Nov. 27th. It will be worth it. https://t.co/oCY6VxCR8R
1198825534182047700,Mon Nov 25 04:47:35 +0000 2019,Make sure y’all check out @knivesout Opens Wednesday (Nov 27th) #knivesout https://t.co/fiGa4kJgPL
1183038816661192700,Sat Oct 12 15:16:48 +0000 2019,🤘🏾🤘🏾
1181266983708430300,Mon Oct 07 17:56:10 +0000 2019,Make sure y’all go see @GeminiManMovie it opens on Oct. 11! #Geminimanmovie https://t.co/Dh9u09JFg2
1181266545512722400,Mon Oct 07 17:54:25 +0000 2019,🙏🏾 https://t.co/5LhLZYJPJe
1175832283082834000,Sun Sep 22 18:00:36 +0000 2019,🤘🏾 lol https://t.co/mCxFKitZoi
1172212447245156400,Thu Sep 12 18:16:40 +0000 2019,@RamboMovie Opens on Sept. 20th!!  #RAMBO https://t.co/UrEDehbEmR
1172210934569406500,Thu Sep 12 18:10:40 +0000 2019,@RamboMovie Opens on Sept. 20th!! #RAMBO https://t.co/hOtH7AN2Og
1172167938478133200,Thu Sep 12 15:19:49 +0000 2019,Had a great time with the kids at the Young Men’s Leadership Academy in San Antonio. Talking how to stay motivated… https://t.co/DNBaRBwmdO
1157323313695416300,Fri Aug 02 16:12:34 +0000 2019,Blessed to be able to give back @bgcsanantonio https://t.co/L2I31K6p19
1150458610885046300,Sun Jul 14 17:34:41 +0000 2019,This is crazy!!! #Wimbledon
1127593723746029600,Sun May 12 15:17:48 +0000 2019,Happy Mother’s Day! Appreciate your love and support. Wouldn’t be here without you https://t.co/IwF9YLJRIG
1108579176863449100,Thu Mar 21 04:00:46 +0000 2019,Happy Bday bro! @JCrossover I look older than you tho 🤔
1106749514419974100,Sat Mar 16 02:50:21 +0000 2019,Congrats @Dame_Lillard 👌🏾
1099399828923129900,Sat Feb 23 20:05:19 +0000 2019,Hey @TexasLonghorns, it’s time to rally your crew. @CheezIt and @Pringles are sending fans to Minneapolis to see Sh… https://t.co/zqUlKnmgNu
1096885254491652100,Sat Feb 16 21:33:18 +0000 2019,🤘🏾🤘🏾 https://t.co/7vQ2AReVZ2
1090753357420118000,Wed Jan 30 23:27:20 +0000 2019,The season is a grind, but thanks to @x2naturalenergy for the healthy, sustained energy  #beXtraordinary  #ad https://t.co/4T0iGDYIUX
1089351208295370800,Sun Jan 27 02:35:41 +0000 2019,Who y’all got?? 🤔 https://t.co/ieoThxeqjS
1086721759590711300,Sat Jan 19 20:27:12 +0000 2019,🤘🏾 https://t.co/qLLDDnwGgp
1073815718221766700,Sat Dec 15 05:43:12 +0000 2018,Movie night with the kids. Go check out the new @bumblebeemovie   The kids loved it!   IN THEATERS DECEMBER 21st Tw… https://t.co/aHWS8VFK2h
1051973384660283400,Mon Oct 15 23:09:34 +0000 2018,Paul Allen will never be forgotten. He was a great owner, an amazing leader and a truly wonderful person. I'm forev… https://t.co/s4uURGQkbk
1044264724031000600,Mon Sep 24 16:38:06 +0000 2018,🔥 https://t.co/VVaS8Fa0yr
1043953053433565200,Sun Sep 23 19:59:38 +0000 2018,Yup https://t.co/SzoJtk6csi
1039580045331910700,Tue Sep 11 18:22:51 +0000 2018,Tough!! https://t.co/VuuV3UcyvO
1034161099363573800,Mon Aug 27 19:29:54 +0000 2018,against you, but even better competing with you on my side. Thanks Manu!
1034161094200369200,Mon Aug 27 19:29:53 +0000 2018,just scoring. You’re a ultimate competitor and a “team first” kind of guy. You lift the culture in an organization… https://t.co/xfmWJxOYe5
1034161083689443300,Mon Aug 27 19:29:50 +0000 2018,I competed against you for 9 years. I sat through countless pregame meetings discussing how not to let you go to yo… https://t.co/WaZcwZay3Y
1032694371219427300,Thu Aug 23 18:21:39 +0000 2018,@Nike  today https://t.co/92tCLRZ2gU
1027908376947241000,Fri Aug 10 13:23:49 +0000 2018,Was an amazing trip to Jerusalem!! Truly blessed to experience this 🙏🏾. #Deadsea https://t.co/8lGw4o3e7C
1020005164957102100,Thu Jul 19 17:59:16 +0000 2018,Appreciate it!! https://t.co/dULHIxof91
1019804016769843200,Thu Jul 19 04:39:59 +0000 2018,Bday Fireworks!! https://t.co/CXhjgduBaN
1019612859406270500,Wed Jul 18 16:00:23 +0000 2018,I always find a gym wherever I go!! https://t.co/P0DhdSgo3n
1017844476876939300,Fri Jul 13 18:53:28 +0000 2018,RT @espn: Knock off No. 1 Roger Federer ✅ Advance to the finals after a 6+ hour match ✅ @Wimbledon champion ❓ https://t.co/jsy3qdK7J1
1017843835639156700,Fri Jul 13 18:50:55 +0000 2018,Much respect to @KAndersonATP and @JohnIsner  for playing for 6 hours!! 😳
1015266774781227000,Fri Jul 06 16:10:36 +0000 2018,@paugasol Happy Birthday bro!!
1015265748485312500,Fri Jul 06 16:06:31 +0000 2018,Light work 💪🏾 https://t.co/R7ZdbeykB2
1013820107762651100,Mon Jul 02 16:22:04 +0000 2018,😂😂 https://t.co/0Wl2pIVhBR
1012712432677130200,Fri Jun 29 15:00:33 +0000 2018,RT @De11eDonne: Love love love my team! Always there for a hug, a piggy back ride, and even there for hair troubles. This is what it’s all…
1009922441206956000,Thu Jun 21 22:14:08 +0000 2018,🏎💨💨 https://t.co/T1yfLfrbPZ
1008385595545092100,Sun Jun 17 16:27:15 +0000 2018,Happy Father’s Day!  #Disneyland https://t.co/KN7nSK8xHG
1006383807874752500,Tue Jun 12 03:52:52 +0000 2018,Just got a sneak peak of @UncleDrewFilm .Make sure you check it out June 29th!! https://t.co/IMp3FPlMoR
1003446585383178200,Mon Jun 04 01:21:23 +0000 2018,RT @NightSchool: You ready for Finals? Meet the new Dream Team. #NightSchool stars @KevinHart4real and @TiffanyHaddish team up with @aldrid…
1000074009357140000,Fri May 25 17:59:58 +0000 2018,RT @Wale: Run that back 🌙 https://t.co/p2HRTkNXIS
999732630454071300,Thu May 24 19:23:27 +0000 2018,@JCrossover You have always had my back no matter what!! All love bro!! 💯. If you opt-out the Spurs are a good option!! 🤔
999729010379636700,Thu May 24 19:09:04 +0000 2018,@cayleighgriffin Thanks!!
979156189249527800,Thu Mar 29 00:40:02 +0000 2018,FREE TIX: https://t.co/sBhopQ2hLU Get yours for the @CheezIt &amp; @Pringles Celebrity Crunch Classic bball game on Sat… https://t.co/Ven4GMsmDW
972191206951108600,Fri Mar 09 19:23:40 +0000 2018,FBF to #NBAAllStar Weekend. Thanks @budweiserUSA for hosting me in LA. #BudweiserLIVE was fun https://t.co/tt2DfKKgGE
964972949257113600,Sat Feb 17 21:20:54 +0000 2018,RT @cayleighgriffin: .@aldridge_12 sits down to answer questions from fans from over 200 countries, presented by Cisco. #NBAAllStar https:/…
964972725381972000,Sat Feb 17 21:20:00 +0000 2018,I’ve partnered with @BudweiserUSA to be part of a legendary weekend in Los Angeles. Come check it out and RSVP at… https://t.co/LAQcToF8OG
964572014039023600,Fri Feb 16 18:47:43 +0000 2018,Had fun shooting with @KevinHart4real and @TiffanyHaddish #nightschool https://t.co/NHcTVdTU2P
962069122786869200,Fri Feb 09 21:02:07 +0000 2018,😂😂😂 https://t.co/VPDHcOzuQ6
958770857299542000,Wed Jan 31 18:36:00 +0000 2018,Devastated to hear the news about the passing of my former teammate, Rasual, &amp; his wife. My thoughts and prayers go… https://t.co/M7t7xNBjQf
958551722410020900,Wed Jan 31 04:05:14 +0000 2018,Good team win!! https://t.co/lKhEA249zd
950849403761250300,Tue Jan 09 21:58:58 +0000 2018,Congrats @SterlingKBrown https://t.co/HRCqCyCspZ
927388812619210800,Mon Nov 06 04:14:57 +0000 2017,Prayers to all the families affected by the senseless act in Sutherland Springs! It’s sad that you can’t even feel safe at church!
917246908355235800,Mon Oct 09 04:34:39 +0000 2017,https://t.co/uiOs4wBkka
914873518600331300,Mon Oct 02 15:23:39 +0000 2017,Prayers for Vegas!  🙏🏾
910216228710633500,Tue Sep 19 18:57:14 +0000 2017,That time again... https://t.co/dpoi5eDkIz
908477743897202700,Thu Sep 14 23:49:07 +0000 2017,Happy birthday to my mom!! https://t.co/u4dSLNUiAs
905905860198760400,Thu Sep 07 21:29:22 +0000 2017,Congrats Bro @paugasol https://t.co/clKWG8BXaf
905429141868175400,Wed Sep 06 13:55:04 +0000 2017,Morning... lol https://t.co/6DhdZNENNe
904071650639007700,Sat Sep 02 20:00:53 +0000 2017,Already fam https://t.co/nDkrzsxA5I
904069607006326800,Sat Sep 02 19:52:45 +0000 2017,I see @TRAEABN out there helping in Houston and doing it hands on. So I'm going to give $100k to help you keep going.
901108778271215600,Fri Aug 25 15:47:29 +0000 2017,😂 https://t.co/fb0FB5xhYp
896784619923808300,Sun Aug 13 17:24:49 +0000 2017,Have a blessed Sunday!!
892858298474659800,Wed Aug 02 21:23:01 +0000 2017,Yo  @ChipotleTweets please tell your employees to stop being stingy with the chicken.    I'm over here saying triple chicken please... 😂
892155586296631300,Mon Jul 31 22:50:41 +0000 2017,Happy birthday LJ!!!   #L2 😜 https://t.co/8ac1bVq0pz
891507546137276400,Sun Jul 30 03:55:37 +0000 2017,Been supporting me since I had to get next up at the park because I was a youngster trying to hoop with the big dog… https://t.co/Z1F6EBPgUQ
888155329942483000,Thu Jul 20 21:55:06 +0000 2017,Tbt https://t.co/EjHUxsDTaN
887825487275413500,Thu Jul 20 00:04:25 +0000 2017,RT @TexasMBB: Wishing a very Happy Birthday to #Longhorn4Life @aldridge_12 from your #TexasFamily! #HookEm https://t.co/AW29wwGfwW
887703376854732800,Wed Jul 19 15:59:12 +0000 2017,Appreciate it bro!!! https://t.co/nZrEaqAVY3
887540596335923200,Wed Jul 19 05:12:22 +0000 2017,Looking back at 31 and it wasn't bad... but I think 32 will be better! 😉 Blessed to see another year. https://t.co/NUVy4P3rhb
873950680079372300,Sun Jun 11 17:10:54 +0000 2017,Beast!! https://t.co/HE54mrztMT
851913700814598100,Tue Apr 11 21:43:48 +0000 2017,@oswegochick Thanks
851913440637669400,Tue Apr 11 21:42:46 +0000 2017,@jicox Thank you
845132905407950800,Fri Mar 24 04:39:21 +0000 2017,Blessed!! https://t.co/4ZYZSKJkX9
843989218204532700,Tue Mar 21 00:54:44 +0000 2017,Happy birthday to my bro @JCrossover
842060037782671400,Wed Mar 15 17:08:52 +0000 2017,RT @JCrossover: Yessir bro @aldridge_12 !!
842059768135057400,Wed Mar 15 17:07:48 +0000 2017,Thank you to everyone for the prayers and support. Y'all helped me through a difficult time and for that I'm very grateful.
841746762759045100,Tue Mar 14 20:24:01 +0000 2017,Thanks to @PowerRangersMovie for a family movie night. The kids loved it!   Hashtag: #POWERRANGERSMOVIE,… https://t.co/hxcHIvPFuG
834894755100143600,Thu Feb 23 22:36:35 +0000 2017,https://t.co/NxKVPbkg0l
830289842969989100,Sat Feb 11 05:38:19 +0000 2017,Yessir!! https://t.co/1cPyN69z0V
812854535702114300,Sun Dec 25 02:56:38 +0000 2016,Thank you everyone! These past 12 days were incredible &amp; I’m humbled and grateful for everyone. #HappyHolidays. #LA12Gives
812853598178738200,Sun Dec 25 02:52:54 +0000 2016,Congratulations Olivia you’re the grand prize winner, nominated by @MannyPelaezSATX. We’ll reach out  for more info… https://t.co/wbhSKsQDPq
812553696785494000,Sat Dec 24 07:01:12 +0000 2016,@ishamjessie79 thank you
812013967585312800,Thu Dec 22 19:16:31 +0000 2016,https://t.co/V8uFJSY0iP
811656512871370800,Wed Dec 21 19:36:07 +0000 2016,Show me your skills! https://t.co/AbQsoicsFy
811281075901235200,Tue Dec 20 18:44:16 +0000 2016,A kid had my shirt on hooping at the park in Houston so I had to stop by.... photo credit to @casebirch_ https://t.co/I0eVWXr4ha
811006926880444400,Tue Dec 20 00:34:53 +0000 2016,Thank you participants and congratulations @Patsy_Muniz, you are today’s winner. We’ll reach out to you. #LA12Gives https://t.co/nLdjr7UyEr
810914136691474400,Mon Dec 19 18:26:10 +0000 2016,Couple gifts from @HEB and myself https://t.co/HOfKn3iW7c
810692779613552600,Mon Dec 19 03:46:35 +0000 2016,Thanks participants &amp; congrats to @kenjulele8910, we’ll reach out to you for more information. Check back tomorrow… https://t.co/cflBv2LYqm
810533911948357600,Sun Dec 18 17:15:18 +0000 2016,Make a video with a friend doing the handshake @Patty_Mills and I do during starting lineups! https://t.co/rFzLpfy98u
809947727304028200,Sat Dec 17 02:26:00 +0000 2016,Thanks participants &amp; congrats to @PurrppleB you are today’s winner.  We’ll reach out to you for more information.… https://t.co/GaJAizxLfk
809836181533769700,Fri Dec 16 19:02:46 +0000 2016,Good luck to @TexasVolleyball playing in the Final Four!    #TexasFamily
809817201523839000,Fri Dec 16 17:47:21 +0000 2016,Teamed up with @beatsbydre again to give away the Beats Pill! https://t.co/bBt8J6hAH5
