id,created_at,text
1260672315660152800,Wed May 13 20:44:36 +0000 2020,@vernamm 🤬🤬🤬🤬🤬🤬🤬
1260667976707178500,Wed May 13 20:27:22 +0000 2020,RT @chumontreal: C’est un M un E un R c’est un C avec un I @alexxxperron rassemble toutes ces lettres pour dire MERCI aux infirmiers.ères e…
1260667758427156500,Wed May 13 20:26:30 +0000 2020,@chumontreal @YouTube 😂😂😍😍😍😍
1260642547950661600,Wed May 13 18:46:19 +0000 2020,@MarieBouthi 😂😂😂😂 Très possible !
1260632971922550800,Wed May 13 18:08:16 +0000 2020,@jgtraduit @EveCatherine_ 😂😂😂
1260632904490717200,Wed May 13 18:08:00 +0000 2020,@PolTheFirst 😂😂😂
1260624599445909500,Wed May 13 17:35:00 +0000 2020,@chsylvestre 😂😂😂
1260619895454216200,Wed May 13 17:16:18 +0000 2020,@edith_lamberts 😂😂😂😂
1260619825736568800,Wed May 13 17:16:02 +0000 2020,@LucMichaud 😂😂😂😂😂😂
1260619634698588200,Wed May 13 17:15:16 +0000 2020,@technomade 😂😂😂😂
1260619263842402300,Wed May 13 17:13:48 +0000 2020,Le pain a été remplacé par des recettes pour se gosser un masque maison ! Pénurie de tissus et d’élastique à l’horizon.
1260580331452842000,Wed May 13 14:39:06 +0000 2020,@LouisPelletier_ Amazon
1260557937682124800,Wed May 13 13:10:07 +0000 2020,RT @PetitPetitGamin: Une top série de photos pour donner de l'amour à Horacio Arruda https://t.co/t7EtPlEHL4 https://t.co/ULrtOTGOnE
1260549351736258600,Wed May 13 12:35:59 +0000 2020,@veedy18 😂😂😂😂😂
1260546779650633700,Wed May 13 12:25:46 +0000 2020,@veedy18 😂😂😂😂😂 tu pourrais reprendre celle de Soeur Angèle et on compare ??
1260544242356826000,Wed May 13 12:15:41 +0000 2020,@S_Bourguignon Ça m’a quand même rappelé plein de beaux souvenirs ... mais bon, tu veux pas qu’on en parle ...
1260543649181565000,Wed May 13 12:13:20 +0000 2020,@CharronPierre3 🙄😱🙄😱🙄😱🙄😱😉
1260519070719512600,Wed May 13 10:35:40 +0000 2020,@thereseparisien Bonne nouvelle ! Chaque tournage qui repart est une lueur au bout du tunnel !
1260518571408601000,Wed May 13 10:33:41 +0000 2020,@AlainPronkin C’est annulé !!
1260512358511804400,Wed May 13 10:09:00 +0000 2020,Habituellement quand J'écoute "Amazing race", je tripe parce que je voudrais y participer. là, je suis juste en tab… https://t.co/cICjJqlHoc
1260503751997128700,Wed May 13 09:34:48 +0000 2020,@BertheleP Amazon
1260360577874104300,Wed May 13 00:05:52 +0000 2020,Cette comédie d’horreur est une succulente surprise ! https://t.co/qC8ynvKt5b
1260315687249158100,Tue May 12 21:07:30 +0000 2020,@EveMarieLortie C’est vrai ma @LaPopoteuse l’avait fait ! 😍
1260302946019008500,Tue May 12 20:16:52 +0000 2020,RT @PetitPetitGamin: C’est maintenant au tour du rappeur Rod le Stod de parler de son clip avec Horacio Arruda https://t.co/qxsmMnL3s5 http…
1260248357106331600,Tue May 12 16:39:57 +0000 2020,@stech72 @celinedion 😬😬
1260246240731816000,Tue May 12 16:31:32 +0000 2020,@Frangi500 @celinedion 😂😂😂
1260238760278732800,Tue May 12 16:01:49 +0000 2020,Grâce à cette pub sur mon Facebook, je sais maintenant que @celinedion porte parfois des extensions de bras ! https://t.co/eYZYhZj8V5
1260234552733245400,Tue May 12 15:45:06 +0000 2020,@nboulaymtl 😂😂😂😂😂
1260230182293639200,Tue May 12 15:27:44 +0000 2020,@suzanne08853574 😂😂😂😂
1260218503208079400,Tue May 12 14:41:19 +0000 2020,@vernamm 😂😂😂😂😂😂😂😂😂
1260209954394341400,Tue May 12 14:07:21 +0000 2020,@zaptele Bonne nouvelle !
1260203381299261400,Tue May 12 13:41:14 +0000 2020,@cathmaison Effectivement ! Bizarre.
1260202940050129000,Tue May 12 13:39:29 +0000 2020,@cathmaison C’est pas Meryl qui est fâchée ! C’est Julia !! Sans blague, elle avait vraiment pas apprécié le blog d… https://t.co/F2tCA859Ff
1260199569742278700,Tue May 12 13:26:05 +0000 2020,@martinmallette Excellente nouvelle ! #commando
1260196314652049400,Tue May 12 13:13:09 +0000 2020,@tourtiere 😂😂😂😂😂😂😂😂😂
1260194017955979300,Tue May 12 13:04:01 +0000 2020,@BonsoirBonsoir_ @icirctele Ça aurait été malade !!
1260193704960233500,Tue May 12 13:02:47 +0000 2020,@lucie2647 Ouin mais @elysemarquis pis son jugement des fois .... moi une fille qui hurle dès qu’a voit une flamme de cuisine ...
1260193139907846100,Tue May 12 13:00:32 +0000 2020,@tourtiere Trop moderne ! Je comprendrais rien ... moi ça me prend du Crisco pis des abatis !
1260188366798192600,Tue May 12 12:41:34 +0000 2020,@DeniseRiopel Oh rrrrroui !
1260161344373956600,Tue May 12 10:54:11 +0000 2020,@PollyPetitspois 😂😂😂😂 j’adore ce genre de truc ! #anciennesmoeurs
1260152468052365300,Tue May 12 10:18:55 +0000 2020,@frankdurocher 😂😂😂 je sais !! J’ai déjà spoté ma proie près de ma terrasse ...
1260148131825700900,Tue May 12 10:01:41 +0000 2020,J'ai réécouté par hasard sur Artv " Julie et Julia" et je me suis dit que je pourrais faire la même chose avec le l… https://t.co/z2ohDMYcdk
1260012917165920300,Tue May 12 01:04:24 +0000 2020,@Carolinelasnob @elysemarquis @OursMathieu 😂😂😂😂😂😂
1260012058965209000,Tue May 12 01:00:59 +0000 2020,@HugoBlouin2 😂😂😂
1260011960503906300,Tue May 12 01:00:35 +0000 2020,@elysemarquis @RC_LesChefs @icirctele Y’a ben trop de feu !!!!!! 😱
1260011182963912700,Tue May 12 00:57:30 +0000 2020,@AlainPronkin Tadoussac, c’est mon terrain de jeu !
1260010906534113300,Tue May 12 00:56:24 +0000 2020,Les aspirants chefs se regroupent autour de Daniel avec l’enthousiasme des Von Trapp pour s’abreuver à son savoir !… https://t.co/8ZpVYEHAGc
1260009889981542400,Tue May 12 00:52:22 +0000 2020,@Carolinelasnob 😂😂😂😂
1260009570824450000,Tue May 12 00:51:06 +0000 2020,@Carolinelasnob Slammer tatoué #leschefs
1260009423105224700,Tue May 12 00:50:30 +0000 2020,@pier_perron 😂😂😂😂😂😂 Pas le temps !!!!
1260009177449029600,Tue May 12 00:49:32 +0000 2020,@Penelopemcquade 😂😂😂😂😍😍😍
1260008991406477300,Tue May 12 00:48:48 +0000 2020,@poesitations @elysemarquis 😂😂😂
1260008901895835600,Tue May 12 00:48:26 +0000 2020,10 minutes ?? Sacré le poisson direct dans le plat avec de la mayo ... #leschefs
1260008537062641700,Tue May 12 00:46:59 +0000 2020,@poesitations 😂😂
1260007723485159400,Tue May 12 00:43:45 +0000 2020,@elysemarquis peux-tu répéter les règlements du triel svp .... #leschefs
1260007381544718300,Tue May 12 00:42:24 +0000 2020,Donc un triel !! #leschefs
1260007129227726800,Tue May 12 00:41:24 +0000 2020,Jean-Luc a de la tourte de travers dans gorge ce soir ! #leschefs
1260006538586001400,Tue May 12 00:39:03 +0000 2020,@poesitations Merci !
1260006342426865700,Tue May 12 00:38:16 +0000 2020,@Carolinelasnob @elysemarquis @poesitations Je viens de le trouver, crisse !
1260006226450174000,Tue May 12 00:37:48 +0000 2020,J’arrivais pas à gérer la double élimination de tourte Bocus d’or !#leschefs
1260005855631749000,Tue May 12 00:36:20 +0000 2020,@jean_pich @JeanLucBoulay Y’a la tourte bougonneuse ! #leschefs
1260005764837576700,Tue May 12 00:35:58 +0000 2020,@poesitations Désolé ! Je cherchais le mot tourte dans le dictionnaire ! #leschefs
1259994655443345400,Mon May 11 23:51:50 +0000 2020,@melmo_termino @Juste_pour_rire 😍😍😊😊
1259935414481281000,Mon May 11 19:56:25 +0000 2020,@DenisDu Bravo !! 😊
1259928431820714000,Mon May 11 19:28:41 +0000 2020,@zaptele Ces deux shows et leurs chiffres prouvent bien à quel point les gens avaient besoin de se divertir. 😊
1259881409797410800,Mon May 11 16:21:50 +0000 2020,@PatriceLavoie 😂😂😂😂😂😂😂
1259850061657313300,Mon May 11 14:17:16 +0000 2020,@AndrBilodeau3 @MeekerGuerrier @Toutunmatin Je peux pas dire que je me réveille pas pour y penser !
1259844702398025700,Mon May 11 13:55:58 +0000 2020,@AndrBilodeau3 @MeekerGuerrier @Toutunmatin Ben quin !
1259844632625758200,Mon May 11 13:55:41 +0000 2020,@MALaviolette @titocurtis 😂😂😂😂
1259832079015174100,Mon May 11 13:05:48 +0000 2020,@MeekerGuerrier @Toutunmatin Ouin ! Me semblait ben aussi ...
1259830682546770000,Mon May 11 13:00:15 +0000 2020,@MaxCharbonneau @Juste_pour_rire 😂😂😂😂😂
1259824537073483800,Mon May 11 12:35:50 +0000 2020,@pier_perron @Juste_pour_rire Situation exceptionnelle, solution exceptionnelle ! #justepourunefois
1259823743804805000,Mon May 11 12:32:41 +0000 2020,@GwendoCote Go girl !!!
1259823335975813000,Mon May 11 12:31:04 +0000 2020,Le défi de tourner en quarantaine. Encore une fois, les artisans d’ici derrière les caméras déploient toute leur im… https://t.co/wKVvOab0Dw
1259804468536901600,Mon May 11 11:16:05 +0000 2020,@SuePapillon Elle veut aller vivre avec le raton-laveur !
1259803622537408500,Mon May 11 11:12:44 +0000 2020,@mgrosleau7 C’est elle !!!
1259790113808298000,Mon May 11 10:19:03 +0000 2020,Princesse Leïa vient de me signifier qu'elle ne renouvelait pas son bail avec moi en juillet. Trop d'attention pour elle. #chat
1259666273501188000,Mon May 11 02:06:57 +0000 2020,@eugenie_lb @tapisrose @hugodumas Fiou .... merci !! Je peux me coucher en paix ! #lamourwin
1259648062944919600,Mon May 11 00:54:35 +0000 2020,@eugenie_lb @telequebec @TVAreseau On se fucking réinvente !
1259647472693100500,Mon May 11 00:52:15 +0000 2020,@eugenie_lb @telequebec @TVAreseau Peut pas te le dire tu suite ....
1259644153601962000,Mon May 11 00:39:03 +0000 2020,@eugenie_lb @telequebec @TVAreseau Je suis en tournage en ce moment, donc je ne peux pas regarder.... confirmez-moi… https://t.co/6F5rLaT70B
1259613879367340000,Sun May 10 22:38:45 +0000 2020,@DanBigras @F_Cardinal Y’aura sûrement des adaptations dans ce sens. Mais reste que les contacts humains sont aussi… https://t.co/DYV7JYstC2
1259608969779298300,Sun May 10 22:19:15 +0000 2020,@MoffattAriane 😂😂
1259607499818389500,Sun May 10 22:13:24 +0000 2020,@pier_perron On le cherche encore !
1259604945051009000,Sun May 10 22:03:15 +0000 2020,Surfin !!! https://t.co/XAOhCel1OW
1259590227489960000,Sun May 10 21:04:46 +0000 2020,@DenisDu @TVAreseau @telequebec Bon show !!! 😍
1259585453679939600,Sun May 10 20:45:48 +0000 2020,@Eau__Lit Minette ! Tu vas te réchauffer au brûleur !
1259523479000449000,Sun May 10 16:39:32 +0000 2020,@marcormier 😍😍😍😍
1259522574565941200,Sun May 10 16:35:57 +0000 2020,@JFerrer_Europea Bravo !!!! 😍😍😍
1259481001262268400,Sun May 10 13:50:45 +0000 2020,@CoucouMadame Je me joins à Cachou pour te le souhaiter !
1259460494013972500,Sun May 10 12:29:16 +0000 2020,@fd4767 Non, c’était comme en saison régulière... mais y’a plein de moments disponibles sur la page Facebook. 😊
1259425785187893200,Sun May 10 10:11:20 +0000 2020,Jésus dit à Marie: dans les moments difficiles, c'est toujours vers notre maman, belle-maman, grand-maman ou toute… https://t.co/HQfoo4qxw2
1259275602802159600,Sun May 10 00:14:34 +0000 2020,@marty_mart_bel 😂😂😉
1259275536628670500,Sun May 10 00:14:18 +0000 2020,@martmillones 😂😂😂😉
1259275139386159000,Sun May 10 00:12:44 +0000 2020,@NathalieCollard Ouf ... tellement !
1259274706227732500,Sun May 10 00:11:00 +0000 2020,Ce Hallelujah.... #edu
1259272507204436000,Sun May 10 00:02:16 +0000 2020,@StephaneLeclair Elle a eu une formation ! 😉
1259271623787589600,Sat May 09 23:58:45 +0000 2020,@maviseju @iciradiocanada 😍😍😍
1259269187001823200,Sat May 09 23:49:04 +0000 2020,Ouf ..... Mélissa qui craque .... #edu
1259266836736225300,Sat May 09 23:39:44 +0000 2020,@GwendoCote @iciradiocanada @france_beaudoin 😍😍😍😍
1259266531986374700,Sat May 09 23:38:31 +0000 2020,@tapisrose Rien ... 😍
1259264818818822100,Sat May 09 23:31:43 +0000 2020,Crisse .... je connais le peacing .... et je braille pareil ... beaux moments ... #edu @iciradiocanada
1259261005651214300,Sat May 09 23:16:34 +0000 2020,@thereseparisien Et c’est lui qui a proposé ce fabuleux numéro !
1259247734793666600,Sat May 09 22:23:50 +0000 2020,@LuciePlamondon @LeaStreliski 😂😂😂
1259245158329192400,Sat May 09 22:13:36 +0000 2020,@LeaStreliski Je te ferais un collier en macaronis si j’avais des pâtes à maison ! 😍
1259208699404574700,Sat May 09 19:48:43 +0000 2020,@lisamarie_blais 😍😍😍
1259204353761710000,Sat May 09 19:31:27 +0000 2020,Wow .... https://t.co/wv2MbKAOWI
1259204074077069300,Sat May 09 19:30:20 +0000 2020,@MFBazzo Wow ....
1259176741148471300,Sat May 09 17:41:44 +0000 2020,@pleblanc23 😂😂😂😂😂 fait plaisir !
1259166518505586700,Sat May 09 17:01:06 +0000 2020,@nadine_lacaille 😂😂😂😂😂
1259154863650484200,Sat May 09 16:14:48 +0000 2020,@DenisDu @StephaneLeclair @france_beaudoin 😂😂😍😍😉
1259141600124514300,Sat May 09 15:22:05 +0000 2020,@DenisDu @StephaneLeclair @france_beaudoin 😂😂😂😂😂 y va y avoir la chanteuse avec cette voix qu’on aime tellement pis… https://t.co/VoBdTNdlhc
1259119605974433800,Sat May 09 13:54:42 +0000 2020,@Lemicrodefeu Tellement ça ....
1259115452019683300,Sat May 09 13:38:11 +0000 2020,@StephaneLeclair @france_beaudoin Je peux te dire que France a fait une réunion de prod de 2:30, assise dans sa voi… https://t.co/qUcwn5DKq0
1259113866790875100,Sat May 09 13:31:53 +0000 2020,@StephaneLeclair @france_beaudoin Moi, je sais tout !!! 😬😬 mais c’est excitant pareil !
1259113196264308700,Sat May 09 13:29:13 +0000 2020,@LaPopoteuse C’est beau, ça me tente pu ! 😬
1259102346946261000,Sat May 09 12:46:07 +0000 2020,@Maxime03044571 😂😂😂😂😂
1259102303400968200,Sat May 09 12:45:56 +0000 2020,@SuePapillon J’essaie !!!
1259102234182332400,Sat May 09 12:45:40 +0000 2020,@gbacon69 😂😂😂
1259086581744504800,Sat May 09 11:43:28 +0000 2020,@scootermike1964 😱😱😱😱😱
