id,created_at,text
1260189162801692700,Tue May 12 12:44:44 +0000 2020,🌈 🌍🌳 #naturaleza https://t.co/M3o9dGutHg
1259496138752876500,Sun May 10 14:50:54 +0000 2020,Si se puede. 💪✊️. #14 https://t.co/kR7CAOI1g9
1259190807787118600,Sat May 09 18:37:37 +0000 2020,✍️ https://t.co/zh8EjWy0F0
1258032468772487200,Wed May 06 13:54:48 +0000 2020,#lemans #wec #toyotagazooracing #endurance https://t.co/xob8bqrUSB
1257238570852593700,Mon May 04 09:20:08 +0000 2020,RT @CircuitoMuseoFA: ¡Hoy hace un año, @alo_oficial ganaba las 6 horas de Spa por segunda vez en la supertemporada 2018/2019! 🏆🏆 #WEC #6HSP…
1256241840711401500,Fri May 01 15:19:29 +0000 2020,Gracias por los más de 113.000 votos 🙏👍
1255576964158668800,Wed Apr 29 19:17:30 +0000 2020,RT @CasaReal: Los embajadores del mundo del deporte @paugasol @RafaelNadal y Fernando Alonso @alo_oficial han podido explicar a los Reyes l…
1255262009865711600,Tue Apr 28 22:25:59 +0000 2020,@PedrodelaRosa1 Es que eso estará siempre con cualquier opción 😇😇😇😇 #kartforever
1255075336213143600,Tue Apr 28 10:04:12 +0000 2020,Imaginemos..  Let’s imagine..
1254724330128367600,Mon Apr 27 10:49:26 +0000 2020,😍😍😍😍 https://t.co/KEi7KWFoab
1254088446068641800,Sat Apr 25 16:42:40 +0000 2020,RT @F1: How... HOW?! 😱  #F1Rewind ⏪ #F1 @alo_oficial https://t.co/oI67CPCv2b
1253317678762037200,Thu Apr 23 13:39:54 +0000 2020,RT @Kimoa: Mañana, 24 de abril, @alo_oficial tomará las riendas de nuestra cuenta de Instagram a las 17h (CEST) para responder a todas vues…
1253021720119775200,Wed Apr 22 18:03:52 +0000 2020,Kimoa, in our goal to create a better world, we have achieved small milestones throughout these years. In 2019, our… https://t.co/BqtNwYLvbh
1252642962489716700,Tue Apr 21 16:58:49 +0000 2020,@BicicletaLa @kiko @Kimoa @LBCshop @Javi_Sancho_ @josebabeloki @egoimartinez78 @JoseLuisMarchal @AngelEdoAlsina @Becepri Nos vemos mañana 💪
1252198742595440600,Mon Apr 20 11:33:39 +0000 2020,Gracias a la Asociación de Prensa Deportiva Asturiana @APDAsturias por este reconocimiento . Un abrazo enorme y áni… https://t.co/IJ3tbQvJWI
1251900042081964000,Sun Apr 19 15:46:43 +0000 2020,@AntonioGarcia_3 La f1 con la que crecimos y que ponía los pelos de punta escuchar a varios kms. Un día sacamos un… https://t.co/px9bgSpndn
1251867730866778000,Sun Apr 19 13:38:20 +0000 2020,Magny Cours. Francia. V10. #f1 #v10 https://t.co/3n4wvxOXE3
1250756477234622500,Thu Apr 16 12:02:36 +0000 2020,@fia #stayhome https://t.co/Pu1Nt1HiLw
1250551604601917400,Wed Apr 15 22:28:31 +0000 2020,Gracias a @RafaelNadal &amp; @paugasol y @CruzRojaEsp una vez más por la iniciativa. #nuestramejorvictoria   Y gracias… https://t.co/ZjxoFCSbyh
1250363461051256800,Wed Apr 15 10:00:54 +0000 2020,RT @24hoursoflemans: 🎁Every cloud has a silver lining! Here's today's good news!  This week, watch the official film of the 2018 @24hoursof…
1250025663626719200,Tue Apr 14 11:38:37 +0000 2020,RT @CircuitoMuseoFA: ¡Hoy se cumplen 7 años de la victoria de @alo_oficial en el GP de China de 2013! 🏆 https://t.co/XGjNX5nfdA
1249366968060260400,Sun Apr 12 16:01:11 +0000 2020,Hola @OfficialFisico 👋 #f1 #2005 https://t.co/oeZlWRogSd
1247958385653420000,Wed Apr 08 18:43:59 +0000 2020,Septiembre 2019. Test. #toyota #gazooracing https://t.co/dbNcMbVCJm
1247603577629089800,Tue Apr 07 19:14:06 +0000 2020,RT @unicef_es: Queridos sanitarios... ¿qué haríamos sin vosotros?   La #COVID19 nos ha ayudado a volver a ver lo importante que es vuestro…
1247567553666461700,Tue Apr 07 16:50:58 +0000 2020,24h Daytona . #imsa @waynetaylorrcng #daytona #endurance https://t.co/fj3ZDxbF7w
1247547892384125000,Tue Apr 07 15:32:50 +0000 2020,RT @RFEdeA: 📢 Nos sumamos a @CruzRojaEsp en la lucha frente al #COVID19 con la campaña #VelocidadFrenteAlVirus y el  #GranPremioSolidaridad…
1246879690398339000,Sun Apr 05 19:17:38 +0000 2020,V10 🔞🔈 #f1 #v10 #spa https://t.co/QUvBfrpSMC
1245736031011377200,Thu Apr 02 15:33:09 +0000 2020,RT @fabrifisio: su @kimoa un breve video su come riattivare i muscoli per la stabilizzazione lombo-pelvica .. base per qualsiasi tipo di al…
1245680460304449500,Thu Apr 02 11:52:20 +0000 2020,Agosto 2019.  First time 🏄‍♂️. #toyota #gazooracing marc_coma https://t.co/nvsXAlZtpQ
1245071051077365800,Tue Mar 31 19:30:45 +0000 2020,@RenaultF1Team https://t.co/G43ZMaYGTX
1244933014582427600,Tue Mar 31 10:22:15 +0000 2020,Gracias a vosotros por la labor incansable que hacéis siempre, como en este momento delicado. Con @unicef_es hemos… https://t.co/8gN5lXTwUB
1244710540062187500,Mon Mar 30 19:38:13 +0000 2020,RT @Toyota_Hybrid: We know what’s on our bucket list for when the situation improves. A visit to @alo_oficial's museum 🇪🇸 to see his #TS050…
1244296702623957000,Sun Mar 29 16:13:46 +0000 2020,🍩 https://t.co/LapbOYhqZi
1243969035517284400,Sat Mar 28 18:31:44 +0000 2020,RT @Kimoa: ♻️THE NEW STREAKY ALGA TEE♻️  Made it with upcycled cotton and post-consumer RPET bottles 👉🏻 https://t.co/tiCOU2XFNB  #kimoaethi…
1243487943626350600,Fri Mar 27 10:40:03 +0000 2020,RT @Kimoa: ▪️if we want to make better decisions we need to know more information about the clothes we wear. Thanks to the collaboration wi…
1243487890790912000,Fri Mar 27 10:39:50 +0000 2020,RT @DjMaRiiO_90: No sé ni que hora es, pero cómo echo de menos esto @alo_oficial https://t.co/RNuMbcCfyU
1243193637296578600,Thu Mar 26 15:10:35 +0000 2020,Me uno a la llamada de #CruzRojaResponde junto con @paugasol y @RafaelNadal . El deporte español siempre ha tenido… https://t.co/WVE4WejEy0
1242536399166935000,Tue Mar 24 19:38:57 +0000 2020,Rebuscando. #f1 #singapore https://t.co/oZ6Cp5mxvV
1241878535846998000,Mon Mar 23 00:04:50 +0000 2020,@Patipatopatipo Felicidades a Mario 🎂🎂🎂
1241436681313681400,Sat Mar 21 18:49:04 +0000 2020,Gran Canaria. Carrera de campeones. Cordoba WRC 😇🙋‍♂️ https://t.co/XY1qcC2e88
1241436460890435600,Sat Mar 21 18:48:11 +0000 2020,Hoy sería el 60 cumpleaños de Senna. Mi idolo de infancia. En 2015 tuve el privilegio de conducir su coche. Un día… https://t.co/o8f6YCpA9w
1241380019684982800,Sat Mar 21 15:03:55 +0000 2020,Muy ilusionado por anunciar la serie documental “ Fernando”, una visión muy personal sobre esta temporada llena de… https://t.co/pd2gho8NYu
1241379338345500700,Sat Mar 21 15:01:12 +0000 2020,RT @PrimeVideoES: Él siempre quiere ser el primero, pero esta vez vamos a adelantarle contándotelo nosotros: hoy anunciamos el estreno de ‘…
1241094961753280500,Fri Mar 20 20:11:11 +0000 2020,🔞 https://t.co/LGpz8ALfL9
1241088416386887700,Fri Mar 20 19:45:11 +0000 2020,RT @SanzF1: Alonso4ever!!  Super orgulloso de ""mi"" primer diseño de animal crossing inspirado en la linea @Kimoa de @alo_oficial!!!   (??…
1240730835638157300,Thu Mar 19 20:04:17 +0000 2020,@RenaultF1Team @OfficialFisico https://t.co/l4CSYAjLn6
1240712635919798300,Thu Mar 19 18:51:58 +0000 2020,@fqts ?? 🤷‍♂️
1240701018498691000,Thu Mar 19 18:05:48 +0000 2020,Hoy toca un poco de arena 😁! Vídeo de hoy ✊️ #dakar #dunes https://t.co/a3WfNx3WKa
1240344745823613000,Wed Mar 18 18:30:06 +0000 2020,Más vídeos que voy rescatando. El de hoy de Baku 2018. Terminamos séptimos esta carrera aunque no lo parezca 😅😅!! N… https://t.co/XbBdKkLAS2
1240020988298817500,Tue Mar 17 21:03:36 +0000 2020,Germany 2012. Wet qualy. Pole lap. #f1 #germany https://t.co/lDtAnWXBCm
1239640500568801300,Mon Mar 16 19:51:41 +0000 2020,Rescatando vídeos aquí y allá. Este de un test Polonia pre Dakar. #dakar #test #poland #yomequedoencasa https://t.co/xxbMH8zG8m
1239518350792953900,Mon Mar 16 11:46:18 +0000 2020,RT @PedrodelaRosa1: Esto sucedió en Barcelona, hace dos días. Un momento mágico que alegró a muchísimos barceloneses. Gracias a la soprano…
1239170228229230600,Sun Mar 15 12:42:59 +0000 2020,Como justo hoy hace un año de las 1.000 millas de Sebring, comparto el vídeo de la Pole position y récord del circu… https://t.co/J7A9ydlwOv
1238785130270994400,Sat Mar 14 11:12:45 +0000 2020,RT @PieroLadisa: #F1 #OnThisDay 2010  @alo_oficial conquista la vittoria nel Gran Premio del Bahrain, gara inaugurale della stagione. Lo sp…
1238412046024278000,Fri Mar 13 10:30:15 +0000 2020,#queNollegueA10 https://t.co/zEQ2oIf74R
1238409025341075500,Fri Mar 13 10:18:14 +0000 2020,Habrá que aprovechar el tiempo en hobbies y poner al día cosas pendientes aquí y allá. Sigamos las recomendaciones… https://t.co/jtUy6Gf43y
1237795291459465200,Wed Mar 11 17:39:29 +0000 2020,@kimoa LAB at any time and in all sports  . All in one 🙏. #kimoaLAB #sport #ski #bike #running #allinone #allsports… https://t.co/btyTkaunBh
1237067090739298300,Mon Mar 09 17:25:52 +0000 2020,2.600 metros sobre el nivel del mar. Seguimos la puesta a punto. ✊️ #deporte #montaña #oxigenacion https://t.co/ta3ejnNa5n
1236762387123974100,Sun Mar 08 21:15:05 +0000 2020,RT @CircuitoMuseoFA: Drive like a girl 💪💪 —— #DiaInternacionalDeLaMujer #HappyWomensDay2020 #8Marzo https://t.co/LDRVNGn0oz
1236704751498276900,Sun Mar 08 17:26:04 +0000 2020,Domingo deportivo. Cardio por la mañana y un poco de esquí y diversión a la tarde. 😅☀️ #sport #outdoortraining… https://t.co/cmz3aUuUJl
1236317044439539700,Sat Mar 07 15:45:27 +0000 2020,One week training here. Ok...🤷‍♂️😇 https://t.co/n9FAl1r9Lw
1235714998946508800,Thu Mar 05 23:53:08 +0000 2020,@JRHildebrand @JimmieJohnson I just wanted the #14 but there is one guy there...don’t remember his name...😜 @TonyKanaan
1235652436645359600,Thu Mar 05 19:44:32 +0000 2020,💯 #AlonsoKart #FAkart #museoycircuitofernandoalonso https://t.co/4CYKGezchv
1234194304261857300,Sun Mar 01 19:10:27 +0000 2020,Madrid - Barça #ElClasico
1233091443045982200,Thu Feb 27 18:08:04 +0000 2020,New York . 🇺🇸  #tomita https://t.co/npft9Fo51Y
1232383478496399400,Tue Feb 25 19:14:52 +0000 2020,Ahora ya puedo compartir con vosotros que estaremos en mayo en las 500 millas!! Muchas ganas ✊️✊️  I can finally sh… https://t.co/W3RVEBUSSL
1232122640837554200,Tue Feb 25 01:58:23 +0000 2020,What a day 🤗. Thank you NYC https://t.co/mkV0ZbWoBw
1231587692468719600,Sun Feb 23 14:32:42 +0000 2020,Wishing everybody a happy Sunday ✊️. 🤓 en Aeroporto di Milano Malpensa https://t.co/R0EKNfyy0T
1230830103229292500,Fri Feb 21 12:22:18 +0000 2020,RT @CircuitoMuseoFA: 🚦¡A punto de darle luz verde al fin de semana! 🟢 #educaciónvial https://t.co/T1Rxh6fhpr
1230546236949880800,Thu Feb 20 17:34:19 +0000 2020,Nuevo sitio favorito para una buena cena cuando esté en madrid! Espectacular lacasademanolofranco . Volveremos pron… https://t.co/7A5eWKdUnv
1229908425489948700,Tue Feb 18 23:19:53 +0000 2020,@NicoleNinaF1 https://t.co/gbpzU7csSx
1229908086762213400,Tue Feb 18 23:18:33 +0000 2020,@24hoursoflemans @Toyota_Hybrid @Sebastien_buemi @kazuki_info https://t.co/HrhuvygsMU
1229906998365388800,Tue Feb 18 23:14:13 +0000 2020,@IvanJimenez014 @AnaMariaMercad @rafa_mohedano 😇😇. Es que yo.. quien ha respondido en la revista, y yo..que he resp… https://t.co/0xuq4d9Rz2
1229901693971816400,Tue Feb 18 22:53:08 +0000 2020,@jijicarter @CircuitoMuseoFA https://t.co/UKaFafQM44
1229901538757369900,Tue Feb 18 22:52:31 +0000 2020,@ahergon89 https://t.co/YePvJJddtu
