id,created_at,text
1261042928820117500,Thu May 14 21:17:17 +0000 2020,@BrandyLJensen Anyone who doesn’t take the dog is a monster.
1261042787664965600,Thu May 14 21:16:44 +0000 2020,I really must insist that if you enjoy (or even “enjoy”) political discussions AND you like horror movies/science f… https://t.co/mQNbXpN6A6
1261042190857515000,Thu May 14 21:14:21 +0000 2020,The ‘rona got you down? Why not visit with me and @dandrezner about how *things could be worse* on our new podcast,… https://t.co/ObE2KRezVe
1261023398894940200,Thu May 14 19:59:41 +0000 2020,I think a lot of people are going to be writing that now, actually. https://t.co/NoEUJEr2XU
1261021689867010000,Thu May 14 19:52:54 +0000 2020,genius. https://t.co/vkGP014ezZ
1261016047039189000,Thu May 14 19:30:28 +0000 2020,@lingin @AvatarDomy BUTTERSTICK!
1260990336924516400,Thu May 14 17:48:19 +0000 2020,RT @PhilippineStar: These stray cats were spotted occupying the circle marks intended for the implementation of social distancing protocols…
1260941713243283500,Thu May 14 14:35:06 +0000 2020,I’m never taking my climbing gym for granted again.
1260933161589989400,Thu May 14 14:01:07 +0000 2020,@AZapruder Booop boop boopity boop
1260888918242844700,Thu May 14 11:05:18 +0000 2020,@Jeff_in_RI @StephenKing Starts back tomorrow!
1260888784880705500,Thu May 14 11:04:47 +0000 2020,@carol1111 BBBBBOOOOOOPPPPP
1260731940451299300,Thu May 14 00:41:32 +0000 2020,@HamillHimself YET HOW CAN ONE RESIST THE BOOP
1260731846498963500,Thu May 14 00:41:10 +0000 2020,@HamillHimself He accepts both but honestly prefers the snuggles.
1260730717547499500,Thu May 14 00:36:40 +0000 2020,@emmalabizarre Yes of c boop!
1260730403515699200,Thu May 14 00:35:26 +0000 2020,You know what to do. https://t.co/rl3bjBcu8w
1260673770236317700,Wed May 13 20:50:23 +0000 2020,@dandrezner WHICH REMINDS ME: Hey cool cats and kittens, you can now download episode one of The Churn: Pandemic Ed… https://t.co/8NLOCmX4Fs
1260672489589559300,Wed May 13 20:45:18 +0000 2020,@dandrezner how much of the book do we spoil? https://t.co/DoIEqno3Xw
1260671950403313700,Wed May 13 20:43:09 +0000 2020,@hailtodavictors @ChuckWendig Uhhhhhh. We don’t really get to the end, no.
1260664493950087200,Wed May 13 20:13:32 +0000 2020,So I know everyone else can’t hear “unmask” without thinking of our Current Unpleasantness but for me it will alway… https://t.co/yBdFHl3108
1260636419095134200,Wed May 13 18:21:58 +0000 2020,And a belief in God is…not? https://t.co/XymeaNyGGx
1260628894505480200,Wed May 13 17:52:04 +0000 2020,New heights of intimacy in quarantine: just shaved my husband’s neck.
1260610450175209500,Wed May 13 16:38:46 +0000 2020,RT @laurawags: Confounding use of "critics say" in this otherwise good and deeply reported story that gives clear and indisputable examples…
1260587273910988800,Wed May 13 15:06:41 +0000 2020,@JTanfani That’s what got me started on this rabbit hole 😉
1260580807216894000,Wed May 13 14:40:59 +0000 2020,@BerzerkerBuilds @egavactip @jjmacnab I don’t think it’s a popular movement, I do think it’s worth looking at the w… https://t.co/SjxCK6LmXi
1260580521417072600,Wed May 13 14:39:51 +0000 2020,@JYSexton @dianabutlerbass What you are saying is that Trump is our first president to govern using the principles of “The Secret.”
1260580233746538500,Wed May 13 14:38:42 +0000 2020,“Unnatural means” conjures a lot of other possibilities, too.  Poltergeists. Curses. Ritual sacrifice....  Well, th… https://t.co/unTYzLAsM6
1260579562318188500,Wed May 13 14:36:02 +0000 2020,RT @swin24: Trump “recently said that he’d like a “review” of how the coronavirus deaths are counted and studied by the government, citing…
1260572410237137000,Wed May 13 14:07:37 +0000 2020,RT @JayLeonard: @scarylawyerguy @anamariecox Yin and Yang puppers https://t.co/hizH3khlDf
1260570236400566300,Wed May 13 13:58:59 +0000 2020,@PatrickClaybon It's on my shelf! Will crack it today.
