id,created_at,text
1260635627411964000,Wed May 13 18:18:49 +0000 2020,@SrBachchan you seem to have lost some weight https://t.co/ksOCRvFjjZ
1258745893064499200,Fri May 08 13:09:41 +0000 2020,@shekharkapur Internet nahi hai tweet mountain ne kiya???
1258255301536612400,Thu May 07 04:40:15 +0000 2020,Best thing for tea lovers.. and yes mine too is C4 https://t.co/iJWPIwKN9T
1258254655148232700,Thu May 07 04:37:41 +0000 2020,RT @TrulyMonica: Sonu Nigam singing the Mahabharat title song as a 16 year old is so heart warming ❤️   https://t.co/xg2M6YYlyy
1256999212622975000,Sun May 03 17:29:00 +0000 2020,@republic 😂😂🤣🤣🤟
1248803143368036400,Sat Apr 11 02:40:45 +0000 2020,@thevirdas I started doing yoga for 2 hrs
1248391731155841000,Thu Apr 09 23:25:57 +0000 2020,@Neelam23444942 @SrBachchan @RealVinduSingh @arungovil12 @VinodKhanna 🙏
1247532221604364300,Tue Apr 07 14:30:34 +0000 2020,@thevirdas Sholey
1246856155961397200,Sun Apr 05 17:44:07 +0000 2020,@timesofindia No death
1246852060676608000,Sun Apr 05 17:27:51 +0000 2020,The image that burnol team were waiting for https://t.co/uBmFMAm818
1246838492354789400,Sun Apr 05 16:33:56 +0000 2020,@OmarAbdullah chala jayega, jab aap log police per spit nahi karoge,  fruits per spit nahi karoge, :)
1246826794218553300,Sun Apr 05 15:47:27 +0000 2020,@thevirdas You are too late, janta ne to phatake phod diye .. :)
1246826530841518000,Sun Apr 05 15:46:24 +0000 2020,#मोदीजी_हम_दीप_नहीं_जलाएंगे yar mat jalao, hum Eid mana lenge, but aap log itne kattar ho ki aap nahi karoge. And t… https://t.co/lsNNqUoCjv
1246263352453718000,Sat Apr 04 02:28:32 +0000 2020,@thevirdas @NetflixIndia @EmmayEntertain @ApplauseSocial @TheWeirdass Oh accha isliye vo 9pm ko light jalane wala tweet aaya tha.🤔🤔🤔🤫🤫🤫
1246262464376955000,Sat Apr 04 02:25:00 +0000 2020,#स्वरा_भास्कर_पेसे_निकाल @ reallyswara aap 25-50 Cr. Donate kerke is trend ko khatam ker he do na, kahein ka tension
1246167274706407400,Fri Apr 03 20:06:45 +0000 2020,#स्वरा_भास्कर_पेसे_निकाल hahaha is this really trending
1245377193632575500,Wed Apr 01 15:47:15 +0000 2020,@republic Aa Gaye chutiyon ki fauj
1245376757185876000,Wed Apr 01 15:45:31 +0000 2020,#NizamuddinIdiots this is so stupid, when all the other religious places are closed, what conspiracy were these idiots planning??
1244264076118810600,Sun Mar 29 14:04:07 +0000 2020,@republic Haha haha
1244134943988551700,Sun Mar 29 05:31:00 +0000 2020,@ArvindKejriwal Sir vo log yahaan we nahi padenge, unhe wahin jake batana padega
1243952851992424400,Sat Mar 28 17:27:26 +0000 2020,@thevirdas Have you donated, if not please go ahead. I have
1243524317075341300,Fri Mar 27 13:04:35 +0000 2020,In a nutshell, that is Indian marriage, respect space n companionship https://t.co/so7WsVFzdV
1243522120665137200,Fri Mar 27 12:55:51 +0000 2020,@ANI Hadd hai yar...
1243351331735249000,Fri Mar 27 01:37:12 +0000 2020,@MadhukerD https://t.co/vWfLcvlq0J
1243170970736758800,Thu Mar 26 13:40:31 +0000 2020,@thevirdas Don’t read too much of BBC, but it’s a fact unfortunately 😒
1242688562740572200,Wed Mar 25 05:43:36 +0000 2020,@deanschneiderFp @TandonRaveena Pls don’t go to China, they migh eat all your lovely animals
1241755184897953800,Sun Mar 22 15:54:41 +0000 2020,@thevirdas dude this is the root cause, world was aware about China but not Italy. It’s sad 😞  https://t.co/ECXqxafdr8
1241747668415758300,Sun Mar 22 15:24:49 +0000 2020,@thevirdas The only reason we have less cases is that we have tested too less
1241588176042459100,Sun Mar 22 04:51:03 +0000 2020,@thevirdas The best thing you spoke after I started to follow you
1240999864399548400,Fri Mar 20 13:53:18 +0000 2020,@republic Bhai India just do not mean Mumbai, mumbai k bahar bhi duniya hai, jahaan log rehte hein, where people ha… https://t.co/A3CMfI8UWk
1240998657840873500,Fri Mar 20 13:48:31 +0000 2020,@free_thinker Yes I agree it’s responsibility of government, but if you want to trick and hide away you can do it a… https://t.co/IjvxrW4nCj
1240798539124478000,Fri Mar 20 00:33:19 +0000 2020,Something to lift the mood while corona horror #coronavirus https://t.co/YyyP9XJWOt
1240643748683448300,Thu Mar 19 14:18:14 +0000 2020,#Dhinchakpooja did my bit, reported it to promote terror 😂😂😭😭
1239659289834389500,Mon Mar 16 21:06:21 +0000 2020,@IshitaYadav Hahahahahah🤣🤣😭😭😂👌👌
1239394581625659400,Mon Mar 16 03:34:29 +0000 2020,@TimesNow Kya pagal log hai yar
1238235624836137000,Thu Mar 12 22:49:12 +0000 2020,Yeah https://t.co/ELHanDexTc
1226948022812205000,Mon Feb 10 19:16:18 +0000 2020,@desimojito Uniform civil code
1225828947046346800,Fri Feb 07 17:09:30 +0000 2020,@TimesNow Hahaha so it was all for Delhi elections 🤣🤣😂😂
1225640624881193000,Fri Feb 07 04:41:10 +0000 2020,@republic Aayega aayega shanti pakdo jara
1225640439996272600,Fri Feb 07 04:40:26 +0000 2020,@VishalDadlani Ab ager aise tweets and statements nikalenge na to sir aapka @ArvindKejriwal mushkil me aa jayega. N… https://t.co/QmRrvpMwqh
1225639036603138000,Fri Feb 07 04:34:52 +0000 2020,@comedy_by_ATP 🤣🤣😂😂😂
