id,created_at,text
1259936147825766400,Mon May 11 19:59:20 +0000 2020,@mashable "A farmer &amp; con-man team up to bomb the feds and rescue the girl in an adventurous race across a galaxy f… https://t.co/9re3HkY8qz
1259908118491721700,Mon May 11 18:07:58 +0000 2020,@AlpacaAlpacaAl1 360 content capture is still pretty big but it's used in editing to make your 360s into a single c… https://t.co/iP7x9kEELY
1259888925356654600,Mon May 11 16:51:42 +0000 2020,And YES it worked great! Here's the video! https://t.co/2R6O0txKzm
1259888923305640000,Mon May 11 16:51:41 +0000 2020,When your friend sends you a note on Insta reminding you of the time you stuck a 360 camera on top of a drone - you… https://t.co/3Deu0236Ly
1259873398181650400,Mon May 11 15:50:00 +0000 2020,@Casey There's something magical about Thomas! I love the older ones!  My son (who's now 16) has only watched the o… https://t.co/BHyAwphM0v
1259870908614754300,Mon May 11 15:40:06 +0000 2020,Good Morning &amp; Happy Monday!  Today is the last day to enter our @TMobile @OnePlus_USA #OnePlus8 Giveaway via our Y… https://t.co/C7agdY7YX2
1259553936396005400,Sun May 10 18:40:34 +0000 2020,@_israelmiranda_ @TMobile @ZacksJerryRig @dbrand @OnePlus_USA My Wi-Fi calling on this 8 Pro I started using worked right out of the box!
1259244988854079500,Sat May 09 22:12:55 +0000 2020,@KingJavier333 @JonFreier @TMobile You could give her the one you just won 😉
1258880089212641300,Fri May 08 22:02:56 +0000 2020,@ChrisMcSprint Hey Chris!  Happy Friday &amp; Thanks for the follow!
1258580141577404400,Fri May 08 02:11:03 +0000 2020,@UncleRandy5 @TMobile @ZacksJerryRig @dbrand @OnePlus_USA And with twice the normal power!
1258580033964146700,Fri May 08 02:10:38 +0000 2020,@Navbee133 Are you giving one away? Oooooo pick me pick me!
1258579905425535000,Fri May 08 02:10:07 +0000 2020,@VanyNadi https://t.co/uixYxTK5Rq
1258560228724891600,Fri May 08 00:51:56 +0000 2020,If I sit here and you sit there, we can hang out https://t.co/pBWMSn6XQL
1258531112621445000,Thu May 07 22:56:14 +0000 2020,@Darcey_Estes @TMobile @MikeSievert @Andersen_Const @gensler_design @MGACinc @creifsn @devon_loerop I see so many g… https://t.co/xeE2AFthve
