id,created_at,text
740224430291308500,Tue Jun 07 16:50:31 +0000 2016,RT @JamieCentral: Favorite quote "You can't fall off the floor" @atomfactory @caafoundation
735555121195556900,Wed May 25 19:36:21 +0000 2016,RT @JasonHirschhorn: Founders: Ready for a masterclass in #hustle? @SMASHDLabs by @atomfactory is back for Season 2. Apply through June 5 h…
735554704634060800,Wed May 25 19:34:42 +0000 2016,Do you have a company that has the power to influence, shape &amp; catalyze culture? Apply now: https://t.co/JFH7WW5FI8 https://t.co/KBfD7S5eZV
735554165796048900,Wed May 25 19:32:33 +0000 2016,RT @smashdco: We’re looking for companies that have the power to influence, shape &amp; catalyze culture. Apply to @smashdlabs by 6/5 https://t…
731181185171234800,Fri May 13 17:55:53 +0000 2016,#THANKYOU is out now! Congratulations @Meghan_Trainor!!!!! https://t.co/dTJOHRHsHh https://t.co/aMpnVZISqE
725387621476655100,Wed Apr 27 18:14:20 +0000 2016,RT @smashdco: "Don't watch the clock; do what it does. Keep going." — Sam Levenson https://t.co/qdqYdmFxkH
725386365538422800,Wed Apr 27 18:09:21 +0000 2016,RT @Eloqua: People remember how you make them feel, whether you're a celebrity or a business. You need to nurture that relationship. -Troy…
725386202988294100,Wed Apr 27 18:08:42 +0000 2016,RT @timothymoran: When you hit bottom, keep fighting. "You can't fall off the floor". Troy Carter @atomfactory #MME16 https://t.co/mRpzHgx6…
719947719616233500,Tue Apr 12 17:58:06 +0000 2016,RT @Inc: 5 uncommon skills every entrepreneur needs to develop in order to win big. @densonology https://t.co/6fNDixZVXO
718235278964629500,Fri Apr 08 00:33:29 +0000 2016,Empathy is power: https://t.co/No6LHHZJSF
715940645882306600,Fri Apr 01 16:35:26 +0000 2016,Chelsea Clinton And Troy Carter Have 6 Tips For Would-Be Entrepreneurs: https://t.co/F0KkjPjpxw https://t.co/AejLKcqi70
712737228410060800,Wed Mar 23 20:26:11 +0000 2016,RT @CNNMoney: .@atomfactory CEO Troy Carter on managing superstar Grammy winners and his drive to succeed: https://t.co/2d4InioOsA https://…
