id,created_at,text
1257694705447366700,Tue May 05 15:32:39 +0000 2020,@TheBedouinFeet @imVkohli @ayushmannk @kritisanon @TikTok_IN I was expecting this question but no one asked 😃We did… https://t.co/ajM3RZoSuG
1257615996333912000,Tue May 05 10:19:53 +0000 2020,Today, we have a bigger responsibility than ever before to prevent the spread of misinformation.  I am glad to coll… https://t.co/qIPJSNrGTO
1256032925549617200,Fri May 01 01:29:20 +0000 2020,“To live in hearts we leave behind is not to die.” -Thomas Campbell  #RishiKapoor Legends don't die.
1255447426791428000,Wed Apr 29 10:42:46 +0000 2020,#Throwback to our Television days It was always a challenge to capture your brilliance. You left us too soon. But t… https://t.co/Ciq5VYgH6s
1255418982456328200,Wed Apr 29 08:49:44 +0000 2020,#IrrfanKhan Indian cinema will not be the same again without you Dost! Wish i had one more chance to work with you… https://t.co/gxOtmclf5V
1214763535986643000,Wed Jan 08 04:19:30 +0000 2020,RT @IndiaToday: Filmmaker @anuragkashyap72 speaks out on #JNUViolence; watch him in conversation with @sardesairajdeep! #NewsToday LIVE htt…
1214020576760582100,Mon Jan 06 03:07:15 +0000 2020,Organised attack on the students because what they say ,do or believe in?!!Since when has having an opinion a crime… https://t.co/Tj253mixQh
1213896448254722000,Sun Jan 05 18:54:01 +0000 2020,Only credible voice of resistance and opposition left in this country are students ,You’ll not be able to muzzle th… https://t.co/nlaE7ixfRP
1213862860243136500,Sun Jan 05 16:40:33 +0000 2020,We can't remain mute spectators anymore!! #SOSJNU
1210437014480310300,Fri Dec 27 05:47:27 +0000 2019,Let's Play #Ludo......24th April 2020.  @ipritamofficial @juniorbachchan  @RajkummarRao @fattysanashaikh… https://t.co/5hZeHDfH4y
1208242484226248700,Sat Dec 21 04:27:10 +0000 2019,https://t.co/eOEGYFNbtB
1208242319352316000,Sat Dec 21 04:26:31 +0000 2019,#StoriesByRabindranathTagore makes to the list of honourable mentions in The 30 Best International TV Shows of the… https://t.co/gf4wl1CRhr
1208093740910313500,Fri Dec 20 18:36:07 +0000 2019,Indian eclectic ethos is too strong to be broken. Bohut aaye aur chale gaye.
1191745362362454000,Tue Nov 05 15:53:30 +0000 2019,@ofgadvisory No! It's a fake account.
1187778245531332600,Fri Oct 25 17:09:36 +0000 2019,@vidya_balan  I cant believe its been already 20 years since we last worked together. https://t.co/nBp3TdJ5E2
1187769111033417700,Fri Oct 25 16:33:18 +0000 2019,RT @mimichakraborty: Can’t be a better day than this @vidya_balan @basuanurag 🎥 https://t.co/xeqkj6D150
1187768361087692800,Fri Oct 25 16:30:19 +0000 2019,Thank you so much @narendramodi ji  to make us realise the potential Cinema has to bring about a change.… https://t.co/c2KAOAHZvh
1186712324683362300,Tue Oct 22 18:34:00 +0000 2019,Kay beauty out now in stores and on https://t.co/5lEwpnXmWH! Follow @kaybykatrina now! Proud of you Kat!! https://t.co/qMOa3clhee
1185680610301362200,Sat Oct 19 22:14:21 +0000 2019,RT @PMOIndia: The mood is upbeat.   Let’s look beyond the box office and think of a larger purpose, says @basuanurag after meeting PM @nare…
1181724190325399600,Wed Oct 09 00:12:57 +0000 2019,Channa Mereya!!😝😝 https://t.co/64IG9sDIxo
1181721668873359400,Wed Oct 09 00:02:55 +0000 2019,Shubho Bijaya Dashami !! @ipritamofficial https://t.co/JyPcHmPo07
1166737485281427500,Wed Aug 28 15:41:08 +0000 2019,@sakshidenis @ROBINvsROBIN Thank you so much
1166737370885980200,Wed Aug 28 15:40:40 +0000 2019,@sakshidenis @ROBINvsROBIN Yea I'm sill trying to figure out😃
1150511917691068400,Sun Jul 14 21:06:31 +0000 2019,RT @xcrazenx: A film way ahead of its time and you all failed it. Ranbir’s acting as Jagga was top notch, from his physical appearance to w…
1150511765538537500,Sun Jul 14 21:05:55 +0000 2019,RT @VishiArtist: Thank you @basuanurag For giving us our Indian tintin #jaggajasoos #2yearsofjaggajasoos #RanbirKapoor https://t.co/P3dRQ0c…
1150510920113643500,Sun Jul 14 21:02:33 +0000 2019,RT @ipritamofficial: Celebrating 2 years of this special film that has given me so many fond memories while working on its music #2YearsOfJ…
1147162551379087400,Fri Jul 05 15:17:20 +0000 2019,@JohnAbrahamCLUB @tarasharmasaluj @TheJohnAbraham @MaheshNBhatt @VisheshFilms Taraaaa I want those pictures!
1138480966735990800,Tue Jun 11 16:19:49 +0000 2019,@vijay_tapare @ipritamofficial Thanx
1126166723462176800,Wed May 08 16:47:24 +0000 2019,@boxofficeindia Thanx!!
1126166534974345200,Wed May 08 16:46:39 +0000 2019,@tweet2prashant Thanx
1126166277209280500,Wed May 08 16:45:38 +0000 2019,@bollywood_bee Thank you s much!
1126165557491855400,Wed May 08 16:42:46 +0000 2019,@bookmyshow Thank you so much for your kind words! Versatility is what I strive for!!
1126164927821959200,Wed May 08 16:40:16 +0000 2019,@ABHIJEE97475926 आभार! शुक्रिया!
1126164614780149800,Wed May 08 16:39:01 +0000 2019,@ayaansangar Thanx
1126164495296909300,Wed May 08 16:38:33 +0000 2019,@GyanendrAw @TripathiiPankaj प्रोत्साहन के लिये शुक्रिया!
1126163657186930700,Wed May 08 16:35:13 +0000 2019,@Ashish_Johri_ @TripathiiPankaj Thanx
1126163603369803800,Wed May 08 16:35:00 +0000 2019,@jayantasarma Thank you
1126163090662350800,Wed May 08 16:32:58 +0000 2019,@manpreetgillaph शुक्रिया दोस्त!
1126161830647291900,Wed May 08 16:27:58 +0000 2019,@TripathiiPankaj आप भी मेरे favourite हो! धन्यवाद!!
1126159769180336100,Wed May 08 16:19:46 +0000 2019,@RajkummarRao Thank You Raj!  Qasam paida karne wale ki !🕺🕺🕺
1126148717168418800,Wed May 08 15:35:51 +0000 2019,@ADTSinghSharma @Ileana_Official Thank you !!! https://t.co/yTuvKCgPdo
1126002146669760500,Wed May 08 05:53:26 +0000 2019,@kinkylilboots Thank you !! Thank you!!
1126001966176280600,Wed May 08 05:52:43 +0000 2019,@Rajbabuftii0011 Thank you so much.
1126001874883080200,Wed May 08 05:52:21 +0000 2019,@itsBhushanKumar https://t.co/8lOxX2TbG4
1121454554753552400,Thu Apr 25 16:42:56 +0000 2019,@_dd88_ @Luvin_Life97 @Nawazuddin_S @actor_saswata All ears!😌
1103307888611725300,Wed Mar 06 14:54:33 +0000 2019,#WhoAteTheRafalePie #RafaleChoriCharge #RafaleDeal https://t.co/r13BwUXDIC
1102781903101460500,Tue Mar 05 04:04:29 +0000 2019,@Fighter_Patra Solution is we stop being a puppet.
1102498463491739600,Mon Mar 04 09:18:11 +0000 2019,RT @JaiHMehta: I love this picture! @RajkummarRao @fattysanashaikh @basuanurag  Can’t believe I just saw it. This is gonna be one wild ride…
1101028492630605800,Thu Feb 28 07:57:03 +0000 2019,@shivramjwala True!!
1101017620474617900,Thu Feb 28 07:13:51 +0000 2019,@PankajBadola2 Agreed! My next film is idiot- proof . I'm sure you will like it.
1101015049617981400,Thu Feb 28 07:03:38 +0000 2019,@PankajBadola2 Isiliye flop bhi ho gayi. Samjh aayegi bhi nahin.
1101005371399905300,Thu Feb 28 06:25:10 +0000 2019,#IAF lost 1 #PAF lost 1 who won?  Who is benefiting frm # IndoPak conflict? US ,Russia, China !!  They r making tri… https://t.co/NkwyahH8UY
1089404647549235200,Sun Jan 27 06:08:02 +0000 2019,@dushyant_lodaya @NetflixIndia @ipritamofficial @utvfilms Thank you!
1061147104133832700,Sat Nov 10 06:42:39 +0000 2018,https://t.co/d4JmhKDzcg
1056759604686684200,Mon Oct 29 04:08:18 +0000 2018,Opt out!!!?? Hehehe this is so funny When was she In!? @ParineetiChopra @Bollyhungama https://t.co/4P6yVxNsQH
1047149052511641600,Tue Oct 02 15:39:23 +0000 2018,Parents this for your kids. Kids this is for your parents who still have a kid inside them. #JaggaJassos is streaming now on @NetflixIndia
1042619120393629700,Thu Sep 20 03:39:03 +0000 2018,@MaheshNBhatt Sir! Can I assist you on Sadak2 !?
1040169242744610800,Thu Sep 13 09:24:07 +0000 2018,@KanikaDhillon You are master of your craft!
1039996478494662700,Wed Sep 12 21:57:37 +0000 2018,#Manmarziyaan's impetuous passion is infectious. Namesake @anuragkashyap72 and @aanandlrai I envy you!.What a film!… https://t.co/E8FhZTnSOk
1030366181566246900,Fri Aug 17 08:10:15 +0000 2018,Casting of an ensemble cast film can only be locked after securing combination dates of all the actors.Bohut mushki… https://t.co/P5GPhaY2YI
1017812728293908500,Fri Jul 13 16:47:19 +0000 2018,RT @thebollywoodfan: #StoriesByRabindranathTagore (2015): Splendid depictions of Tagore's literary works - with fine actors, production des…
1017708771466854400,Fri Jul 13 09:54:13 +0000 2018,RT @ipritamofficial: “When men, even unknowingly, are to meet one day, whatever may befall each, whatever their diverging paths, on the sai…
