id,created_at,text
1259634765814268000,Mon May 11 00:01:45 +0000 2020,@JohnStamos That’s amazing! Mothers know.
1259471384738238500,Sun May 10 13:12:32 +0000 2020,RT @mcpsAD: Happy Mother’s Day to all of the moms &amp; amazing individuals who support all of @MCPSAthletics! Thank you for all you do to RAIS…
1259293203754295300,Sun May 10 01:24:30 +0000 2020,@opslarih @Chantalandere Que lindo esto!
1259293057280815000,Sun May 10 01:23:56 +0000 2020,@markiepinter We’ve been dancing to his music pretty much all day. And his gospel music was incredible. What a voice. RIP
1259283032051191800,Sun May 10 00:44:05 +0000 2020,Looking for a Mother’s Day gift or a gift for your Graduate? These silhouette images are the perfect gift. RA Photo… https://t.co/f1oqhe6xSp
1259275105248706600,Sun May 10 00:12:35 +0000 2020,@DaisyFuentes And more will continue to die because of it. Irresponsible, selfish fools!
1259268245858578400,Sat May 09 23:45:20 +0000 2020,@richardmarx The fact that his name was Richard like you and he sang a song that says, “I’ve got a girl named Daisy… https://t.co/6bqmSGR4tH
1259192670490157000,Sat May 09 18:45:01 +0000 2020,Last day today to support our fundraiser for Class of 2020 scholarships. Mention Watkins Mill when ordering.… https://t.co/o13ip6z5kK
1259190518615101400,Sat May 09 18:36:28 +0000 2020,@funder And he’s right!
1258969504400511000,Sat May 09 03:58:15 +0000 2020,@dontbiteme No, I’m married to the bald one!
1258938357498986500,Sat May 09 01:54:29 +0000 2020,@markiepinter We’re expecting a possible snow storm in the North East and it’s MAY!!!! Climate change is definitely real.
1258924280320065500,Sat May 09 00:58:32 +0000 2020,@Chantalandere Pronto estarán juntas otra vez. Un abrazo para las dos.
1258889317180739600,Fri May 08 22:39:36 +0000 2020,@WatkinsMill2020 @MSMU
1258883821996593200,Fri May 08 22:17:46 +0000 2020,@msdvWMHS These are great!
1258883797321474000,Fri May 08 22:17:40 +0000 2020,@msdvWMHS https://t.co/27DzKy1Dkn
1258867952998330400,Fri May 08 21:14:43 +0000 2020,Love this! Well done, kids! https://t.co/yeu24hcDpu
1258866558551699500,Fri May 08 21:09:10 +0000 2020,Love this! https://t.co/czzNXYPErK
1258865373803434000,Fri May 08 21:04:28 +0000 2020,@wmorangenation @WatkinsMill2020 Indeed it is!! To have the former President of the United States and former First… https://t.co/MmwKm0Ns5l
1258746034932588500,Fri May 08 13:10:15 +0000 2020,@dracorosa Nena!!!! Can’t wait!
1258745907396444200,Fri May 08 13:09:45 +0000 2020,@markiepinter When there are so much more news to report, this is news?  Yes, please go away!
1258743454508757000,Fri May 08 13:00:00 +0000 2020,@Chantalandere Me alegro que tu principito la paso súper. Eres bendecida, preciosa! Que tengas un excelente día. 👑
1258741347231596500,Fri May 08 12:51:38 +0000 2020,@PatinkinMandy This has made my day! Talk about couples goals! And your son recording you! Just beautiful. ❤️
1258738885879791600,Fri May 08 12:41:51 +0000 2020,Nothing has brought me more joy this morning than seeing my husband text me “I found pancake mix”. They’ve been out… https://t.co/hkuNv91JVe
1258737053879189500,Fri May 08 12:34:34 +0000 2020,@DaisyFuentes Que chula la vieja está. Vieja amargada.
1258736227592929300,Fri May 08 12:31:17 +0000 2020,@markiepinter @AP Arrested in one thing. Convicted is another. I’m hopeful they will make an example of these monst… https://t.co/pn4BZZog9p
1258735788898037800,Fri May 08 12:29:32 +0000 2020,RT @Mr_Bero: Class of 2020! Grad ceremonies have completely changed because of the pandemic. But we want to know: How do you want to be cel…
1258355861879218200,Thu May 07 11:19:51 +0000 2020,@dracorosa @LatinGRAMMYs I’ve said it before and I will say it again, the best composer of our time, best rockero o… https://t.co/VOVmSFGHTR
1258131936322769000,Wed May 06 20:30:03 +0000 2020,RT @WMCollegeTracks: Two scholarships, 4 days left to apply!!! These are scholarships that are only for Watkins Mill students or students l…
1258109552068829200,Wed May 06 19:01:06 +0000 2020,@DaisyFuentes Couldn’t agree more!
1258108634996838400,Wed May 06 18:57:27 +0000 2020,@DaisyFuentes That’s how US Navy Seal, Chris Kyle died. Incredibly unfortunate. I agree, this may not be the best t… https://t.co/al7URNMNkL
1258090000207528000,Wed May 06 17:43:24 +0000 2020,@Target “It’s time for the world to see your greatness.”-Leo Castillo, Watkins Mill HS, Class of 2020  My son said… https://t.co/4yDImdz8Za
1258085546641031200,Wed May 06 17:25:43 +0000 2020,@markiepinter @NBCNews I’m naming my child X’oxo. 🤦🏼‍♀️
1257819978268577800,Tue May 05 23:50:26 +0000 2020,Going on all week long. @MVMS_PTSA @MVMS_MCPS @wmorangenation @NeelsvilleMS @TheMillSports @MontVillageMD… https://t.co/w1qM8M7DZN
1257818757088460800,Tue May 05 23:45:35 +0000 2020,Missing the diamond but proud of these boys! #Classof2020 #classof2020strong #baseballseason2020 #SENIORS2020… https://t.co/pwqLuvlHMM
1257291388452044800,Mon May 04 12:50:01 +0000 2020,@SENSE1B0B @ChuckWendig Awesome movie. It’s on Disney+. I’m having the boys watch it. A part two would’ve been a must.
1257290834887807000,Mon May 04 12:47:49 +0000 2020,@JulesBurn59 @uealdc My son Leo is a Senior in High School who plans on majoring in creative writing. Congratulatio… https://t.co/TMF48BjtEx
1257289890313777200,Mon May 04 12:44:03 +0000 2020,@Lin_Manuel Is that Daphne Rubin Rivera? I love Jimmy Smits. Ok, now. You’ve inspired me to come up with new parents. 🤓😆
1257288833068159000,Mon May 04 12:39:51 +0000 2020,@markiepinter @Dahlface33 @SanDiegoSymph @YouTube Congratulations!!! This is great news!
1257288311942590500,Mon May 04 12:37:47 +0000 2020,@mcpsAD @MCPSAthletics Our sincere condolences to their family and our MCPS Families who knew them and were coached under them.
1257287579579355100,Mon May 04 12:34:52 +0000 2020,@russellcrowe I saw it at the movies pregnant with my twins. A masterpiece indeed!
1257286639216398300,Mon May 04 12:31:08 +0000 2020,May the 4th be with you, as a Catholic has me replying, “and also with you.” 🤷🏼‍♀️. Have a great day, everyone!… https://t.co/aOueZuMmHd
