id,created_at,text
1260126859066511400,Tue May 12 08:37:09 +0000 2020,Happy to help.   https://t.co/j8MkXY7q6t
1260087800021434400,Tue May 12 06:01:57 +0000 2020,@ca_sagarjswl It is a technical glitch and should be resolved in a few hours. Thanks for notifying us about the sam… https://t.co/wECSsCLRdh
1258658188745826300,Fri May 08 07:21:11 +0000 2020,The Xiaomi #Mi10 is here.  SD 865 Up To 8GB + 256GB UFS3.0 6.67" AMOLED FHD+ 108MP primary + 13MP ultra wide + 2MP… https://t.co/uPtbexPvkc
1258367640197673000,Thu May 07 12:06:39 +0000 2020,Rumors suggest that the next iPhone will come with a smaller notch. https://t.co/ojFc6sUgDa
1258316785847337000,Thu May 07 08:44:34 +0000 2020,Deliveries of #alcohol are not legally allowed in #India and that’s exactly what #Zomato wants to change.   https://t.co/4BbyYfEy0K
1258020772041220000,Wed May 06 13:08:19 +0000 2020,We are live on Instagram guys. See you all there. https://t.co/cMuIaNs24M
1257997702018633700,Wed May 06 11:36:39 +0000 2020,@ritjain13 https://t.co/y62ctULeHQ
1257996886184587300,Wed May 06 11:33:24 +0000 2020,Where do you like your phone’s front camera?  #Poll #BeebomPoll #Polls
1257967545040031700,Wed May 06 09:36:49 +0000 2020,Are you ready for MIUI 12?  #MIUI #MIUI12 #RedmiK20 #RedmiK20Pro  https://t.co/kOu5igHSUv
1256113690610262000,Fri May 01 06:50:15 +0000 2020,Cook anticipates a “fair number” of people switching to iOS, saying its an “unbelievable offer”.  #iPhoneSE… https://t.co/2eTMJx3X3B
1255049147784114200,Tue Apr 28 08:20:09 +0000 2020,@kirantejamanne Thanks for your input. We've corrected the same. 😇
1255006397713887200,Tue Apr 28 05:30:16 +0000 2020,RT @beebomco: 8 New MIUI 12 Features!  Watch video: https://t.co/lGZnYfhq4b  #MIUI12 #MIUI https://t.co/egrh92EOqj
1254795124644524000,Mon Apr 27 15:30:45 +0000 2020,8 New MIUI 12 Features!  Watch video: https://t.co/lGZnYfhq4b  #MIUI12 #MIUI https://t.co/egrh92EOqj
1254699721559437300,Mon Apr 27 09:11:39 +0000 2020,List of all smartphones that are eligible for the MIUI 12 update.  #MIUI12 #MIUI   https://t.co/F45HFYUi82
1254283891600314400,Sun Apr 26 05:39:17 +0000 2020,RT @beebomco: 8 Hidden Instagram Tricks and Settings You Should Use!  Watch video: https://t.co/AeBd9hWPNW  #Instagram #YouTube https://t.c…
1254055980582592500,Sat Apr 25 14:33:39 +0000 2020,8 Hidden Instagram Tricks and Settings You Should Use!  Watch video: https://t.co/AeBd9hWPNW  #Instagram #YouTube https://t.co/8sMEUWrglg
1253963750790426600,Sat Apr 25 08:27:10 +0000 2020,Whenever ads become mainstream on the platform, it will be interesting to see if users migrate to one of the many… https://t.co/IKA1ddmreb
1253303447144657000,Thu Apr 23 12:43:21 +0000 2020,@VarunGandhi20 Actually, the biggest issue is the 'audio' part.
1253289983827300400,Thu Apr 23 11:49:51 +0000 2020,@TechyFrank Sure, thanks
1253289888750768000,Thu Apr 23 11:49:29 +0000 2020,@thesurajbelwal Sector 78
1253287712234197000,Thu Apr 23 11:40:50 +0000 2020,Hey guys, as you probably know, all of our equipment is locked up in our studio in Delhi while we are in Noida. So,… https://t.co/rxUTxcN1iV
1253228324094181400,Thu Apr 23 07:44:50 +0000 2020,Check out the specs and pricing here.  #iQOO #iQOONeo3 #iQOONeo35G  https://t.co/dPaJEgl7Ov
1252872932579106800,Wed Apr 22 08:12:39 +0000 2020,@Amey0073 We'll be back soon. Stay home. Stay safe.
1252846626361630700,Wed Apr 22 06:28:07 +0000 2020,Facebook has invested a whopping $5.7 billion (Rs. 43,574 crores) in the company.  #RelianceJio #JioFacebook  https://t.co/mIuY4TBrlh
1251903458581463000,Sun Apr 19 16:00:18 +0000 2020,OnePlus 8 and 8 Pro India Prices Revealed; Starts at Rs. 41,999!  What do you think of the pricing?  #OnePlus8… https://t.co/FgPj3116Xm
1251186274800529400,Fri Apr 17 16:30:28 +0000 2020,@DeepBarman30 @_hemantv https://t.co/8AKYDvojCY
1251178594774028300,Fri Apr 17 15:59:57 +0000 2020,Guys, which is the one smartphone launch that you are MOST excited for once the lockdown opens?
1250682925789491200,Thu Apr 16 07:10:20 +0000 2020,The body temperature shown in the app is updated regularly and shown alongside the executive’s current location in… https://t.co/D0PUHsZ41S
1250449147569647600,Wed Apr 15 15:41:23 +0000 2020,The all-new iPhone SE is here.  4.7" IPS LCD A13 Bionic Touch ID 12MP f/1.8 Primary 7MP Front Wireless Charging IP6… https://t.co/0hh3Z0aY4R
1250372692693270500,Wed Apr 15 10:37:35 +0000 2020,The chipset is designed in co-operation with Samsung.  https://t.co/JmmS4RGfFz
1250091346318086100,Tue Apr 14 15:59:37 +0000 2020,#OnePlus8Pro is here.  6.78" QHD+ AMOLED 120Hz refresh rate / 240Hz touch sampling Snapdragon 865 48MP Primary + 48… https://t.co/habTUEwTRw
1250038594615406600,Tue Apr 14 12:30:00 +0000 2020,We will be going live on Instagram with @gagan_arora1 and he has some exclusive news for us.  Plus, you guys have a… https://t.co/h29lfSY2Se
1249958320032460800,Tue Apr 14 07:11:01 +0000 2020,RT @beebomco: We will be going live on Instagram with @Gagan_arora1, Marketing Director of @IqooInd We will be asking different questions,…
1249723788301701000,Mon Apr 13 15:39:04 +0000 2020,We will be going live on Instagram with @Gagan_arora1, Marketing Director of @IqooInd We will be asking different q… https://t.co/r3R0bBARj7
1249704129129111600,Mon Apr 13 14:20:57 +0000 2020,Here are the 10 best podcasts to listen to during the Coronavirus lockdown.  #Lockdown #Covid19 #CoronaVirus… https://t.co/kzZE74tbTa
1249356366721908700,Sun Apr 12 15:19:04 +0000 2020,RT @DerekjAndersen: Friend in China just shared screenshot from a local delivery service. The delivery person's body temperature is now dis…
1249067096987684900,Sat Apr 11 20:09:37 +0000 2020,@TechAltar Alright. No problem. We will embed the video as well. Peace. 😇
1249063489328447500,Sat Apr 11 19:55:16 +0000 2020,@TechAltar We think there is some confusion because we have given the source link to your video at the end of the a… https://t.co/2QJwwG29ep
1248232017717686300,Thu Apr 09 12:51:18 +0000 2020,Benchmark scores need to be taken with a grain of salt at the best of times.  https://t.co/fU7qfvBJzA
1247451307784335400,Tue Apr 07 09:09:02 +0000 2020,When you have more time in hand and premium content is available for free.  #CoronaVirus #Covid19 #Covid19India… https://t.co/zPQLOhglYp
1247440950533582800,Tue Apr 07 08:27:53 +0000 2020,One City, One Place. Are you following the same?  #StayHomeStaySafe https://t.co/ODUaxhXuZ7
1246472841211641900,Sat Apr 04 16:20:58 +0000 2020,Here's everything #OnePlus8Series  https://t.co/QA8RcAvc7h
