id,created_at,text
1259142725154283500,Sat May 09 15:26:34 +0000 2020,RT @RudyGiuliani: Should I report this to the Mayor so he and his wife can receive their criminal summons from the NYPD?   How about his fr…
1259142539426267100,Sat May 09 15:25:49 +0000 2020,RT @marklevinshow: Comey the evil saboteur https://t.co/HVnfmNhgVz
1259142379623329800,Sat May 09 15:25:11 +0000 2020,RT @GOPChairwoman: POLL: 62% of voters are concerned about fraud under a 100% mail-in ballot system.  Americans overwhelmingly approve safe…
1258927005510381600,Sat May 09 01:09:22 +0000 2020,RT @DLoesch: Have the trial. Give due process. But if two dudes chased me in a truck before blocking my way, getting out, and drawing down…
1258926678048473000,Sat May 09 01:08:04 +0000 2020,RT @tedcruz: Joe, you chased after Trump for 2 years like a teenage girl throwing her panties at the latest boy band; now you pretend to be…
1258899440699613200,Fri May 08 23:19:50 +0000 2020,RT @marklevinshow: Schiff and the other mobsters knew there was no Russia collusion but lied anyway.  Schiff should be disbarred and expell…
1258899422597075000,Fri May 08 23:19:46 +0000 2020,RT @DonaldJTrumpJr: RT if you want to see General Flynn sue the FBI and it’s corrupt actors for all they’re worth and at the same time brin…
1258899386630910000,Fri May 08 23:19:37 +0000 2020,FACT: https://t.co/jPl1B2eQp5
1258895868889006000,Fri May 08 23:05:38 +0000 2020,Join me now as I fill-in for the great one @marklevinshow coast to coast!
1256661417777942500,Sat May 02 19:06:44 +0000 2020,RT @johnrobertsFox: A Senior Intelligence Source tells me there is agreement among most of the 17 Intelligence agencies that COVID-19 origi…
1256227549039997000,Fri May 01 14:22:41 +0000 2020,RT @StevenTDennis: Trump gets bump in latest Gallup Poll: 49% approval (+6, tied for his best) 47% disapproval (-7)
1255143150345089000,Tue Apr 28 14:33:41 +0000 2020,RT @SteveKrak: I think we’ve reached the point in the Joe Biden Tara Reade story where it’s fair to say if the same corroborating evidence…
1255108947696070700,Tue Apr 28 12:17:46 +0000 2020,I swear there is NO BIAS IN THE MEDIA 🤦‍♂️🤦‍♂️🤦‍♂️ https://t.co/jv7BdRNSN8
1255108410816766000,Tue Apr 28 12:15:38 +0000 2020,RT @MeghanMcCain: DeBlasio is a national disgrace. New Yorkers have every right to be furious at his blatant disregard for breaking HIS OWN…
1255108334182715400,Tue Apr 28 12:15:20 +0000 2020,RT @MyTimVanHorn: @benfergusonshow joins me at 7:45am to discuss local &amp; national issues @600WREC &amp; 92.1FM
