id,created_at,text
1259665154133889000,Mon May 11 02:02:30 +0000 2020,@KWill_24 Not a part of the family...😂
1259664733042598000,Mon May 11 02:00:50 +0000 2020,@KWill_24 They want to be relevant so badly. It’s sad.
1259661601050935300,Mon May 11 01:48:23 +0000 2020,@WaltD336 They wouldn’t play y’all series cause of suspensions
1259659941369057300,Mon May 11 01:41:48 +0000 2020,@WaltD336 😂😂😂
1259286305491562500,Sun May 10 00:57:06 +0000 2020,🗣🗣 https://t.co/u97iTsRPnb
1258954465480245200,Sat May 09 02:58:29 +0000 2020,@most_jaunted I wish I was the plug
1258948188670775300,Sat May 09 02:33:32 +0000 2020,@DMOneFive @jordan_for6 @most_jaunted I didn’t know that
1258948125877772300,Sat May 09 02:33:17 +0000 2020,@most_jaunted Sheeesh
1258838962891903000,Fri May 08 19:19:31 +0000 2020,@muddawgmattb Nice Nice. I see some gems in there
1258743528978616300,Fri May 08 13:00:18 +0000 2020,@Born_Authentic Where’s the food at smh
1258609833462333400,Fri May 08 04:09:02 +0000 2020,👀 @ContainerStore
1258591539804110800,Fri May 08 02:56:21 +0000 2020,Here’s the rest of the room.   300+ pairs. https://t.co/vnPTajrBhu
1258577118746816500,Fri May 08 01:59:02 +0000 2020,I like it 🔥🔥 https://t.co/GnmWL4RpRT
1258577002711449600,Fri May 08 01:58:35 +0000 2020,🔥🔥 https://t.co/8z6VbMUFd1
1258576362975174700,Fri May 08 01:56:02 +0000 2020,@paddythomas4 The Container Store
1258570581060079600,Fri May 08 01:33:04 +0000 2020,👀 let’s see what y’all got! https://t.co/8biSaA56KY
1258110376090230800,Wed May 06 19:04:22 +0000 2020,That’s crazyyyyyy! I didn’t even realize that was Coach in the corner! His hair was sooo dark 😂😅 https://t.co/Y4w7oQIs1g
1254745396393492500,Mon Apr 27 12:13:09 +0000 2020,@Clayster GGs G!!
1254611193081331700,Mon Apr 27 03:19:52 +0000 2020,@aardodson I wanna know what it was like from a kids perspective to watch those bulls teams back then. So I hope this happens!! 😭
1254606776198193200,Mon Apr 27 03:02:19 +0000 2020,Weekly tweet until the last episode!😭 https://t.co/c139T1cVj2
1254606517166395400,Mon Apr 27 03:01:17 +0000 2020,Help my brother Aaron out!! https://t.co/z2OIwpmUqj
1254591361766043600,Mon Apr 27 02:01:04 +0000 2020,Whoever is responsible for the soundtrack to the Last Dance......Thank you!!!! Wow!!!
