id,created_at,text
1260738794459889700,Thu May 14 01:08:46 +0000 2020,RT @titocurtis: 3. That the premier would take the time to single Aaron out — I’m fairly certain this will result in hate mail and possibly…
1260738745504092200,Thu May 14 01:08:34 +0000 2020,RT @titocurtis: 2. Derfel broke the Herron story and did so in a way that made the government take action, try to rectify the situation and…
1260738689426129000,Thu May 14 01:08:21 +0000 2020,RT @titocurtis: 1. Given that, at the outset of the pandemic, some of the worst hit areas were on the west side of the island, it’s normal…
1260738632098381800,Thu May 14 01:08:07 +0000 2020,RT @drainvillepm: Keep up the (very) good work @Aaron_Derfel. Gov. has noticed your reporting. Wear it like a badge of honour.  Tu pratique…
1260738437440815000,Thu May 14 01:07:21 +0000 2020,RT @titocurtis: Someone print a bunch of “Aaron Something” t-shirts and donate the proceeds to charity!
1260716032118980600,Wed May 13 23:38:19 +0000 2020,RT @RollingStone: New Order’s Bernard Sumner and Stephen Morris will reminisce about their Joy Division singer Ian Curtis during a livestre…
1260654471438233600,Wed May 13 19:33:42 +0000 2020,@lchodan @francoislegault @mtlgazette @Aaron_Derfel Hear, hear Lucinda.
1260654334011834400,Wed May 13 19:33:09 +0000 2020,RT @lchodan: I object strongly to the suggestion by Premier @francoislegault that @mtlgazette health reporter @Aaron_Derfel is inciting fea…
1260654288482627600,Wed May 13 19:32:58 +0000 2020,Here's story on survey that says anglophones are more worried about contracting COVID-19 than francophones. 68% vs… https://t.co/KrvUSqJQu0
1260652159672045600,Wed May 13 19:24:31 +0000 2020,Funny how easy it is for Tame Impala aka Kevin Parker to do a socially-distant performance. hahahaha Here's KP/Tame… https://t.co/GyhvorZ5sG
1260651065839480800,Wed May 13 19:20:10 +0000 2020,The Dears' Lovers Rock is music made for an anxious time. Here's my piece on the veteran Montreal alt-rock outfit a… https://t.co/rktYWvXAlN
1260649406207889400,Wed May 13 19:13:34 +0000 2020,RT @StuCowan1: @brendanshowbiz Unfortunately, in Quebec things almost always seem to become about language.
1260649390886117400,Wed May 13 19:13:31 +0000 2020,@StuCowan1 Sad but true.
1260649237458477000,Wed May 13 19:12:54 +0000 2020,RT @MNguyenJDM: Our job is to report on what’s happening in our communities. If polls show that anglophones are more worried about COVID-19…
1260648217785450500,Wed May 13 19:08:51 +0000 2020,Food trucks could be the saviour of dining out in Montreal in the Covid crisis, but there’s a hiccup...the City adm… https://t.co/fWSUL7uUCw
1260647734148608000,Wed May 13 19:06:56 +0000 2020,Kind of amazing how with a couple of off-hand comments François Legault does his best to turn the COVID crisis into… https://t.co/d2pHGkcpUz
1260647094043373600,Wed May 13 19:04:23 +0000 2020,Best news I've heard in a while. Tennis is soon going to be allowed. Yes sir! https://t.co/Mtf9YmJU6K
1260644461538762800,Wed May 13 18:53:55 +0000 2020,@LoupDogg @SGirouxCTV @Aaron_Derfel Regarde mes tweets. J'ai verifié à la source et @SGirouxCTV a 110% raison. C'es… https://t.co/56MADcECgd
