id,created_at,text
1255624565973188600,Wed Apr 29 22:26:39 +0000 2020,RT @mmilleradams: My fascination with the free-college idea is well documented. I've spent 14+ years studying it and have written 2.5 books…
1255624071489994800,Wed Apr 29 22:24:41 +0000 2020,RT @PublicBooks: YOU SAY TO BRICK, a biography of Louis Kahn by Wendy Lesser, is “an unfolding masterpiece: a modest entrance and several c…
1254755197353627600,Mon Apr 27 12:52:05 +0000 2020,RT @PublicBooks: Tressie McMillan Cottom on being told not to write in grad school:  "Oh, that’s probably very reasonable advice, but there…
1254193194578952200,Sat Apr 25 23:38:54 +0000 2020,RT @bcqer: Several weeks ago, the global sports world collectively hit the pause button. So, we at @PublicBooks decided to ask some of our…
1249719372458975200,Mon Apr 13 15:21:31 +0000 2020,@patrick_sharkey Dolly Parton’s America and Bundyville. I know you’ve got time for some long walks.
1249718357416382500,Mon Apr 13 15:17:29 +0000 2020,RT @PrincetonUPress: Listen to @caitlinzaloom and @jennifermmorton discuss the financial pressures of paying for college and the impact on…
1241727655545835500,Sun Mar 22 14:05:17 +0000 2020,RT @NFolbre: Sacrifice expected? Neither of the current strategies for combatting corona virus--social distancing and cash transfers--helps…
1241071244688195600,Fri Mar 20 18:36:57 +0000 2020,RT @PublicBooks: The distinction between field and study is an old one in anthropology. And yet, the business of learning and engaging in t…
1240761533275279400,Thu Mar 19 22:06:16 +0000 2020,RT @ananyaUCLA: UCLA just announced changes to academic personnel processes in response to the Covid-19 crisis, including extension of the…
1240679954792267800,Thu Mar 19 16:42:06 +0000 2020,RT @kreighbaum: Senate Democrats propose canceling a minimum of $10,000 in student loan debt as part of coronavirus relief. https://t.co/UL…
1240679748021424000,Thu Mar 19 16:41:17 +0000 2020,RT @jmargetta: Yes, and canceling student loan payments (NOT "pausing") frees up money - typically $200-$300 per month - for 45 million Ame…
1240679547009470500,Thu Mar 19 16:40:29 +0000 2020,RT @eshawcrane: my dissertation research on military humanitarianism &amp; medicalized counterinsurgency is coming to New York City. this milit…
1240043303170687000,Tue Mar 17 22:32:17 +0000 2020,RT @rogermacginty: I am 30 minutes into home schooling my 6 year old. I suggest that all school teachers are paid £1m per year from now on.
1240043256664207400,Tue Mar 17 22:32:05 +0000 2020,RT @sethfrotman: Just when you thought student loan companies couldn't go any lower—@Navient continues to drag borrowers to court in the mi…
1238987703359864800,Sun Mar 15 00:37:42 +0000 2020,RT @EricKlinenberg: Physical distancing. Social solidarity. Political generosity. That’s how we get through this. Together.  https://t.co/E…
1238984450924478500,Sun Mar 15 00:24:46 +0000 2020,RT @ronlieber: NEW: The federal student loan interest waiver that Trump announced today will *not* actually lower monthly payments. Instead…
1237411691908006000,Tue Mar 10 16:15:12 +0000 2020,RT @PublicBooks: "How do we as people, as complicated and full human beings, engage with history?"  @TheTattooedProf levels with @KevinMKru…
1237406099407503400,Tue Mar 10 15:52:58 +0000 2020,Licensed practical nurses and nurses aides are the people keeping us well and caring for us when we’re sick. They w… https://t.co/BFJaQHnxjV
1237109272036679700,Mon Mar 09 20:13:29 +0000 2020,RT @helaineolen: BTW, this week should be a reminder about why the 401(k) started as a supplement to pensions, and was never intended to wo…
1237101037091262500,Mon Mar 09 19:40:46 +0000 2020,RT @finhealthnet: #finhealth for workers is bigger than retirement and insurance benefits, it’s also about access to paid time off and othe…
1237095744571674600,Mon Mar 09 19:19:44 +0000 2020,RT @EricKlinenberg: Tonight (of all nights), after a year of preparation, @playhousesquare @TheCityClub @CuyahogaLib &amp; other partners are h…
1234954986095771600,Tue Mar 03 21:33:07 +0000 2020,RT @PublicBooks: Fake news abounds in Anne Carson's NORMA JEANE BAKER OF TROY, and Carson keeps an eye on the media climate of the present…
1234917358239670300,Tue Mar 03 19:03:36 +0000 2020,RT @KimberlyZChong: Happy to be quoted in @jpinsk article on money talk and taboo, which examines how it varies across class, race, and cul…
1233414572792565800,Fri Feb 28 15:32:04 +0000 2020,RT @TomTomFest: How do families afford #college without breaking the bank? Join us at #TomTomSummit2020 for a #free headlining conversation…
1232504215290794000,Wed Feb 26 03:14:38 +0000 2020,RT @eschor: Elizabeth Warren cites Matthew 25 in answering the motto question — recently I took a deeper look at why that biblical passage…
1232503004508704800,Wed Feb 26 03:09:49 +0000 2020,@FieldsDesiree @miriamkp is my supply chain guru.
1232437237482045400,Tue Feb 25 22:48:29 +0000 2020,RT @ProfessorWherry: Our letter out today @insidehighered noting that many of us who managed to work and pay our way through college could…
1232399558497493000,Tue Feb 25 20:18:46 +0000 2020,Bullshit decoder. This may be the best thing anyone has said about *Indebted* yet. Thanks, ⁦@BigMeanInternet⁩  https://t.co/iHt0LJzELA
1232397389996138500,Tue Feb 25 20:10:09 +0000 2020,Excited to see where  @sophie_NYU will take us in the @PublicBooks urban section. https://t.co/9rqWmgynsQ
1230214548512288800,Wed Feb 19 19:36:19 +0000 2020,Such an honor to see this piece about *Indebted* in @laviedesidees https://t.co/Zdb8RxxWj7
1230212162997629000,Wed Feb 19 19:26:50 +0000 2020,RT @GutkinLen: Today at UNC -- a panel discussion on meritocracy featuring  @a_n_a_berg,  @caitlinzaloom, and  @thomaschattwill, all of who…
1223314942734012400,Fri Jan 31 18:39:45 +0000 2020,Evidence that state legislators cut more in higher ed budgets when students of color have made inroads. When white… https://t.co/icgamKeM0j
1220444042913362000,Thu Jan 23 20:31:49 +0000 2020,RT @PublicBooks: Our latest #PublicThinker, philosopher and game designer @ibogost, explains the lure of frustrating games, the humanism be…
1220052032700272600,Wed Jan 22 18:34:06 +0000 2020,RT @kreighbaum: The @AFTunion has filed a lawsuit in a California district court arguing Education Secretary Betsy DeVos unlawfully repeale…
1219718060753543200,Tue Jan 21 20:27:01 +0000 2020,RT @shamuskhan: Wow. Review of #sexualcitizens in @sciencemagazine from leading sexual assault research @ClaireRenzetti. My heart is racing…
1219660979723743200,Tue Jan 21 16:40:12 +0000 2020,It's the 10 year anniversary of the Supreme Court’s landmark decision in Citizens United v. FEC. To mark the dark o… https://t.co/pL54eLy1om
1217811196503523300,Thu Jan 16 14:09:49 +0000 2020,RT @BandeljNina: Money is about relationships - discussion with economic anthropologist but also terrific UCI Social Sciences @ucisocsci  D…
1217810782668427300,Thu Jan 16 14:08:11 +0000 2020,RT @EricKlinenberg: My visit to St Louis began with a tour of the ⁦@fergusonlibrary⁩, which did such amazing work during the uprising - org…
1217190533602463700,Tue Jan 14 21:03:32 +0000 2020,RT @nkwarikoo: Big story that's been buried--Johns Hopkins stopped legacy advantage in admissions a few years ago. Guess what? they're not…
1217169874566484000,Tue Jan 14 19:41:26 +0000 2020,Such a pleasure to talk about families and the high cost of college with @massteachers. Teachers are on the front l… https://t.co/KeEqh5WD2b
1217168112862269400,Tue Jan 14 19:34:26 +0000 2020,RT @jselingo: Yep, and everyone there knows it. Speaks to the importance of knowing your mission and creating an organization where people…
1217129574393315300,Tue Jan 14 17:01:18 +0000 2020,RT @ChongSOC: So did the shrine work? Judge for yourself in the final Q&amp;A published today in The American Scholar here: https://t.co/P9ugqi…
1217119740541522000,Tue Jan 14 16:22:13 +0000 2020,RT @kreighbaum: Elizabeth Warren says she wouldn’t wait for Congress to cancel student loan debt. https://t.co/OKchrbt8oP
1217118522247188500,Tue Jan 14 16:17:23 +0000 2020,RT @EricKlinenberg: Spoiler alert: The fossil fuel industry. https://t.co/4MNqlVQizf
1217112908926193700,Tue Jan 14 15:55:05 +0000 2020,*Sexual Citizens* is out! @JenniferSHirsch  &amp; ⁦@shamuskhan devoted years to unraveling how sex on campus shapes stu… https://t.co/5rNbjgtJT1
1215746487453409300,Fri Jan 10 21:25:24 +0000 2020,Caring for kids and parents. Endless time on the phone with insurers. Sky high expectations for motherhood and marr… https://t.co/St58VV0HXe
1215720618190155800,Fri Jan 10 19:42:37 +0000 2020,RT @PublicBooks: Yikes: “The question is not *whether* an accident of Chernobyl’s gravity can happen elsewhere, but how to prepare for the…
1215720219894861800,Fri Jan 10 19:41:02 +0000 2020,RT @CharlieEatonPhD: I just published an article with Mitchell Stevens about how universities are unusual and powerful organizations becaus…
1215696594177286100,Fri Jan 10 18:07:09 +0000 2020,RT @Wallski775: We’re going to be talking #DebtFreeFuture @massteacher Higher Ed Conference tomorrow with @MassProfs @Prof_EOB @caitlinzalo…
1215352701787299800,Thu Jan 09 19:20:38 +0000 2020,RT @BandeljNina: Piketty's new book, Capital and Ideology: "The great  driver  of  human  progress  over  the  centuries  has  been  the  s…
1215328559385936000,Thu Jan 09 17:44:42 +0000 2020,RT @christiehenry: #publisherresolutions2020: help the world understand that publishing #scholarlybooks entails the art and science of cura…
1215013869799780400,Wed Jan 08 20:54:15 +0000 2020,RT @j_montgomerie: On my 41st birthday, my @ESRC project blog is published. Seed funding for an inquiry into the political economy of the h…
1214635977777569800,Tue Jan 07 19:52:38 +0000 2020,RT @JedediahSPurdy: Bubble
1214602971759153200,Tue Jan 07 17:41:29 +0000 2020,RT @EricKlinenberg: Manuel Castells, one of my advisers at ⁦@UCBerkeley⁩, has been appointed Minister of Universities by the new government…
1214602642552307700,Tue Jan 07 17:40:10 +0000 2020,RT @bcqer: @LeahAtWhatPrice @n_j_dames @caitlinzaloom @bravohotelpapa @RowanRicardo @gerry_cadava @CarolynDever @MaxHolleran @anniehgalvin…
1214602006943408000,Tue Jan 07 17:37:39 +0000 2020,RT @allison_pugh: It's out! @coopermarianne &amp; I looked at 10 years of writing about families and inequality for JMF's Decade in Review seri…
1214299522140180500,Mon Jan 06 21:35:41 +0000 2020,⁦You ask about inverting the beer test for presidential candidates? I’d definitely enjoy a nice bracing IPA while t… https://t.co/UM11aWHfR9
1208422298048483300,Sat Dec 21 16:21:41 +0000 2019,RT @lisquart: We’ve just started a books initiative ⁦@econhardship⁩, helping a few authors each year with grants to finish their books abou…
1208422097585877000,Sat Dec 21 16:20:54 +0000 2019,@VSJohnsonNYC Reckless Daughter about Joni Mitchell.
1208019620055134200,Fri Dec 20 13:41:35 +0000 2019,@julianzelizer Such fun talking with you, Julian.
1207719725255594000,Thu Dec 19 17:49:55 +0000 2019,RT @jennifermmorton: My latest discussion of what universities can do to mitigate and minimize the ethical costs of Upward Mobility @timesh…
1207441833963466800,Wed Dec 18 23:25:41 +0000 2019,RT @chihumanities: What's the power of education, debt, and the workforce? Watch our playlist featuring #FestivalFriends @Sarah_Smarsh, @ca…
1207441757019033600,Wed Dec 18 23:25:22 +0000 2019,RT @MarkHuelsman: Student debt cancellation polls better with low-income voters than high-income voters. It polls better with non-college e…
1203671116298018800,Sun Dec 08 13:42:11 +0000 2019,RT @BharatRamamurti: One downside of @ewarren's universal free college plan is no more Dr. Pepper halftime challenge, where college student…
1202415840815136800,Thu Dec 05 02:34:10 +0000 2019,From the Department of Totally Missing the Point https://t.co/F3rLib2Neu
1202403315943923700,Thu Dec 05 01:44:24 +0000 2019,RT @PublicBooks: Person 1: “Can you get me a drink with an umbrella?” Person 2: “No.”  And more unfortunate overheards from the American St…
1202274883671122000,Wed Dec 04 17:14:04 +0000 2019,Brilliant idea by ⁦@hollyhonderich⁩ to profile the ever-inspiring ⁦@bereacollege⁩ where every student attends for f… https://t.co/SFpxKOUYm4
1202272946078863400,Wed Dec 04 17:06:22 +0000 2019,@seattlesquinn Now I’m envisioning him in knee socks. Thanks a lot!
1202269777143697400,Wed Dec 04 16:53:46 +0000 2019,@seattlesquinn I support that as long as you thrown in an assignment to analyze Boris’s coif.
1201968168706674700,Tue Dec 03 20:55:17 +0000 2019,@seattlesquinn I even had a recent conversation with an investor in ISAs that considered the pros and cons. How cou… https://t.co/XoPGOFXesm
1201925313170694100,Tue Dec 03 18:05:00 +0000 2019,Important thread by @seattlesquinn. We need to be skeptical of Income Share agreements. Finance too often exacerbat… https://t.co/VVgct8wVd7
1201919359909814300,Tue Dec 03 17:41:20 +0000 2019,RT @PrincetonUPress: We are excited to see that Indebted by @caitlinzaloom and Two Cheers for Higher Education by @BrintSteven have been se…
1201916495103746000,Tue Dec 03 17:29:57 +0000 2019,@shamuskhan Come on. You know that tie with tiny whales will look perfect with your navy blazer and boat shoes.
1199035443918053400,Mon Nov 25 18:41:41 +0000 2019,“The reason debt forgiveness could have a big impact on the overall economy is that a generation of Americans is ma… https://t.co/sBySLceJZ2
1198966305229066200,Mon Nov 25 14:06:57 +0000 2019,RT @ronlieber: The university flat-out refused to explain itself or comment at all. So did @ChurchNewsroom, which is normally pretty respon…
1198037586205401000,Sat Nov 23 00:36:33 +0000 2019,A huge step in the right direction. https://t.co/l186QWziRP
1197960514887979000,Fri Nov 22 19:30:18 +0000 2019,Anthros, Come celebrate. Natasha Schull and Liz Roberts organized a party for *Indebted* at The Clough Club, 5:30 to 7:30. See you there!
1197908835257602000,Fri Nov 22 16:04:57 +0000 2019,RT @margaretomara: So great to hear @caitlinzaloom talk at @THSEA last night about her terrific and important new book INDEBTED.  (&amp; Seattl…
1197601830978519000,Thu Nov 21 19:45:01 +0000 2019,RT @margaretomara: The robot overlords are coming...for white collar jobs, especially technical ones. This makes skills that only humans ca…
1197551384142307300,Thu Nov 21 16:24:34 +0000 2019,RT @SarahKCowan: When the President revealed that he has not ridden #Amtrak in the past twenty years. #ImpeachmentHearings #impeachment htt…
1197341020020600800,Thu Nov 21 02:28:39 +0000 2019,Ever wonder what Studs Terkel would be up to today?  @KUOWRoss introduces us to the people who make the city run fr… https://t.co/khkF8HZPbn
1196885704103456800,Tue Nov 19 20:19:23 +0000 2019,@THSEA has made our event free* for anyone 22 and under. Love it. https://t.co/ods9ZJgF2d
1196467730104406000,Mon Nov 18 16:38:30 +0000 2019,Thrilled to be talking student debt and family life with @KUOWRoss this Wednesday at @THSEA. It is the perfect plac… https://t.co/UpwzkAG9xZ
1195503226113708000,Sat Nov 16 00:45:55 +0000 2019,RT @proseb4bros: the @PublicBooks font reads like a hug to me. super happy to have an excerpt from my essay "The Hipster" rendered so https…
1195141630417879000,Fri Nov 15 00:49:04 +0000 2019,RT @EricKlinenberg: There are so many great things about @publicbooks, but one special virtue is that editors (@MarcusSharon @caitlinzaloom…
1195032053483528200,Thu Nov 14 17:33:38 +0000 2019,I often feel sad as I approach the end of a great novel. Today, I discovered that philosophy can have that same eff… https://t.co/kf0TM2u0qO
1193376988494520300,Sun Nov 10 03:57:00 +0000 2019,Most Americans don’t realize state funding for higher ed fell by billions | PBS NewsHour https://t.co/La1yE8HWYc
1192882588752531500,Fri Nov 08 19:12:26 +0000 2019,RT @margaretomara: Thrilled to kick off the new @PublicBooks @CASBSStanford collaboration. Thanks @caitlinzaloom @margaretlevi for bringing…
1192535545047584800,Thu Nov 07 20:13:24 +0000 2019,@ryanleecox Sure. I just need a way to@send them back to you.
1192515545221996500,Thu Nov 07 18:53:56 +0000 2019,@ryanleecox I’d love for you to purchase books. You can order it through Princeton University Press here. I don’t k… https://t.co/SPGK0NPi4M
1192509316508639200,Thu Nov 07 18:29:11 +0000 2019,Come to our event on Monday. We will give out gold stars for your permanent record. https://t.co/RwASFdPRep
1192499643181150200,Thu Nov 07 17:50:45 +0000 2019,RT @weiss_hadas: Anthropologists are seldom swayed by generational politics because sophisticated ethnographic methods allow them to observ…
1192275820632518700,Thu Nov 07 03:01:21 +0000 2019,RT @RepKatiePorter: There isn’t a small enough violin in the world to play this sad song. Let’s talk when you’ve had to clip coupons to aff…
1192262330278711300,Thu Nov 07 02:07:45 +0000 2019,@nkwarikoo @TuftsUniversity @helenbmarrow @FreedenOeur @sobieraj @AnjuliFahlberg Amazing news, Natasha. Can’t wait… https://t.co/hPXKhICbmn
1192176077013213200,Wed Nov 06 20:25:00 +0000 2019,RT @EricKlinenberg: Not sure what to read into @WBEZ @WBEZreset decision to pair @caitlinzaloom book *Indebted,* on how #StudentDebt affect…
1192108170266722300,Wed Nov 06 15:55:10 +0000 2019,Listening is going to be a blast! https://t.co/yyPdyugG5l
1192107521093312500,Wed Nov 06 15:52:35 +0000 2019,RT @poleconCRASSH: .@caitlinzaloom lecture is now available as a podcast on @MaxCamCentre's website --&gt; https://t.co/ABPhIxbjck https://t.c…
1191440696890331100,Mon Nov 04 19:42:52 +0000 2019,RT @gerry_cadava: I am SO excited that #TheHispanicRepublican is now available for pre-order. I've been researching and writing it for year…
1191355640968548400,Mon Nov 04 14:04:53 +0000 2019,The Museum of Capitalism is coming to New York City! Come join me at the opening and see a custom ‘deal toy’ commem… https://t.co/cmYor8hd1r
1190247982316298200,Fri Nov 01 12:43:27 +0000 2019,RT @CathyNDavidson: One @CUNY student works cleaning subway cars 2-7 am shift and is grateful his campus has breakfast room w desktops and…
1190247583928766500,Fri Nov 01 12:41:52 +0000 2019,RT @EricKlinenberg: Nice to see *Palaces* on Paperback Row of ⁦@nytimesbooks. Also reminds me that - just one year ago - no one in my world…
1190070013253869600,Fri Nov 01 00:56:16 +0000 2019,RT @EricKlinenberg: Chicago agrees to 16% salary raise over 5 years, $35 million to reduce class sizes, and hundreds of additional staff me…
1189504640351719400,Wed Oct 30 11:29:40 +0000 2019,RT @PublicBooks: .@SamuelBStein's CAPITAL CITY (@VersoBooks) takes on “the real estate state," revealing the utter dominance of real estate…
1189332240595112000,Wed Oct 30 00:04:37 +0000 2019,RT @SeminaryCoop: Join us TONIGHT at 6pm at the Co-op for a discussion with Matthew Engelke, author of HOW TO THINK LIKE AN ANTHROPOLOGIST…
1189330935038337000,Tue Oct 29 23:59:26 +0000 2019,RT @PublicBooks: Thanks to Elena Ferrante and Jhumpa Lahiri, Italian literature’s global visibility has risen since the days when students…
1189195059234820000,Tue Oct 29 14:59:30 +0000 2019,RT @merbroussard: The internet is a boomer https://t.co/uTMtwnLIUG
1189191373280272400,Tue Oct 29 14:44:52 +0000 2019,@christiehenry @PrincetonUPress So much lovelier than a gong.
1189189419950936000,Tue Oct 29 14:37:06 +0000 2019,RT @a_f13nd: Explaining the student debt complex...Check it out, a fantastic new piece from Indebted author @caitlinzaloom via @TIME! @luca…
1189189356436672500,Tue Oct 29 14:36:51 +0000 2019,RT @EricKlinenberg: You know who's calling the student debt system “fundamentally broken”? A. Wayne Johnson, the Trump admin official ran t…
1189189252053000200,Tue Oct 29 14:36:26 +0000 2019,RT @SuzMKahn: Check out this excellent piece on how how an idealized nuclear family shapes student loan policy. "The FAFSA is built to enfo…
1189135864645017600,Tue Oct 29 11:04:17 +0000 2019,RT @helaineolen: ICYMI: Why is a Betsy DeVos appointee quitting his job and calling for student debt forgiveness? "This is either an act of…
1188447121986506800,Sun Oct 27 13:27:28 +0000 2019,RT @shamuskhan: During Summers's Harvard presidency, tenured jobs offered to women fell from 36% to 13%. He was fired for remarks claiming…
1188445760897060900,Sun Oct 27 13:22:04 +0000 2019,Stunning. Milken resurfaces profiting at public expense. This Institute has a twin. The Milken Institute for Busine… https://t.co/JrqI7sZMo6
1187554399792586800,Fri Oct 25 02:20:07 +0000 2019,RT @ronlieber: This story from @kitastew @sjwilliams et al is moving on so many fronts. And I can't be the only paying-for-college geek who…
1187495546031874000,Thu Oct 24 22:26:15 +0000 2019,The political wind has shifted when a Trump Education Department official calls the student debt system "fundamenta… https://t.co/IbRsiRebS9
1186747277395841000,Tue Oct 22 20:52:54 +0000 2019,RT @CathyNDavidson: Hi @wesleyan_u Pres @mroth78 --ears burning? At lunch w @caitlinzaloom we praised you as a college president who explai…
1185705232258478000,Sat Oct 19 23:52:11 +0000 2019,“The lack of intergenerational justice, of equity between the young and old, is an underappreciated facet of the cu… https://t.co/RyeDOO7ND6
1185701605473050600,Sat Oct 19 23:37:46 +0000 2019,Wait. Eliminating student debt is a federal “take over” of higher ed, but keeping students in hoc to the government… https://t.co/2HPoroPXo2
1185698793859305500,Sat Oct 19 23:26:36 +0000 2019,RT @epopppp: This is very cool. Dignity + Debt is having a #dataviz contest around compelling ways to present information about student deb…
1185472914885361700,Sat Oct 19 08:29:02 +0000 2019,RT @CharlieEatonPhD: “Student debt cancellation is not going to solve the racial wealth gap” says @DarrickHamilton. Expands that it needs t…
1185302780912787500,Fri Oct 18 21:12:59 +0000 2019,RT @RebuildMacro: Yesterday's workshop on debt cancellation at LSE with @caitlinzaloom was a big success!  Our next event is the Macro Inst…
