id,created_at,text
1261156403470884900,Fri May 15 04:48:12 +0000 2020,https://t.co/ibiFVNniCD https://t.co/yuUbtaFyKF
1261058468288630800,Thu May 14 22:19:02 +0000 2020,@theblondebrina oh really?
1261047262962225200,Thu May 14 21:34:31 +0000 2020,@not_diana_ lol i just had a hunch
1261042399490576400,Thu May 14 21:15:11 +0000 2020,@diamondforbrina yesss i know ahdhsh
1261041995818119200,Thu May 14 21:13:35 +0000 2020,RT @versacebrinas: IS THIS WHAT U WANT https://t.co/BfmTwsAk7R
1261041927723589600,Thu May 14 21:13:19 +0000 2020,@inourheadspace yes
1261041838733045800,Thu May 14 21:12:58 +0000 2020,@nasadeluxe dm
1261041050547880000,Thu May 14 21:09:50 +0000 2020,@nasadeluxe yes sir
1261040256683593700,Thu May 14 21:06:40 +0000 2020,@inmybedaboutit dm
1261040049136828400,Thu May 14 21:05:51 +0000 2020,@smilingsabs dm
1261031173045846000,Thu May 14 20:30:35 +0000 2020,@hldtightevolutn lol i have receipts
1261023873665024000,Thu May 14 20:01:34 +0000 2020,neither the caption nor the post aged well https://t.co/ivYiL4uIBr
1261008952550199300,Thu May 14 19:02:17 +0000 2020,@sabrinasbed lol i know now
1261006002050207700,Thu May 14 18:50:33 +0000 2020,RT @carpentertings: plz remember that u are worth it. take care of urself, you are amazing, and all that matters is that you’re here, youre…
1261001750359785500,Thu May 14 18:33:40 +0000 2020,@prfctlyrare periyat
1261001533824602000,Thu May 14 18:32:48 +0000 2020,@Marlie_90 lol i have receipts
1261000068733296600,Thu May 14 18:26:59 +0000 2020,@Marlie_90 no it’s not them lol
1260998177039270000,Thu May 14 18:19:28 +0000 2020,@sofiasimmunity i am 99.9999 percent sure that it’s not
1260997465282666500,Thu May 14 18:16:38 +0000 2020,i still don’t believe that team sabrinas actually sabrinas team
1260970631727911000,Thu May 14 16:30:00 +0000 2020,the fact that sabrinas asmr video got more views than the actual music video BAFFLES my mind
1260840875732631600,Thu May 14 07:54:24 +0000 2020,RT @gracefulbrina: I love you, I love you, I love you, I love you, I love you, I love you, I love you, I love you, I love you, I lov… — i l…
1260840856107528200,Thu May 14 07:54:20 +0000 2020,RT @gracefulbrina: dear people in my cc who cannot seem to keep my personal life out of their mouths, even to save their lives... https://t…
1260833009621708800,Thu May 14 07:23:09 +0000 2020,plz remember that u are worth it. take care of urself, you are amazing, and all that matters is that you’re here, y… https://t.co/wNqnNJm500
