id,created_at,text
1259316110039699500,Sun May 10 02:55:32 +0000 2020,RT @KRenaeP: The winners of Jill &amp; Erykah... us. We won tonight. https://t.co/AtJYapRD8h
1259239700377763800,Sat May 09 21:51:54 +0000 2020,I was JUST talking about this 😭😭 https://t.co/AWJ4FI63CG
1259153200579580000,Sat May 09 16:08:11 +0000 2020,@MoonManT Nah dog. Jesus is the Christ and putting your faith and praises in anyone else is doomed to fail. We are… https://t.co/wJ029gUcFo
1259146921782005800,Sat May 09 15:43:14 +0000 2020,A little deeper dive finds that when Michael Jackson purchased SonyATV and the Beatles publishing in the 80s he was… https://t.co/QEx9CnffI6
1259141096476758000,Sat May 09 15:20:05 +0000 2020,A couple weeks ago I randomly decided to read up on the legendary Little Richard on wiki. I learned then about how… https://t.co/dcjyPFc4jY
1259121774802993200,Sat May 09 14:03:19 +0000 2020,RT @Chuckisdope: Andre Harrell really laid the vision of black identity in the mid 90s we reminisce about.    All of it.
1259117895361192000,Sat May 09 13:47:54 +0000 2020,RT @DerrionLH: To wrap up Teacher Appreciation Week, @chancetherapper &amp; Box Tops honored 10 teachers and donated over $300,000.   Darrion C…
1258960108886929400,Sat May 09 03:20:54 +0000 2020,RT @gherbo: GOT MY FIRST GOLD SINGLE TODAY! LONG LIVE MY LIL BROTHER @JuiceWorlddd ❤️ &amp; THANK YOU @chancetherapper @LILUZIVERT ‼️ #PTSD LET…
1258842549789360000,Fri May 08 19:33:46 +0000 2020,The signs are here and all around you. Jesus is the Christ
1258753895305752600,Fri May 08 13:41:29 +0000 2020,RT @stopbeingfamous: 3 months after the murder, 3 months after national outcry. https://t.co/32Tllnyc5Y
1258753808420741000,Fri May 08 13:41:09 +0000 2020,If less is more, imagine how much more more will be. - Kelsey Grammar
1258435200599707600,Thu May 07 16:35:07 +0000 2020,@JasmineStallin1 He definitely smarter than all 4 😂😂
1258416435472347100,Thu May 07 15:20:33 +0000 2020,@Kerryc9 😂😂😂
1258415482681593900,Thu May 07 15:16:45 +0000 2020,@ellellcoolj_ 🙌🏾🙌🏾
1258414984066994200,Thu May 07 15:14:47 +0000 2020,RT @New1027: .@ChancetheRapper is recognizing educators across the nation during the COVID-19 crisis with his very own virtual awards show…
1258414956631986200,Thu May 07 15:14:40 +0000 2020,CHECK ME OUT! ON THE NEW WITH A LEGEND @4everBrandy https://t.co/sainSYrEvo
1258414250378375200,Thu May 07 15:11:52 +0000 2020,Who’s the smartest? https://t.co/fXYVD2OMft
1258159112707281000,Wed May 06 22:18:02 +0000 2020,Some of yall never had pineapple lemonade and it shows https://t.co/Xc3CBnthJg
1258128966797471700,Wed May 06 20:18:15 +0000 2020,🍋
1258112095540990000,Wed May 06 19:11:12 +0000 2020,Tonight!! I will be kicking off the first virtual Twilight Awards show brought to you by #BoxTopsForEducation @BTFE… https://t.co/od3dk97Xuu
1258102328458203100,Wed May 06 18:32:24 +0000 2020,Agent Under Fire kills Golden Eye. 🤷🏾‍♂️🤷🏾‍♂️ https://t.co/rNhDkEdvxg
1258086725479477200,Wed May 06 17:30:24 +0000 2020,Top 5 DOA https://t.co/zGJoo134BA
1258086155494535200,Wed May 06 17:28:08 +0000 2020,@ChicagoLives EEEEEEEE
1258086075773395000,Wed May 06 17:27:49 +0000 2020,Im counting em anyway 🤷🏾‍♂️
1258086023340400600,Wed May 06 17:27:36 +0000 2020,Tho prince of persia was a game first and budokai isnt based of a specific DBZ movie 🤔
1258085792938971100,Wed May 06 17:26:41 +0000 2020,Ngl Spider-Man 2, Prince Of Persia SOT, Lord of the Rings ROTK and the whole Budokai series are all time classics also
1258082238018830300,Wed May 06 17:12:34 +0000 2020,Favorite video games based off movies: The Warriors, Path of Neo, Tarzan Untamed
1258032053758636000,Wed May 06 13:53:09 +0000 2020,RT @SocialWorks: In honor of Teacher Appreciation Week @chancetherapper is hosting the Twilight Awards in a special Instagram LIVE tonight…
1257917972628279300,Wed May 06 06:19:50 +0000 2020,Outta nowhere I just started crying cause this actor passed away a few days ago. i never met him i just never thoug… https://t.co/eGi83a5NTn
1257861402011881500,Wed May 06 02:35:02 +0000 2020,RT @OnSMASH: We're loving this @4everBrandy x @chancetherapper single for all the mothers!! #BabyMama 🙏🙏  AND THAT OLD SCHOOL WHIP IS FIRE!…
1257765990873661400,Tue May 05 20:15:55 +0000 2020,I LOVE YOUR WORK 😭😭 https://t.co/3BQMhdfMYP
1257765660949713000,Tue May 05 20:14:36 +0000 2020,RT @4everBrandy: #BabyMama is trending on @YouTube! Thank you all for the love and support 🙏🏾 https://t.co/4mNKCSk2ny @chancetherapper
1257765615957348400,Tue May 05 20:14:25 +0000 2020,RT @Suntimes: Hey teachers! Keep an eye on Instagram this week! @chancetherapper plans to surprise 10 teachers and schools by donating scho…
1257457163611627500,Mon May 04 23:48:44 +0000 2020,THE FIRST MIXTAPE I EVER HAD I WAS IN 5TH GRADE ONLY THE REAL KNO #REVENGEOFTHENERDS LUPE THE KILLA https://t.co/2nTKtNRvGH
