id,created_at,text
1258759137820684300,Fri May 08 14:02:19 +0000 2020,@DeNameIsManish ❤️
1258451074421153800,Thu May 07 17:38:11 +0000 2020,@niteshinurheart @YouTube शुक्रिया !
1258451012852932600,Thu May 07 17:37:57 +0000 2020,@AmitAna65374455 @YouTube ❤️
1258296764869689300,Thu May 07 07:25:01 +0000 2020,Tough Times https://t.co/gHLZ3jjOLN
1258036147046903800,Wed May 06 14:09:25 +0000 2020,@Vahamm_ ❤️
1257937752244383700,Wed May 06 07:38:26 +0000 2020,@Nitzdoshi @YouTube ❤️
1257872402161168400,Wed May 06 03:18:45 +0000 2020,@therahuldua Thanks Man
1257671988379820000,Tue May 05 14:02:23 +0000 2020,@devesh415 @Lohitpandey @verified Is month karte hain Bro 🤘
1257671839771476000,Tue May 05 14:01:47 +0000 2020,@LakhanSolanki @YouTube ❤️
1257533650251513900,Tue May 05 04:52:40 +0000 2020,@Servocorn 🙌
1257526795949215700,Tue May 05 04:25:26 +0000 2020,@vinaycomedy Thankyou Bhai ❤️
1257512393711579100,Tue May 05 03:28:12 +0000 2020,@Tarun4uTarun @YouTube ❤️
1257486354314752000,Tue May 05 01:44:44 +0000 2020,@Anjali29 @YouTube Thanks Anjali
1257482816293490700,Tue May 05 01:30:40 +0000 2020,@KingofPJs Thankyou ❤️
1257482779719159800,Tue May 05 01:30:32 +0000 2020,@__aman_7 Haha ❤️
1257482746332496000,Tue May 05 01:30:24 +0000 2020,@Vishuhotty @YouTube ❤️
1257482708453716000,Tue May 05 01:30:15 +0000 2020,@abhilash_amant Thanks Abhilash
1257357117150900200,Mon May 04 17:11:11 +0000 2020,@piyush3pathi @YouTube ❤️
1257314880178098200,Mon May 04 14:23:21 +0000 2020,Short Jokes ( Payment Apps , Mature Face ) | Stand Up Comedy | Pratyush ... https://t.co/QUA6eYm3II via @YouTube
1256525433387925500,Sat May 02 10:06:23 +0000 2020,@Pratjai Thanks bhai ❤️ 4 hi hain , Cigarette waali video wala cousin tha 🙌
1254791096661467100,Mon Apr 27 15:14:44 +0000 2020,Hahaha https://t.co/KFTj8xRbuM
1254747849046192000,Mon Apr 27 12:22:53 +0000 2020,Stage me bohot power hoti hai , insaan sab bhool jaata hai ,  mai har open mic me 2-3 joke bhool jaata tha
1254395755357331500,Sun Apr 26 13:03:48 +0000 2020,@therahuldua Hahahahahahaha
1254388397621211100,Sun Apr 26 12:34:34 +0000 2020,jitni mehnat mera Bhai is lockdown me kar raha hai , I am sure uska Target mera Mood kharaab karna hai
1254388268260417500,Sun Apr 26 12:34:03 +0000 2020,mujhe daily To Do List nahi banaani padti , Date edit kar kar ke kaam chal jaata hai
1254239383588241400,Sun Apr 26 02:42:26 +0000 2020,RT @coolboy_joel: Hello Twitter, need help. Urgent.  My grandmother, 88 yo, who stays in Mangalore, Karnataka is very sick at the moment (s…
1253007290203963400,Wed Apr 22 17:06:32 +0000 2020,RT @chaubey_pratysh: Maturity - jab aap khud ko convince kar lien ki jo kaam aapse nahi ho raha , wo kar ke bhi kuch khaas faayda nahi hoga
1252458141565907000,Tue Apr 21 04:44:25 +0000 2020,With @devesh415 || More Gangsta tips on Youtube https://t.co/TkF82BEkJk
1251550381009547300,Sat Apr 18 16:37:18 +0000 2020,kuch logo ke mann ki awaaz 2 #UnheardVoices https://t.co/N9D8Pa2UqF
1251528942181220400,Sat Apr 18 15:12:06 +0000 2020,@SAKET_NumeroUno Thankyou , dhyaan rakho 🙌
1251527655679127600,Sat Apr 18 15:07:00 +0000 2020,@_Nalin__ 🙌❤️
1251527352409927700,Sat Apr 18 15:05:47 +0000 2020,kuch logo ke mann ki awaaz. #UnheardVoices https://t.co/ssbtjaBqNc
1251525395259654100,Sat Apr 18 14:58:01 +0000 2020,ab to sapne bhi Indoor locations waale aa re https://t.co/Kq949GtZwH
1251179803295662000,Fri Apr 17 16:04:45 +0000 2020,unheard voices -2 https://t.co/fEqCQEhX36
1251179649612124200,Fri Apr 17 16:04:08 +0000 2020,तगड़ा 👌 @devesh415 https://t.co/ZVqfohgvdE
1250719382096892000,Thu Apr 16 09:35:12 +0000 2020,@thesuryaajain Sahi baat
1250699884702732300,Thu Apr 16 08:17:44 +0000 2020,This is the Homeopathic phase of life , ho sakta hai sahi ja raha ho aur ho sakta hai galat hi ja raha ho , kya pata
1250376068470419500,Wed Apr 15 10:51:00 +0000 2020,unheard voices https://t.co/mMYfY4m93O
1249649419231715300,Mon Apr 13 10:43:33 +0000 2020,@VodafoneIN Have shared the details , pls look into it , Thanks
1248929534071550000,Sat Apr 11 11:02:59 +0000 2020,@Inceptionwa @airtelindia Hahaha
1248898282929021000,Sat Apr 11 08:58:48 +0000 2020,Thanks to Vodafone mera aadha lockdown to network dhoondne me nikal jaa raha hai
1248259027827474400,Thu Apr 09 14:38:38 +0000 2020,@__aman_7 😁
1248256265572270000,Thu Apr 09 14:27:39 +0000 2020,@devesh415 🤣
1248065911946276900,Thu Apr 09 01:51:16 +0000 2020,@MautKaPashinda ❤️
1247966411542032400,Wed Apr 08 19:15:53 +0000 2020,@Adi77957483 Kabhi kabhi chalta hai :)
1247966367849910300,Wed Apr 08 19:15:42 +0000 2020,@ankitgrover4 Bilkul 🙌
1247963304938442800,Wed Apr 08 19:03:32 +0000 2020,ख़ुद से लड़के जीता नहीं कोई आज तक , माफ़ कर के देख लो एक बार !
1247909732414783500,Wed Apr 08 15:30:39 +0000 2020,@Kuber_ism ❤️
1247909333922459600,Wed Apr 08 15:29:04 +0000 2020,@Kuber_ism Kubur bhai sach batau to mujhe bhi sach me nahi aata itni detail me , bass hit &amp; trial chal raha hai abh… https://t.co/XMJlCg21UB
1247495003707867100,Tue Apr 07 12:02:40 +0000 2020,@LirilGirlNeetu 🤣
1247424731529089000,Tue Apr 07 07:23:26 +0000 2020,maine to jab se passion follow karna start kia hai tab se hi relatives apne bachho ko mujhse door hi rakhte hain 🤣 #SocialDistancing
1247416343273468000,Tue Apr 07 06:50:06 +0000 2020,jab religion wala discrimination peak pe ho tab caste wala hold pe  daalna hota hai ya wo bhi continue kar sakte hain ?
1247172044501823500,Mon Apr 06 14:39:21 +0000 2020,@abhiseksh 🤣
1247171034538594300,Mon Apr 06 14:35:20 +0000 2020,saare Gift Surprise Gift hi hote hain
1247164673138417700,Mon Apr 06 14:10:03 +0000 2020,Excercise karna itna tough hai , mujhe lagta hai Bhagwaan nahi chaahte ki hum fit rahien
1246858451818393600,Sun Apr 05 17:53:15 +0000 2020,RT @HumorouslyVipul: Agla task, sab imaandari se tax bharenge.
1246817638006702000,Sun Apr 05 15:11:04 +0000 2020,@imSashankMishra you too :)
1246817110459703300,Sun Apr 05 15:08:58 +0000 2020,@imSashankMishra mushkil hai bhai bahut 🙌
1246812176800559000,Sun Apr 05 14:49:22 +0000 2020,@ImYagyesh 🙌
1246811530626097200,Sun Apr 05 14:46:48 +0000 2020,@ImYagyesh corona ke baad hi kar paaenge yaar ab ,recording possible nahi hai
1246804320835612700,Sun Apr 05 14:18:09 +0000 2020,TV pe news chala ka chhod do , thodi der me GIF lagne lagta hai
1246792841721831400,Sun Apr 05 13:32:32 +0000 2020,मज़ा आ गया ❤️ https://t.co/LDle1ra6Ni
1246635681654300700,Sun Apr 05 03:08:02 +0000 2020,@sundeepshawarma Hahaha
1246057136523600000,Fri Apr 03 12:49:06 +0000 2020,RT @manikmahna: In Ramayan, you get to hear the names of all your friends being used as actual words.
1245938790704640000,Fri Apr 03 04:58:50 +0000 2020,@pankysh Hahahaha
1245935216838848500,Fri Apr 03 04:44:38 +0000 2020,2 episode Ramayan ke baad 15 min Bhaghban mandatory hona chahie
1245721139826937900,Thu Apr 02 14:33:58 +0000 2020,kya apke bhi Video calls  me apki window zyada  badi hoti hai ?
1245363360721297400,Wed Apr 01 14:52:17 +0000 2020,@Vikramjit_S Hahahaha !! mai ander se khush hu
1245043508366299100,Tue Mar 31 17:41:18 +0000 2020,@manna_018 🙌
1244883651013165000,Tue Mar 31 07:06:05 +0000 2020,@PrabhatSagar30 That’s a better choice then 🤘
1244639174180786200,Mon Mar 30 14:54:38 +0000 2020,@KritsinghSodha 🤣
1244639160075346000,Mon Mar 30 14:54:34 +0000 2020,@mutedmanytimes Hhahaha
1244635660301906000,Mon Mar 30 14:40:40 +0000 2020,Party kal 5 baje hai , pahaadi waale Mandir ke peeche , akele aana Police ko ........... https://t.co/D4vZymEV1P
1244401978181972000,Sun Mar 29 23:12:06 +0000 2020,RT @ChhotaThalaiva: Aajkal zyada darr lagta hai, toh horror film dekh leta hun.
1244401966798667800,Sun Mar 29 23:12:03 +0000 2020,@ChhotaThalaiva Hahahaha
1244063962187976700,Sun Mar 29 00:48:56 +0000 2020,RT @amitandon: Sir, try living in a 6 x 6 room with 4 people in Delhi with nowhere to go for twenty days at a stretch and then say this
1243915878187430000,Sat Mar 28 15:00:30 +0000 2020,take care  https://t.co/vmrmxsnScJ
1243855066131386400,Sat Mar 28 10:58:52 +0000 2020,pata nahi chal kya raha hai life me , Netflix aur Tik Tok dono pe baraabar time spend kar raha hu
1243798033076064300,Sat Mar 28 07:12:14 +0000 2020,@_GDUTT Thankyou Gaurav ❤️
1243724295819288600,Sat Mar 28 02:19:14 +0000 2020,@Adi77957483 Haha Badhai ho bhai 👌
1243507865240752000,Fri Mar 27 11:59:12 +0000 2020,@misterpiyush Hahaha
1243471990444281900,Fri Mar 27 09:36:39 +0000 2020,Introverts - itna bhi akela thodi rehna tha
1243119120557568000,Thu Mar 26 10:14:29 +0000 2020,Hahaha https://t.co/9biewAYy5m
1243030821168005000,Thu Mar 26 04:23:36 +0000 2020,@harshittiwari__ Thankyou Harshit ❤️
1243002066156564500,Thu Mar 26 02:29:21 +0000 2020,@Chant_Anand 🤣
