id,created_at,text
1259734454181826600,Mon May 11 06:37:53 +0000 2020,@timpoundstone @GavinNewsom Hmm, ok!   Take 2: California, leading the way, as usual, after Oregon! :)
1259715544476905500,Mon May 11 05:22:44 +0000 2020,California, leading the way, as usual. Thx @GavinNewsom!   https://t.co/F7Vhlwk7lp https://t.co/zo3MB6R22l
1259701089500160000,Mon May 11 04:25:18 +0000 2020,RT @daisuke: love this!  Chris Messina (@chrismessina) stacked CleanShot (@cleanshot_app):  "My favorite screenshotting tool. The scrolling…
1259641159418179600,Mon May 11 00:27:10 +0000 2020,@KEVINGETEM @getemvintage @80s90sera @2000sera Where does it say that? Screenshot?
1259569030509166600,Sun May 10 19:40:33 +0000 2020,@KEVINGETEM Can't remove what?
1259355271119270000,Sun May 10 05:31:08 +0000 2020,@sidraqasim @YacChat Fair enough. The tension is heavy though between being a clean platform and trying to do it al… https://t.co/EAilRjbcmI
1259349832273027000,Sun May 10 05:09:32 +0000 2020,@wongmjane @superpeer @levie @devrimyasar I've stayed fully clothed in all my calls, if that's what you're asking. https://t.co/NhMcybwZ2d
1259349364390035500,Sun May 10 05:07:40 +0000 2020,@sidraqasim Maybe try @YacChat ?
1259339868246704000,Sun May 10 04:29:56 +0000 2020,@whizzzoe May be of interest https://t.co/zoy83hHGVq
1259336178580336600,Sun May 10 04:15:16 +0000 2020,I mean, I already launched my paywall video chat service on @superpeer a month ago...!   https://t.co/0eVdY1iOGy  /… https://t.co/vKSRw1x7xn
1259335477166915600,Sun May 10 04:12:29 +0000 2020,Maybe this isn't actually the norm? @mckaycoppins what's your take? https://t.co/7QAUZU2EdA https://t.co/hqNdttDNyb
1259277674901467100,Sun May 10 00:22:48 +0000 2020,@heylauragao talk to @dremilyanhalt working on @joincoa.
1259277372513071000,Sun May 10 00:21:36 +0000 2020,Worth a read:  “This crisis is forcing us to contend with an even wider question implicit throughout the digital ag… https://t.co/oILtv8bT4E
