id,created_at,text
1104050376133828600,Fri Mar 08 16:04:56 +0000 2019,RT @UNMC_DrKhan: @chrisschnaars @USATODAY Thank you for the wonderful investigative reporting. PH does not police itself well &amp; too often s…
1103714007884709900,Thu Mar 07 17:48:20 +0000 2019,RT @alisonannyoung: Pregnancy + childbirth are the No. 2 reason for hospitalization yet the federal government doesn't require hospitals to…
1103691109111349200,Thu Mar 07 16:17:20 +0000 2019,@mattwynn @alisonannyoung @RebeccaStavick @jkelly3rd And Nebraska isn't alone. South Carolina  has the same policy… https://t.co/CcdvJF3ITQ
1103685588119683100,Thu Mar 07 15:55:24 +0000 2019,@RebeccaStavick @mattwynn @jkelly3rd @alisonannyoung .@RebeccaStavick I don't recall specifically why we didn't get… https://t.co/Ai6O8S0MUu
1103685018185019400,Thu Mar 07 15:53:08 +0000 2019,Know someone in need of a gently used data journalist/analyst/engineer/geek? Please ask them to ping me! I work wit… https://t.co/mJK67Rd69d
1103684938367467500,Thu Mar 07 15:52:49 +0000 2019,Working on Deadly Deliveries with the exceptionally talented @alisonannyoung @jkelly3rd @laura_ungar and many other… https://t.co/H4N1l8ozxr
1103684868498772000,Thu Mar 07 15:52:32 +0000 2019,What about DC and the other states? Some cite HIPAA. Some want $$$$$. No one mentions the power of hospital associa… https://t.co/jmc9xOEeUe
1103684735803510800,Thu Mar 07 15:52:01 +0000 2019,And here's the interactive: Look up maternal complication rates at nearly 1,000 delivery hospitals in the 13 states… https://t.co/TDB2jrwtad
1103684645231775700,Thu Mar 07 15:51:39 +0000 2019,Bittersweet: Latest installment of Deadly Deliveries is my last byline with @USATODAY since I was laid off. https://t.co/62RSj1qiss
1097474876376526800,Mon Feb 18 12:36:15 +0000 2019,RT @davelevinthal: Donald Trump used to lambaste super PACs. They’re “scams,” he said. But as @abalcerzak shows today, Trump enjoys massive…
1095765547319525400,Wed Feb 13 19:23:59 +0000 2019,RIP, Opportunity. It's been quite a ride. https://t.co/DFh7hl98ko
1095397395926605800,Tue Feb 12 19:01:05 +0000 2019,Today's tasks: Playing around with Tableau and prepping for a job interview later this afternoon. (Fingers crossed.)
1095305531458310100,Tue Feb 12 12:56:03 +0000 2019,RT @CONELRAD6401240: @JessicaHuseman I send my FOIA birthday cards when my original requests turn one year older. Does this speed up my FOI…
1095043028228735000,Mon Feb 11 19:32:57 +0000 2019,@mizzousundevil @IRE_NICAR This is more legible than most of my Python code.
1095042591106756600,Mon Feb 11 19:31:13 +0000 2019,RT @firewall_us: New data from @OpenSecretsDC shows 9 Democrats on House panel on climate change collected $238K from energy industry last…
1093856118013640700,Fri Feb 08 12:56:36 +0000 2019,RT @bradheath: NEW: President Trump has named more members of his private clubs to top posts in his administration. Presidents traditionall…
1093855901306490900,Fri Feb 08 12:55:44 +0000 2019,Today's stats lessons were mostly stuff I'm already familiar with: standard deviation, variance and Z-scores. But t… https://t.co/7en19AIWbU
1093667570694135800,Fri Feb 08 00:27:22 +0000 2019,@bobrebach @ggplot2 @rstudio I'm taking R Programming A-Z on Udemy: ggplot(data=mydata,  aes(x=&lt;field_name_1&gt;, y=&lt;f… https://t.co/XYR53C5wNT
1093585042222338000,Thu Feb 07 18:59:26 +0000 2019,Sandusky, Ohio, has decided to scrap Columbus/Indigenous People's Day as a holiday and give employees Election Day… https://t.co/EKBIpfzfPD
1093570303056363500,Thu Feb 07 18:00:52 +0000 2019,Picking my way through an R course. Just generated a color-coded scatterplot with 50k data points using @ggplot2 in… https://t.co/VoK0O8hnIy
1093504618636685300,Thu Feb 07 13:39:52 +0000 2019,Using my free time this week to brush up on statistics and finally play with R. Today's lesson: Piping data to a da… https://t.co/S5dH5lar11
