id,created_at,text
1260980368485814300,Thu May 14 17:08:42 +0000 2020,And most recently, @billmarczak and @jsrailton investigated the encryption that protected meetings on Zoom, finding… https://t.co/brKxBalmYt
1260980367491838000,Thu May 14 17:08:42 +0000 2020,In 2019, @caparsons revisited this debate when the Canadian government signalled that it was looking to make an abo… https://t.co/xHgwuUVGVX
1260980366627811300,Thu May 14 17:08:41 +0000 2020,In 2018, @caparsons (alongside @lex_is and @tamir) provided critical insight and analysis for policymakers, legal p… https://t.co/8338DJkcbW
1260980365738627000,Thu May 14 17:08:41 +0000 2020,Today at 2:00 pm EST, @caparsons will take part in a panel on the heightened role of encryption in light of COVID-1… https://t.co/cA4GFaR57H
1260659085319364600,Wed May 13 19:52:02 +0000 2020,▶️ 微信监控非中国大陆区注册账号，并利用非中国大陆区账号之间的聊天记录训练微信针对中国大陆账号的审查系统。  ▶️ 监控和审查均不会提示用户，缺乏透明。  ▶️ 微信对外公开的政策协议文件，个人信息请求，及微信的隐私专员均没有表… https://t.co/OtJP5aEbKp
1260271315451347000,Tue May 12 18:11:10 +0000 2020,Q: What are the potential legal issues around finding that WeChat surveils chats of int'l users?   A: Privacy regul… https://t.co/5YKqILd09C
1260245432120348700,Tue May 12 16:28:19 +0000 2020,This Friday, @RonDeibert speaks with legacy Labber Jakub Dalek about censorship, network measurement, and Cold War-… https://t.co/uyyj7kn1Lc
1260232944070901800,Tue May 12 15:38:42 +0000 2020,RT @RonDeibert: My @citizenlab colleague @jsrailton sums up why it's seriously concerning that a company like NSO Group is pitching its spy…
1259850887780016000,Mon May 11 14:20:33 +0000 2020,“The heightened level of anxiety means citizens are dependent on getting access to health information, often workin… https://t.co/2W3leV3qFr
1258845545755480000,Fri May 08 19:45:40 +0000 2020,“NSO’s case is the precedent that proves the problem: rushed COVID-19 tracking efforts will imperil our privacy and… https://t.co/gFyem63WcK
1258817637917831200,Fri May 08 17:54:47 +0000 2020,RT @tibcert: New research by @citizenlab  shows that Tencent is analyzing non-China-registered WeChat Account's conversations and collects…
1258516660400484400,Thu May 07 21:58:48 +0000 2020,RT @joshrogin: Over 100 million @WeChatApp users outside China are under policital surveillance and are training China’s AI system for cens…
1258488913229906000,Thu May 07 20:08:33 +0000 2020,Friday morning at 10:00 am EST, @RonDeibert chats with @lotus_ruan about her latest research, including findings th… https://t.co/klN8ufJbZt
1258487547593920500,Thu May 07 20:03:07 +0000 2020,RT @RonDeibert: My oped for the @washingtonpost on our WeChat surveillance report "WeChat users outside China face surveillance while train…
1258479864828616700,Thu May 07 19:32:35 +0000 2020,公民实验室2020年5月7日发布报告指出，中国最流行的社交媒体软件微信是对平台上的文档和图像内容实施监控，并使用监控所得的数据训练其审查系统。我们总结了该报告，并列举与研究团队的一些常见问答。 https://t.co/HOXvSoSqv4
1258378334972645400,Thu May 07 12:49:09 +0000 2020,What is the scale of censorship in China? How does censorship work on WeChat? What is an MD5 hash?   To supplement… https://t.co/QGvxLBxz5Y
1258371447363457000,Thu May 07 12:21:47 +0000 2020,“I would urge international users to consider that, as you use this platform, you’re actually helping to strengthen… https://t.co/df1gVkoFA5
1258366814133850000,Thu May 07 12:03:22 +0000 2020,Tencent’s responses to data access requests failed to clarify how data from international users is used to enable p… https://t.co/Yqu9FPHZiK
1258366813131411500,Thu May 07 12:03:22 +0000 2020,From public information, it is unclear how Tencent uses non-Chinese-registered users’ data to enable content blocki… https://t.co/R3Ps07hyoq
1258366812057731000,Thu May 07 12:03:21 +0000 2020,Documents and images transmitted entirely among non-China-registered accounts undergo content surveillance wherein… https://t.co/cda17AJpNg
1258366810455507000,Thu May 07 12:03:21 +0000 2020,We present results from technical experiments which reveal that WeChat communications conducted entirely among non-… https://t.co/6KTlYoHRYH
1258366809155068000,Thu May 07 12:03:21 +0000 2020,NEW REPORT: We Chat, They Watch: How International Users Unwittingly Build up WeChat’s Chinese Censorship Apparatus https://t.co/Tqwe5trvKi
1258105975984324600,Wed May 06 18:46:53 +0000 2020,"When it comes to cyber security, governments have problems, big companies have problems...but at least they can go… https://t.co/GYOxCgbXnj
1257422386439360500,Mon May 04 21:30:33 +0000 2020,This week, @RonDeibert speaks with @lotus_ruan about censorship on Chinese social media and how information has bee… https://t.co/t3Lca9byOO
1257317826878005200,Mon May 04 14:35:04 +0000 2020,RT @JoDemocracy: Do social media = surveillance capitalism? Read @RonDeibert "Three Painful Truths About Social Media" https://t.co/0uNDNQg…
1255924061013708800,Thu Apr 30 18:16:44 +0000 2020,RT @RonDeibert: Canada's Netsweeper not only helps authoritarian regimes censor political content, it's also a security disaster. Security…
1255869560043049000,Thu Apr 30 14:40:10 +0000 2020,4. Any government-sanctioned tracing app must provide information for Canadians to meaningfully opt in to any health surveillance.
1255869559296397300,Thu Apr 30 14:40:10 +0000 2020,3. Governments could subsidize the costs associated with an employee’s self-isolation or self-quarantine.
1255869558436630500,Thu Apr 30 14:40:10 +0000 2020,2. Policy-makers must work with organizations representing historically disenfranchised groups to develop policies… https://t.co/zCaK7pV2jK
1255869557589278700,Thu Apr 30 14:40:10 +0000 2020,1. Governments should not empower police to view individuals’ COVID-19 status but, if they do, they must prevent of… https://t.co/hOzdNz3qq2
1255869556876329000,Thu Apr 30 14:40:09 +0000 2020,Four key takeaways from @caparsons on how governments can move towards inclusive policy options:
1255869556037423000,Thu Apr 30 14:40:09 +0000 2020,https://t.co/1ix1jvZYFK
1255638043815534600,Wed Apr 29 23:20:12 +0000 2020,RT @RonDeibert: For this who may be interested, here is my written testimony to the House of Commons on Parliamentary Duties and the COVID-…
1255523834532434000,Wed Apr 29 15:46:23 +0000 2020,Answers to frequently asked questions and responses to inaccurate framings of our research: https://t.co/djovUo4AX4
1255523833588732000,Wed Apr 29 15:46:23 +0000 2020,A secondary vulnerability that we discovered but only published once Zoom had addressed it: https://t.co/35GgSBFvxA
1255523832544272400,Wed Apr 29 15:46:22 +0000 2020,Our initial analysis of Zoom security issues: https://t.co/WFgWSI9qqH
1255523831336382500,Wed Apr 29 15:46:22 +0000 2020,Today at 6:30 pm EST, @RonDeibert will be delivering testimony to the House of Commons, detailing our investigation… https://t.co/5TDcLziC9K
1255155337839206400,Tue Apr 28 15:22:06 +0000 2020,"This represents to my eye a continuation of that effort, to take what is often sort of secret or classified inform… https://t.co/x6SWbbVaib
1254798306586308600,Mon Apr 27 15:43:23 +0000 2020,Today at 4:00 pm EST, @RonDeibert and @irenepoet tackle data protection during COVID-19, gender and digital securit… https://t.co/Vcn1rXkObj
1253409299713294300,Thu Apr 23 19:43:58 +0000 2020,Relevant background reading ➡️ "In light of recent data breaches, the government must hold itself to the highest st… https://t.co/z58q2OX2CF
1253409297951633400,Thu Apr 23 19:43:58 +0000 2020,Join @RonDeibert and @irenepoet Monday on Instagram as they discuss personal data protection in the era of COVID-19… https://t.co/N6oWleKJpT
1252976031935475700,Wed Apr 22 15:02:19 +0000 2020,ICYMI  https://t.co/JFGDFsBLNr
1252365175589531600,Mon Apr 20 22:35:00 +0000 2020,RT @_PMolnar: There is only so far words alone can take you! Thank you, super talented @PataletaNet artists 🎨! What a beautiful way to illu…
1252311915092684800,Mon Apr 20 19:03:22 +0000 2020,RT @billmarczak: I’ll be live on @citizenlab's Instagram with @RonDeibert in an hour at 8PM GMT (4PM Eastern). Tune in to hear us talk abou…
1251578224515186700,Sat Apr 18 18:27:56 +0000 2020,@lina @RonDeibert @billmarczak Here you go: https://t.co/KzQIpESri0
1251576881952051200,Sat Apr 18 18:22:36 +0000 2020,Get to know the people behind Citizen Lab research with a live chat between @RonDeibert and @billmarczak. Join us M… https://t.co/uRuatIuypR
1251571611335118800,Sat Apr 18 18:01:39 +0000 2020,“Surveillance has become so normalized into our lives and used for so many other purposes, from marketing to securi… https://t.co/nZ40PFcPyb
1251220434667942000,Fri Apr 17 18:46:12 +0000 2020,Zoom  عالجت بعض المشكلات التي ذكرناها في تقريرنا ، وقالوا إنهم يعملون على تحسين التشفير في تطبيقهم
1251220433543860200,Fri Apr 17 18:46:12 +0000 2020,https://t.co/ujzYFgBsou
1251156615710953500,Fri Apr 17 14:32:37 +0000 2020,"The government must do more to increase testing capacity, encourage its population to get tested and provide robus… https://t.co/u97njC76DH
1251152191022227500,Fri Apr 17 14:15:02 +0000 2020,RT @OEA_Cyber: @OAS_Official also promotes #MoreRights4MorePeople in the cyberspace🌐, so TODAY we invited @CitizenLab @RELE_CIDH to join th…
1250785708689760300,Thu Apr 16 13:58:46 +0000 2020,RT @OEA_Cyber: La @OEA_oficial también promueve #MasDerechosMasGente en el ciberespacio🌐, por eso este viernes invitamos a @CitizenLab @REL…
1250449137436446700,Wed Apr 15 15:41:21 +0000 2020,For an analysis of the dangers of incorporating AI into immigration systems, check out Bots at the Gate, co-authore… https://t.co/XLGy372yDx
1250449136543039500,Wed Apr 15 15:41:21 +0000 2020,"Algorithms used to power this technology are vulnerable to the same decision-making of concern to humans: discrimi… https://t.co/cEZVSsgHrG
1250074432292491300,Tue Apr 14 14:52:24 +0000 2020,https://t.co/6nxo1Sc5vo
1249870486051446800,Tue Apr 14 01:22:00 +0000 2020,RT @irenepoet: Product lead for #Singapore's TraceTogether: "Automated contact tracing is not a #coronavirus panacea" https://t.co/hMDpPWs9…
1249840374476144600,Mon Apr 13 23:22:20 +0000 2020,RT @jsrailton: Disasters impact unequally because risk is distributed unequally. If you base your contact tracing app on who owns a smartph…
1249739805358989300,Mon Apr 13 16:42:43 +0000 2020,自Zoom報告發佈以來，我們收到了許多疑問。就常見疑問，我們發佈了一篇後續報告，補充說明 Zoom 存在的安全漏洞，並回應外界對我們研究的錯誤解讀。https://t.co/NL3hIsZZya
1249732491109453800,Mon Apr 13 16:13:39 +0000 2020,Read our follow up report on that original test here: https://t.co/35GgSBFvxA
1249719759362556000,Mon Apr 13 15:23:03 +0000 2020,Anatomy of a Zoom call https://t.co/jp3ReVxVI5
1248052966327812000,Thu Apr 09 00:59:49 +0000 2020,RT @RonDeibert: We have been getting a lot of questions about Zoom. Please read our FAQ on Zoom Security Issues: https://t.co/LZqae5KJy2
1248047809699426300,Thu Apr 09 00:39:20 +0000 2020,We've also compiled an FAQ to answer common questions about our Zoom analysis and address some inaccurate framings… https://t.co/JUS5Xx14SG
1248047808831279000,Thu Apr 09 00:39:19 +0000 2020,In our latest research brief, we describe a security issue where users in the “waiting room” of a Zoom meeting coul… https://t.co/vCAbCRipCu
1247690126362398700,Wed Apr 08 00:58:01 +0000 2020,@fs0c131y Thanks for flagging! The issue has been addressed.
1247197074308948000,Mon Apr 06 16:18:48 +0000 2020,Join @jsrailton this Thursday for a conversation on COVID-19 and increasing calls for the deployment of spyware in… https://t.co/7nyhBBwep0
1246172099124899800,Fri Apr 03 20:25:55 +0000 2020,A newly published paper by @abulkhaezuran and @AndrewMLeber showcase the usefulness of social media data for politi… https://t.co/ZHyrQrELe6
1246131274944852000,Fri Apr 03 17:43:42 +0000 2020,Trust is critical during a pandemic. But trust is difficult to earn when governments suggest deploying invasive tec… https://t.co/8ytBSYsp3I
1246023077760315400,Fri Apr 03 10:33:46 +0000 2020,“I would think very carefully before I used Zoom to communicate classified information, trade secrets, or confident… https://t.co/gFa1NfWIxk
1246016484930998300,Fri Apr 03 10:07:34 +0000 2020,This report examines encryption in the popular Zoom app. We find that Zoom has “rolled their own” encryption scheme… https://t.co/YJgFfSCdPJ
1246016180139315200,Fri Apr 03 10:06:21 +0000 2020,NEW REPORT: Move Fast &amp; Roll Your Own Crypto: A Quick Look at the Confidentiality of Zoom Meetings https://t.co/WFgWSI9qqH
1245740813092630500,Thu Apr 02 15:52:09 +0000 2020,Thread 👇 https://t.co/3jwnEiT7Qh
1245739949498011600,Thu Apr 02 15:48:43 +0000 2020,"I can't think of a better brand name to make citizens nervous about a governmental tracking effort," says… https://t.co/aZTR2GNqwe
1245384522616766500,Wed Apr 01 16:16:22 +0000 2020,ICYMI https://t.co/CjI9mKAYDh
1244716526646763500,Mon Mar 30 20:02:00 +0000 2020,RT @RonDeibert: Excellent news. These methods are critical, and need legal protection now more than ever. "Federal Court Rules ‘Big Data’ D…
1244700648073027600,Mon Mar 30 18:58:54 +0000 2020,https://t.co/Kf3AtJccrv
1244637691960086500,Mon Mar 30 14:48:44 +0000 2020,“In this moment of crisis, phone companies, regulators and the Department of Justice should step up to prevent fore… https://t.co/bLtOq3ILPz
