id,created_at,text
1260354942998462500,Tue May 12 23:43:29 +0000 2020,@tangerine_beams Oh for sure. Although in my case, I'd argue that leaking patron-exclusive content is a genuine concern.
1260218332260659200,Tue May 12 14:40:38 +0000 2020,Old school promo, 2002 #synthfam https://t.co/P9ONcdJZLr
1260214279262756900,Tue May 12 14:24:32 +0000 2020,@XENNONofficial #INITSENTIRETY
1260214081941717000,Tue May 12 14:23:45 +0000 2020,@socialambitions Most definitely a pleasure!
1260214049037410300,Tue May 12 14:23:37 +0000 2020,RT @socialambitions: Big thanks to Brian @colortheory for adding "Do You Remember the First Time?" to the most brilliant #Vocal #Synthwave…
1260042061316669400,Tue May 12 03:00:12 +0000 2020,@auth_JTMcDaniel And yet it's so good
1260042022452293600,Tue May 12 03:00:03 +0000 2020,@DRKHLM You get used to it and then regular tastes like molasses
1260041951962738700,Tue May 12 02:59:46 +0000 2020,@cidermama I think my wife got it at Stater Bros
1260041721582256000,Tue May 12 02:58:51 +0000 2020,@intothenightIgo Melted cotton candy is about right. Yum!
1260041648991420400,Tue May 12 02:58:34 +0000 2020,@lawrenceola The more I drink it, the more I love it.
1260041542619693000,Tue May 12 02:58:08 +0000 2020,@M1sT3R_K1Lr0Y I really appreciate that! I need all the help I can get. 😄
1259281298704576500,Sun May 10 00:37:12 +0000 2020,@tamarasiuda I bet it wouldn't taste good with ice cream. Real sugar + aspartame = 🤔
1259281163744493600,Sun May 10 00:36:40 +0000 2020,@allen169855 Was it that much? Yikes! I remember not having one! 😭
1259281023503700000,Sun May 10 00:36:06 +0000 2020,@1Sunnyone2 Beats diabetes.
1259280948987740200,Sun May 10 00:35:49 +0000 2020,@ifanwynroberts Dunno.
1259280916955816000,Sun May 10 00:35:41 +0000 2020,@Tangento Probably aspartame.
1259280865986633700,Sun May 10 00:35:29 +0000 2020,@i_sample Yeah we've got the regular one too.
1259280810210816000,Sun May 10 00:35:16 +0000 2020,@CynTervention That I haven't tried~!
1259280763192656000,Sun May 10 00:35:04 +0000 2020,@pracatan 😂
1259272407296049200,Sun May 10 00:01:52 +0000 2020,Better than you’d think. https://t.co/daGOcDl2oA
1259272322810212400,Sun May 10 00:01:32 +0000 2020,@TheCOMPUTRONIC @vehlinggo I’m on board!
1259242816372269000,Sat May 09 22:04:17 +0000 2020,https://t.co/eY6ihlrxp8
1259242693877588000,Sat May 09 22:03:48 +0000 2020,@OllieWride You da man.
1259242658674823200,Sat May 09 22:03:40 +0000 2020,RT @OllieWride: Another one down! Episode 4! Thanks everyone for tuning in to watch my weekly "Live Online" Lockdown Session.  You can now…
1259236480586678300,Sat May 09 21:39:07 +0000 2020,New song for patrons! https://t.co/mhxK95JYbG
1258935987117289500,Sat May 09 01:45:03 +0000 2020,@KelticJohnson @JIManji_YT Thanks so much for posting this! That was fast!
1258935885745156000,Sat May 09 01:44:39 +0000 2020,RT @KelticJohnson: This came in today.  Thank you @colortheory for the amazing offer and the extra bonus, and thank you @JIManji_YT for tel…
1258935813569523700,Sat May 09 01:44:22 +0000 2020,Grateful! 🙏🏻 https://t.co/SmVP1c40XZ
1258428744416428000,Thu May 07 16:09:27 +0000 2020,Pretty sure this is my most popular Facebook post ever. Have you seen the video? https://t.co/3rsy4kDmJQ https://t.co/JVrBlM1UV4
1257897441845624800,Wed May 06 04:58:15 +0000 2020,@XENNONofficial Whaaaaaa
1257829470557225000,Wed May 06 00:28:09 +0000 2020,RT @radioCoolio: Great tune! The Fifth of July by Color Theory @colortheory Tune in to the best at https://t.co/GfucqjWYss https://t.co/MMw…
1257829316525613000,Wed May 06 00:27:33 +0000 2020,@primothealien @betamaxx80s Wouldn't miss it!
1257606964718309400,Tue May 05 09:44:00 +0000 2020,Added "Lodestone" by @modelingmusic to my vocal #synthwave playlist on Spotify https://t.co/pLtKIEahHa https://t.co/XJyNgxtjAz
1257530963740913700,Tue May 05 04:42:00 +0000 2020,Added "Watch Me" by @primothealien &amp; @betamaxx80s to my vocal #synthwave playlist on Spotify https://t.co/pLtKIErSyI https://t.co/MYfCbyeA1t
1257465435219345400,Tue May 05 00:21:36 +0000 2020,RT @officialrevulsa: Huge thanks to the one and only Brian Hazard @colortheory for the exquisite mastering job on this track. https://t.co/…
1257465361823223800,Tue May 05 00:21:19 +0000 2020,@PureSynthwave @radioCoolio Aww yeah.
1257465207787417600,Tue May 05 00:20:42 +0000 2020,Added "Late Night Getaway Drive" by @wolfclubband to my vocal #synthwave playlist on Spotify https://t.co/pLtKIErSyI https://t.co/UdHa4eKRcN
