id,created_at,text
1261510137363132400,Sat May 16 04:13:49 +0000 2020,RT @pitchfork: Jamie xx called his b2b DJ set with @TheAvalanches an “actual dream come true”—listen now https://t.co/wAJiGd8O2H
1261509893720170500,Sat May 16 04:12:51 +0000 2020,RT @pitchfork: Phil May, the lead singer of the British band The Pretty Things, has died https://t.co/tyTkU7qwvJ
1261497499480494000,Sat May 16 03:23:36 +0000 2020,RT @Pac12Network: The Ducks made it 🔟 straight wins over UW in 2013. ☑️  Tune in now to watch a re-air of @oregonfootball vs. Washington. 📺…
1261483408099700700,Sat May 16 02:27:36 +0000 2020,RT @NBCSNorthwest: THE THRONE 👑  A behind the scenes tour of Oregon's equipment room from the man himself, @KFARRGODUCKS #GoDucks   FULL VI…
1261349903013314600,Fri May 15 17:37:06 +0000 2020,#ProDucks #FootballFriday @oregonfootball https://t.co/Uj9aTHkOYn
1261349031541903400,Fri May 15 17:33:38 +0000 2020,It's gotta be #ThePick 🐐 for me @KennyWheaton #GoDucks https://t.co/pwTfDb26A4 https://t.co/4jWHFguhfU
1261302273390465000,Fri May 15 14:27:50 +0000 2020,When @loserboy spins this track I always feel like he knows I am listening/waiting for it. "Why don't you believe/b… https://t.co/rbRNvWghxn
1261295431012647000,Fri May 15 14:00:39 +0000 2020,RT @Google: Despite the challenges we’re facing, Google’s Chief Health Officer remains optimistic. Read how Dr. @KBDeSalvo is approaching C…
1261290796872945700,Fri May 15 13:42:14 +0000 2020,RT @Tim_Burgess: Friday June 12th 10pm (UK time)  @thecharlatans by @thecharlatans will be our featured album for #TimsTwitterListeningPart…
1261155873071575000,Fri May 15 04:46:05 +0000 2020,RT @KEXPNowPlaying: Bob Dylan - Subterranean Homesick Blues - Dylan (2007)
1261146891858804700,Fri May 15 04:10:24 +0000 2020,RT @JasonIsbell: It’s time! It’s time! #Reunions is available everywhere now.  https://t.co/K34k4BXoa9
1261113755519168500,Fri May 15 01:58:44 +0000 2020,@CFBONFOX @rosebowlgame Yeah or this but both win 🌹 https://t.co/B3va6Z2nRX
1261113161723179000,Fri May 15 01:56:22 +0000 2020,RT @DuckFootball: https://t.co/5KjA0hUJRI
