id,created_at,text
1260872602962350000,Thu May 14 10:00:29 +0000 2020,The condescension. https://t.co/Ng4C0ysyW0
1260409005609975800,Wed May 13 03:18:18 +0000 2020,@ZivaBranstetter I once had a job eating those samples, and it was a great gig.
1260405406813356000,Wed May 13 03:04:00 +0000 2020,H-E-B is a national treasure. https://t.co/dvE7amKSxD
1260404928599769000,Wed May 13 03:02:06 +0000 2020,@BeeDotMartin Dorks
1260322573537161200,Tue May 12 21:34:51 +0000 2020,RT @PhilJankowski: JUST IN: Texas AG Ken Paxton calls latest Austin/Travis County stay-at-home orders unlawful. Read the letter he sent to…
1260318060671623200,Tue May 12 21:16:55 +0000 2020,RT @efindell: "There is this magic when you don’t hold so tightly to these plans that you’re obsessed with"  -- Love this @webbeditor story…
1260311323298140200,Tue May 12 20:50:09 +0000 2020,Wow. SBA really pissed off the wrong people. lol. https://t.co/hPufNB2rNn
1260311164799639600,Tue May 12 20:49:31 +0000 2020,RT @dicktofel: The PPP is loaning more than $650 billion in taxpayer funds, but SBA is stonewalling on disclosure under FOIA. So ⁦@propubli…
1260298713601388500,Tue May 12 20:00:03 +0000 2020,@bobbycblanchard This is Hanlon’s Razor. I remind myself of this basically any time I write about a government contract.
1260296483380834300,Tue May 12 19:51:11 +0000 2020,“I’m hungry for a big old plate of sweaty, ear-shredding, live rock and roll, ASAP. The kind that makes your heart… https://t.co/BfwBdiZDsj
1260293783209590800,Tue May 12 19:40:27 +0000 2020,RT @kylegriffin1: Ethics watchdog American Oversight has filed suit against the Justice Dept. to compel the release of communications about…
1260292958361923600,Tue May 12 19:37:11 +0000 2020,I’ve begun to measure my coffee intake in quarts. https://t.co/jyWfg5bWud
1260242518039462000,Tue May 12 16:16:45 +0000 2020,@dataeditor This could have save me once or twice.
1259905975395418000,Mon May 11 17:59:27 +0000 2020,RT @SRuhle: THREAD - @kroger, a leading US Grocer are seeing profits soar since COVID  Kroger execs (like most industries) are working from…
1259905719555567600,Mon May 11 17:58:26 +0000 2020,RT @charlesornstein: Read the story: https://t.co/rZqHr0wcLT and be sure to watch the ad the company ran during a Cleveland Browns preseaso…
