id,created_at,text
1260266181208006700,Tue May 12 17:50:46 +0000 2020,@IKaransharma27 Arre bhai kaher means jalwa
1260253596085616600,Tue May 12 17:00:46 +0000 2020,RT @SunOfGan: Aatma Nirbhar over the last 4 hours. Even MP and UP were searching 😂 https://t.co/Lc9XKBTWh5
1260250959743238100,Tue May 12 16:50:17 +0000 2020,RT @RubikaLiyaquat: आज बॉल बाउंड्री नहीं स्टेडियम के पार हो गई।  इस पैकेज की सख़्त ज़रूरत थी #AatmanirbharBharat
1260246744530653200,Tue May 12 16:33:32 +0000 2020,@shahidkapoor Your toughest &amp; most fav role till date ?
1260246494487199700,Tue May 12 16:32:33 +0000 2020,RT @AnilAgarwal_Ved: The overarching principle of ‘self-reliance’ mentioned by @PMOIndia in the need of the hour. #AatmanirbharBharat is th…
1260245470149922800,Tue May 12 16:28:28 +0000 2020,RT @NorbertElekes: INDIA: Rupee strengthened against the US dollar after PM Modi announced massive $266 billion economic package.
1260240415162278000,Tue May 12 16:08:23 +0000 2020,RT @mpopat: Really looking forward to interact with the extremely knowledgeable @Sunil_Deodhar ji. Extremely excited about this #BharatKiCh…
1260237238023135200,Tue May 12 15:55:46 +0000 2020,@mpopat Aa kon che boj preety che 😻😻
1260237147916902400,Tue May 12 15:55:24 +0000 2020,Looking forward to moderate interaction of @Sunil_Deodhar ji along with @muglikar_ @yoursdharm on the topic "Nation… https://t.co/3m7VoqSrzB
1260234770958692400,Tue May 12 15:45:58 +0000 2020,RT @c_aashish: WhatsApp is ready! 🤣 https://t.co/OsdeWd12Nz
1260233173654536200,Tue May 12 15:39:37 +0000 2020,This super ignorant person missed entire world thanking India for supplying #Hydroxycloroquine to them.  Shameless… https://t.co/ODpXeadYvW
1260232515672895500,Tue May 12 15:37:00 +0000 2020,RT @MrSinha_: पहले खुद तो बोलने का ढंग सिख लो भाई, प्रधानमंत्री पद न सही उम्र का ही लिहाज कर लो 😊😊
1260231050858356700,Tue May 12 15:31:11 +0000 2020,RT @NorbertElekes: No mention of my citizenship though.
1260230862647332900,Tue May 12 15:30:26 +0000 2020,RT @ajitdatta: At least he still needs one.
1260230597529616400,Tue May 12 15:29:23 +0000 2020,@Isoumyas 300
1260229247886430200,Tue May 12 15:24:01 +0000 2020,RT @SrishtiRajiv: Why can't Antonio Maino ask the Vatican to bless the world with Holy Water and shield us from the virus or better yet, pe…
1260228868838850600,Tue May 12 15:22:30 +0000 2020,@sailorsmoon @ashutosh83B Iconic movie.
1260228395280941000,Tue May 12 15:20:38 +0000 2020,@RahulPalkar6 Highly doubtful
1260228235725422600,Tue May 12 15:19:59 +0000 2020,@sailorsmoon @ashutosh83B 😹😹😹
1260227672149381000,Tue May 12 15:17:45 +0000 2020,This summarizes Intellectual capacity of Congress to decode Package announced by PM Modi.   No wonder they got 44 i… https://t.co/kgMtYMqSVz
1260226999433363500,Tue May 12 15:15:05 +0000 2020,This was only logical guess witnessing condition of economy and Industry. And very easy after listening to tone of Hon. PM 🙏🙏🙏
1260226360217223200,Tue May 12 15:12:32 +0000 2020,RT @shahidkapoor: Very powerful and inspiring speech by Shri Narendra Modi ji @PMOIndia. #golocal
1260225570656354300,Tue May 12 15:09:24 +0000 2020,PM @narendramodi announces USD 300 Billion Package for #AatmaNirbharBharat https://t.co/Nm0t4WBRgv
