id,created_at,text
1259496564784914400,Sun May 10 14:52:36 +0000 2020,I stand in solidarity with our brave warriors in the Maharashtra police. Also very grateful to doctors, medical sta… https://t.co/gONxHtreYe
1259429166585245700,Sun May 10 10:24:47 +0000 2020,Happy Mother’s Day 💖💖💖 https://t.co/Wd0LIrvRFZ
1258289744217284600,Thu May 07 06:57:07 +0000 2020,The incident that has happened in Vizag is really disturbing..I pray for the well being of all the people living th… https://t.co/Mqvq5vMHkA
1257982192908529700,Wed May 06 10:35:01 +0000 2020,RT @mipaltan: Our heroes don’t wear capes. They wear khaaki!  Thank you for keeping the community safe. #Respect, @MumbaiPolice🙏🏻💙  📸: @Shi…
1257920666285691000,Wed May 06 06:30:32 +0000 2020,RT @AUThackeray: Lucky turf for Mumbai! 124 people discharged from NSCI dome!
1256916914250498000,Sun May 03 12:01:59 +0000 2020,RT @mipaltan: Dhawal and the cute one 💙👨‍👧  #OneFamily @dhawal_kulkarni https://t.co/H0rgfTVQWR
1256916419393941500,Sun May 03 12:00:01 +0000 2020,RT @vihangsarnaik: These groundsmen are the backbone and the most integral part of any cricket maidan in Mumbai. Most of these malis live o…
1256916391770218500,Sun May 03 11:59:54 +0000 2020,RT @vihangsarnaik: Today i tried my best to support Malis and groundsmen who take care of the cricket maidans in Mumbai, with food items su…
1256077455850270700,Fri May 01 04:26:16 +0000 2020,माझा व माझा परिवारा कढून सर्वांना महाराष्ट्र दिनाच्या हार्दिक शुभेच्छा🙏🏻 घरी रहा आणि सुरक्षित रहा!! #Maharashtraday
1255140658265723000,Tue Apr 28 14:23:46 +0000 2020,💖ND💖 https://t.co/ne1l56cpUi
1254975279551791000,Tue Apr 28 03:26:37 +0000 2020,RT @NileshkumarMK: वेगवान गोलंदाज #रमाकांतदेसाई यांचा आज स्मृतीदिन. २८ कसोटी सामन्यांत ७४ बळी घेणारे देसाई कमी उंचीमुळे ‘टायनी देसाई' म्हणू…
1254794823229296600,Mon Apr 27 15:29:33 +0000 2020,Staying home and ....... !! 💪🏻🏋🏻‍♂️ Best way to keep yourself busy and fit is doing things that you love.… https://t.co/BbtaUBCf54
1254316255487488000,Sun Apr 26 07:47:54 +0000 2020,अक्षय तृतीयेच्या  सर्वांना शुभेच्छा 💐💐💐 https://t.co/ptehvtMM8W
1253542652617748500,Fri Apr 24 04:33:52 +0000 2020,Wishing you a very Happy Birthday Paaji @sachin_rt ..  Stay Healthy..Lots of love 🎂🎂🎂  #HappyBirthdaySachin https://t.co/GiIUH14PGS
1252563240686502000,Tue Apr 21 11:42:02 +0000 2020,You can’t put a limit on anything 💪🏻 https://t.co/kLDKUS1KIA
1252281266885410800,Mon Apr 20 17:01:34 +0000 2020,RT @mipaltan: 🏟 Old Wankhede stadium 🗓 20/4/2008  Paltan, we played our first ever @IPL match 💙  #OneFamily https://t.co/mJ09kmXAgL
1249238893548851200,Sun Apr 12 07:32:16 +0000 2020,To combat the #Covid19 situation we all need to come together.Let’s support the decision of our @CMOMaharashtra to… https://t.co/M2kZL5dMig
1248981111943745500,Sat Apr 11 14:27:56 +0000 2020,RT @AUThackeray: CM Uddhav Thackeray ji’s address to the State
1248208073740566500,Thu Apr 09 11:16:10 +0000 2020,RT @DGPMaharashtra: तुम्हाला "डिफेन्ड" करणं आमचं कर्तव्यच आहे, कारण काळाची ही "टेस्ट" आपल्याला मिळून जिंकायची आहे. #StayHomeStaySafe
1248207584357527600,Thu Apr 09 11:14:13 +0000 2020,@DGPMaharashtra आपण सर्व मिळून नक्कीच कोरोना ला “क्लीन बाेल्ड” करु!!
1248161283968397300,Thu Apr 09 08:10:14 +0000 2020,Sacrificing their dreams for keeping the city of our dreams safe. Thank You @MumbaiPolice @DGPMaharashtra We owe yo… https://t.co/69uqoSIf5V
1247223252797157400,Mon Apr 06 18:02:50 +0000 2020,RT @NeerjaBirla: @dhawal_kulkarni @mybmc @AUThackeray @AryamanBirla @mpowerminds Thank you @dhawal_kulkarni for helping us reach many more…
1247180725654130700,Mon Apr 06 15:13:51 +0000 2020,Every day may not be good but there's good in every day. #StayHome #StayHealthy #StaySafe https://t.co/SaKTtmGbAd
1246845445894049800,Sun Apr 05 17:01:34 +0000 2020,🇮🇳We stand together🇮🇳 #9baje9mintues https://t.co/q4r9OiwAkx
1246683007492034600,Sun Apr 05 06:16:05 +0000 2020,Let’s ignite the spirit of a billion hearts! Let’s ignite the spirit of a billion strong! Let us all come together… https://t.co/5yYT3KVznu
1246429279874764800,Sat Apr 04 13:27:52 +0000 2020,I have done my bit by contributing towards #CMReliefFund Maharashtra, and doing my bit by providing food to the nee… https://t.co/eatv4hRVnO
1246326877012156400,Sat Apr 04 06:40:57 +0000 2020,Training is Life 💪🏻🏋🏻‍♂️ #stayhome https://t.co/TqJDPWnud1
1246070180796481500,Fri Apr 03 13:40:56 +0000 2020,Great initiative by the government of Maharashtra, BMC and Mpower 1on1 who have created a free helpline to support… https://t.co/9tXTiwfogp
1245996391211470800,Fri Apr 03 08:47:43 +0000 2020,@NeerjaBirla @mybmc @AUThackeray @AryamanBirla @mpowerminds 🙏🏻 This is the least I could do! Glad to be a part of it
1245955712045310000,Fri Apr 03 06:06:05 +0000 2020,The government of Maharashtra, BMC and Mpower 1on1 have created a free helpline to support you at this difficult ti… https://t.co/ncQ5CGtYGZ
1245736956543135700,Thu Apr 02 15:36:49 +0000 2020,Really proud to be associated with @BPCLimited  Thankful to the team who is working 24hrs,providing fuel at fuel pu… https://t.co/svKIVQ3Fom
1244625507699712000,Mon Mar 30 14:00:19 +0000 2020,🤞🏻Rays of Hope 🤞🏻  The sky has been looking stunning 😍 No traffic = Less Pollution  #pollution #free #India https://t.co/WOVfEO0I7d
1242731112096383000,Wed Mar 25 08:32:40 +0000 2020,गुढीपाडव्याच्या सर्वांना हार्दिक शुभेच्छा!💐 Happy #GudiPadwa 💐
1242062411487522800,Mon Mar 23 12:15:29 +0000 2020,@CMOMaharashtra This was needed!!Great Move Sir 👍🏻@OfficeofUT @CMOMaharashtra
1242062190959399000,Mon Mar 23 12:14:37 +0000 2020,RT @CMOMaharashtra: CM Uddhav Balasaheb Thackeray addressing the State https://t.co/oSgBuNv9Ex
