id,created_at,text
1259633351499145200,Sun May 10 23:56:08 +0000 2020,@WCoastScouting @SFGiants @MLBPipeline @RawlingsSports @SmithOutfitters
1259633281068347400,Sun May 10 23:55:51 +0000 2020,RT @WCoastScouting: Prize Giveaway Alert! San Francisco Giants prospect Jacob Gonzalez autographed inscribed baseball. To enter follow me,…
1259633010397327400,Sun May 10 23:54:47 +0000 2020,@FOCOusa I wanna win!
1259632869514895400,Sun May 10 23:54:13 +0000 2020,RT @FOCOusa: 🌺 FOCO FREEBIE FRIDAY GIVEAWAY 🌺  For this week's giveaway, we will be giving away a FOCO FLORAL PACK!  To enter, RT this twee…
1259632481122357200,Sun May 10 23:52:40 +0000 2020,RT @SashkaCo: #Giveaway! We're giving 2 Sashka Co. #bracelets to 2 friends!  To enter:  1. Follow @SashkaCo   2. Like and share this post…
1259632420804079600,Sun May 10 23:52:26 +0000 2020,@SashkaCo @dheath3180
1259632186409529300,Sun May 10 23:51:30 +0000 2020,RT @VrtexDE: #Giveaway  Win a Gaming Monitor📺  To celebrate the epic #ValorantBETA we are giving 1 x @SamsungDE C27RG5 240Hz Gaming Monitor…
1259631896792903700,Sun May 10 23:50:21 +0000 2020,Tag your gaming squad in giveaway comment under https://t.co/uJpeaONZXc
1259528537289232400,Sun May 10 16:59:38 +0000 2020,@Hertz #hertzroadtrip Slapping my brother while on car rides
1259489067512795100,Sun May 10 14:22:48 +0000 2020,RT @thecrunchcup: Want to win a year's supply of cereal? We're giving away 52 boxes to one lucky winner! Sweepstakes ends June 1st, 2020.⁠…
1259469884301480000,Sun May 10 13:06:34 +0000 2020,I’m a finalist in Vacation Myrtle Beach Resorts’s Story Contest. Help me rally votes: https://t.co/4MKCaDiGjX… https://t.co/x8w6kHyOaj
1259462935853793300,Sun May 10 12:38:58 +0000 2020,RT @CloudMom: At what time of day did your little baby begin their daily schedule? 5-6 or 7am? Here’s a link to some of my shows on schedul…
1259462853356028000,Sun May 10 12:38:38 +0000 2020,RT @CloudMom: Did you #breastfeed your baby in bed and how? Massoma wrote in asking if she can nurse while sitting upright in bed against a…
1259462784926056400,Sun May 10 12:38:22 +0000 2020,RT @CloudMom: How will you be celebrating Mother’s Day this year? I’m sure it will be different than in years past, but hopefully special i…
1259462722183475200,Sun May 10 12:38:07 +0000 2020,#WIN a $380 prize package for Mom: Amazon gift card, luxury acrylic home accessories by Tara Wilson Designs, and On… https://t.co/SQLZuJwJet
1259447577151516700,Sun May 10 11:37:56 +0000 2020,The Beat: $1,000 MasterCard Prepaid Gift Card Sweepstakes: https://t.co/I7pOXuSgX9
1259442892587839500,Sun May 10 11:19:19 +0000 2020,@StellaArtois #DigitalDateNight #StellaSweepstakes
1259442844626026500,Sun May 10 11:19:08 +0000 2020,#DigitalDateNight #StellaSweepstakes https://t.co/r0VDIcLRac
1259436013891530800,Sun May 10 10:51:59 +0000 2020,WIN a $50 Netflix Gift Card @RoyalDraw https://t.co/7xFKJbdNmM #RoyalDraw #giveaway #contest #free #win #sweepstakes
1259286010392961000,Sun May 10 00:55:55 +0000 2020,@robfnunn @TheBoredStore @dheath3180  #ImBored
1259285644234436600,Sun May 10 00:54:28 +0000 2020,RT @robfnunn: With #lockdown set to continue,, I’m giving one winner an Xbox One S!  To enter:  * Follow me @robfnunn &amp; @TheBoredStore  * R…
1259285002904318000,Sun May 10 00:51:55 +0000 2020,@LightnGo1 #firepit, #fireplace,#camping, #tailgating, #lake, #beach  In the back yard!
1259282325910818800,Sun May 10 00:41:17 +0000 2020,@BlendJet @CherylAnnAuthor
1259282271275831300,Sun May 10 00:41:04 +0000 2020,RT @BlendJet: #MOTHERSDAY #GIVEAWAY 💕 We're giving a #BlendJet portable blender to THREE lucky followers and their MOMS!  1. FOLLOW @BlendJ…
1259282083677118500,Sun May 10 00:40:19 +0000 2020,@SuperGroupiesEN @SmithOutfitters
1259282019659460600,Sun May 10 00:40:04 +0000 2020,RT @SuperGroupiesEN: 🔥 #GIVEAWAY ALERT 🔥 Get a chance to win this #KingdomHearts III Sora model hoodie! #_KH   🗝How to enter:  1. FOLLOW @S…
1259278508649570300,Sun May 10 00:26:07 +0000 2020,🐳 ZERO WASTE CLEANING!!! | BlueLand Review &amp; Giveaway!!! 🎉 https://t.co/rpgjAJ7HQu via @YouTube
1259228141136076800,Sat May 09 21:05:58 +0000 2020,RT @FalkenTire: New 1:18 scale @GLCollectibles Falken lift weekend #giveaway #contest. RT &amp; follow #FalkenTire to enter to #win this #prize…
1259123488264241200,Sat May 09 14:10:07 +0000 2020,@AstroTurfUSA @DaveSmithMotors #giveawayalert
1259123132243247000,Sat May 09 14:08:42 +0000 2020,@findyourdress #winitwednesday @SmithOutfitters
1259122577517293600,Sat May 09 14:06:30 +0000 2020,RT @woorisecom: Woorise is giving away a brand new HermanMiller Office Chair (worth $800+) 1. Follow us 2. Retweet 3. Enter to Win: https:/…
1259109173318561800,Sat May 09 13:13:14 +0000 2020,LAFCO Floral &amp; Herbal Spring Gift Sets Giveaway ($160 Value) https://t.co/y6oYcY7cnz via @lafconewyork
1259086986381611000,Sat May 09 11:45:04 +0000 2020,RT @goodbed: Staying home got you down? Have a listen to this upbeat country tune, which playfully points out some of the silver linings (w…
1259086787663794200,Sat May 09 11:44:17 +0000 2020,RT @goodbed: Worried about sleeping hot? On June 1, one lucky GoodBed reader is going to #WIN a brand new @eightsleep Pod #mattress and sle…
1259086674040144000,Sat May 09 11:43:50 +0000 2020,I'm in the running to win a FREE Pod smart mattress with advanced temperature control from @eightsleep and @goodbed… https://t.co/wKYRv1oUa1
1259082438074138600,Sat May 09 11:27:00 +0000 2020,I just entered a Prize Giveaway! - $100 GreatBigStuff Gift Card! on https://t.co/C8bPKIuu2D https://t.co/sSvk8EKkMP #win #Fishbowlprizes
1259064615448850400,Sat May 09 10:16:11 +0000 2020,@StellaArtois #DigitalDateNight #StellaSweepstakes
1259064578270511000,Sat May 09 10:16:02 +0000 2020,#DigitalDateNight #StellaSweepstakes https://t.co/r0VDIcLRac
1259057350322905000,Sat May 09 09:47:19 +0000 2020,WIN a $50 Cheesecake Factory Gift Card @RoyalDraw https://t.co/hnmAvMne0a #RoyalDraw #giveaway #contest #free #win #sweepstakes
1258909569482403800,Sat May 09 00:00:05 +0000 2020,@ToxicWasteSour TOXIC WASTE SOUR CANDY
1258908806295281700,Fri May 08 23:57:03 +0000 2020,RT @RoyalsAuthentic: Must FOLLOW @RoyalsAuthentic &amp; RT for a chance to win!  #GIVEAWAY - Bring a piece of the K to your fan cave! This canv…
1258890542156525600,Fri May 08 22:44:28 +0000 2020,@HealthySol4Pets I am!
1258890463219560400,Fri May 08 22:44:10 +0000 2020,RT @HealthySol4Pets: Who's ready to win a #freeproduct? ♥️ &amp; follow us for your chance to win the product of your choice from Healthy Solut…
1258890293673418800,Fri May 08 22:43:29 +0000 2020,@BHGLiveBetter VAY-se
1258890226237309000,Fri May 08 22:43:13 +0000 2020,VAY-se https://t.co/k539dviiDs
1258883473210855400,Fri May 08 22:16:23 +0000 2020,RT @SteelersShop: We're giving away this #SteelersDraft gear package! RT this for a chance to win it! Ends 5/8. https://t.co/o81aCquWSt
1258883294214660000,Fri May 08 22:15:40 +0000 2020,I hope I win this Make Your May $4,000 Shopping Spree Giveaway from @primaryarms! https://t.co/KoOsqgtXJR
1258882679686267000,Fri May 08 22:13:14 +0000 2020,RT @SnapCircuits: GIVEAWAY! To celebrate #TeacherAppreciationWeek, we are giving away a Snap Circuits Junior! Like &amp; Share this post for a…
1258882560702234600,Fri May 08 22:12:46 +0000 2020,RT @realcedarcide: Giveaway time! 🥳 We are giving away our Flea + Tick Pet Brush along with an 8 oz Cedarcide Original. Eliminate fleas and…
1258882400165249000,Fri May 08 22:12:07 +0000 2020,@AstroTurfUSA @SmithOutfitters
1258882236289634300,Fri May 08 22:11:28 +0000 2020,RT @WCoastScouting: Let’s keep the giveaways going! New York Mets Desmond Lindsay autographed baseball card. To enter follow me and retweet…
1258733528507986000,Fri May 08 12:20:33 +0000 2020,I’m a finalist in Vacation Myrtle Beach Resorts’s Story Contest. Help me rally votes: https://t.co/1sRaUndUBY… https://t.co/i9aqbIXHiJ
1258709846356045800,Fri May 08 10:46:27 +0000 2020,@StellaArtois #DigitalDateNight #StellaSweepstakes,
1258709807252549600,Fri May 08 10:46:18 +0000 2020,#DigitalDateNight #StellaSweepstakes, https://t.co/r0VDIcLRac
1258705047380283400,Fri May 08 10:27:23 +0000 2020,WIN a Costco Gold Star Membership @RoyalDraw https://t.co/5lgIk7yZDM #RoyalDraw #giveaway #contest #free #win #sweepstakes
1258505342696091600,Thu May 07 21:13:50 +0000 2020,“If you don’t find a way to make money while you sleep, you will work until you die” – Warren Buffett  https://t.co/InqCORRGNC
1258505309443817500,Thu May 07 21:13:42 +0000 2020,By working remote, you can find yourself with a higher paying gig, it helps save you more money, and can increase y… https://t.co/tyzLfAqAkx
1258505265135026200,Thu May 07 21:13:31 +0000 2020,Learn the legit ways to make money online and potentially find yourself earning $1,000  each month  https://t.co/3AJP7Y0H6V
1258381252991897600,Thu May 07 13:00:44 +0000 2020,@GetKnockies I would use it for zoom @SNICKERS
1258381149958819800,Thu May 07 13:00:20 +0000 2020,RT @GetKnockies: Monday #Giveaway 🚨  To celebrate the official launch of our Matte Black Pro's, this week we will be giving away 3 pairs!…
1258380978030026800,Thu May 07 12:59:39 +0000 2020,@AstroTurfUSA @DaveSmithMotors
1258380930114375700,Thu May 07 12:59:27 +0000 2020,RT @AstroTurfUSA: Perfect for May showers! #follow us and #tag a buddy for a chance to #win this AstroTurf branded golf umbrella. #Giveaway…
1258380824765960200,Thu May 07 12:59:02 +0000 2020,@iamjeffsloan #JOMay
