id,created_at,text
1260743752064340000,Thu May 14 01:28:28 +0000 2020,Glad they used our button test for this 😉 https://t.co/oltBKOsZA9
1259969002413179000,Mon May 11 22:09:53 +0000 2020,@Rob_Flaherty @MikeNellis @_clarkekent take 2! i would be nothing without the amazing work of @kellylangford15… https://t.co/qavPhO9Nb9
1259965905309753300,Mon May 11 21:57:35 +0000 2020,we really did that! @kellylangford15 @cb_hopkins @taylorjeannesea @eiss758 (and @_clarkekent and her team!!) https://t.co/lVVzuUjgO6
1259919589309321200,Mon May 11 18:53:32 +0000 2020,we absolutely hate this! https://t.co/8ocjQfBMRX
1258956890777833500,Sat May 09 03:08:07 +0000 2020,RT @TraderJoesUnion: Please don’t complain to us that a store you went to asked you to wear a mask.  Our coworkers have died from COVID-19.…
1257472294382960600,Tue May 05 00:48:52 +0000 2020,@_clarkekent ngl i am VERY impressed by the speed you're moving through these
1257108434018852900,Mon May 04 00:43:01 +0000 2020,I don’t think that’s how help works https://t.co/oIECkp140U
1256067306586804200,Fri May 01 03:45:57 +0000 2020,This is a Gretchen Whitmer stan account now https://t.co/3pYws2Qdr5
1256011493600039000,Fri May 01 00:04:10 +0000 2020,...except if you work on a campaign https://t.co/ymi05ZBTRr
1255988831658131500,Thu Apr 30 22:34:07 +0000 2020,RT @GovWhitmer: I’ve said it before, and I’ll say it again — Michigan is an extraordinary place to live because of the people who call it h…
1255219378578129000,Tue Apr 28 19:36:35 +0000 2020,this is an exciting day!! https://t.co/EnW2TPilDz
1254046665352282000,Sat Apr 25 13:56:38 +0000 2020,1 year ago we launched @JoeBiden's campaign and that was pretty neat!!!!!
1253834511189717000,Fri Apr 24 23:53:37 +0000 2020,Indeed cc: @cb_hopkins https://t.co/2VyFu4tK4w
1253767230002733000,Fri Apr 24 19:26:16 +0000 2020,RT @JoeBiden: I can’t believe I have to say this, but please don’t drink bleach.
1252660679452082200,Tue Apr 21 18:09:13 +0000 2020,lol WUT https://t.co/hqWmvOTa3g
1252633027236302800,Tue Apr 21 16:19:21 +0000 2020,I would like to file a formal complaint that it is April 21 and snowing #PureMichigan
1252427542675353600,Tue Apr 21 02:42:49 +0000 2020,@kellylangford15 @taylorjeannesea @eiss758 @cb_hopkins I’m lucky to work with such ROCKSTARS
1252424293352222700,Tue Apr 21 02:29:55 +0000 2020,Major shoutout to @kellylangford15 for making everything we do possible
1252421778703478800,Tue Apr 21 02:19:55 +0000 2020,@Rob_Flaherty Yee - haw!!!
1252421698898415600,Tue Apr 21 02:19:36 +0000 2020,.@JoeBiden IS a grassroots candidate. Every day, so so grateful to have #TeamJoe on our side https://t.co/T5k7g4tqvA
1250591340238340000,Thu Apr 16 01:06:25 +0000 2020,no https://t.co/GaxR8FJyVJ
1250434053146161200,Wed Apr 15 14:41:24 +0000 2020,Trying to remember why I decided to come back to Michigan https://t.co/gyDyqMnmIp
1250413064752685000,Wed Apr 15 13:18:00 +0000 2020,RT @ewarren: In this moment of crisis, it’s more important than ever that the next president restores Americans’ faith in good, effective g…
1250098228726505500,Tue Apr 14 16:26:58 +0000 2020,RT @BarackObama: I’m proud to endorse my friend @JoeBiden for President of the United States. Let's go: https://t.co/maHVGRozkX
1249764843646746600,Mon Apr 13 18:22:12 +0000 2020,you may call this... a BFD https://t.co/bjU57gvNIz
1249545425671139300,Mon Apr 13 03:50:19 +0000 2020,That’s my gov!! https://t.co/yuaoL4MrAV
1249429300920684500,Sun Apr 12 20:08:53 +0000 2020,RT @hashtagkatie: we are all a little bit alexis https://t.co/2K9YYGdrHd
1248670593794355200,Fri Apr 10 17:54:03 +0000 2020,now that I'm home, I've come to the conclusion that I had a lot of really bad haircuts in high school
1247921466903060500,Wed Apr 08 16:17:17 +0000 2020,RT @JoeBiden: Together we will defeat Donald Trump. But we will also address the climate crisis. We will make college affordable. And we wi…
1246984204572921900,Mon Apr 06 02:12:56 +0000 2020,@ikehaji Yes!!!
1246981088003739600,Mon Apr 06 02:00:33 +0000 2020,I am eating brie in bed because quarantine has no rules (except social distancing!!)
1245800390182011000,Thu Apr 02 19:48:53 +0000 2020,honestly, no caption that I can think of can do this *REAL* screenshot justice https://t.co/JRszUpJcTy
1245687088701472800,Thu Apr 02 12:18:40 +0000 2020,I need one of these shirts https://t.co/F8Iily7K1u
1245348190016213000,Wed Apr 01 13:52:00 +0000 2020,RT @EishaMisra: Today: not a joke, folks
1245108339639562200,Tue Mar 31 21:58:55 +0000 2020,I'm at quarantine day number "my mom found my old, printed, AIM conversations"
1244696751128359000,Mon Mar 30 18:43:25 +0000 2020,RT @OscarTheGrouch: SCRAM. GO HOME. AND STAY THERE!!!
1243752712702955500,Sat Mar 28 04:12:09 +0000 2020,RT @davidplouffe: With any justice, it will be Michigan’s 16 electoral votes that puts Joe Biden over 270 and brings the end to this narcis…
1242931472467714000,Wed Mar 25 21:48:50 +0000 2020,@ccorbisiero i need to be facetimed into your rehearsals, tyty
1241498544978174000,Sat Mar 21 22:54:53 +0000 2020,@ZeppaKreager can i come quarantine with you plz
1240266185821819000,Wed Mar 18 13:17:56 +0000 2020,RT @samstein: Nine days apart https://t.co/wTVtHzREnE
1240115914609131500,Wed Mar 18 03:20:48 +0000 2020,RT @ccorbisiero: i believe this is what the kids call a ~sweep~ https://t.co/CrLyiSLBWB
