id,created_at,text
1259908983009063000,Mon May 11 18:11:24 +0000 2020,TODAY at 1pm PST I’ll be going LIVE with one of the most genuine, articulate &amp; inspiring humans I know:… https://t.co/H6juef8mGx
1258993916709187600,Sat May 09 05:35:15 +0000 2020,RT @drdrew: Set a reminder for #ASKDRDREW on youtube this Friday at 230 pm PT with @KatTimpf from the @GregGutfeldShow! We also will have a…
1258993431814090800,Sat May 09 05:33:19 +0000 2020,@nathanb314 @drdrew @MerriamWebster YESSSS! Please! I want to get this word in the dictionary! It’s necessary. 🙏🏻🙏🏻🙏🏻
1258870440350515200,Fri May 08 21:24:36 +0000 2020,RT @drdrew: I am ready to get to the issues with @emilyhampshire! Today we are live on #Periscope, https://t.co/apDneNdob7 and https://t.co…
1258091520047165400,Wed May 06 17:49:27 +0000 2020,And I’m ⚰️ THESE ARE MY GUESTS TODAY 🤩🤯🤩🤯🤩🤯🤩🤯🤩🤯🤩🤯 #jonathanvanness @jvn #drdrew @drdrew #jasonreitman @jasonreitman… https://t.co/NYxhaLoJ6H
1257878923012161500,Wed May 06 03:44:40 +0000 2020,I admit it... I’m a little bit messy😐 See link in my story to read the full article by @debraekamin for nytimes… https://t.co/CgjbdYF99h
1257774035032817700,Tue May 05 20:47:52 +0000 2020,Zooming with @Bianca__Rae was such a joy that I let Stumbs peek in on our interview.  #schittscreek   #Repost… https://t.co/KxIFNurR4M
1257425149869129700,Mon May 04 21:41:32 +0000 2020,Covid... but make it fashion. https://t.co/lU0VOvfLDB
1256342926277435400,Fri May 01 22:01:10 +0000 2020,Sooo... tanfrance &amp; I we’re BOTH nominated for @thewebbyawards &amp; we would both be so grateful if u took a minute (i… https://t.co/kZ73j34pYe
1255552093508771800,Wed Apr 29 17:38:40 +0000 2020,MY GUESTS TODAY! 🥳 ⠀ #tanfrance tanfrance 💃🏻 #maxcarver #charliecarver 👯@maxcarver @Charlie_Carver #mattiseman… https://t.co/DCf9CHOIQP
1253463487587610600,Thu Apr 23 23:19:18 +0000 2020,#tbt to the olden days. Miss u so much cvspharmacy https://t.co/hyvD0xr3yH
1253028209756692500,Wed Apr 22 18:29:40 +0000 2020,👀 who’s on my show TODAY! #leadelaria @realleadelaria #dustinmilligan @DustinWMilligan #candicepatton… https://t.co/k0I3N5SuyS
1252303367294115800,Mon Apr 20 18:29:24 +0000 2020,Taxidermy. It’s a calling... Watch #50StatesOfFright  NOW on quibi Also, the thing that drew me to this role was th… https://t.co/BlAFvDcLai
1252036168755134500,Mon Apr 20 00:47:38 +0000 2020,I always think it’s important to know the story behind a piece of art u purchase. Here is the story of the portrait… https://t.co/QgH4xHcUid
1251692218722615300,Sun Apr 19 02:00:54 +0000 2020,RT @NicholasFerroni: I can’t thank @emilyhampshire enough. Emily was kind enough to visit school, and when she couldn’t because of logistic…
1251041140276473900,Fri Apr 17 06:53:45 +0000 2020,The moment @michellevisage changed ur life ⚰️.  I ❤️u #michellevisage pls be my post covid irl BFF 👯‍♀️🙏🏻 https://t.co/UV9vVKHQwb
1250465429358813200,Wed Apr 15 16:46:05 +0000 2020,Eps #3 TODAY at 2pm PST /5pm EST &amp; this is my first @nowtorontopromo cover 🖤👹 Repost @nowtorontopromo ・・・ In episod… https://t.co/cL7SmrZAIr
1250252233578512400,Wed Apr 15 02:38:55 +0000 2020,So, this is a #dreamcometrue for me... I have my own virtual STORE👩🏻‍💻🎁 ⠀ I’ve partnered with verishop , which I’m… https://t.co/QuHNhCZfTu
1250144617560977400,Tue Apr 14 19:31:18 +0000 2020,I’m so excited for TOMORROW!!! ⠀ @katemoennig (ahem...🔥🤤 #shanemccutcheon on the old &amp; new sho_thelword 💗👭🏻) ,… https://t.co/lXdryPNNma
1249866728672297000,Tue Apr 14 01:07:04 +0000 2020,The other day I was lucky enough to be entertained by some AMAZING students from @uhspac  Thank u all so much for u… https://t.co/m8i4WM5keI
1248162295236173800,Thu Apr 09 08:14:15 +0000 2020,Incase u feel like u need to cry more over @schittscreek ...😭💗 https://t.co/4qAxxeIGge
1248148407442493400,Thu Apr 09 07:19:04 +0000 2020,RT @BuzzFeedNews: Emily Hampshire, Stevie from Schitt's Creek, opened up about the show's emotional finale https://t.co/1jJ0XchHtN
1247937807269707800,Wed Apr 08 17:22:13 +0000 2020,MY GUESTS TODAY! 🥳 #gigigorgeous @TheGigiGorgeous  #sarahlevy sarahplevy  #noahreid @olreid  #lancebass @lancebass… https://t.co/L5EQSkAqyw
1247715083393908700,Wed Apr 08 02:37:11 +0000 2020,I still have it.  Goodbye #schittscreek best wishes, warmest regards 💗 love always, Stevie Budd  #schittscreekfinale https://t.co/kZkuhjUUCz
1247544326986621000,Tue Apr 07 15:18:40 +0000 2020,See u tonight. 😢💗 #schittscreek @schittscreek https://t.co/zMpqP8vwxU
1247255880829206500,Mon Apr 06 20:12:29 +0000 2020,The final curtain. 😭💗🥰 @schittscreek cbc @poptv https://t.co/iTmMatey8z
1247243112533155800,Mon Apr 06 19:21:45 +0000 2020,Into the wine, not the label ❤️🧡💛💚💙💜 #bestwisheswarmestregards #schittscreek @amyjuliasegal https://t.co/nkZ88jzEUj
1245849291526156300,Thu Apr 02 23:03:12 +0000 2020,Here’s a lil sneak peak into my 1st Humpday with Hampshire show. U can watch the full episode on @theactorsfund You… https://t.co/b2iumhhVa0
1245754730011385900,Thu Apr 02 16:47:27 +0000 2020,BEST WISHES, warmest regards 🖤 #Repost @amyjuliasegal ・・・ ❤️ #bestwisheswarmestregards ❤️ https://t.co/B4xaaH40Ne
1245399417324048400,Wed Apr 01 17:15:34 +0000 2020,TODAY! 2pm PST/5pm EST on @theactorsfund YouTube channel  https://t.co/pAj75BH3ji… Come hang out w/ me &amp; my friends… https://t.co/y65TV2NQxl
