id,created_at,text
1260246508353486800,Tue May 12 16:32:36 +0000 2020,RT @EconCharlie: I’ve seen ugly policymaking, but I’ve never been so dejected. Congress appears to be on its way to passing a half-assed bi…
1260246464535486500,Tue May 12 16:32:26 +0000 2020,RT @EconCharlie: THREAD: As an economic staffer in Congress, I’m worried we’re about to watch a slow-motion train wreck.  More than 80,000…
1260237374245810200,Tue May 12 15:56:18 +0000 2020,RT @PrestonWilson44: I don’t care if he stole a house and was jogging with it on his back he should be alive right now. https://t.co/q0EGtD…
1260236382074740700,Tue May 12 15:52:22 +0000 2020,RT @coleleiter: Is it good digital to tweet a press release? https://t.co/ejyvoGKNmU
1259618760090058800,Sun May 10 22:58:09 +0000 2020,RT @kimmasters: Do you want to know how much Trump and Fox News have politicized a health crisis?  Today I was wearing a mask while walking…
1258969232173400000,Sat May 09 03:57:10 +0000 2020,RT @kylegriffin1: Yahoo News: Barack Obama, talking privately to former members of his admin, said that the "rule of law is at risk" in the…
1258782796744732700,Fri May 08 15:36:20 +0000 2020,happy friday quarantweeters! do yourself a favor and watch @neverhaveiever on netflix this weekend -- and thank you… https://t.co/5IQBAt1olR
1258731979639591000,Fri May 08 12:14:24 +0000 2020,RT @craigauster: This is a great article demonstrating the depth of @SenSusanCollins problems in #ME &amp; why @SaraGideon is going to be the n…
1258121370275328000,Wed May 06 19:48:04 +0000 2020,RT @Chispa_NV: Hmmm.   Unsurprisingly, the utility asking to invest in fossil fuel infrastructure is the one trying to raise rates for cons…
1258109155031896000,Wed May 06 18:59:31 +0000 2020,RT @rebleber: close more damn streets to cars so people can get outside without overcrowding.
1258035818213539800,Wed May 06 14:08:06 +0000 2020,RT @T_Sittenfeld: Check out this great new Op-Ed by⁩ @lcvoters Board Chair Carol Browner on why we’re all in to help make ⁦@JoeBiden⁩ our n…
1257690670350897200,Tue May 05 15:16:37 +0000 2020,thank god https://t.co/jnUhC9kpig
1257407158674751500,Mon May 04 20:30:02 +0000 2020,Cheers to the @WashingtonPost's all star team of environmental reporters @eilperin @brady_dennis @chriscmooney… https://t.co/Cl2nBvJRlj
1257405134272901000,Mon May 04 20:22:00 +0000 2020,RT @pmaysmith: Thank you @HirokoTabuchi and all of the @nytclimate team for your hard work exposing the Trump admin. We need you now more t…
1257389776795287600,Mon May 04 19:20:58 +0000 2020,@danjlevy 🤚
1255908688348446700,Thu Apr 30 17:15:39 +0000 2020,oh hey @thomas_winslow! https://t.co/fAqZFLYE0W
1255869838075080700,Thu Apr 30 14:41:16 +0000 2020,“Covid is shining a bright light on the structural racism that plagues our laws, our institutions and our culture .… https://t.co/e2wbl1fjCd
1255320983105396700,Wed Apr 29 02:20:19 +0000 2020,RT @HillaryClinton: I wish we had @JoeBiden's leadership in the Oval Office right now.   Americans deserve a president who will manage the…
1255175662488477700,Tue Apr 28 16:42:52 +0000 2020,thank you, so much, for this piece @NewYorker https://t.co/3XfYBUVXwh
1255140516435423200,Tue Apr 28 14:23:13 +0000 2020,https://t.co/xp1Qen8dQE
1255140293948485600,Tue Apr 28 14:22:20 +0000 2020,.@GaryPeters has a perfect 100% LCV score because he fights for the health and well-being of Michigan families day… https://t.co/821BGXVPIr
1254878552601788400,Mon Apr 27 21:02:16 +0000 2020,RT @LCVoters: The Trump administration is once again bailing out corporate polluters at the expense of the public. President Trump should b…
1254414993581322200,Sun Apr 26 14:20:15 +0000 2020,RT @GovRaimondo: We thank our frontline workers who are keeping Rhode Islanders safe every day. Thank you, Shepard Fairey, for creating thi…
1253390994445402000,Thu Apr 23 18:31:14 +0000 2020,RT @jakeclevine: It’s a funeral.
1253390500746363000,Thu Apr 23 18:29:16 +0000 2020,RT @Buffalogal: So I just received an actual phone call from a real person volunteering for @AOC 's office, asking if I NEEDED ANYTHING--gr…
1253388634247565300,Thu Apr 23 18:21:51 +0000 2020,RT @AllardDavid4: Maybe if I wear my mask in the house I’ll stop eating so much.
1253012420219539500,Wed Apr 22 17:26:55 +0000 2020,👏🌍👏🌎👏 https://t.co/5tIUxuDC6j
1253008217870909400,Wed Apr 22 17:10:13 +0000 2020,RT @LCVoters: Thank you @craigauster for being such a dedicated leader in our movement! We’re excited that we’re all in it together to elec…
1253005077352153000,Wed Apr 22 16:57:44 +0000 2020,During the pandemic, @realDonaldTrump has rolled back clean car standards, undermined mercury protections, &amp; refuse… https://t.co/boD79JbMyJ
1252814304740380700,Wed Apr 22 04:19:41 +0000 2020,“We must remember this travesty in November and show up to vote out this administration — for the sake of our healt… https://t.co/Ku90huThZt
1252732445620871200,Tue Apr 21 22:54:24 +0000 2020,RT @ratemyskyperoom: In hopes of improving her chances for reelection @SenJoniErnst releases her own hostage video. 0/10. https://t.co/2qIt…
1252731902819213300,Tue Apr 21 22:52:14 +0000 2020,RT @chrislhayes: We lost over 2600 of our fellow Americans today. https://t.co/SHjvM0CFPZ
1252681005544149000,Tue Apr 21 19:30:00 +0000 2020,RT @Blavity: While we are unable to give the 50th anniversary of Earth Day a proper celebration this year, the very best thing we can do fo…
1252670618769789000,Tue Apr 21 18:48:43 +0000 2020,NEW piece for @Blavity from @LCVoters Justin Kwasa -- Ahead of the 50th anniversary of the first #EarthDay, the ver… https://t.co/2DKbomqT4e
1252658320101515300,Tue Apr 21 17:59:51 +0000 2020,RT @InTheThickShow: On the next @InTheThickShow, @Maria_Hinojosa &amp; @julito77 welcome climate activists @jnoisecat of @DataProgress &amp; @jenal…
1252575125104459800,Tue Apr 21 12:29:16 +0000 2020,RT @JoeBiden: The President needs to stop blaming others and do his job.
1252350500214730800,Mon Apr 20 21:36:41 +0000 2020,RT @AriBerman: Guy who suppressed thousands of votes now planning to get thousands killed https://t.co/VjLTf2llpv
1252336114821558300,Mon Apr 20 20:39:31 +0000 2020,RT @LCVoters: As the nation continues to grapple with the ongoing Covid-19 crisis, we need strong, science centered leadership in the White…
1252291547309191200,Mon Apr 20 17:42:25 +0000 2020,RT @UniteCountryPAC: Joe Biden earned the endorsement of @LCVoters because they have “every confidence that the vice president will provide…
1252285473780904000,Mon Apr 20 17:18:17 +0000 2020,RT @Donald_McEachin: (1/2) I am energized that @LCVoters has endorsed @JoeBiden. Our planet cannot endure another four years of harmful Tru…
1252262298137301000,Mon Apr 20 15:46:12 +0000 2020,RT @eilperin: Joe Biden scores an endorsement from big-spending green group @LCVoters - via @dino_grandoni w/ @paulina_milla in the Energy…
1252262021233610800,Mon Apr 20 15:45:06 +0000 2020,RT @annenbcnews: Never forget 10 years ago, the Deepwater Horizon exploded and these 11 men died ...Jason C. Anderson, Aaron Dale Burkeen,…
1252260939052744700,Mon Apr 20 15:40:48 +0000 2020,RT @AnthonyAdragna: Big one. @JoeBiden gets endorsement from @LCVoters and teases new plans: "I want to campaign on climate change and win…
1252260780826910700,Mon Apr 20 15:40:10 +0000 2020,RT @dino_grandoni: NEW this morning:   Joe Biden officially gets the backing of a major green group, @LCVoters's campaign arm, as he tries…
1252231204276973600,Mon Apr 20 13:42:39 +0000 2020,RT @Zhirji28: NEW: The green group @LCVoters Action Fund is endorsing @JoeBiden for president https://t.co/Z87uwZ3LIF
1252208242933014500,Mon Apr 20 12:11:24 +0000 2020,RT @LCVoters: #BREAKING LCV Action Fund is kicking off #EarthDay early by endorsing @JoeBiden to be the next President of the United States…
1252207975802044400,Mon Apr 20 12:10:20 +0000 2020,RT @T_Sittenfeld: Breaking and very exciting news: @LCVoters Action Fund has just endorsed @JoeBiden to be our next president! #ActOnClimat…
1252075595065970700,Mon Apr 20 03:24:18 +0000 2020,RT @jerm_cohen: Roof Culture during Quarantine in NYC https://t.co/uO2tREheMu
1251995424774389800,Sun Apr 19 22:05:44 +0000 2020,@JessicaHuseman https://t.co/k1aUOTuIu8
1250983122738577400,Fri Apr 17 03:03:13 +0000 2020,💕💕💕 https://t.co/0rZCpW5UJM
1250982965921886200,Fri Apr 17 03:02:35 +0000 2020,@AnatoleJenkins @RyanFecteau 1) my mom definitely made that clip of obama singing let’s stay together her ringtone… https://t.co/s4No0PCBKf
1250812057542418400,Thu Apr 16 15:43:28 +0000 2020,.@LCVoters Legislative Director and former EPA children's health scientist @mtthewdavis on the news: "This is a hor… https://t.co/OrBe5wtAUX
1250811759772020700,Thu Apr 16 15:42:17 +0000 2020,Today the Trump admin is expected to weaken mercury pollution standards that protected babies from developmental de… https://t.co/CnwX89omBT
1250793375944581000,Thu Apr 16 14:29:14 +0000 2020,RT @ZachWahls: This is the future liberals want https://t.co/uDERgO1KQa
1250196709352882200,Tue Apr 14 22:58:17 +0000 2020,When will it be legal to drink on the street in DC? @MayorBowser
1250196353453613000,Tue Apr 14 22:56:52 +0000 2020,@Burgwinkle you ok?
1250134201766154200,Tue Apr 14 18:49:54 +0000 2020,.@LCVoters' @mtthewdavis: "This would have been a bad policy decision even before we were facing a pandemic that ea… https://t.co/3an0WXPjPf
1250114014107127800,Tue Apr 14 17:29:41 +0000 2020,HUGE, good news for our planet out of Virginia this week -- and cheers to the incredible team at @virginiaLCV for g… https://t.co/igVpnFU1z1
1250093365917552600,Tue Apr 14 16:07:38 +0000 2020,RT @ccorbisiero: https://t.co/pwEakNUnwy
1250092387722018800,Tue Apr 14 16:03:45 +0000 2020,RT @GinaNRDC: This administration is passing up an opportunity to make the air cleaner for millions of people. This is particularly outrage…
1250089641010696200,Tue Apr 14 15:52:50 +0000 2020,is that *hope* i feel?  https://t.co/35ZooucbuQ
1250071423915344000,Tue Apr 14 14:40:27 +0000 2020,If it's the middle of a pandemic where deaths are correlated to high air pollution levels then -- you guessed it --… https://t.co/e8mxuvsR2K
1249768615013990400,Mon Apr 13 18:37:12 +0000 2020,RT @jonfavs: On this Biden/Bernie event:   It's quite heartening to see two leaders who understand that this election, and the threat Trump…
1249768092554723300,Mon Apr 13 18:35:07 +0000 2020,RT @crookedmedia: "Undermining the institutions and experts that safeguard our communities is a common thread in Trump’s failed responses t…
1249762016845324300,Mon Apr 13 18:10:58 +0000 2020,RT @BernieSanders: We must come together to defeat the most dangerous president in modern history. I'm joining @JoeBiden's livestream with…
1249746220853190700,Mon Apr 13 17:08:12 +0000 2020,RT @timkmak: THREAD: A month ago, Trump declared a Coronvairus national emergency in a Rose Garden address.   NPR's investigations team wen…
1249729800366940200,Mon Apr 13 16:02:57 +0000 2020,RT @abaumania: .@pmaysmith and I wrote a thing about the similarities between Trump's failures on the dual crises of coronavirus and climat…
1249729781324710000,Mon Apr 13 16:02:53 +0000 2020,RT @LCVoters: President Trump has failed us, and not for the first time.     In both the pandemic and the climate crisis, the Trump admin h…
1249728889951264800,Mon Apr 13 15:59:20 +0000 2020,Trump's failures to respond to the coronavirus pandemic and the climate crisis demonstrate how deeply unfit he is t… https://t.co/LksgzglF6t
1249699507291512800,Mon Apr 13 14:02:35 +0000 2020,RT @amac: This is great news. I would love to see more road closures in DC, following Oakland's lead. https://t.co/KlTcVr7AXv
1248698920781451300,Fri Apr 10 19:46:37 +0000 2020,RT @DataProgress: New polling from @LCVoters shows that climate is the top persuasion issue this cycle. Our work also shows that persuadabl…
1248686794167799800,Fri Apr 10 18:58:25 +0000 2020,.@LCVoters board chair &amp; former EPA Admin. Carol Browner on the next stimulus: “I would look at making sure that ev… https://t.co/0kaYRNbbbp
1248668782488432600,Fri Apr 10 17:46:51 +0000 2020,.@Timothy_Cama on @dataprogress' recent poll &amp; LCV Victory Fund's new $14M ad campaign: "of all Trump's 2016 voters… https://t.co/mDqkXAT4QU
1248631985708433400,Fri Apr 10 15:20:38 +0000 2020,RT @LCVoters: LCV Victory Fund is thrilled to partner with powerhouse @prioritiesUSA Action on digital ads in FL, MI, PA &amp; WI -- where we w…
1248631729155424300,Fri Apr 10 15:19:37 +0000 2020,&amp; we're partnering with @prioritiesUSA Action on the digital programs in MI, FL, PA &amp; WI which is especially exciti… https://t.co/PolrJdyvEJ
