id,created_at,text
1260438249832661000,Wed May 13 05:14:31 +0000 2020,RT @BloombergQuint: India reported 3,525 new #Covid19 cases and 122 deaths in the last 24 hours.  Read all #CoronavirusPandemic updates: ht…
1260438057205072000,Wed May 13 05:13:45 +0000 2020,RT @BloombergQuint: India #Coronavirus cases inch closer to 75,000 mark.   Read more: https://t.co/XHVMbqzzZa https://t.co/uxigUg2Djw
1260438021658292200,Wed May 13 05:13:36 +0000 2020,RT @BloombergQuint: Maharashtra adds 1,026 new #Covid19 cases in 24 hours.   Read all #CoronavirusPandemic updates: https://t.co/XHVMbqzzZa…
1260282894632849400,Tue May 12 18:57:11 +0000 2020,RT @BloombergQuint: #PMModi outlines the five pillars that will make India #AatmanirbharBharat in the face of the #Covid19 crisis.  Read mo…
1260282862156349400,Tue May 12 18:57:03 +0000 2020,RT @BloombergQuint: #Lockdown4 will be fashioned with new rules from suggestions given by chief ministers, says #PMModi.  For more from #PM…
1260282789162877000,Tue May 12 18:56:46 +0000 2020,RT @BloombergQuint: @NileshShah68 Here’s what market experts had to say about #PMModi’s announcements. https://t.co/EiUSLE80Se
1260282768099020800,Tue May 12 18:56:41 +0000 2020,RT @BloombergQuint: Want alcohol in Maharashtra? Get yourself a token.  Catch all #CoronavirusPandemic updates: https://t.co/nCUpv3qyhC htt…
1260282425864749000,Tue May 12 18:55:19 +0000 2020,RT @Facebook: We’re launching new ways for people to support and discover small businesses, along with tools for keeping businesses informe…
1260258696560431000,Tue May 12 17:21:02 +0000 2020,RT @BloombergQuint: #PMModi urges Indians to make "local" their life mantra. Every Indian should be "#VocalForLocal" he says.  Read more fr…
1260242527908589600,Tue May 12 16:16:47 +0000 2020,RT @BloombergQuint: Prime Minister Modi announces Rs 20 lakh crore self-reliant India package. @menakadoshi and @dugalira speak to CRISIL's…
1260234772787245000,Tue May 12 15:45:58 +0000 2020,RT @BloombergQuint: A full-body sterilization booth is being tested at the Hong Kong International Airport. #CoronavirusPandemic  Read more…
1260234705216999400,Tue May 12 15:45:42 +0000 2020,RT @BloombergQuint: State leaders want more flexibility in planning #lockdown exit and classifying #Covid19 zones. #CoronavirusPandemic  Re…
1260234645133643800,Tue May 12 15:45:28 +0000 2020,RT @BloombergQuint: 41% of the respondents, to the rapid assessment survey, said that they knew they had received the cash transfer in thei…
1260234394037440500,Tue May 12 15:44:28 +0000 2020,RT @BloombergQuint: Lockdown 4.0 will have new rules that will be announced before May 18, says #PMModi.   Watch LIVE: https://t.co/Y3qUw5z…
1260234346436255700,Tue May 12 15:44:16 +0000 2020,RT @BloombergQuint: Today I’m announcing an important economic package to help India become self-reliant, says #PMModi.  Watch LIVE: https:…
1260216898337124400,Tue May 12 14:34:56 +0000 2020,RT @BloombergQuint: Prime Minister Narendra Modi addresses the nation amid coronavirus lockdown. #BQLive   Read more updates: https://t.co/…
1260186196786901000,Tue May 12 12:32:57 +0000 2020,🤯 https://t.co/H5bQoACLxp
1260185981853986800,Tue May 12 12:32:05 +0000 2020,RT @BloombergQuint: Want alcohol in Maharashtra? Get yourself a token.  Catch all #CoronavirusPandemic updates: https://t.co/nCUpv3qyhC htt…
1260122268727865300,Tue May 12 08:18:55 +0000 2020,RT @BloombergQuint: New research suggests that Vitamin D deficiency could lead to severe #coronavirus complications.  Read more: https://t.…
1260118701535195100,Tue May 12 08:04:44 +0000 2020,RT @BloombergQuint: #Covid19 impact on Piramal Enterprises' Q4 and the possible pain in coming quarters. @sajeetkm in conversation with Aja…
1260118468084371500,Tue May 12 08:03:49 +0000 2020,RT @BloombergQuint: Tamil Nadu reports nearly 800 new #Covid19 cases in the last 24 hours -- the state's biggest single day spike so far.…
1260117614405116000,Tue May 12 08:00:25 +0000 2020,RT @BloombergQuint: Supreme Court advocate @karunanundy talks about the nature of the #VizagGasLeak and its fallout. @KaushikVaidya https:/…
1260085588918587400,Tue May 12 05:53:10 +0000 2020,RT @BloombergQuint: A look at the most promising candidates for a #Covid19 vaccine. #BQBlue  Read: https://t.co/ffyRWIcVzc https://t.co/JLK…
1260066781705584600,Tue May 12 04:38:26 +0000 2020,RT @BloombergQuint: India #Coronavirus cases top 70,000 mark, over 22,000 people have recovered from the virus.  Read more: https://t.co/Wl…
1259017526677127200,Sat May 09 07:09:04 +0000 2020,RT @waglenikhil: Front page of today’s ⁦@MumbaiMirror⁩ https://t.co/3ZYxShYJTF
1258619719197786000,Fri May 08 04:48:19 +0000 2020,RT @BloombergQuint: Join @devinamehra and @1shankarsharma live on Twitter, as they talk about navigating through the current economic and b…
1258619607939723300,Fri May 08 04:47:53 +0000 2020,RT @BloombergQuint: 🌕 Did you catch the last #supermoon of 2020, aka the “flower moon?”  From North America to Europe, here’s a look at the…
1258464805226250200,Thu May 07 18:32:45 +0000 2020,RT @BloombergQuint: 🎶 Arkansas is hosting one of the first #SocialDistancing concerts in the U.S.  Here’s what @bishopgunnmusic member Trav…
1258464753183330300,Thu May 07 18:32:32 +0000 2020,RT @BloombergQuint: Gas leak at #LGPolymers’ Vizag plant kills eight, over 200 hospitalised.  #VizagGasLeak  Read: https://t.co/wJsnCqvc6k…
1258464163480952800,Thu May 07 18:30:12 +0000 2020,RT @BloombergQuint: Social account hacked? Identify theft? House burgled? Sexual harassment?   We talk to criminal law experts to understan…
1258463155728060400,Thu May 07 18:26:12 +0000 2020,RT @BloombergQuint: Places of residence remained the sole category which saw an uptick in movement.  States like Kerala, Maharashtra, Tamil…
1258462961242443800,Thu May 07 18:25:25 +0000 2020,RT @BloombergQuint: Join @devinamehra and @1shankarsharma live on Twitter, as they talk about navigating through the current economic and b…
1258461996837752800,Thu May 07 18:21:35 +0000 2020,RT @BloombergQuint: Hundreds of people around the world are rolling up their sleeves to be injected with experimental vaccines that might s…
1258460762521112600,Thu May 07 18:16:41 +0000 2020,@Twitter The moment that is yet to come is about to pass by...
1258323538185986000,Thu May 07 09:11:24 +0000 2020,RT @BloombergQuint: Another symptom of the #coronavirus: Covid toe.  #Covid19 could cause blood clots that may result in swift, sometimes f…
1258086609586659300,Wed May 06 17:29:56 +0000 2020,Due to lack of room in his house Ishwar Lal Rawat quarantines himself on a neem tree! Says he'll follow all governm… https://t.co/9ZKY997trs
1257948016817758200,Wed May 06 08:19:13 +0000 2020,RT @BloombergQuint: Put money in the hands of the bottom 60% of the population to revive demand, #AbhijitBanerjee tells Rahul Gandhi. #Coro…
1257901006274379800,Wed May 06 05:12:25 +0000 2020,RT @TwitterSupport: When things get heated, you may say things you don't mean. To let you rethink a reply, we’re running a limited experime…
1256204868836040700,Fri May 01 12:52:34 +0000 2020,RT @BloombergQuint: Uttar Pradesh reports the highest number of #Covid19 red zones at 19, followed by Maharashtra at 14.  Catch all #Corona…
1255872936893837300,Thu Apr 30 14:53:35 +0000 2020,RT @BloombergQuint: Here are states with more than 100 #coronavirus recoveries in the country.  Read all #CoronavirusPandemic updates: http…
1255872919747453000,Thu Apr 30 14:53:31 +0000 2020,RT @BloombergQuint: States with the highest reported #Covid19 deaths in India.  For all #coronavirusindia updates: https://t.co/zzGQoZ0lGi…
1255872900545958000,Thu Apr 30 14:53:27 +0000 2020,RT @BloombergQuint: States that added more than 50 new cases of coronavirus in the last 24 hours.  Track all #CoronavirusPandemic updates:…
