id,created_at,text
1259772115152244700,Mon May 11 09:07:32 +0000 2020,@inzaynist @rexhaftjohn goodbye to the one that i once knew
1259771853406642200,Mon May 11 09:06:29 +0000 2020,@Naji_Ishag 😂😂😂
1259771079414988800,Mon May 11 09:03:25 +0000 2020,@rexhaftjohn definitely night
1259770569362477000,Mon May 11 09:01:23 +0000 2020,anyway, goodnight xo https://t.co/J3p3NZsVPJ
1259769664751775700,Mon May 11 08:57:48 +0000 2020,also i’m trying to figure out the new twitter update and the way replies are organized under the tweet and it’s not ~clicking~ for me
1259769448325615600,Mon May 11 08:56:56 +0000 2020,@JoofHoward hahahahaha 😂😂😂💀
1259768958296772600,Mon May 11 08:54:59 +0000 2020,@wtsamel @rexhaftjohn 😂😂😂💀
1259768491013484500,Mon May 11 08:53:08 +0000 2020,like i’m trying to unDERSTAND
1259768451784114200,Mon May 11 08:52:58 +0000 2020,why are translated tweets always like:   i felt it when moons kept within me
1259767996354039800,Mon May 11 08:51:10 +0000 2020,@rexhaftjohn https://t.co/O9qstCbHn2
1259767754346975200,Mon May 11 08:50:12 +0000 2020,👁👄👁
1259767093001621500,Mon May 11 08:47:34 +0000 2020,@rexhaftjohn my sleep schedule is ~ruined~ 🦦
1259766694890934300,Mon May 11 08:46:00 +0000 2020,ok but like
1259599137974124500,Sun May 10 21:40:11 +0000 2020,@wtfaouzia hola como estas
1259597405336612900,Sun May 10 21:33:18 +0000 2020,🤷🏽‍♀️ https://t.co/RZtaPecylh
1259594127043375000,Sun May 10 21:20:16 +0000 2020,@uiwleigh doing well sweetheart! how are u! ♥️
1259588433808371700,Sun May 10 20:57:39 +0000 2020,secrets but slowed down 🦥 https://t.co/XgEjuSnAJQ
1259582383172567000,Sun May 10 20:33:36 +0000 2020,RT @HITRADIOMA: +10M de vues sur YouTube pour le hit "You Don’t Even Know Me" de @faouzia 🎶🔝 https://t.co/9nJbXoVOFa
1259581991676268500,Sun May 10 20:32:03 +0000 2020,happy mother’s day to all the strong, hard-working, beautiful, and caring mamas out there! we love you so much 🤍
1259391270411255800,Sun May 10 07:54:11 +0000 2020,@sydnieavery you’re a literal fairy
1259350978081575000,Sun May 10 05:14:05 +0000 2020,@sydnieavery syd 🥺♥️
1259312351054094300,Sun May 10 02:40:36 +0000 2020,@AssiaMohadi maybe 💁🏽‍♀️
1259311784760148000,Sun May 10 02:38:21 +0000 2020,to everyone watching my live today, i indeed did crack my phone 😂💀
1259298476514558000,Sun May 10 01:45:28 +0000 2020,@wtfaouzia 😂😂😂
1259271044898132000,Sat May 09 23:56:27 +0000 2020,@sozpal means the world coming from u 🤍
1259214134853488600,Sat May 09 20:10:19 +0000 2020,@myazwe thank u 🥺
1259213751989031000,Sat May 09 20:08:48 +0000 2020,Y’ALL ARE SHOWING SECRETS SO MUCH LOVE. KEEP STREAMING!!!!! 🥺🤍 https://t.co/12oLIHCdkX https://t.co/YL82EdczQU
1259210463348502500,Sat May 09 19:55:44 +0000 2020,cheesin because “you don’t even know me” hit 10M views on Youtube :’) 🤍 https://t.co/jE14TXb0c4
1259189707935830000,Sat May 09 18:33:15 +0000 2020,RT @FaouziaCharts: .@faouzia's "You Don't Even Know Me" has now surpassed 10 million views on YouTube.  – It's her 1st music video to achie…
1259179059571032000,Sat May 09 17:50:56 +0000 2020,AHHH @Spotify added Secrets to their Summer Hits playlist 💀 https://t.co/EAulx8PUO2 https://t.co/LRU2HgN3Tp
1259028138576806000,Sat May 09 07:51:14 +0000 2020,RT @soulmadi: we did it @faouzia queen 🥺😭😭😭 https://t.co/L0fV3lD78V
1259028083497144300,Sat May 09 07:51:01 +0000 2020,@wtfaouzia i love you guys more 💕
1259027351452647400,Sat May 09 07:48:06 +0000 2020,RT @AssiaMohadi: "You Don't Even Know Me" music video is finally reached 10 MILLION VIEWS 🥳🎉 , CONGRATS NJSJSHSBS🥳🎉🥺 IM CRYING RN WE LOVE Y…
1259027342724411400,Sat May 09 07:48:04 +0000 2020,RT @wtfaouzia: CONGRATS ON 10 MILLION STREAMS ON #YDEKM @faouzia ✨✨✨✨✨✨✨  You deserve this so much 🤎🤟🏾 https://t.co/hIzqLUfF1X
1258981621660897300,Sat May 09 04:46:24 +0000 2020,i have never tried bubble tea, is it good?
1258974649985179600,Sat May 09 04:18:41 +0000 2020,WE’RE ALMOST THERE https://t.co/pagpP2Sh2V
1258964459822997500,Sat May 09 03:38:12 +0000 2020,RT @soulmadi: 𝐲𝐨𝐮 𝐤𝐧𝐨𝐰 𝐲𝐨𝐮 𝐜𝐚𝐧 𝐭𝐚𝐥𝐤 𝐭𝐨 𝐦𝐞  - 𝐬𝐞𝐜𝐫𝐞𝐭𝐬
1258886035427266600,Fri May 08 22:26:34 +0000 2020,WHO IS STILL STREAMING SECRETS
1258874566996381700,Fri May 08 21:41:00 +0000 2020,the sun is out today :’)))
1258853557454823400,Fri May 08 20:17:31 +0000 2020,RT @FaouziaCharts: .@faouzia's streams globally (YouTube + Spotify)  YouTube – 94,037,514 Spotify – 93,152,792  Total – 187,190,306 streams…
1258476712230297600,Thu May 07 19:20:04 +0000 2020,@sozpal it looks cute tho
1258476708057014300,Thu May 07 19:20:03 +0000 2020,that’s the moral of the story... @ashemusic https://t.co/fU4F3jNERw
1258252732546404400,Thu May 07 04:30:03 +0000 2020,BLAST IT 😆 https://t.co/vnito68dwN
1258252687033995300,Thu May 07 04:29:52 +0000 2020,RT @mattxkerr: about to break my tv speakers🥰🥺@faouzia i love u https://t.co/x6j2q1OnOu
1258248820032516000,Thu May 07 04:14:30 +0000 2020,@iilovenyroz 💕🙌🏽
1258248732103098400,Thu May 07 04:14:09 +0000 2020,@HollySpath this is so cute
1258248706647830500,Thu May 07 04:14:03 +0000 2020,@lwtfaouzia YES
1258248598715879400,Thu May 07 04:13:37 +0000 2020,@AssiaMohadi 😂♥️
1258248302937718800,Thu May 07 04:12:27 +0000 2020,@sarahmaudeb_ 🥺♥️
1258247629965791200,Thu May 07 04:09:46 +0000 2020,i was born to be a queen https://t.co/S93XNdZW1H
1258226998880632800,Thu May 07 02:47:47 +0000 2020,RT @FaouziaCharts: .@faouzia's "Secrets" has now surpassed 400,000 streams globally (Spotify + YouTube)  https://t.co/EdUSwntlPN
1258166420392861700,Wed May 06 22:47:04 +0000 2020,RT @wtfaouzia: 😞🐣 https://t.co/wR1mbaBvH8
1258131364123160600,Wed May 06 20:27:46 +0000 2020,@YOUSEF_ABOSREWA ♥️
1258130990549131300,Wed May 06 20:26:17 +0000 2020,RT @leighsromance: im so glad i discovered @faouzia she's so incredibly talented and keeps bringing out banger after banger. Her voice is s…
1258080079604834300,Wed May 06 17:03:59 +0000 2020,thank u @amazonmusic for the love 💗 https://t.co/Nv4SADIUa1 https://t.co/KkPic26kYf
1257884501612671000,Wed May 06 04:06:50 +0000 2020,i hear angels calling out my name  they say that everything is gonna be okay
1257821374317543400,Tue May 05 23:55:59 +0000 2020,@faouxia i rly hope you don’t get in trouble 😂♥️ hahahaha
1257810441901871000,Tue May 05 23:12:32 +0000 2020,@faouxia omg 🥺♥️
1257769830020722700,Tue May 05 20:31:10 +0000 2020,SURPRISE!! i covered one of my favourite songs for @Deezer 🖤 https://t.co/HzMqMf59bS https://t.co/BWwRGnxcjZ
1257762267568930800,Tue May 05 20:01:07 +0000 2020,Secrets is on @AppleMusic's Breaking Pop playlist 🥳🥳 https://t.co/A8BbdD0oZF https://t.co/PxeRPHqrJ8
1257716857877991400,Tue May 05 17:00:40 +0000 2020,thank u @Spotify for adding Secrets to your TGIF playlist 💚💚💚 https://t.co/HvqU2jBhjh https://t.co/KzZxj1OeYA
1257593487656210400,Tue May 05 08:50:27 +0000 2020,RT @FaouziaAccess: 🧚‍♀️ @faouzia's on the cover of @Spotify's Pop All Day playlist 💚 https://t.co/clR6rzHywR https://t.co/AFyoxjnm5A
1257453144726016000,Mon May 04 23:32:46 +0000 2020,RT @faouxia: ⬇️ GET YDEKM TO 10,000,000 ⬇️ https://t.co/c1QLD28Ug1 https://t.co/LO5DlVyPkI
1257399678070644700,Mon May 04 20:00:19 +0000 2020,i'm on the cover of @Deezer's Jadid la semaine playlist 🖤 thank you @DeezerFR https://t.co/USnuOTdAew https://t.co/qrnZo9yOH1
1257366595829104600,Mon May 04 17:48:51 +0000 2020,@faouxia omg!!! this photo brought back so many memories!! :)
1257359335535018000,Mon May 04 17:20:00 +0000 2020,have an amazing day, angels 🤍
1257184601849675800,Mon May 04 05:45:41 +0000 2020,you know you can talk to me
1257059669060784000,Sun May 03 21:29:14 +0000 2020,RT @Jazminwhitley: I CRY TEARS OF GOLD 4 U https://t.co/ORPNYILGEP
1256836978160676900,Sun May 03 06:44:21 +0000 2020,RT @ElvisDuranShow: .@faouzia has the most amazing voice we may have ever heard! 🌟  Watch now on https://t.co/IbwCBIlbOn for a replay of ou…
1256726978931064800,Sat May 02 23:27:15 +0000 2020,https://t.co/clxXFxbkTm
1256417468639178800,Sat May 02 02:57:22 +0000 2020,this is so funny i can’t 😂💀 https://t.co/EV1SaSKXm6
1256399855422967800,Sat May 02 01:47:22 +0000 2020,RT @FaouziaCharts: Countries in which "Secrets" has charted on iTunes (so far):  • Canada 🇨🇦 • Spain 🇪🇸 • Chile 🇨🇱 • Indonesia 🇮🇩 • Czech R…
1256386447290118100,Sat May 02 00:54:06 +0000 2020,RT @mattxkerr: i love u🥺🤍@faouzia https://t.co/z6XXcOOrgN
1256379634096263200,Sat May 02 00:27:01 +0000 2020,she’s so stunning 🥺😍 already using the secrets sound on tiktok!! xx :’) https://t.co/qJWgQzvcaW
1256341173905604600,Fri May 01 21:54:12 +0000 2020,thank u for the love @AppleMusic 🌫 listen to Secrets on the New in Pop playlist 🏹 https://t.co/x1TQoMzWTm https://t.co/jDdMS3Oo2i
1256339026052694000,Fri May 01 21:45:40 +0000 2020,@lwtfaouzia this picture 😂😂😂
1256338782074187800,Fri May 01 21:44:41 +0000 2020,RT @AssiaMohadi: anime @faouzia 🥺🤍😍 wow https://t.co/L8HWHwjQGo
1256336932323254300,Fri May 01 21:37:20 +0000 2020,i'm on the cover of @SpotifyCanada's Pop All Day playlist 😱😱😱 https://t.co/9DbqTV2Rwo https://t.co/BP388OnbZb
1256334518941696000,Fri May 01 21:27:45 +0000 2020,@particularIive 👀
1256334368160641000,Fri May 01 21:27:09 +0000 2020,@faouxia they’re so CUTE 🥺🥺🥺
1256334328595792000,Fri May 01 21:27:00 +0000 2020,stream secrets https://t.co/zqavTTha5p
1256327376968970200,Fri May 01 20:59:22 +0000 2020,RT @eleonoratbh: i've been streaming @faouzia for literally an hour straight, just found you and i'm SO GLAD I DID, THANK YOU FOR BLESSING…
1256313791974969300,Fri May 01 20:05:23 +0000 2020,@lwtfaouzia i’m good and u 🤍
1256313619106562000,Fri May 01 20:04:42 +0000 2020,@HollySpath im so happy u love it 💙
1256308037012381700,Fri May 01 19:42:31 +0000 2020,if you’ve streamed secrets reply “i” and go stream it again :p https://t.co/pb7XirHkWK
1256098050558345200,Fri May 01 05:48:07 +0000 2020,RT @somduner: stream SECRETS by FAOUZIA YA
1256097793577541600,Fri May 01 05:47:05 +0000 2020,@ilysm_faouzia :’) ♥️
1256097453348135000,Fri May 01 05:45:44 +0000 2020,RT @lonelyeyescv: @faouzia SECRETS IS SO GOOD I LOVE IT SM https://t.co/Usaq3OslvM
1256097444217204700,Fri May 01 05:45:42 +0000 2020,RT @SimratBrar14: OH MY GOD! I AM SO OBSESSED WITH SECRETS BY @faouzia. IT IS SO GOOD!
