id,created_at,text
1062017008315830300,Mon Nov 12 16:19:20 +0000 2018,After the Show Show: @jrodfromoz explains what inspired his song, “Old Glory” https://t.co/tVHHvk9kaZ
1062003839442841600,Mon Nov 12 15:27:01 +0000 2018,.@jrodfromoz performs his patriotic new song, “Old Glory” LIVE on FOX &amp; Friends https://t.co/97kJemtZsV
1061963238538203100,Mon Nov 12 12:45:41 +0000 2018,“Her whole life revolves around being that person in charge – she needs it” -@dbongino doesn’t discount the idea th… https://t.co/GolYkUhdlx
1061614045348982800,Sun Nov 11 13:38:06 +0000 2018,French President Macron appears to take a swipe at President Trump’s ‘America first’ approach, saying “nationalism… https://t.co/YUKUihHQcI
1061609320557744100,Sun Nov 11 13:19:20 +0000 2018,RT @OmahaSteaks: The moment we shared this wonderful gift with Scott West @foxandfriends #betterwithfriends  #nyc https://t.co/SznXDylwF4
1061602403877863400,Sun Nov 11 12:51:51 +0000 2018,RT @danielhoffmanDC: Catch me and my family cooking our favorite spicy Thai dish and fruit smoothie on @foxandfriends at 08:50am!
1061601570952003600,Sun Nov 11 12:48:32 +0000 2018,“It’s a shame, it shouldn’t be happening” -@BlakemanB weighs in on the Florida recount of the Senate &amp; gubernatoria… https://t.co/BQVhcOwZzU
1061599355386388500,Sun Nov 11 12:39:44 +0000 2018,RT @OmahaSteaks: In case you missed it - #VeteransDay2018 #betterwithfriends @foxandfriends #omahasteaks https://t.co/nWzr4FVmxl
1061580399879639000,Sun Nov 11 11:24:25 +0000 2018,World leaders gather in Paris a century after WWI armistice https://t.co/JNjOVu3TE6
1061575242395643900,Sun Nov 11 11:03:55 +0000 2018,Coming up…! @BlakemanB @UrbanCURE @danielhoffmanDC @Tim_Canova @davidwebbshow @SebGorka @David_Bossie  @nedryun… https://t.co/dgfRj7S5qq
1061574293904154600,Sun Nov 11 11:00:09 +0000 2018,Florida woman and son drift miles away from shore on inflatable swan: 'This could have ended so much worse’ https://t.co/mA6PGxYnHV
1061573018684661800,Sun Nov 11 10:55:05 +0000 2018,California wildfire ‘destruction is catastrophic,’ Trump says, urges people to evacuate https://t.co/BjzhtMy5Y4
1061571754106204200,Sun Nov 11 10:50:03 +0000 2018,Massachusetts mayor takes dog dying of cancer on cross-country road trip https://t.co/vk0rLcetqa
1061569234407428100,Sun Nov 11 10:40:03 +0000 2018,Sinema continues to lead McSally in Arizona Senate race as vote tally grinds on https://t.co/JDwnwZK2Rh
1061566750096048100,Sun Nov 11 10:30:10 +0000 2018,White House announces 7 Presidential Medal of Freedom recipients, among them Elvis, Babe Ruth and Justice Scalia https://t.co/P0zzQFpWB1
1061565462155280400,Sun Nov 11 10:25:03 +0000 2018,‘Global SuperTanker’ deployed to fight California fires https://t.co/afoKGINqqt
1061564207555141600,Sun Nov 11 10:20:04 +0000 2018,Vice President Mike Pence: Veterans Day – Veterans have no better friend than President Trump https://t.co/keb2W0KYtY
1061564207546671100,Sun Nov 11 10:20:04 +0000 2018,California's Rohrabacher not conceding despite media's call of Democrat victory https://t.co/TWmNuRqL7f
1061561698132389900,Sun Nov 11 10:10:06 +0000 2018,Veterans Day honor for retired Air Force colonel, 81, a former POW at 'Hanoi Hilton' in Vietnam https://t.co/CMC3MsgQJX
1061559191725359100,Sun Nov 11 10:00:08 +0000 2018,Illegal immigrant killed 3 after 'sanctuary' release from custody, ICE says https://t.co/aE7f58ivuC
1061556388370042900,Sun Nov 11 09:49:00 +0000 2018,Florida's secretary of state orders recounts in Senate, gubernatorial races; Trump 'watching closely' https://t.co/NwqqWSCFfR
1061307038561644500,Sat Nov 10 17:18:10 +0000 2018,RT @ToddPiro: It may only be November 10, but we are already in the #Christmas spirit!   @foxandfriends and @bassproshops and #SANTA!!!  ht…
1061296536502632400,Sat Nov 10 16:36:26 +0000 2018,.@MorganOrtagus: What got to President Trump about Macron’s statement was how he lumped the United States in with C… https://t.co/rEhYzeVqZ5
1061283590779084800,Sat Nov 10 15:45:00 +0000 2018,.@JDVance1: It’s bad for our politics and the Democratic Party that they keep obsessing over what’s wrong with midd… https://t.co/vIjhNADLwP
1061280633824182300,Sat Nov 10 15:33:15 +0000 2018,.@JDVance1: Republicans are attracting rural voters and making it clear that they want to be the party of the forgo… https://t.co/JMAcTBKJHJ
1061274397389082600,Sat Nov 10 15:08:28 +0000 2018,.@rickreichmuth tracks the deadly Northern California wildfire that has already claimed at least nine lives https://t.co/9uU0d1QM0o
1061268605382336500,Sat Nov 10 14:45:27 +0000 2018,.@SecWilkie: VA has to work for veterans because veterans exist to remind their fellow citizens why they sleep soun… https://t.co/GSvuLYwUyq
1061265974622593000,Sat Nov 10 14:35:00 +0000 2018,A new poll shows that more than half of Democrats don’t want Nancy Pelosi to be House Speaker https://t.co/WzkyRN1Eqg
1061264010698473500,Sat Nov 10 14:27:12 +0000 2018,ICE slams a sanctuary county in New Jersey for releasing an illegal immigrant who is now charged with a triple homi… https://t.co/bYEeFQAkUX
1061259866285719600,Sat Nov 10 14:10:44 +0000 2018,.@lukerosiak: A Democrat lawyer tied to past election scandals is now involved in the Florida recount https://t.co/j0XTqFn10N
1061255908464959500,Sat Nov 10 13:55:00 +0000 2018,.@kelseyjharkness: Journalists that report on the President from the White House are there to ask questions, not ma… https://t.co/KPCiQlgZzX
1061253392054526000,Sat Nov 10 13:45:00 +0000 2018,Rick Scott and Bill Nelson make their case about what should happen as Broward County recounts ballots https://t.co/s6SSj7Dtfg
1061251217865822200,Sat Nov 10 13:36:22 +0000 2018,Brenda Snipes, the Broward County Supervisor of Elections, dodges questions about the updated votes https://t.co/pRNYuYXBDG
1061248986617651200,Sat Nov 10 13:27:30 +0000 2018,The gunman accused of opening fire at a California bar was reportedly posting to social media before and during the… https://t.co/DIYmd6elaL
1061246803067240400,Sat Nov 10 13:18:49 +0000 2018,Happy 243rd birthday @USMC! Today we celebrate those who protect American rights and freedom. https://t.co/dobE1kuC5u
1061240677114224600,Sat Nov 10 12:54:28 +0000 2018,FOX NEWS ALERT: President Trump sits down with French President Macron https://t.co/6AldbDHU6O
1061234956905709600,Sat Nov 10 12:31:45 +0000 2018,“They are trying to steal this election, it’s not going to work” –Sen. Lindsey Graham calls ballot recounts a tacti… https://t.co/AfwX3Hs7QJ
1061232165529272300,Sat Nov 10 12:20:39 +0000 2018,RT @ToddPiro: HERE.  COMES.  SANTA.  @foxandfriends #HERE #COMES  #SANTA https://t.co/l9XMWHoEq9
1061231746644131800,Sat Nov 10 12:18:59 +0000 2018,FOX NEWS ALERT: Death toll rises as the most destructive wildfire in California’s history incinerates an entire tow… https://t.co/Ze0NCToF39
1061229030010245100,Sat Nov 10 12:08:12 +0000 2018,The Broward County election official at the center of the ballot recount has a history of controversies https://t.co/rCn7J2yaZL
1061225872903102500,Sat Nov 10 11:55:39 +0000 2018,“There is a lot of dishonesty” –President Trump calls the ballot recount in Florida “a disgrace” https://t.co/BP87h36D0D
1061224636715880400,Sat Nov 10 11:50:44 +0000 2018,FOX NEWS ALERT: As the deadline looms to turn in the final vote tally in Florida there are new questions about what… https://t.co/NgHx3bFF64
1061223575871520800,Sat Nov 10 11:46:31 +0000 2018,RT @edhenry: Happy Birthday 🎉🎈🎂 #MarineCorps #SemperFi @foxandfriends next https://t.co/Ih0EAgOGdw
1061218415627694100,Sat Nov 10 11:26:01 +0000 2018,Happy Saturday! Start your morning with us - we have a lot to talk about. https://t.co/FMGdpWTNEq
1061217433434906600,Sat Nov 10 11:22:07 +0000 2018,RT @ToddPiro: Good morning @foxandfriends.  I don’t want to totally give away what my assignment is this morning, but..... https://t.co/1Q6…
1061214369793613800,Sat Nov 10 11:09:56 +0000 2018,RT @kelseyjharkness: JOIN US! I’ll be talking about the president’s tense week with the press and why the media *also* holds responsibility…
1061211909452689400,Sat Nov 10 11:00:10 +0000 2018,California bar shooter posted to social media while inside Borderline Bar &amp; Grill, cops say https://t.co/1P1mcMTfbe
1061209368455196700,Sat Nov 10 10:50:04 +0000 2018,Jeff Flake reportedly considering 2020 Trump challenge: 'Somebody needs to run on the Republican side' https://t.co/cQjtnvw6AF
1061208093189685200,Sat Nov 10 10:45:00 +0000 2018,Coming up..! @dougmckelway @lukerosiak  @JennaBrowder @kelseyjharkness  @Tim_Canova @JDVance1 @ElectionLawCtr… https://t.co/qluOsPAhsM
1061206849725325300,Sat Nov 10 10:40:03 +0000 2018,149 passengers evacuate plane seized by French authorities because of airline's overdue bill https://t.co/JZhD6IJCXW
1061204368614191100,Sat Nov 10 10:30:12 +0000 2018,Trump rips Macron after landing in France over ‘insulting’ call for European army https://t.co/q5Fu6gLrG4
1061201817319718900,Sat Nov 10 10:20:04 +0000 2018,Trump tweets defense of Whitaker appointment from Paris https://t.co/iFR75o8bpW
1061199410095366100,Sat Nov 10 10:10:30 +0000 2018,Alicia Silverstone claims her son has 'never had to take medicine' because he's vegan https://t.co/hgAg8m08N6
1061194266024779800,Sat Nov 10 09:50:03 +0000 2018,Arizona Senate vote count settlement reached; counties given extension to cure ballots https://t.co/7Bkxu6txqj
1061191756098793500,Sat Nov 10 09:40:05 +0000 2018,Democrat governor mulling 2020 presidential run grants clemency to criminals https://t.co/JnfLUgGotx
1061189234814607400,Sat Nov 10 09:30:04 +0000 2018,Pacific Gas &amp; Electric says it will aid wildfire investigators after power-line problem near origin of deadly blaze https://t.co/pJ1zRJYbbE
1061030749787357200,Fri Nov 09 23:00:18 +0000 2018,Veteran business spotlight: G-FORCE Parking Lot Striping #VeteransDay https://t.co/Dy3xHCusJ4
1061025681994403800,Fri Nov 09 22:40:10 +0000 2018,Vogue targets white Republican women voters after midterms | @HeyTammyBruce https://t.co/XKyCL8CnUP
1061020633994313700,Fri Nov 09 22:20:06 +0000 2018,Man sues to lower age by 20 years on birth certificate | @PlanetTyrus @BrittMcHenry https://t.co/hc1KPKE7Z0
1061015638251094000,Fri Nov 09 22:00:15 +0000 2018,Op-ed: Democrats hold the House, but not the power | @BryanDeanWright https://t.co/WzhylkOdnI
1061010579945599000,Fri Nov 09 21:40:09 +0000 2018,Republican Ohio Governor-elect @MikeDeWine talks the state of politics https://t.co/OHy6fNUAou
1061005546768207900,Fri Nov 09 21:20:09 +0000 2018,.@ChoiceHotels donates 2,000 rooms to @Op_Homefront https://t.co/GvacGDbdMb
1061000542405775400,Fri Nov 09 21:00:16 +0000 2018,FDA approves powerful new opioid for wounded soldiers | @NBSaphierMD https://t.co/xaXjwXmItb
1060981787399200800,Fri Nov 09 19:45:44 +0000 2018,Hey, Massachusetts friends - you can meet @kilmeade this Saturday! To buy a ticket or find more tour dates, click h… https://t.co/xGKlM5BWFz
1060980969165983700,Fri Nov 09 19:42:29 +0000 2018,Today is the last day to enter the #DiningwithDoocy Sweepstakes! Sign up here: https://t.co/DdpLXCfm1B https://t.co/IwLdwFhsYV
1060949891571101700,Fri Nov 09 17:39:00 +0000 2018,This 98-year-old Army nurse is the first female veteran named to the VA Wall of Heroes in Washington state! https://t.co/OuS8xj9vJU
1060947381045231600,Fri Nov 09 17:29:01 +0000 2018,Supreme Court Justice Ruth Bader Ginsburg is “up and working” after being hospitalized https://t.co/jEJCW6dOUP
1060944858821677000,Fri Nov 09 17:19:00 +0000 2018,Ohio governor-elect @MikeDeWine discusses the top issues he hopes to tackle in office https://t.co/Cs5Mm8rBGI
1060942342029561900,Fri Nov 09 17:09:00 +0000 2018,First responders who died from September 11th-related illnesses can now receive the Medal of Valor https://t.co/BcP8OCl6qo
1060939825228836900,Fri Nov 09 16:59:00 +0000 2018,“Voting is one of the most sacred things that we do as citizens. And the idea that there is no objective review by… https://t.co/TRMjXWXJE9
1060934792202588200,Fri Nov 09 16:39:00 +0000 2018,.@JudgeJeanine reacts to 18 state attorneys general demanding Whitaker recuse himself from the Mueller probe… https://t.co/Yv7FbJzrSb
1060932276043825200,Fri Nov 09 16:29:00 +0000 2018,“IT’S MISOGYNY”: @HeyTammyBruce slams Vogue article that criticizes white women for voting Republican https://t.co/o0gdIZ5Z2z
1060932275641057300,Fri Nov 09 16:29:00 +0000 2018,.@GeraldoRivera: With the Democrats taking control of the House, we’ll be bombarded with investigations and subpoen… https://t.co/J1JRd3AI4Z
1060929759029260300,Fri Nov 09 16:19:00 +0000 2018,.@GeraldoRivera: You have to weed out all subjective input when counting ballots. Worse than hacking, our election… https://t.co/oGATeYQz4f
1060927242379751400,Fri Nov 09 16:09:00 +0000 2018,“Who needs Russian collusion when you have old school Democratic Party machinery?” -@GeraldoRivera on Florida races… https://t.co/ycpGzckKWL
1060924725885579300,Fri Nov 09 15:59:00 +0000 2018,.@BrittMcHenry and @PlanetTyrus talk their @foxnation series “UN-PC” #betterwithfriends #FoxNationFounder https://t.co/OYcBrSnl2W
1060922209559109600,Fri Nov 09 15:49:00 +0000 2018,A 69-year-old man is suing to change his age on his birth certificate -- @PlanetTyrus and @BrittMcHenry weigh in https://t.co/9sjvUvxlMa
1060919692582240300,Fri Nov 09 15:39:00 +0000 2018,.@michaeljknowles: President Trump is keeping his base engaged, and that’s why the ‘blue wave’ did not happen https://t.co/JU9aFN6kPL
1060917181829931000,Fri Nov 09 15:29:01 +0000 2018,“Can’t we find one Democrat in this country who’s willing to concede a race?” -@michaeljknowles reacts to Florida r… https://t.co/k9vTeHI5n7
1060914839932059600,Fri Nov 09 15:19:43 +0000 2018,.@BryanDeanWright: Democrats can have the House all day long, but the real power is in the Senate – which Dems lost https://t.co/g5q65HoXzl
1060904844733558800,Fri Nov 09 14:40:00 +0000 2018,MUST-WATCH VIDEO: New Jersey police save a man from a burning car moments before flames fully engulfed the vehicle https://t.co/1L2y7M6Otg
