id,created_at,text
1239948743564120000,Tue Mar 17 16:16:32 +0000 2020,@basquiatball @steventurous I avoided it because it was the mean of all other Wayne Shorter albums? (or median? who fucking knows)
1239942944037023700,Tue Mar 17 15:53:29 +0000 2020,@dronecoma What's the order here
1239940421767192600,Tue Mar 17 15:43:28 +0000 2020,Good morning, or something. https://t.co/JLRA5GZcp3
1239837468087574500,Tue Mar 17 08:54:22 +0000 2020,@basquiatball @steventurous Weird, it was the last major one I heard.
1239824573354217500,Tue Mar 17 08:03:07 +0000 2020,"One of these days these days will end" is still my favorite David Berman line.
1239775749768269800,Tue Mar 17 04:49:07 +0000 2020,Actually, just putting this on repeat until this whole mess is over. https://t.co/IqzRXeRCSb
1239772748966023200,Tue Mar 17 04:37:11 +0000 2020,Got it into my head that this is making (relatively) young people live like very elderly people and it’s really disturbing me.
1239740891889168400,Tue Mar 17 02:30:36 +0000 2020,@rjcc I got my tweet wrong and deleted it
1239613766313988000,Mon Mar 16 18:05:27 +0000 2020,@alyssakeiko I owe you guys.
1239612691397759000,Mon Mar 16 18:01:11 +0000 2020,Philly needle exchange that does a lot more than that. Please consider. https://t.co/JjbmD48IlS
1239611286662418400,Mon Mar 16 17:55:36 +0000 2020,RT @alyssakeiko: Hey Philly Prevention Point needs support and has made a wishlist you can buy from to send directly to them https://t.co/b…
1239609338559230000,Mon Mar 16 17:47:51 +0000 2020,Is Liam talking about things in general or is his house just "confusing and scary" all the time? https://t.co/dJR00dsuPF
1239594432271233000,Mon Mar 16 16:48:37 +0000 2020,They will make such asinine commercials together! https://t.co/nR4RzgI1RK
1239591525949948000,Mon Mar 16 16:37:04 +0000 2020,(I've also been listening to Hitler Wears Hermes 7 a bunch but nobody needs that right now)
1239588291105570800,Mon Mar 16 16:24:13 +0000 2020,@nickadamsweb It's been very hard for me to accept that ball handling isn't just a lost art in today's NBA... it's… https://t.co/Pepue2rKnY
1239586340691296300,Mon Mar 16 16:16:28 +0000 2020,Still listening to music. https://t.co/Kz1dDMyLqC
1239579793898631200,Mon Mar 16 15:50:27 +0000 2020,@kevinlipe_ sort of related: a long time ago I was working on a piece called "The Wrecking Jews." I talked to Hal B… https://t.co/k2g0GJtn6d
1239578803602477000,Mon Mar 16 15:46:31 +0000 2020,@coreypein How does that even work? What's the title, then?
1239576307626684400,Mon Mar 16 15:36:36 +0000 2020,lol no, they're suspending drug test because everyone is going to be high all the time. https://t.co/B1O2QPaWFH
1239574431346786300,Mon Mar 16 15:29:09 +0000 2020,Not sure who needs to hear this but... Forever Changes is making even more than sense than usual for me. https://t.co/Nad61TJ2OD
1239573675906490400,Mon Mar 16 15:26:09 +0000 2020,@BobSaietta Then why would you rouse them?   (is this the real reason Jews do it?)
1239572967517851600,Mon Mar 16 15:23:20 +0000 2020,@daisandconfused @chaykak What made that show so odd was that it was a fantasy, kind of elegiac and pastoral.
1239572352691654700,Mon Mar 16 15:20:53 +0000 2020,Just learned that "knock on wood" is not, in fact, Jesus-derived, which makes it ok for Jews. I guess it goes back… https://t.co/7VxEixIbje
1239571493400371200,Mon Mar 16 15:17:28 +0000 2020,@chaykak Makes me think of this deep cut: https://t.co/a8olIEvu6W
1239569142430097400,Mon Mar 16 15:08:08 +0000 2020,@aklingus What was the rationale for making you come in?
1239567758091640800,Mon Mar 16 15:02:38 +0000 2020,Closing the workplace and then having employees at home doing stuff that will go nowhere and yield nothing is just… https://t.co/0zUK5U6Age
1239567305664639000,Mon Mar 16 15:00:50 +0000 2020,It's such a farce that some people are expected to "work from home" when everything is rapidly breaking down and th… https://t.co/n3F9PpFXC1
1239566835864883200,Mon Mar 16 14:58:58 +0000 2020,@RhetoricPJ It's nice for now but everyone is going to feel like a dupe when old habits set back in.
1239565850694172700,Mon Mar 16 14:55:03 +0000 2020,@whet Sure people are scared and stuff but it doesn't seem like they're logging on nihilistically or with the expec… https://t.co/jBQtBARMmD
1239565378272891000,Mon Mar 16 14:53:10 +0000 2020,Anecdotal but I don't feel like I'm seeing pile-ons and ratios like usual, and the dunks, whether by design or not,… https://t.co/CbaQUo6ACr
1239564240215666700,Mon Mar 16 14:48:39 +0000 2020,last deleted tweet: Actually coronavirus will be the golden age of the subtweet, plausible deniability that you're… https://t.co/FUQrymovFI
1239563639192875000,Mon Mar 16 14:46:16 +0000 2020,Almost like everyone gets that people are freaked out and bored and Twitter comes in handy...and no one should be r… https://t.co/eO2vFLrqfR
1239563371738849300,Mon Mar 16 14:45:12 +0000 2020,Is it just me or is Twitter less bleak and ruthless than usual?
1239468144302805000,Mon Mar 16 08:26:48 +0000 2020,RIP Danny Davis, the Arkestra's great unsung hero. https://t.co/YnIbtwAXIl
1239412968560836600,Mon Mar 16 04:47:33 +0000 2020,How does Alex Azar not have a ponytail? https://t.co/cSD9h5U1XV
1239402731124613000,Mon Mar 16 04:06:52 +0000 2020,@alexkotch How is this a hot take?
1239396212135981000,Mon Mar 16 03:40:58 +0000 2020,I can never tell if Joy Reid is really stupid or profoundly cynical or both. https://t.co/sIjZsQG9gb
1239394584561455000,Mon Mar 16 03:34:30 +0000 2020,@YourManDevine man at first I thought that said "spreading coronavirus"
1239393628335648800,Mon Mar 16 03:30:42 +0000 2020,Going to teach myself photoshop so I can do a very perfunctory "Fozzie Star" thing that I know isn't funny.
1239388566376968200,Mon Mar 16 03:10:35 +0000 2020,Civility exists to disqualify passion and urgency. https://t.co/DFRCysH1nd
1239387945020182500,Mon Mar 16 03:08:07 +0000 2020,@corbinasmith @LillardForMayor And available via a delivery service.
1239386262164791300,Mon Mar 16 03:01:26 +0000 2020,@TrentonHassles they're total Quarantine Muzik
1239384332118048800,Mon Mar 16 02:53:46 +0000 2020,@brownrecluseesq Right he made a big deal out of reaching out to Bernie people and the media gave him a ton of credit for it.
1239377713518891000,Mon Mar 16 02:27:28 +0000 2020,Another thing I listened to: https://t.co/nUgJdynudW
1239376922737406000,Mon Mar 16 02:24:19 +0000 2020,@russbengtson How do you know this?
1239376838482260000,Mon Mar 16 02:23:59 +0000 2020,If Biden wants to welcome in Bernie supporters he should definitely lie a bunch and make Bernie out to be a braying hypocrite.
1239375351572123600,Mon Mar 16 02:18:04 +0000 2020,“Just trust us” is the Democratic party mantra. https://t.co/Hl5dW4uNzf
1239373989601894400,Mon Mar 16 02:12:40 +0000 2020,Is there any rhyme or reason to which public schools are still open?
