id,created_at,text
1253805670261981200,Fri Apr 24 21:59:01 +0000 2020,RT @NYGovCuomo: NY has given $116 billion more to the federal government than we received since 2015.  Kentucky *took* $148 billion more fr…
1253405987152822300,Thu Apr 23 19:30:49 +0000 2020,💯 we need the recovery to life all boats! https://t.co/eDrMeIXaU2
1251300241795670000,Sat Apr 18 00:03:20 +0000 2020,RT @BCGhenderson: In the new edition of our Lessons from the COVID Crisis series, @fridapolli, PhD, CEO of @pymetrics, discusses pymetrics’…
1251300195880575000,Sat Apr 18 00:03:09 +0000 2020,RT @MartinKReeves: Thank you to @fridapolli , PhD, Founder and CEO of @pymetrics for a great discussion on leading through the COVID-19 cri…
1250504514035122200,Wed Apr 15 19:21:24 +0000 2020,RT @NYGovCuomo: In our hour of need, other states stepped up to help us.  We promised we would do the same.  We will be sending 100 ventila…
1250504369440804900,Wed Apr 15 19:20:49 +0000 2020,RT @NYGovCuomo: #BREAKING: I am issuing an Executive Order today that all people MUST wear a mask or face covering in public in situations…
1250503876920344600,Wed Apr 15 19:18:52 +0000 2020,RT @DanRather: Don’t his checks often bounce? https://t.co/XM2xb81kZZ
1250503802941309000,Wed Apr 15 19:18:34 +0000 2020,RT @PreetBharara: I hereby authorize the squirrels in my neighborhood to scamper across my property in accordance with Squirrel Law
1249873605401469000,Tue Apr 14 01:34:23 +0000 2020,this is pretty epic. kudos @CNN https://t.co/f9aIlsh04i
1249844038125195300,Mon Apr 13 23:36:54 +0000 2020,RT @KateBennett_DC: Four banners on @CNN over the last five minutes ... https://t.co/UBxpCcY2vl
1248432935650254800,Fri Apr 10 02:09:41 +0000 2020,RT @NYGovCuomo: Landmarks across the state are lit blue tonight in support of all the healthcare workers and all the essential personnel on…
1248381204216201200,Thu Apr 09 22:44:07 +0000 2020,RT @MollyJongFast: What is wrong with men?
1247303622297292800,Mon Apr 06 23:22:11 +0000 2020,please! 😊 https://t.co/XGA5F6XIXo
1247303050831765500,Mon Apr 06 23:19:55 +0000 2020,RT @PodSaveAmerica: Fox News reporter: "Testing is still a big issue in this country. When can hospitals expect to receive a quick turnarou…
