id,created_at,text
577485388102692900,Mon Mar 16 15:03:40 +0000 2015,"Gabrielle Destroismaisons - Persévérance scolaire 2015" : http://t.co/KfBA0ynO3w via @YouTube
568553344698073100,Thu Feb 19 23:30:55 +0000 2015,@guyalepage :))
568517091801710600,Thu Feb 19 21:06:51 +0000 2015,@guyalepage trop de détails ;)
568495071726854140,Thu Feb 19 19:39:21 +0000 2015,@guyalepage Envoye donc! Ça ou Stayin' Alive, tu l'as bien pratiqué celle-là! ;)
568221422562234400,Thu Feb 19 01:31:58 +0000 2015,Serai marraine du *Festival de la Chanson des Laurentides* du 4 au 8 août à #SteAdèle :) Inscrivez-vous et RT! http://t.co/IpTeHiNdyK
567734131241807900,Tue Feb 17 17:15:39 +0000 2015,RT @Raph_Mass: @gabrielledtm J'ai Ri! hahaha! http://t.co/Ctf3SJ0VCt
567470658469511200,Mon Feb 16 23:48:42 +0000 2015,@calinelynn Bonne soirée ma chère Lynn :)
567416732412031000,Mon Feb 16 20:14:25 +0000 2015,RT @benoitdorais: @gabrielledtm @rrm_ Bravo! Tu peux en être fière! Et le personnel du centre St-Paul @csdm, dans #SOmtl, l'est itou :-) @L…
567408395419136000,Mon Feb 16 19:41:18 +0000 2015,@rrm_ @LeDevoir @gervaislm Et je viens d'animer une table ronde sur la #perseverancescolaire Suis une raccrocheuse ;) http://t.co/SL8PM08LuN
567362837350461440,Mon Feb 16 16:40:16 +0000 2015,J'anime une table ronde sur la #persévérancescolaire au Centre St-Paul! Dans 2 minutes ;) #JPS http://t.co/W8R1rAIz86
567048099508789250,Sun Feb 15 19:49:36 +0000 2015,Workin in studio :) http://t.co/Hgp8uDEljf
566634999966072800,Sat Feb 14 16:28:06 +0000 2015,@lady_luga oui! C'est de la logique ;) pas facile ces exercices...
565959327144763400,Thu Feb 12 19:43:13 +0000 2015,Ataboy! Vive la philo #UdeM #PasFacile http://t.co/x5jVkZlqDk
