id,created_at,text
1250885663106400300,Thu Apr 16 20:35:57 +0000 2020,This is Maddie Pizzarelli. A new voice, a great talent, a healing sound. https://t.co/0M6cUD1JKz
1250105425879597000,Tue Apr 14 16:55:34 +0000 2020,You most likely have some free time...watch this to the end. Reminds me why I have and will always believe in him.… https://t.co/AM81bFnXgX
1246129194645454800,Fri Apr 03 17:35:26 +0000 2020,https://t.co/92DvvflDA0
1241844367297568800,Sun Mar 22 21:49:04 +0000 2020,Tune in LIVE tonight to watch me on The Rosie O'Donnell Show on @broadwaycom and @YouTube as we support… https://t.co/43DhRoJzXB
1237680234192949200,Wed Mar 11 10:02:17 +0000 2020,📷by markwillshirephotography https://t.co/OfPPwGNtoY
1233754211030126600,Sat Feb 29 14:01:40 +0000 2020,Congrats to everyone already. I LOVE LONDON!! @olivierawards #alexiamcintosh #oliviernominations https://t.co/72eKdxlHi4
1233025404220452900,Thu Feb 27 13:45:39 +0000 2020,Come audition. This is a place of creative-building, magic-learning, risk-taking, human-making, great wonderful ama… https://t.co/1xkwjLmcyY
1222861330367029200,Thu Jan 30 12:37:15 +0000 2020,Meet Velma. @vanmoof #bikelondon #vanmoof https://t.co/eQ7Q8QS1Cs
1221815381112828000,Mon Jan 27 15:21:01 +0000 2020,hello west end. i’ve missed you. i’m gonna be the doctor of a Grammy winner for the next six weeks. come on by and… https://t.co/vbOO2Leq6g
1215338080019927000,Thu Jan 09 18:22:32 +0000 2020,We made a song &amp; video for two heros of mine.  rodgersandhammerstein #rhgoespop ...subscribe to the @RnH_Org YouTub… https://t.co/By1AZdH3bR
1214581260682612700,Tue Jan 07 16:15:13 +0000 2020,We made a song &amp; video for two heros of mine.  rodgersandhammerstein #rhgoespop ...subscribe to the @RnH_Org YouTub… https://t.co/798ERJtRl3
1214070784630698000,Mon Jan 06 06:26:46 +0000 2020,https://t.co/2FCySCbLgG been dying to share this. Tickets on sale now. See you soon... https://t.co/nqV8d2hfnF
1214069447704633300,Mon Jan 06 06:21:27 +0000 2020,Link in Bio. https://t.co/nIqOVPlGc0
1206950717480722400,Tue Dec 17 14:54:09 +0000 2019,WED Dec 18 @ 11:30am  Jerry Orbach Theatre: 211 W 50th Street. It is the holiday event you have been waiting for. A… https://t.co/V7KSGIu4sC
1204234317246820400,Tue Dec 10 03:00:09 +0000 2019,So proud to be a small part of this. Come have your holiday season MADE by these incredible people. RUDOLPH:  dec 1… https://t.co/TNTrHXWDlc
1201671807599857700,Tue Dec 03 01:17:39 +0000 2019,DEC 4th 6pm STAMFORD CT https://t.co/HqURhry6p6
1196483227088834600,Mon Nov 18 17:40:05 +0000 2019,Anything for TPAP.  Learn better. Learn more. @perfartsproj https://t.co/fYYTBwI7dM
1191359250985095200,Mon Nov 04 14:19:14 +0000 2019,Ready for another slice.  Jan 27-March 7 WEST END waitresslondon @sarabareilles https://t.co/8HZxfLR7ZH
1187062895370293200,Wed Oct 23 17:47:03 +0000 2019,metmuseum https://t.co/SK6Wzocblv
1181548474929746000,Tue Oct 08 12:34:43 +0000 2019,What’s YOUR thought on this?  https://t.co/rsMVWLFCbr
1181255493483974700,Mon Oct 07 17:10:30 +0000 2019,Just posted a photo https://t.co/XHRrq9G1Ko
1180698047946399700,Sun Oct 06 04:15:25 +0000 2019,Pure @elsiefest magic tonight. Thank you EVERYONE for a killer evening. See you metmuseum in 2020! #concer-cal… https://t.co/Ik9pfQRB2k
1180323496271995000,Sat Oct 05 03:27:05 +0000 2019,@elsiefest is TOMORROW! see you all there? Yeah?Thanks @darrencriss for inviting me 🧙‍♀️ https://t.co/bTHhIbxAiI
1172704113785626600,Sat Sep 14 02:50:23 +0000 2019,Help make my elsieSET @ElsieFest  Oct 5th https://t.co/DlvDWqtBlo
1172348039656333300,Fri Sep 13 03:15:28 +0000 2019,Good evening Pasadena. See you Saturday night. @passymphpops https://t.co/m56jigk4n9
1162189496630349800,Fri Aug 16 02:29:03 +0000 2019,Yes. I’m gay. Yes. I love it. Yes. I got a snazzy new website. Thank you kaylakuzbel  De Link is in de BIO https://t.co/8Yhg2r65E6
1161089508038893600,Tue Aug 13 01:38:05 +0000 2019,Today. 🐾 https://t.co/Zl4dn44VfD
1160191955332038700,Sat Aug 10 14:11:32 +0000 2019,Honored to be working with metmuseum in the coming months...stay tuned :) #theartofmakingart https://t.co/UydW5jinUS
1147979572308336600,Sun Jul 07 21:23:53 +0000 2019,Just posted a video https://t.co/3XZCgy727v
1136247113380184000,Wed Jun 05 12:23:16 +0000 2019,Just posted a photo https://t.co/fd63s3ID3X
1132985054366453800,Mon May 27 12:21:01 +0000 2019,JUNE 17: 2pm &amp; 7.30pm  THRILLED to get to sing at the @92Y ! FULL BAND lead by the great Mary-Mitchell Campbell. Lo… https://t.co/4SDfNDZxd6
1112344506811207700,Sun Mar 31 13:22:51 +0000 2019,10 years ✌️ https://t.co/pruJHCo36m
1105674717694955500,Wed Mar 13 03:39:29 +0000 2019,So proud of my brilliant friend andrewrannells He has written his first book called Too Much is Not Enough. GET IT. https://t.co/hvpjDeHvob
1105506831525466100,Tue Mar 12 16:32:22 +0000 2019,Broadway Backwards last night. Shared a dressing room with these two stars. All to benefit @lgbtcenternyc &amp; @bcefa https://t.co/MqOy4z72tX
1101574626814165000,Fri Mar 01 20:07:11 +0000 2019,Hey you beautiful theatre community (actors, stage managers, crew, band, ushers, EVERYONE): THIS is why all that yo… https://t.co/LwsmSmaqTU
1099926323395522600,Mon Feb 25 06:57:25 +0000 2019,https://t.co/elYp1slhGx
1096268806979235800,Fri Feb 15 04:43:45 +0000 2019,Thank you Columbus for a great night. Tomorrow &amp; SaT: THE CABARET in INDY! Can’t wait...but first. Denny’s :) https://t.co/sQcxLdoaGm
1092287949830541300,Mon Feb 04 05:05:15 +0000 2019,Thank you. Thank you. Thank you. https://t.co/Cg9910DIEw
1091138849194102800,Fri Feb 01 00:59:08 +0000 2019,Come audition to have a transformative summer theatre experience. The students there expand my heart and mind every… https://t.co/ecCAwePStf
1089593057153032200,Sun Jan 27 18:36:43 +0000 2019,Just posted a photo https://t.co/XnZqh66BLe
1088901731532955600,Fri Jan 25 20:49:38 +0000 2019,Y’all! I’m gonna be on @playbill instagramLIVE at 4pmEST. COME ON OVER! #playbill #waitressmusical waitressmusical https://t.co/M2Q74DY5y4
1088833125378084900,Fri Jan 25 16:17:01 +0000 2019,https://t.co/iV4Obcgeb3
1088555305980620800,Thu Jan 24 21:53:03 +0000 2019,Magic. https://t.co/wULvpyEHWM
1087468446277877800,Mon Jan 21 21:54:16 +0000 2019,No photo tricks used. Just fat. I love him. #wallydog https://t.co/JRbpFdD9Vq
1086690443600056300,Sat Jan 19 18:22:46 +0000 2019,😍 https://t.co/nKqvyLxAtt
1083472337041670100,Thu Jan 10 21:15:09 +0000 2019,Ok. I’m so slow but I think I figured this out. X https://t.co/aoog3QlftQ
1083455638305423400,Thu Jan 10 20:08:48 +0000 2019,Just posted a video https://t.co/duyfUzUeHj
1081051522413281300,Fri Jan 04 04:55:42 +0000 2019,Just posted a photo https://t.co/R7B4kJXofZ
1077598609573584900,Tue Dec 25 16:15:03 +0000 2018,Merry 2 everybody. https://t.co/O3R8hnBJPP
1075149199405142000,Tue Dec 18 22:01:59 +0000 2018,🌴🎅🌴 https://t.co/ohUekiYu9n
1074919914996084700,Tue Dec 18 06:50:53 +0000 2018,🥧 https://t.co/cypkf7DZp0
1072968277629026300,Wed Dec 12 21:35:46 +0000 2018,New. Coming soon...thanks 2 @murphymade https://t.co/nebw3hRRTF
1071169302395543600,Fri Dec 07 22:27:17 +0000 2018,Dreams. https://t.co/MLY7Sn5Xn5
1070518861689208800,Thu Dec 06 03:22:40 +0000 2018,Hi Mexico. https://t.co/xBAZOgpVvc
1066808540650721300,Sun Nov 25 21:39:11 +0000 2018,Just posted a video https://t.co/8UKuntPLEa
1059957068357099500,Tue Nov 06 23:53:52 +0000 2018,Rehearsin’ &amp; Votin’ @sfosternyc @rtc_nyc #MyOneAndOnly - Nov 12 https://t.co/EnKvmcNRcQ
1059633975029891100,Tue Nov 06 02:30:01 +0000 2018,Yes!! GO BLUE. #VOTE https://t.co/TfhjQLLkQH
1058090604373139500,Thu Nov 01 20:17:13 +0000 2018,Hulaween ‘18 #nyrp #bettemidler https://t.co/6TT92rEQ4B
1055466898475962400,Thu Oct 25 14:31:32 +0000 2018,Just posted a photo https://t.co/gWg2m3khPX
1051554374017867800,Sun Oct 14 19:24:34 +0000 2018,7:30 https://t.co/6ingWIZQ9p
1050590554713518100,Fri Oct 12 03:34:41 +0000 2018,Coming for you San Fran! Link in bio https://t.co/3SOa8Go4T8
1049746742206484500,Tue Oct 09 19:41:41 +0000 2018,Nov 12 #MyOneAndOnly https://t.co/SXlONxbS2p
1049037546624376800,Sun Oct 07 20:43:35 +0000 2018,Excited to see you. TOMORROW. https://t.co/ZmemRuGvOW
1048268154412175400,Fri Oct 05 17:46:18 +0000 2018,Hero: https://t.co/ia8IpR8Th2
1046915524054200300,Tue Oct 02 00:11:26 +0000 2018,Just posted a video https://t.co/0oe6UM1NUU
1042408198311960600,Wed Sep 19 13:40:56 +0000 2018,Just posted a photo https://t.co/pSKH0KbzkN
1035292884797464600,Thu Aug 30 22:27:13 +0000 2018,Thursday throwback to London.  . #london @ Covent Garden London https://t.co/y5EV2cSXeb
1034270183567896600,Tue Aug 28 02:43:22 +0000 2018,#sideeye https://t.co/0vcJFh2nHt
1033363784453316600,Sat Aug 25 14:41:39 +0000 2018,Just posted a photo @ Hello, Dolly on Broadway https://t.co/xiw2LGPdcd
1031916110311030800,Tue Aug 21 14:49:07 +0000 2018,Thank you to everyone and everything. Onward... #loudnite #joespub https://t.co/WyRGKrb4UU
1031649909198540800,Mon Aug 20 21:11:20 +0000 2018,Soundcheck for tonight.  #NYC #Broadway @ Joe's Pub at The Public https://t.co/i59INMnGa2
1031402796682289200,Mon Aug 20 04:49:23 +0000 2018,See you tomorrow ❤️ @ Euphoria Studios https://t.co/DDndlYtmDM
1030856018207625200,Sat Aug 18 16:36:41 +0000 2018,Just posted a photo @ New York, New York https://t.co/j7QP7N1mT8
1030475274616549400,Fri Aug 17 15:23:45 +0000 2018,So.   I went and created an Instagram account!  Y’all can keep up with the nonsense here!   👇🏼 https://t.co/NqVczGuspj
1018191308333166600,Sat Jul 14 17:51:39 +0000 2018,https://t.co/2EaL9yShxJ
992281110636712000,Fri May 04 05:53:47 +0000 2018,https://t.co/VVJc7QYyyn
