id,created_at,text
1259138590119846000,Sat May 09 15:10:08 +0000 2020,RT @FarylUry: Free. Simple. Self serve.
1259138483509096400,Sat May 09 15:09:42 +0000 2020,RT @dinodaizovi: Good read by @gokulr on check metrics if you aren't familiar with the concept:  https://t.co/VGwep6QKHu
1258847829222547500,Fri May 08 19:54:45 +0000 2020,@Square https://t.co/4rwxd8NrkO
1258840981102661600,Fri May 08 19:27:32 +0000 2020,The power of a free, simple, self-serve product. From SQ earnings call: "So Online Store, we haven't provided a usa… https://t.co/7TV3Y43IZd
1258787801660706800,Fri May 08 15:56:13 +0000 2020,@amanik He reached out on LinkedIn a couple of years ago :)
1258783323834290200,Fri May 08 15:38:26 +0000 2020,Just got an emotional call from an entrepreneur who’s still an undergrad and who I’ve helped a bit over the years.… https://t.co/tUOkVsLyzS
1258595028630245400,Fri May 08 03:10:13 +0000 2020,Congrats @jonsidd @krishnanvijay and @turingcom team! https://t.co/rvQ39e5r9I
1258492793657290800,Thu May 07 20:23:58 +0000 2020,As a new immigrant to the US years ago, I experienced firsthand how challenging it was to access financial services… https://t.co/X2YmUuuf36
1258432931397169200,Thu May 07 16:26:06 +0000 2020,RT @mihiresy: “ In order to exit the recession in a stronger competitive position and to lead their market, companies must play offense.”…
1258393563072622600,Thu May 07 13:49:39 +0000 2020,RT @janmiczaika: Playing offense during a downturn, when others play defense. Great article by @gokulr with tons of pratical tips https://t…
1258203392872116200,Thu May 07 01:13:59 +0000 2020,@lynnetye Oops! Sorry. fixed.
1258081622223536000,Wed May 06 17:10:07 +0000 2020,RT @christianmiccio: Great post by @gokulr about making the best of the downturn https://t.co/0QwEXNEKxx
1258081606113194000,Wed May 06 17:10:03 +0000 2020,RT @sxscott: Playing offense during a downturn by @gokulr https://t.co/8zdoIRKqwl
1257849984604442600,Wed May 06 01:49:40 +0000 2020,RT @SameerPatel: This is a fabulous read by @gokulr. Many of us have managed through other kinds of difficult scenarios that weren’t downtu…
