id,created_at,text
1261209333158736000,Fri May 15 08:18:31 +0000 2020,goodnight wish me luck on my last final tomorrow
1261209272622305300,Fri May 15 08:18:17 +0000 2020,so my Apple Watch made me realize how unhealthy I am 😳
1260302688136204300,Tue May 12 20:15:50 +0000 2020,RT @venic3b1tch: @heck_t0r17 You cannot tie me down. I belong to no one.
1260245840293032000,Tue May 12 16:29:57 +0000 2020,this is my girlfriend https://t.co/Afj1RAF55c
1260078135619416000,Tue May 12 05:23:33 +0000 2020,Ok well I’m going to shop online and make bad choices wish me luck
1260074317502533600,Tue May 12 05:08:22 +0000 2020,corona better be canceled by fall semester, how am I going to meet new people. The moment my life started to begin… https://t.co/1oJfN7tXWV
1260073439919878100,Tue May 12 05:04:53 +0000 2020,I am tired of looking fucking disgusting , I miss my eyebrow lady , I miss my hair being cut. I can’t even buy new… https://t.co/FFM6m9ulvt
1259387222689636400,Sun May 10 07:38:06 +0000 2020,hi twitter I just thought I’d share these with u 🤍 https://t.co/MUwu8Aew14
1258285904298311700,Thu May 07 06:41:52 +0000 2020,You ever have an essay to do and you think back to a time where you didn’t have to write an essay.
1258197093010686000,Thu May 07 00:48:57 +0000 2020,I worked out yesterday and now my body hurts 🥺🥺
1257928171749425200,Wed May 06 07:00:21 +0000 2020,people are crazy as hell
1257842137741181000,Wed May 06 01:18:29 +0000 2020,Hey, everyone here’s a grant I found ! It’s pretty easy in my opinion all you gots to do is put what your plans are… https://t.co/BJdIKVBI8M
1257558945788334000,Tue May 05 06:33:11 +0000 2020,It sounds like a monster
1257558893233713200,Tue May 05 06:32:59 +0000 2020,Omg I hear a scary noise outside and I’m scared
1256835294306820000,Sun May 03 06:37:39 +0000 2020,@its_ralphiki Maybe it was just the Arby’s I went to but dang I really wish I would’ve went Toms 😂😂
1256832391580008400,Sun May 03 06:26:07 +0000 2020,@its_ralphiki It was so bad Ralphie I couldn’t even finish it 😂
1256831965795217400,Sun May 03 06:24:26 +0000 2020,@its_ralphiki I don’t know bout the rest of the menu but the classic roast beef sandwich was quite atrocious.
1256822528216973300,Sun May 03 05:46:56 +0000 2020,“I’m going to struggle in life hector “ me too
1256689394460659700,Sat May 02 20:57:54 +0000 2020,@bratzdollgab Damn , it’s because I’m a huffle puff
1256689315297411000,Sat May 02 20:57:35 +0000 2020,I had Arby’s for the first time today and omg, it was so bad. My stomach hurts
1256397260197261300,Sat May 02 01:37:04 +0000 2020,@bratzdollgab 👑👑👑
1256300446244692000,Fri May 01 19:12:21 +0000 2020,I swear my family fights with each other like they’re the Kardashians.
1256300317781536800,Fri May 01 19:11:51 +0000 2020,I need National Geographic to stop sending me emails
1255925773774360600,Thu Apr 30 18:23:33 +0000 2020,Omg my hair is growing long again yay
1255915470403678200,Thu Apr 30 17:42:36 +0000 2020,😍😍 https://t.co/jVVm1ppTIu
1255367462117392400,Wed Apr 29 05:25:01 +0000 2020,I want to be effortlessly sexy
1254693047587070000,Mon Apr 27 08:45:08 +0000 2020,@venic3b1tch Me too
1254124496853688300,Sat Apr 25 19:05:55 +0000 2020,@venic3b1tch I didn’t even know what college was
1254124193404182500,Sat Apr 25 19:04:42 +0000 2020,I can’t be the only one with their family driving them mad
1253136563896111000,Thu Apr 23 01:40:13 +0000 2020,Honestly why am I complaining my life could be so much worse than it is right now , I’m thankful for what I have. I… https://t.co/iGSWxuzFn6
1253135669011943400,Thu Apr 23 01:36:40 +0000 2020,everything is so shit right now, I feel like I’m in a never ending story of pain.
1253135383849664500,Thu Apr 23 01:35:32 +0000 2020,what is wrong with me , I genuinely want to know.
1253135277414998000,Thu Apr 23 01:35:06 +0000 2020,I want to go somewhere quiet like a park or something and just scream , scream until I lose every ounce of my voice.
1253134730276425700,Thu Apr 23 01:32:56 +0000 2020,I fill my empty void with food
1252761946467659800,Wed Apr 22 00:51:37 +0000 2020,RT @pvradlse: I'm so tired mentally
1252761931737268200,Wed Apr 22 00:51:34 +0000 2020,@pvradlse I felt that on another level
1252732471621255200,Tue Apr 21 22:54:30 +0000 2020,I love her https://t.co/39E8rwrHrE
1252538294878929000,Tue Apr 21 10:02:55 +0000 2020,RT @princesamonaa: bluebaby🌬💙 https://t.co/fHWNffvyZc
1252138088714903600,Mon Apr 20 07:32:38 +0000 2020,I miss her sm, words can’t even describe https://t.co/xy1ukRg5QI
1251368089398042600,Sat Apr 18 04:32:56 +0000 2020,I think I’m losing my mind https://t.co/YPbdkD9prs
1251005068293238800,Fri Apr 17 04:30:25 +0000 2020,I feel like I can’t grow myself into something better during this quarantine until I’m stopped being assigned all t… https://t.co/ZN6aC2brL4
1249929348859084800,Tue Apr 14 05:15:53 +0000 2020,The minute I don’t have any homework assignments I’m feel free
1249751320178782200,Mon Apr 13 17:28:28 +0000 2020,wish it was 2008
1249749307697201200,Mon Apr 13 17:20:28 +0000 2020,It’s sad when holidays start to not feel like holidays anymore
1249434442512224300,Sun Apr 12 20:29:19 +0000 2020,dm me https://t.co/Y0CV0KAKpY
1249213618467602400,Sun Apr 12 05:51:50 +0000 2020,Learn how to make Jamba Juice off my tik tok , heckywecky , link In bio https://t.co/7ArpZd4Y1h
1249213494567698400,Sun Apr 12 05:51:21 +0000 2020,Check out Heckt0rrr! #TikTok  https://t.co/YtG9keDMY3
1249211614114406400,Sun Apr 12 05:43:52 +0000 2020,Want to learn how to make Jamba Juices , subscribe to MY TIK TOK   heckywecky   #JuiceWRLD #TikTok
1247952114963210200,Wed Apr 08 18:19:04 +0000 2020,the world is honestly just so sad rn, and the weather is making is worse.
1247776136207028200,Wed Apr 08 06:39:48 +0000 2020,I’m sad.
1247365535408386000,Tue Apr 07 03:28:13 +0000 2020,School is the cause of my depression
1247342122434359300,Tue Apr 07 01:55:11 +0000 2020,I swear my aunt can be a comedic actress , she has got me ded 😭😂
1247248273192059000,Mon Apr 06 19:42:15 +0000 2020,RT @posiekai: So can I call you tonight?
1247248208864014300,Mon Apr 06 19:42:00 +0000 2020,Lmaooo my aunt comes downstairs and says “omg somebody ordered $240 of nasty movies “ 😂 she thought it was me and I… https://t.co/GaYGa088aR
1247003814437118000,Mon Apr 06 03:30:52 +0000 2020,I wanted Demi Lovato and Joe Jonas to get married
1246275114544447500,Sat Apr 04 03:15:16 +0000 2020,My mom is CINDERELLA always cleaning n shit
1246272831643476000,Sat Apr 04 03:06:12 +0000 2020,The day someone I find attractive that likes me will be a day that I doubt I’ll ever see 😳✌🏻 #Lonely
1245977914861969400,Fri Apr 03 07:34:18 +0000 2020,@TayeAkira Spider-Man gon save us from corona
