id,created_at,text
1260339489827889200,Tue May 12 22:42:05 +0000 2020,RT @JuddLegum: UPDATE: As @Kroger plans to roll back it's $2/hour "hero bonus" for frontline employees, another Kroger worker -- 60-year-ol…
1260308805352595500,Tue May 12 20:40:09 +0000 2020,We are going to see a massive amount of this blame-shifting bullshit between now and November. https://t.co/Coj2bOoizU
1260307598936547300,Tue May 12 20:35:21 +0000 2020,@brooke @instagram its you, its really you.
1260209646465437700,Tue May 12 14:06:07 +0000 2020,I ordered Zoom blouses from ⁦@lafayette148ny⁩   #CoronaLife https://t.co/3SEK5VG8cx
1260170623357268000,Tue May 12 11:31:04 +0000 2020,Love this. #SallySusman We need wings.  “The Coronavirus Pandemic Is Helping Me Embrace My Gray Hair”| @Time https://t.co/nYB8DHa3hS
1260050914464891000,Tue May 12 03:35:23 +0000 2020,@katzish happy birthday. Can’t wait to celebrate. ❤️
1259824402029576200,Mon May 11 12:35:18 +0000 2020,RT @JesseFFerguson: I don't understand.  How can Coronavirus be spreading in the White House?   Don't they have Hydroxychloroquine and blea…
1259523773495197700,Sun May 10 16:40:43 +0000 2020,Mother’s Day.  https://t.co/L4lBB2RyQA
1259278352235495400,Sun May 10 00:25:30 +0000 2020,@chrissyteigen Rise. You are beloved.
1259264431881629700,Sat May 09 23:30:11 +0000 2020,I think I need these simple choices too ⁦@RachelJSimmons⁩! https://t.co/HctMVwvQiP
1259245442782711800,Sat May 09 22:14:43 +0000 2020,RT @cnicolemason: What we said:
1259243858984124400,Sat May 09 22:08:26 +0000 2020,Sad to hear about the passing of my old friend #AndreHarell. He was style and class. Generous with his teaching to… https://t.co/ckglDUXOjo
1259204192301875200,Sat May 09 19:30:48 +0000 2020,In the early days of the pandemic, the U.S. government turned down an offer to manufacture millions of N95 masks i… https://t.co/HVZqD6wrnN
1259150754117488600,Sat May 09 15:58:28 +0000 2020,Huge Congrats to the @HowardU class of #2020. You deserve better than a virtual gradutation, but you will still go… https://t.co/J9CfUfZzd5
1258719482551378000,Fri May 08 11:24:45 +0000 2020,RT @JoeBiden: Real presidents lead. Reality TV presidents don’t. https://t.co/2lMwnRXLcG
1258472305405177900,Thu May 07 19:02:33 +0000 2020,will #RobertMueller finally stand up and clearly call this Justice Department corrupt instead of dancing on the head of a pin again? #Flynn
1258469207089578000,Thu May 07 18:50:14 +0000 2020,RT @shondarhimes: Thank you, teachers. We are forever indebted for all that you do. https://t.co/cnL63Q6kNJ
1258454782890688500,Thu May 07 17:52:55 +0000 2020,RT @TeamLPAC: Our awesome digital hang with @GinaOrtizJones and @hilaryr is TONIGHT, 7pm ET. Join us! https://t.co/0yWGR6M53D https://t.co/…
1258330554660946000,Thu May 07 09:39:17 +0000 2020,“The similarities to Trayvon Martin case are uncanny. These men stalked Arbery, projecting onto him a criminality o… https://t.co/iiWSP2CMtu
1258313752375693300,Thu May 07 08:32:31 +0000 2020,Amazing grace. “Rhonda Roland Shearer, patron saint of PPE, went $600,000 in debt to outfit hospital workers battli… https://t.co/PjeQTu3fAC
1258173419646070800,Wed May 06 23:14:53 +0000 2020,RT @TooManyEmmas: Yes Adele looks amazing, Adele looked amazing before she lost weight too, Adele is amazing
1258047677880819700,Wed May 06 14:55:14 +0000 2020,RT @HRC: .@HRC President @AlphonsoDavid was on @Morning_Joe earlier to discuss our endorsement of @JoeBiden on the anniversary of his suppo…
1257839662862909400,Wed May 06 01:08:39 +0000 2020,Stay strong 👏🏼 https://t.co/LxoaS9j9jh
1257839549163716600,Wed May 06 01:08:12 +0000 2020,Ohferchrissakes #RBG in the hospital. Women can’t take anymore! Get well 🙏🏼 Justice Ginsburg.
1257136382939746300,Mon May 04 02:34:04 +0000 2020,Jersey for the win. @CakeBossBuddy #buddyvsduff2
1257124599499817000,Mon May 04 01:47:15 +0000 2020,RT @jonfavs: Trump is now using the government to rewrite history, but the truth is all here: https://t.co/QXYBaoumyh
1257121907196952600,Mon May 04 01:36:33 +0000 2020,@CapehartJ Nope
1256978212061687800,Sun May 03 16:05:33 +0000 2020,Tribal governments were supposed to get $8 billion in emergency COVID-19 aid from the CARES Act. More than a month… https://t.co/s1WDByZCy2
1256978036509094000,Sun May 03 16:04:52 +0000 2020,RT @maddow: 890 cases. At one plant in Indiana.   890.  https://t.co/h8FsgffzlD
1256977288568152000,Sun May 03 16:01:53 +0000 2020,RT @meganmurp: Today is the 10th anniversary of Yeardley Love’s death. And while my ❤️ is with her family, I know they take comfort that he…
1256487345525870600,Sat May 02 07:35:02 +0000 2020,Why 2020 Could Be Another False Equivalence Election | Time ⁦@CharlotteAlter⁩  https://t.co/YNEDk9YJQY
1256062978908094500,Fri May 01 03:28:45 +0000 2020,@brooke @karaswisher @GoldenEyeResort @dhellinger @blackwellrum I never promised you a rose garden.
1256050895806238700,Fri May 01 02:40:44 +0000 2020,@mariaspinella @andersoncooper Such a blessing. Congrats @andersoncooper. Wyatt is a lucky boy. ❤️
1256017180778520600,Fri May 01 00:26:46 +0000 2020,@brooke @GoldenEyeResort @dhellinger @blackwellrum Oh shoot, I missed the big day??? HBDB!!
1255980735112138800,Thu Apr 30 22:01:56 +0000 2020,RT @karaswisher: China now trolling Trump
1255980619475161000,Thu Apr 30 22:01:29 +0000 2020,@lpolgreen Wow. This is so fucking wrong/heartbreaking on every level.
1255966152347603000,Thu Apr 30 21:04:00 +0000 2020,This is really fantastic news: “The role that Howard University Hospital plays in providing healthcare to the citiz… https://t.co/BRtfi3LOSa
1255937855832105000,Thu Apr 30 19:11:33 +0000 2020,RT @smsandberg: What do we need to get our country back on track? Competent leaders executing on their progressive values. @GinaOrtizJones…
1255614027834839000,Wed Apr 29 21:44:47 +0000 2020,Agree. It’s ridiculous to suggest otherwise isn’t it? https://t.co/H5RcvaOEYS
1255613749429506000,Wed Apr 29 21:43:40 +0000 2020,RT @JuddLegum: The pandemic is a story about class  White collar workers are told to "stay safe at home" while grocery workers and meat pac…
1255607644007608300,Wed Apr 29 21:19:25 +0000 2020,RT @morningmoneyben: Trump’s issue with the Postal Service is about Amazon, Bezos and the Wash. Post.   He’s wrong on the facts and the bud…
1255584572403789800,Wed Apr 29 19:47:44 +0000 2020,Yay!!!! I just got my copy of @symonedsanders book: No, You Shut Up” I am so excited. This is the story I’ve wanted… https://t.co/JffMyFzRKJ
1255535883413061600,Wed Apr 29 16:34:15 +0000 2020,RT @KatieHill4CA: A fly got into my apartment. Today might be the day I snap.
1255525667908747300,Wed Apr 29 15:53:40 +0000 2020,I'm gonna listen to @MayorBowser and @MichelleObama dammit https://t.co/IRPDeKHvlW
1255464735040049200,Wed Apr 29 11:51:32 +0000 2020,@meenaharris ❤️
1255463778906505200,Wed Apr 29 11:47:44 +0000 2020,You can’t even exaggerate the petty stupidity of this man. “Trump Decides Now Would Be a Great Time to Cut Coronavi… https://t.co/sP8SVCMTeV
1255302808049520600,Wed Apr 29 01:08:06 +0000 2020,Our gal ⁦@karaswisher⁩ Is on 🔥🔥! Podcast Launch With Opinion | The New York Times Company https://t.co/0GcFaCwMuj
1255302314434482200,Wed Apr 29 01:06:08 +0000 2020,RT @SenKamalaHarris: This is a horrific abuse of power. This officer must be held accountable. https://t.co/jcAABFzWvj
1255301822962634800,Wed Apr 29 01:04:11 +0000 2020,RT @karaswisher: @NellSco @profgalloway Bebe! https://t.co/ZRwHGdzxiM
1255216268950548500,Tue Apr 28 19:24:13 +0000 2020,What a tool. Seriously. He is putting everyone at risk with this arrogance. https://t.co/Q5LEuP8rH2
1255115466072363000,Tue Apr 28 12:43:40 +0000 2020,"But the virus alarms failed to register w #PresTrump, who routinely skips reading the Presidential Daily Brief and… https://t.co/Y4Hx0kaDkQ
1254950824054329300,Tue Apr 28 01:49:26 +0000 2020,RT @carmencitaloves: Good morning world!   If knowing that Christine Baranski, Meryl Streep, and Andrea McDonald sang “Ladies Who Lunch” to…
1254846148445180000,Mon Apr 27 18:53:30 +0000 2020,This is an amazing story. Well worth the long read. There is only one conclusion. We need a new President. 260,000… https://t.co/KAMhU1ihGm
1254820407783444500,Mon Apr 27 17:11:13 +0000 2020,This:  "Millions of People Face Stimulus Check Delays for a Reason: They Are Poor" https://t.co/c8uH2QMGBf
1254809011729379300,Mon Apr 27 16:25:56 +0000 2020,RT @atrupar: We all witnessed Trump's full-day Twitter meltdown yesterday and yet Kayleigh McEnany is on Fox News trying to convince you he…
1254768694149836800,Mon Apr 27 13:45:43 +0000 2020,@briankoppelman Happy birthday BK!
1254613527870005200,Mon Apr 27 03:29:09 +0000 2020,RT @brooke: Why isn’t every person talking about #MrsAmerica? This series on @hulu is SO freaking good. The cast? #CateBlanchett, @Elizabet…
1254447885879595000,Sun Apr 26 16:30:57 +0000 2020,RT @soledadobrien: Context: she voted for Jill Stein.
1254338108839153700,Sun Apr 26 09:14:44 +0000 2020,RT @IsaacDovere: Vietnam Memorial in the days of a pandemic.   If trends continue, within about a week, more Americans will have died of th…
1254220772815626200,Sun Apr 26 01:28:29 +0000 2020,Watching #MrsAmerica on @hulu makes me fall even more in love with @GloriaSteinem. She is a true national treasure.
1254117331149697000,Sat Apr 25 18:37:26 +0000 2020,Great #WillandGrace tribute. @HRC President #AlphonsoDavid on the legacy of Will &amp; Grace https://t.co/GGcFGxyD2P via @metroweekly
1254116831461347300,Sat Apr 25 18:35:27 +0000 2020,RT @girlsreallyrule: I can't stop laughing at Regina Hall, she might be my favorite thing about this quarantine besides gin. https://t.co/9…
1254114298714116000,Sat Apr 25 18:25:23 +0000 2020,@StefFeldman @JohnWMcCarthy go Stef
1254114226794377200,Sat Apr 25 18:25:06 +0000 2020,@NRMorrow I am sure they would say you are qualified.....😂💜❤️
1254113683787186200,Sat Apr 25 18:22:57 +0000 2020,RT @BenSPLATT: Saturday song #6 I ♥️ you @samsmith https://t.co/MbxRzz6uNx
1254113477683294200,Sat Apr 25 18:22:08 +0000 2020,RT @SRuhle: Let’s give this another tweet https://t.co/QKnPsHMGz0
1254072697912524800,Sat Apr 25 15:40:05 +0000 2020,@kaitlancollins You are a stalwart @kaitlancollins. You stand up to power without flinching. Thank you for working… https://t.co/NBhLAVHTqG
1253755117830058000,Fri Apr 24 18:38:08 +0000 2020,RT @JoeBiden: I can’t believe I have to say this, but please don’t drink bleach.
1253748494181032000,Fri Apr 24 18:11:49 +0000 2020,TRUMP, in Oval Office, standing w Senators @JohnCornyn @RoyBlunt @DanSullivan_AK and Reps. @RepLizCheney… https://t.co/F0jclFjQqb
1253728326126047200,Fri Apr 24 16:51:40 +0000 2020,@jonlovett You are so right.  We are so reflexively anti-Trump that we dismiss reasonable ideas, like being injecte… https://t.co/tGE7y7u1li
1253643659230265300,Fri Apr 24 11:15:14 +0000 2020,If the President at the podium suggesting people inject disinfectant into their bodies, making his scientists cring… https://t.co/hK53C9XT3f
1253643174226137000,Fri Apr 24 11:13:18 +0000 2020,The fact that this kind of statement to push back on a President is even necessary blows my mind. #Trump is more un… https://t.co/V1BOTvd8yR
1253486829661229000,Fri Apr 24 00:52:03 +0000 2020,Good idea Don, you go first. #Injections https://t.co/qgAElzAMQ3
1253411501345390600,Thu Apr 23 19:52:43 +0000 2020,my 💔 goes out to @RepMaxineWaters . God bless and thank you for showing up to work today and demanding compassion f… https://t.co/yp2nIt2Jbd
1253398895058698200,Thu Apr 23 19:02:38 +0000 2020,The disgusting and mean-spirited responses on this platform to the heartfelt sharing of @ewarren about losing her b… https://t.co/0YlWlH0xfk
1253366710972878800,Thu Apr 23 16:54:44 +0000 2020,It isn’t just that Gabrielle Hamilton touches our soul with her grit and her food...she is also a great writer. Rea… https://t.co/btetPmfo7I
1253364397323554800,Thu Apr 23 16:45:33 +0000 2020,RT @janemarielynch: So beautiful. ❤️
1253343079387586600,Thu Apr 23 15:20:50 +0000 2020,@ewarren My deepest condolences @ewarren. We know its personal and devastating. And we know you are fighting for all of our families.
1253168431890935800,Thu Apr 23 03:46:51 +0000 2020,RT @VICETV: Only in America does "liberation" mean going back to work.  @AOC sits down with @anandwrites to talk about why a return to norm…
1253128664327340000,Thu Apr 23 01:08:50 +0000 2020,PROUD TO BE A JERSEY GIRL. Stay safe Jersey. https://t.co/psINmqyBtI
1253125737638514700,Thu Apr 23 00:57:12 +0000 2020,When we have lots of time on our hands, we will call you crazies out. Otheriwise, we won’t bother. https://t.co/GBCeoE0LJd
1253124955916644400,Thu Apr 23 00:54:06 +0000 2020,@KennethBaer So true Ken
1253114969157238800,Thu Apr 23 00:14:25 +0000 2020,RT @kabarkoff: Statement of Dr. Rick Bright who was pushed out as the head of BARDA https://t.co/dsyQI0TOkw
1253114916137062400,Thu Apr 23 00:14:12 +0000 2020,Read the thread and the story. https://t.co/zeMtAycpOQ
1253114604684816400,Thu Apr 23 00:12:58 +0000 2020,RT @maggieNYT: .@jonkarl gets Redfield to acknowledge he was accurately quoted by the Post.
1253114577392451600,Thu Apr 23 00:12:51 +0000 2020,RT @AshleyRParker: Trump just marched CDC director Redfield out to claim he was misquoted by the WaPo. But in fact, Redfield just confirmed…
1253114245379690500,Thu Apr 23 00:11:32 +0000 2020,“Maybe he was, maybe he wasn’t” Is that a fourth grader response to a serious question about a scientist putting da… https://t.co/FZZSXY6jMs
1253037899110547500,Wed Apr 22 19:08:10 +0000 2020,RT @rtraister: AOC is just so good.
1252822495754764300,Wed Apr 22 04:52:13 +0000 2020,This: CecilyStrong on Grieving a Loved One While Quarantined h/t ⁦⁦@oliverdarcy⁩  https://t.co/qu8fyQHf41
1252788841435578400,Wed Apr 22 02:38:30 +0000 2020,But @SheilaEdrummer can still beat drums!
1252786125934145500,Wed Apr 22 02:27:42 +0000 2020,https://t.co/y2pinVfzI7
1252785798665175000,Wed Apr 22 02:26:24 +0000 2020,Honestly just playing old clips of #Prince in concert would have made me happier. I applaud the effort, but some ar… https://t.co/hQGswQ4W47
1252784640454283300,Wed Apr 22 02:21:48 +0000 2020,@Lis_Smith Yep
1252755655288664000,Wed Apr 22 00:26:37 +0000 2020,I love the hair salon owner in Atlanta who just said on @AC360 who said “I have bills to pay but I won’t put people… https://t.co/NQ848VDle4
1252677136189657000,Tue Apr 21 19:14:37 +0000 2020,@karaswisher @LisaWritesBooks This song needs a parental advisory sticker. Sorry Lisa.
1252668244735000600,Tue Apr 21 18:39:17 +0000 2020,4 year. Nothing Compares 2 U  #RIPPrince
1252664408872038400,Tue Apr 21 18:24:03 +0000 2020,@conantnyc @BakedByDan Lol.  Dont use those words lightly!!
