id,created_at,text
1259443429853053000,Sun May 10 11:21:27 +0000 2020,RT @OzKaterji: Hello friends, I have a family friend who is a Syrian refugee working as a labourer here in the UK. Lockdown has been partic…
1259440383441936400,Sun May 10 11:09:21 +0000 2020,RT @richardmnash: @holland_tom When I started reading your tweet I thought you were talking about the picture above https://t.co/bbbw8WKcuN
1259421461430898700,Sun May 10 09:54:09 +0000 2020,@theoldbatsman MASSIVE SPORT!!!!!!!!!!!!!!
1259421313984331800,Sun May 10 09:53:34 +0000 2020,"He had an expression that made him look like he was straining to have a shit."  Suetonius on Vespasian.  This is t… https://t.co/vS0wkQVv9s
1259417444906684400,Sun May 10 09:38:12 +0000 2020,I was there too! Gooch then went on to score his second century of the match. A fantastic day... https://t.co/VMbsDv3Fdx
1259412328698859500,Sun May 10 09:17:52 +0000 2020,A sublime tweet. https://t.co/Q8w1ti8K2X
1259412170950967300,Sun May 10 09:17:14 +0000 2020,@AHistoryGeek1 @PenguinClassics I was tempted to go for 'spit roast'...
1259407054340526000,Sun May 10 08:56:55 +0000 2020,The people who didn’t give her a job really missed out. https://t.co/mdB9F6ltpn
1259405976479903700,Sun May 10 08:52:38 +0000 2020,@AHistoryGeek1 @PenguinClassics “Finish him off with a deep thrust” is how I’ve translated it!
1259403808620400600,Sun May 10 08:44:01 +0000 2020,@AHistoryGeek1 @PenguinClassics I can't tell you how long I spent on Tiberius 43!
1259403499332423700,Sun May 10 08:42:47 +0000 2020,Well, there'll be no mention of 'homosexuality', that's for sure! #Suetonius https://t.co/j1XGu5lnAD
1259403215793197000,Sun May 10 08:41:39 +0000 2020,RT @AHistoryGeek1: Emperors of Rome CXLI: Translating Suetonius https://t.co/BcssDA4Jtl Loved this great #podcast from @RomePodcast &amp; @holl…
1259403166069727200,Sun May 10 08:41:28 +0000 2020,@AHistoryGeek1 @PenguinClassics Thank you!
1259398494592344000,Sun May 10 08:22:54 +0000 2020,"“These are very difficult questions,” Bailleul says. “But if we keep trying, there is hope that we will figure out… https://t.co/bMFhgYUIyx
1259397915245785000,Sun May 10 08:20:36 +0000 2020,"If upheld, Bailleul and her colleagues’ findings would indicate that biochemical traces of organisms can persist f… https://t.co/dfw16RKpi2
1259391609520771000,Sun May 10 07:55:32 +0000 2020,This need to preach good news, banish superstition, and win converts: it's really reminding me of something...… https://t.co/hpGiPZc8KO
1259390276574933000,Sun May 10 07:50:14 +0000 2020,The engineer got off more lightly than the inventor of unbreakable glass, who showed it to Tiberius in expectation… https://t.co/GVxxHe99On
1259389045328810000,Sun May 10 07:45:21 +0000 2020,Vespasian there, signally failing to back the Industrial Revolution.
1259388942144675800,Sun May 10 07:44:56 +0000 2020,"He gave an engineer who had promised to transport some huge columns up to the Capitol at very small cost a reward… https://t.co/Bindr3bTGC
1259377378167586800,Sun May 10 06:58:59 +0000 2020,A warning from personal experience: when it comes to dryness, the Sahara Desert at its very driest has nothing on a… https://t.co/ex8QTNimXf
1259374255550148600,Sun May 10 06:46:35 +0000 2020,Suetonius on Vespasian's programme of austerity: was it forced on him by a yawning budget deficit following a perio… https://t.co/rwNlI6ZVA2
1259367934209798100,Sun May 10 06:21:28 +0000 2020,RT @MattPotter: Artist Rushelle Kucala created the ‘Atlas of Dinosaur Anatomy’ - a ‘Bodyworlds’ of dinos. The muscle layers, skeletons and…
1259211868113166300,Sat May 09 20:01:19 +0000 2020,@thevicarswife @bealelab @mthr_jo Yes - I was referring to the real children, not the ones in Golding’s novel
1259211599140831200,Sat May 09 20:00:14 +0000 2020,@Robin_C_Douglas Bishop Wordsworth’s, of course. Everyone in Salisbury knows that!
1259211198517710800,Sat May 09 19:58:39 +0000 2020,The pride of Salisbury Plain... https://t.co/3fxPJZniio
1259202405205512200,Sat May 09 19:23:42 +0000 2020,I wonder how influential it was on the way things panned out that the boys were "all pupils at a strict Catholic bo… https://t.co/6JnAyTPWMz
1259199874882588700,Sat May 09 19:13:39 +0000 2020,@niruratnam Oh, lots of social distancing would go on there.
1259199791764066300,Sat May 09 19:13:19 +0000 2020,@CM__Josh Awwww, please thank her from me!
1259199713087295500,Sat May 09 19:13:01 +0000 2020,What a fantastic series it was. The 2020 first class cricket season is on fire.
1259199381770842000,Sat May 09 19:11:42 +0000 2020,A moving reminder of what, at the end of the day, sport is all about. https://t.co/fxaa9JeIGC
1259179105515376600,Sat May 09 17:51:07 +0000 2020,I see that the Stonehenge landscape isn’t the only British World Heritage Site under threat from developers...  https://t.co/CspQ8SCpGm
1259168821660856300,Sat May 09 17:10:15 +0000 2020,@MinooFramroze @DrFrancisYoung Is it by Terry Eagleton?
1259168712952815600,Sat May 09 17:09:50 +0000 2020,RT @mockingbirdmin: "If ever there were a time for the churches to wrestle with the questions that so tormented Job, a time of global pande…
1259168504323944400,Sat May 09 17:09:00 +0000 2020,@katherineschof8 I salute you.
1259143569589371000,Sat May 09 15:29:55 +0000 2020,£2 billion? Pretty much the cost of the #StonehengeTunnel! So there's an easy saving to make... https://t.co/6oHjgR4ZKc
1259141745746620400,Sat May 09 15:22:40 +0000 2020,I just hope it doesn't go to the wire. I don't think I could cope with the tension.
1259141542016663600,Sat May 09 15:21:51 +0000 2020,YES.   I knew it.
1259141458378047500,Sat May 09 15:21:32 +0000 2020,Come on, Freddy. #ENGvAUS
1259134883907227600,Sat May 09 14:55:24 +0000 2020,America is so not Rome.
