id,created_at,text
1261112129626820600,Fri May 15 01:52:16 +0000 2020,RT @SabrinaAnnLynn: Clouds, a film based on the incredible story of Zach Sobiech’s life, is coming to @disneyplus this fall ☁️ i am so luck…
1261111937255067600,Fri May 15 01:51:30 +0000 2020,@SabrinaAnnLynn @disneyplus te amo mucho
1261111755385843700,Fri May 15 01:50:47 +0000 2020,@SabrinaAnnLynn @disneyplus so proud of you
1261026612772044800,Thu May 14 20:12:27 +0000 2020,@Camila_Cabello TE AMO MUCHO
1261025864361402400,Thu May 14 20:09:29 +0000 2020,@Camila_Cabello i miss u
1261025817016111000,Thu May 14 20:09:18 +0000 2020,@Camila_Cabello TE AMO
1261025775215665200,Thu May 14 20:09:08 +0000 2020,@Camila_Cabello i love youu more ❤️
1260828147379048400,Thu May 14 07:03:50 +0000 2020,@tooyoungcorey FELIZ CUMPLE LINDA
1260650074075365400,Wed May 13 19:16:14 +0000 2020,@SabrinaAnnLynn @RoadFilm I CAN'T WAIT TO SEE IT
1260649840708423700,Wed May 13 19:15:18 +0000 2020,@SabrinaAnnLynn @RoadFilm i'm so proud of youu
1260649717312024600,Wed May 13 19:14:49 +0000 2020,@SabrinaAnnLynn @RoadFilm i love u so much
1260649623447720000,Wed May 13 19:14:26 +0000 2020,@SabrinaAnnLynn @RoadFilm I'M SO EXCITED
1260649413539582000,Wed May 13 19:13:36 +0000 2020,RT @SabrinaAnnLynn: here is the trailer for The Short History of the Long Road🌻🚌this film is very special to me and I’m so excited for you…
1260425687187546000,Wed May 13 04:24:36 +0000 2020,@ringsadore feliz cumple linda &lt;3
1260424945693331500,Wed May 13 04:21:39 +0000 2020,que hermosa es ariana dios
1260424697424105500,Wed May 13 04:20:40 +0000 2020,gracias lizza por estas fotos https://t.co/8M7mfJ1Q1Y
1260424183022006300,Wed May 13 04:18:37 +0000 2020,@ArianaGrande omg you are so cute
1260422070963441700,Wed May 13 04:10:13 +0000 2020,@lwtlalisa seguro y te la devuelven
1260420329622720500,Wed May 13 04:03:18 +0000 2020,@lwtlalisa pero ya intentaste solucionarlo??? aaa
1260419681627836400,Wed May 13 04:00:44 +0000 2020,@lwtlalisa DANY
1260397396586115000,Wed May 13 02:32:11 +0000 2020,@whoreformila cuando quieras
1260381304224272400,Wed May 13 01:28:14 +0000 2020,run and hide y alone together son unas joyitas es increíble todo lo que trasmite sabrina cuando las canta 🥺… https://t.co/EmSHZbeq26
1260375118766719000,Wed May 13 01:03:39 +0000 2020,igual es imposible tener solo una canción favorita de sabrina
1260374751085645800,Wed May 13 01:02:11 +0000 2020,paris siempre va a ser una de mis canciones favoritas de sabrina porfa la letra y el vídeo son una obra de arte. #SabrinaSongs
1260361066963492900,Wed May 13 00:07:49 +0000 2020,@HaileeSteinfeld MAN UP IS A BOP
1260326532553289700,Tue May 12 21:50:35 +0000 2020,se me fue el internet lpm
1260324003341914000,Tue May 12 21:40:32 +0000 2020,the content we deserve https://t.co/Ov1Bk9lvOC
1260116266708238300,Tue May 12 07:55:04 +0000 2020,@thumbswift @prfctbing @rosscklets @karlangelics @winebrina @habitbsl @taylokro @greysyfriends @daydreamswme_… https://t.co/kZWLONeDJv
1260085817999077400,Tue May 12 05:54:04 +0000 2020,@guccigratis meper
1260078301026095000,Tue May 12 05:24:12 +0000 2020,@smkefire lloremos juntas
1260070302199025700,Tue May 12 04:52:25 +0000 2020,paris isn't just a song. it's a brand. it's history. it's a moment in history. it's a movement. it's a protest. it'… https://t.co/gnJ7NVPITC
1260062687196844000,Tue May 12 04:22:10 +0000 2020,i love you with all my heart @SabrinaAnnLynn
1260051312709980200,Tue May 12 03:36:58 +0000 2020,esta foto 🥺 https://t.co/yOGpP23F9V
1260049718140375000,Tue May 12 03:30:38 +0000 2020,@ruggebydealba @SabrinaAnnLynn @SabrinaAnnLynn @TeamSabrina 🖤
1260025073806618600,Tue May 12 01:52:42 +0000 2020,@prfctbing novias 🤩
1260010276335714300,Tue May 12 00:53:54 +0000 2020,your name hurts
1260007924669091800,Tue May 12 00:44:33 +0000 2020,i'm crying https://t.co/NZCIcEe7b8
1260004538817413000,Tue May 12 00:31:06 +0000 2020,el contenido que estamos teniendo de sabrina es hermoso 🥺 https://t.co/fFjiqlWnbG
1259980782489067500,Mon May 11 22:56:42 +0000 2020,being this beautiful should be illegal https://t.co/5AHfhSDcb7
1259979021808332800,Mon May 11 22:49:42 +0000 2020,RT @SabrinaAnnLynn: 21 sabage 🎂 https://t.co/ms3mxuoc9V
1259978997099663400,Mon May 11 22:49:36 +0000 2020,@SabrinaAnnLynn you look so pretty, happy birthday angel te amo 💘
