id,created_at,text
1259285787658449000,Sun May 10 00:55:02 +0000 2020,@SportsCenter The answer is @Joeingles7 https://t.co/0jlbEDa1L2
1258879767383867400,Fri May 08 22:01:40 +0000 2020,@Joeingles7 Me after seeing this tweet 👇 https://t.co/bP3lM81djW
1258856797621956600,Fri May 08 20:30:23 +0000 2020,Give this man a raise!!! Wow 😯 https://t.co/BDEzCAJMF8
1258109403057848300,Wed May 06 19:00:30 +0000 2020,@whatsinside Wow 😳
1258093971554910200,Wed May 06 17:59:11 +0000 2020,RT @ianrborthwick: $7,500,000,000.   👆 The amount YouTube paid creators in 2019.   Until another platform figures out monetization at scale…
1257177077725290500,Mon May 04 05:15:47 +0000 2020,@Tyrellcrosby Paintball is my favorite episode.
1256235295315505200,Fri May 01 14:53:28 +0000 2020,@whatsinside @JurassicOutpost @prattprattpratt To face my fears 😂
1252471348258959400,Tue Apr 21 05:36:53 +0000 2020,@Tyrellcrosby Preach 🙌
1252272244421570600,Mon Apr 20 16:25:43 +0000 2020,@SpencerJCox That’s my future governor 👆
1252246985517658000,Mon Apr 20 14:45:21 +0000 2020,Woah 😨 #TheLastDance https://t.co/XmoyrFgzPg
1252008514630725600,Sun Apr 19 22:57:45 +0000 2020,@whatsinside My hat 🧢 I’ve been looking for that.
1251534831420412000,Sat Apr 18 15:35:30 +0000 2020,RT @whatsinside: What’s inside Tesla Biodefense Filter?   New video just dropped! 👀 https://t.co/gHzDsLTfJx
1251534628373946400,Sat Apr 18 15:34:42 +0000 2020,This morning, I found myself up early and doing yard work.  Then I came in and cleaned the house 🏠   I then sat dow… https://t.co/utJCh083A9
1251153526517989400,Fri Apr 17 14:20:20 +0000 2020,@SpencerJCox My next governor 😂 He has my vote.
1251013369059934200,Fri Apr 17 05:03:24 +0000 2020,@_MattSanchez Matt, I just gained a new whole level for respect for you. https://t.co/41G4IeEl2n
1250942966220222500,Fri Apr 17 00:23:39 +0000 2020,@spidadmitchell @epaschall @BucketsONeale00 @kylekuzma @_MattSanchez dude the tickets and gear would be 🔥
1250233530921005000,Wed Apr 15 01:24:36 +0000 2020,@whatsinside Done ✅ Anything to take down the Badgers 🦡
1250129024724152300,Tue Apr 14 18:29:20 +0000 2020,@derraleves @switchpod I’m here.
1250121873674981400,Tue Apr 14 18:00:55 +0000 2020,@derraleves @switchpod I got one if you want it.
1249040538952581000,Sat Apr 11 18:24:05 +0000 2020,RT @whatsinside: What’s inside 20 year old Twinkie? https://t.co/LC6nguJhKf https://t.co/CpPWuqcNwB
1248045010114601000,Thu Apr 09 00:28:12 +0000 2020,@maxisnicee @_MattSanchez 😂
1246654338254033000,Sun Apr 05 04:22:10 +0000 2020,@ZacksJerryRig Very true.
1246636924439130000,Sun Apr 05 03:12:58 +0000 2020,United we stand, divided we fall. Simple as that.
1245408683682443300,Wed Apr 01 17:52:23 +0000 2020,RT @whatsinside: My TOP THREE @DisneyPlus movies from when I was a kid! What’s yours? #DisneyPlus #ad
1244797103257182200,Tue Mar 31 01:22:11 +0000 2020,Send to:  CEOs and executives taking pay cuts before their employees.   Message:  I will be buying your products or… https://t.co/fRMgwrK89g
1244011490908106800,Sat Mar 28 21:20:26 +0000 2020,@KurtStadelman Reggie Bush was a beast! It was always fun watching him play. https://t.co/d1Zi5kLvcY
1242897194014797800,Wed Mar 25 19:32:37 +0000 2020,@jaredmecham Win/win in my opinion
1242862333564563500,Wed Mar 25 17:14:06 +0000 2020,Everyone keeps talking about which stocks to buy right now and where the smart investments are.   I’m just trying t… https://t.co/Z0BgIPbzXX
1239964823523221500,Tue Mar 17 17:20:26 +0000 2020,I’ve never wanted a dog more 🐕
1238573193872298000,Fri Mar 13 21:10:35 +0000 2020,Why I love @TMobile 👇   People &gt; Profit https://t.co/56e1PZJ7Lt
1237933175231242200,Thu Mar 12 02:47:23 +0000 2020,RT @Three_Cone: Rudy Gobert really held our entire team to no points on the night if he’s not DPOY it’s rigged
1237932531367817200,Thu Mar 12 02:44:49 +0000 2020,Well the @utahjazz made the playoffs so there is that...
1237805732906459100,Wed Mar 11 18:20:58 +0000 2020,RT @WHO: “Even those countries with community transmission or large clusters can turn the tide on this #coronavirus.   Several countries ha…
1237228735591407600,Tue Mar 10 04:08:11 +0000 2020,@iamalexdean Honestly it was so hard to watch
1236801332364767200,Sun Mar 08 23:49:50 +0000 2020,I called 911 last night in my dreams and just saw that I have a voicemail from them in real life.... from last night 😂
1235369010251755500,Thu Mar 05 00:58:18 +0000 2020,Seeing @garyvee cheering for that @spidadmitchell dunk at the end makes me smile. https://t.co/G1m4N7NMvV
1234212027188433000,Sun Mar 01 20:20:52 +0000 2020,RT @THEfremonthigh: Welcome to Silverwolf Nation @spidadmitchell  Thanks for reppin’ us! https://t.co/diJ0LE0aJg
1233915941034942500,Sun Mar 01 00:44:20 +0000 2020,RT @spidadmitchell: Shoutout #30 on Fremont!!! Hooper!!!
1233904445450145800,Sat Feb 29 23:58:39 +0000 2020,@StevenIHaglund Dude, they got me so hyped for nothing...
1223266971032010800,Fri Jan 31 15:29:07 +0000 2020,@whatsinside I’m sitting to someone wearing a mask 😷 and I literally thought the same thing.... https://t.co/3oueqqcObf
1223266785186599000,Fri Jan 31 15:28:23 +0000 2020,@JazzedPodcast @RonnieBrewerJr Such a great podcast! I really enjoyed this one ☝️
1223131262916804600,Fri Jan 31 06:29:52 +0000 2020,We live in a time where a person is sending 🚀 to space, building ⚡️ cars, making flamethrowers 🔥 , and is now dropp… https://t.co/j4CTp3VEn9
