id,created_at,text
1257328542364262400,Mon May 04 15:17:39 +0000 2020,RT @SajanArora011: I'm a huge fan of Cricket 🏏Bhai. My Best Scene in your Video this. #AwesomeVideo @iAmitBhadana Love you Bhai 😘😘 https://…
1257328522734866400,Mon May 04 15:17:34 +0000 2020,RT @BEINGSHEIKU: M late ho gayi ye video dekhne m  Sorry bhaiya @iAmitBhadana 😁par abhi abhi dekhi maine .. My three favorite parts!😂😂 DO W…
1257282195032436700,Mon May 04 12:13:29 +0000 2020,🙏🏾🙏🏾💔💔 https://t.co/tTdPwmLnVG
1256990484989239300,Sun May 03 16:54:20 +0000 2020,RT @vishl_raj: Awesome video Bhai @iAmitBhadana   It is always a pleasure to watch your videos. Lot's of love bro...❤️ https://t.co/jdWlkeo…
1256939040173027300,Sun May 03 13:29:54 +0000 2020,https://t.co/pfayBF3z02 New Video out now 😂 Youtube par jaakar dekhe 🤗 Share and support 😊
1255969592431775700,Thu Apr 30 21:17:40 +0000 2020,Happy marriage anniversary to your mataji and pitaji. God bless your family💪🏽 https://t.co/VkoSrJdqMW
1255877395598303200,Thu Apr 30 15:11:18 +0000 2020,RT @GauravNagaon: YouTuber, Amit Bhadana talks on importance of using handwash, wearing masks, social distancing, etc.; avoid COVID-19 spre…
1255768047182200800,Thu Apr 30 07:56:48 +0000 2020,🙏🏾 https://t.co/I76irjv1X2
1255435166153150500,Wed Apr 29 09:54:03 +0000 2020,💔 https://t.co/J3c6hzH698
1255160873821204500,Tue Apr 28 15:44:06 +0000 2020,Hahahaha https://t.co/r5xvBX3Bct
1255139375781867500,Tue Apr 28 14:18:41 +0000 2020,RT @YouTubeIndia: Ready to tune in LIVE with us while you tune out the mundane?  India's biggest artists, celebrities and YouTube creators…
1255114474140229600,Tue Apr 28 12:39:44 +0000 2020,Hello kaun bol le?😂🤣 https://t.co/CJXHOqecfq
1254847322770432000,Mon Apr 27 18:58:10 +0000 2020,Google map bhi sochta hoga "yaar mujhe aajkal koi yaad kyun nahi karta"
1253715810612371500,Fri Apr 24 16:01:56 +0000 2020,RT @AbhiRathiArt: "master bhi khade ise na padhana" @amit_bhadana_youtube  @amitbhadana Old work  #rathiart #amitbhadana #caricature #artis…
1253715798927032300,Fri Apr 24 16:01:54 +0000 2020,Thank you abhishek 👌👍🏻🤗🤗 https://t.co/PcgZVbx4Vq
1251217432309403600,Fri Apr 17 18:34:17 +0000 2020,Kuch bhi karne ki Shuruaat toh karo, kahi se bhi karo lekin karo.   Thank you 🤗 https://t.co/egvBD6dsJY
1249425275235872800,Sun Apr 12 19:52:53 +0000 2020,RT @delhichatter: @iAmitBhadana Bhadana bhai you're everywhere 😁 https://t.co/hTVpjRWkYz
